x0	M1	x1	P1	x2	M2	x3	T1	x4	M3	x5	P2	x6	M4	x7	T2	x8	avg	
-0.48441 	 -0.95930 	-0.48441 	 -0.95943 	-0.48441 	 -0.95938 	-0.48441 	 -0.95885 	-0.48441 	 -0.95849 	-0.48441 	 -0.95809 	-0.48441 	 -0.95840 	-0.48441 	 -0.95905 	-0.48441 	 -0.95887 	 
-0.48343 	 -0.94421 	-0.48343 	 -0.94434 	-0.48343 	 -0.94429 	-0.48343 	 -0.94377 	-0.48343 	 -0.94340 	-0.48343 	 -0.94302 	-0.48343 	 -0.94330 	-0.48343 	 -0.94398 	-0.48343 	 -0.94379 	 
-0.48244 	 -0.92979 	-0.48244 	 -0.92992 	-0.48244 	 -0.92985 	-0.48244 	 -0.92936 	-0.48244 	 -0.92898 	-0.48244 	 -0.92862 	-0.48244 	 -0.92887 	-0.48244 	 -0.92956 	-0.48244 	 -0.92937 	 
-0.48142 	 -0.91660 	-0.48142 	 -0.91674 	-0.48142 	 -0.91668 	-0.48142 	 -0.91619 	-0.48142 	 -0.91584 	-0.48142 	 -0.91547 	-0.48142 	 -0.91571 	-0.48142 	 -0.91639 	-0.48142 	 -0.91620 	 
-0.48038 	 -0.90488 	-0.48038 	 -0.90502 	-0.48038 	 -0.90494 	-0.48038 	 -0.90449 	-0.48038 	 -0.90413 	-0.48038 	 -0.90379 	-0.48038 	 -0.90400 	-0.48038 	 -0.90468 	-0.48038 	 -0.90449 	 
-0.47932 	 -0.89461 	-0.47932 	 -0.89476 	-0.47932 	 -0.89469 	-0.47932 	 -0.89424 	-0.47932 	 -0.89391 	-0.47932 	 -0.89357 	-0.47932 	 -0.89377 	-0.47932 	 -0.89443 	-0.47932 	 -0.89425 	 
-0.47823 	 -0.88596 	-0.47823 	 -0.88611 	-0.47823 	 -0.88603 	-0.47823 	 -0.88560 	-0.47823 	 -0.88528 	-0.47823 	 -0.88496 	-0.47823 	 -0.88514 	-0.47823 	 -0.88579 	-0.47823 	 -0.88561 	 
-0.47712 	 -0.87864 	-0.47712 	 -0.87878 	-0.47712 	 -0.87871 	-0.47712 	 -0.87829 	-0.47712 	 -0.87799 	-0.47712 	 -0.87768 	-0.47712 	 -0.87785 	-0.47712 	 -0.87848 	-0.47712 	 -0.87830 	 
-0.47598 	 -0.87253 	-0.47598 	 -0.87267 	-0.47598 	 -0.87261 	-0.47598 	 -0.87218 	-0.47598 	 -0.87191 	-0.47598 	 -0.87159 	-0.47598 	 -0.87177 	-0.47598 	 -0.87238 	-0.47598 	 -0.87220 	 
-0.47481 	 -0.86743 	-0.47481 	 -0.86755 	-0.47481 	 -0.86749 	-0.47481 	 -0.86708 	-0.47481 	 -0.86681 	-0.47481 	 -0.86650 	-0.47481 	 -0.86667 	-0.47481 	 -0.86727 	-0.47481 	 -0.86710 	 
-0.47362 	 -0.86315 	-0.47362 	 -0.86325 	-0.47362 	 -0.86322 	-0.47362 	 -0.86279 	-0.47362 	 -0.86256 	-0.47362 	 -0.86223 	-0.47362 	 -0.86242 	-0.47362 	 -0.86298 	-0.47362 	 -0.86282 	 
-0.47239 	 -0.85963 	-0.47239 	 -0.85972 	-0.47239 	 -0.85970 	-0.47239 	 -0.85927 	-0.47239 	 -0.85905 	-0.47239 	 -0.85872 	-0.47239 	 -0.85891 	-0.47239 	 -0.85946 	-0.47239 	 -0.85931 	 
-0.47114 	 -0.85672 	-0.47114 	 -0.85681 	-0.47114 	 -0.85680 	-0.47114 	 -0.85637 	-0.47114 	 -0.85617 	-0.47114 	 -0.85584 	-0.47114 	 -0.85603 	-0.47114 	 -0.85656 	-0.47114 	 -0.85641 	 
-0.46985 	 -0.85436 	-0.46985 	 -0.85445 	-0.46985 	 -0.85444 	-0.46985 	 -0.85401 	-0.46985 	 -0.85383 	-0.46985 	 -0.85350 	-0.46985 	 -0.85368 	-0.46985 	 -0.85420 	-0.46985 	 -0.85406 	 
-0.46853 	 -0.85243 	-0.46853 	 -0.85251 	-0.46853 	 -0.85251 	-0.46853 	 -0.85209 	-0.46853 	 -0.85191 	-0.46853 	 -0.85158 	-0.46853 	 -0.85177 	-0.46853 	 -0.85227 	-0.46853 	 -0.85213 	 
-0.46718 	 -0.85083 	-0.46718 	 -0.85092 	-0.46718 	 -0.85092 	-0.46718 	 -0.85050 	-0.46718 	 -0.85033 	-0.46718 	 -0.85001 	-0.46718 	 -0.85020 	-0.46718 	 -0.85069 	-0.46718 	 -0.85055 	 
-0.46580 	 -0.84951 	-0.46580 	 -0.84961 	-0.46580 	 -0.84961 	-0.46580 	 -0.84920 	-0.46580 	 -0.84904 	-0.46580 	 -0.84872 	-0.46580 	 -0.84890 	-0.46580 	 -0.84938 	-0.46580 	 -0.84925 	 
-0.46438 	 -0.84840 	-0.46438 	 -0.84850 	-0.46438 	 -0.84851 	-0.46438 	 -0.84811 	-0.46438 	 -0.84796 	-0.46438 	 -0.84764 	-0.46438 	 -0.84783 	-0.46438 	 -0.84828 	-0.46438 	 -0.84815 	 
-0.46292 	 -0.84747 	-0.46292 	 -0.84758 	-0.46292 	 -0.84759 	-0.46292 	 -0.84720 	-0.46292 	 -0.84706 	-0.46292 	 -0.84674 	-0.46292 	 -0.84693 	-0.46292 	 -0.84737 	-0.46292 	 -0.84724 	 
-0.46143 	 -0.84668 	-0.46143 	 -0.84679 	-0.46143 	 -0.84681 	-0.46143 	 -0.84644 	-0.46143 	 -0.84630 	-0.46143 	 -0.84598 	-0.46143 	 -0.84617 	-0.46143 	 -0.84659 	-0.46143 	 -0.84647 	 
-0.45991 	 -0.84600 	-0.45991 	 -0.84612 	-0.45991 	 -0.84615 	-0.45991 	 -0.84579 	-0.45991 	 -0.84566 	-0.45991 	 -0.84534 	-0.45991 	 -0.84554 	-0.45991 	 -0.84593 	-0.45991 	 -0.84582 	 
-0.45835 	 -0.84542 	-0.45835 	 -0.84554 	-0.45835 	 -0.84559 	-0.45835 	 -0.84524 	-0.45835 	 -0.84512 	-0.45835 	 -0.84480 	-0.45835 	 -0.84500 	-0.45835 	 -0.84537 	-0.45835 	 -0.84526 	 
-0.45675 	 -0.84491 	-0.45675 	 -0.84505 	-0.45675 	 -0.84511 	-0.45675 	 -0.84477 	-0.45675 	 -0.84466 	-0.45675 	 -0.84434 	-0.45675 	 -0.84454 	-0.45675 	 -0.84489 	-0.45675 	 -0.84478 	 
-0.45511 	 -0.84447 	-0.45511 	 -0.84462 	-0.45511 	 -0.84470 	-0.45511 	 -0.84438 	-0.45511 	 -0.84427 	-0.45511 	 -0.84394 	-0.45511 	 -0.84415 	-0.45511 	 -0.84447 	-0.45511 	 -0.84437 	 
-0.45343 	 -0.84408 	-0.45343 	 -0.84424 	-0.45343 	 -0.84434 	-0.45343 	 -0.84403 	-0.45343 	 -0.84392 	-0.45343 	 -0.84360 	-0.45343 	 -0.84381 	-0.45343 	 -0.84411 	-0.45343 	 -0.84402 	 
-0.45171 	 -0.84374 	-0.45171 	 -0.84391 	-0.45171 	 -0.84403 	-0.45171 	 -0.84373 	-0.45171 	 -0.84362 	-0.45171 	 -0.84330 	-0.45171 	 -0.84350 	-0.45171 	 -0.84379 	-0.45171 	 -0.84370 	 
-0.44996 	 -0.84345 	-0.44996 	 -0.84359 	-0.44996 	 -0.84375 	-0.44996 	 -0.84346 	-0.44996 	 -0.84334 	-0.44996 	 -0.84304 	-0.44996 	 -0.84324 	-0.44996 	 -0.84351 	-0.44996 	 -0.84342 	 
