alpha	Cl		Cd
6	0.554662        0.0419539
8	0.866910        0.0522156
9	0.887386        0.0560006
10	0.895064        0.0593969
11	0.907861        0.0639486
12	0.930896        0.0719707
13	0.920658        0.0842315
14	0.879707        0.1223310
15	0.836197        0.1612000
17	0.779890        0.2196590
20	0.728702        0.2857640
22	0.705667        0.3183870
25	0.649360        0.3655880
