t       rho1       u1       v1       w1       p1       rho2       u2       v2       w2       p2       rho3       u3       v3       w3       p3       rho4       u4       v4       w4       p4       rho5       u5       v5       w5       p5       rho6       u6       v6       w6       p6       rho7       u7       v7       w7       p7       rho8       u8       v8       w8       p8       rho9       u9       v9       w9       p9
  2.1100010E+02         9.4249350E-01         1.1847503E-01         8.3366245E-02         4.4519711E-02         6.7221212E-01         9.3022799E-01         7.4099854E-02         3.2323942E-02         1.3188644E-01         6.6017091E-01         9.5855206E-01         2.2009575E-01        -8.2277760E-02         1.0451243E-01         6.8107378E-01         9.5549524E-01         2.6066137E-02         7.4794232E-03         6.9080390E-02         6.8893754E-01         9.0242577E-01        -1.7004192E-01         8.9154802E-02         7.8433514E-02         6.4003307E-01         9.2517239E-01         2.2337505E-01         9.7215220E-02         2.9698399E-01         6.5991539E-01         9.3938482E-01         1.8575937E-01         3.6081795E-02         5.4885276E-02         6.6881877E-01         9.6934611E-01         2.2309934E-01         1.2647431E-01        -3.6278327E-03         6.9270635E-01         9.4342291E-01         2.9631433E-01         2.7848888E-02         1.1825306E-01         6.7224073E-01
  2.1101570E+02         9.4408190E-01         1.0762808E-01         8.4199183E-02         4.4566128E-02         6.7421091E-01         9.4133490E-01         9.4297096E-02         8.6904153E-02         1.3021336E-01         6.7357367E-01         9.3912673E-01         2.7905655E-01        -7.6472908E-02         6.6386247E-03         6.6434854E-01         9.5821744E-01         3.0891128E-02        -1.6148621E-02         9.0267792E-02         6.9168615E-01         9.1257554E-01        -2.3408367E-01         1.1647455E-01         7.2178550E-02         6.4165789E-01         9.3958783E-01         1.5990283E-01         9.3852706E-02         2.8717905E-01         6.7021966E-01         9.3994701E-01         2.0700105E-01         1.8567920E-02         3.7510119E-02         6.6914421E-01         9.6483028E-01         2.1587354E-01         1.0812461E-01         1.2609513E-03         6.9136667E-01         9.4254124E-01         2.9220253E-01         3.6223933E-02         1.0403389E-01         6.7065692E-01
  2.1103130E+02         9.4646293E-01         1.0204567E-01         7.8258626E-02         4.7203623E-02         6.7654502E-01         9.4667196E-01         1.2287781E-01         8.8492632E-02         1.1316685E-01         6.8072504E-01         9.1752928E-01         2.8206596E-01         1.8021202E-02        -8.1041798E-02         6.5008157E-01         9.5964926E-01         3.8125802E-02        -3.8407151E-02         1.1559153E-01         6.9298869E-01         9.2166322E-01        -2.5866187E-01         1.2739320E-01         6.8328202E-02         6.4544910E-01         9.4861072E-01         1.2621348E-01         5.2509047E-02         2.7410746E-01         6.7702264E-01         9.4244063E-01         2.2504292E-01        -1.3299105E-02         3.0118035E-02         6.6835791E-01         9.6195513E-01         2.1083988E-01         8.4718607E-02         4.5765266E-03         6.8968922E-01         9.4062454E-01         2.8987971E-01         4.9372979E-02         1.1073132E-01         6.6960222E-01
  2.1104700E+02         9.4871801E-01         1.0223003E-01         7.0107639E-02         5.0595924E-02         6.7849505E-01         9.5182824E-01         1.4048465E-01         6.4731583E-02         8.6890988E-02         6.8424124E-01         9.1610783E-01         2.4873686E-01         1.2563619E-01        -9.6226826E-02         6.5193522E-01         9.5978475E-01         4.9080089E-02        -4.3300610E-02         1.3401951E-01         6.9346243E-01         9.2585075E-01        -2.4993044E-01         1.3182780E-01         5.4524250E-02         6.4919257E-01         9.5175368E-01         1.0734285E-01         4.9461578E-03         2.5582910E-01         6.7978883E-01         9.4252819E-01         2.6858649E-01        -2.8517174E-02         1.9787801E-02         6.6609675E-01         9.5993352E-01         2.0186622E-01         5.7856303E-02         7.7542751E-03         6.8723285E-01         9.3813127E-01         2.8796023E-01         6.0113776E-02         1.2475855E-01         6.6892785E-01
  2.1106260E+02         9.5012331E-01         1.0618737E-01         6.3512512E-02         5.3627197E-02         6.7955816E-01         9.5829856E-01         1.6845784E-01         6.9138527E-02         4.8226200E-02         6.8463010E-01         9.2757517E-01         2.3584446E-01         1.2929314E-01        -8.8217020E-02         6.5664500E-01         9.6011543E-01         6.2450472E-02        -2.2554148E-02         1.4185184E-01         6.9514501E-01         9.2608851E-01        -2.2410357E-01         1.3160360E-01         3.3354770E-02         6.5199357E-01         9.5224774E-01         8.7455086E-02        -3.5872035E-02         2.2854505E-01         6.7979562E-01         9.3753004E-01         3.5936531E-01        -3.7952957E-03         5.3193117E-04         6.6218036E-01         9.5755202E-01         1.8795897E-01         3.1998172E-02         1.3547365E-02         6.8376774E-01         9.3590641E-01         2.8266594E-01         6.9697917E-02         1.3381431E-01         6.6849899E-01
  2.1107820E+02         9.5055670E-01         1.1144448E-01         6.0532831E-02         5.6348763E-02         6.7976636E-01         9.6037245E-01         2.0277423E-01         8.4263600E-02         3.1714853E-02         6.8104458E-01         9.3404311E-01         2.2059792E-01         4.9478028E-02        -8.0451496E-02         6.5607083E-01         9.6298575E-01         7.8756467E-02         1.8241795E-02         1.4275308E-01         6.9879121E-01         9.2507803E-01        -1.9932616E-01         1.2697750E-01         1.6475916E-02         6.5460610E-01         9.4976246E-01         6.8887107E-02        -7.2469421E-02         1.8958765E-01         6.7600375E-01         9.2985457E-01         4.5211941E-01         2.3814719E-03        -9.6113840E-03         6.5407360E-01         9.5370084E-01         1.7288141E-01         1.5275501E-02         2.9554173E-02         6.7973781E-01         9.3469357E-01         2.7448651E-01         8.4074572E-02         1.3253781E-01         6.6848391E-01
  2.1109380E+02         9.5050776E-01         1.1596946E-01         6.0610909E-02         6.0357690E-02         6.7967916E-01         9.5416164E-01         2.2990920E-01         8.2571112E-02         5.1749732E-02         6.7421830E-01         9.2902255E-01         1.4311776E-01         1.8643517E-02        -4.4615097E-02         6.4839941E-01         9.6996564E-01         1.0348179E-01         6.3039355E-02         1.3515714E-01         7.0327967E-01         9.2415673E-01        -1.8496260E-01         1.1920285E-01         1.4269770E-02         6.5712041E-01         9.4151288E-01         7.1348563E-02        -1.0554595E-01         1.3086036E-01         6.6622210E-01         9.1396040E-01         4.6720490E-01        -2.8723808E-02         9.8964404E-03         6.4196044E-01         9.5094579E-01         1.5886682E-01         1.8326230E-02         7.1240373E-02         6.7775154E-01         9.3456346E-01         2.6462364E-01         1.0461460E-01         1.2249143E-01         6.6902965E-01
  2.1110940E+02         9.5071626E-01         1.1891685E-01         6.0578667E-02         6.6895723E-02         6.7996663E-01         9.4283998E-01         2.4468906E-01         7.0190743E-02         8.3826609E-02         6.6608548E-01         9.2426825E-01         8.4171914E-02         8.1305653E-02        -1.5963651E-02         6.4660805E-01         9.7923374E-01         1.4132717E-01         9.5017776E-02         1.1214302E-01         7.0616502E-01         9.2541343E-01        -1.7527717E-01         1.1189446E-01         2.6659077E-02         6.5958875E-01         9.2757875E-01         9.9763952E-02        -1.4185943E-01         6.8090916E-02         6.5083003E-01         8.9701635E-01         4.1591609E-01        -1.1466865E-02         5.7553358E-02         6.2881029E-01         9.5102328E-01         1.6114548E-01         4.9626797E-02         1.3197589E-01         6.7886078E-01         9.3546611E-01         2.5239718E-01         1.2498052E-01         1.0933713E-01         6.7031074E-01
  2.1112500E+02         9.5125675E-01         1.2131972E-01         5.7953876E-02         7.3879838E-02         6.8052781E-01         9.3166649E-01         2.2061954E-01         6.1669245E-02         1.1762999E-01         6.5992475E-01         9.2159230E-01         1.3657828E-01         1.0342328E-01         2.8822800E-02         6.4639384E-01         9.8730338E-01         1.8536071E-01         1.0791673E-01         7.8373611E-02         7.0638436E-01         9.2920548E-01        -1.6169466E-01         1.0746932E-01         4.2832922E-02         6.6244096E-01         9.0976554E-01         1.3127720E-01        -1.8453969E-01         2.7319320E-02         6.3330853E-01         8.9248163E-01         3.7878320E-01         4.8301846E-02         1.2411091E-01         6.2307036E-01         9.5169973E-01         2.0809446E-01         9.3580917E-02         1.6734749E-01         6.8014199E-01         9.3722874E-01         2.3860295E-01         1.3819087E-01         9.6901797E-02         6.7221010E-01
  2.1114080E+02         9.5156455E-01         1.2513642E-01         5.5229764E-02         7.6849326E-02         6.8062294E-01         9.2982846E-01         1.4425646E-01         6.2456980E-02         1.5317689E-01         6.6132802E-01         9.1749150E-01         1.2392171E-01         1.2790184E-01         7.9546861E-02         6.4288378E-01         9.9213874E-01         2.2073632E-01         1.0448669E-01         5.0532110E-02         7.0486826E-01         9.3461972E-01        -1.4385781E-01         1.0712245E-01         5.1954262E-02         6.6606182E-01         8.8717556E-01         1.5226828E-01        -2.1869588E-01         1.2361892E-02         6.1558461E-01         8.9111078E-01         3.7142497E-01         1.0451506E-01         1.8329804E-01         6.2354964E-01         9.5599574E-01         2.8645372E-01         1.2546910E-01         1.4317521E-01         6.8198335E-01         9.3920338E-01         2.2482462E-01         1.4345996E-01         8.5273415E-02         6.7428964E-01
