t       rho1       u1       v1       w1       p1       rho2       u2       v2       w2       p2       rho3       u3       v3       w3       p3       rho4       u4       v4       w4       p4       rho5       u5       v5       w5       p5       rho6       u6       v6       w6       p6       rho7       u7       v7       w7       p7       rho8       u8       v8       w8       p8       rho9       u9       v9       w9       p9
  2.1100010E+02         9.2368948E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5978074E-01         9.3856865E-01         0.0000000E+00         1.3877788E-17         0.0000000E+00         6.7041838E-01         9.2655885E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6203016E-01         9.4164187E-01         3.3753842E-01         6.7672513E-02        -5.3044848E-02         6.6927004E-01         9.6245682E-01         2.5506458E-01         1.1251578E-01        -8.6213447E-02         6.8567872E-01         9.6969813E-01         3.6084980E-01         1.1155222E-01        -4.2501889E-02         6.8205673E-01         9.4251287E-01         3.4595332E-01        -2.6809348E-02        -9.7545460E-02         6.7181200E-01         9.5651823E-01         2.2035825E-01         1.3325836E-01         1.0776897E-02         6.8758005E-01         9.5545888E-01        -4.8276726E-02         8.0377825E-02        -8.4906787E-02         6.8562132E-01
  2.1101570E+02         9.2321914E-01         5.5511151E-17         0.0000000E+00         0.0000000E+00         6.5944254E-01         9.3847418E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7035013E-01         9.1498154E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5367252E-01         9.3088788E-01         2.8045481E-01         5.2164860E-02        -1.1789401E-01         6.6645902E-01         9.6194077E-01         2.8599495E-01         4.2631235E-02        -3.5262045E-02         6.8429345E-01         9.6739542E-01         3.6481515E-01         1.1532000E-01        -4.0425878E-02         6.7968333E-01         9.4262928E-01         3.0747062E-01        -2.4970809E-02        -5.5179317E-02         6.7384928E-01         9.5964253E-01         2.3101899E-01         1.2034348E-01         4.6773512E-02         6.8842286E-01         9.5559907E-01        -5.5390138E-02         7.7723041E-02        -8.0545306E-02         6.8555367E-01
  2.1103130E+02         9.2303962E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5931582E-01         9.3850452E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7035770E-01         9.2275941E-01         5.5511151E-17         0.0000000E+00         0.0000000E+00         6.5909094E-01         9.3466812E-01         2.9659578E-01         3.7059989E-02        -1.5019710E-01         6.6937339E-01         9.5474803E-01         2.8683349E-01        -3.5729900E-02        -1.3631947E-02         6.8027115E-01         9.6319121E-01         3.6338258E-01         1.0357397E-01        -4.0110361E-02         6.7831641E-01         9.4501609E-01         2.8004786E-01         2.0754084E-04        -3.4922242E-02         6.7470855E-01         9.6000427E-01         2.3593874E-01         9.6621379E-02         8.3996840E-02         6.8720365E-01         9.5592773E-01        -6.2599674E-02         7.3258862E-02        -7.2768152E-02         6.8531674E-01
  2.1104700E+02         9.2292815E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5924042E-01         9.3925661E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7089128E-01         9.3267834E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6620201E-01         9.5413870E-01         3.7287736E-01         3.5163548E-02        -1.2534180E-01         6.7299867E-01         9.4364035E-01         2.6935348E-01        -5.6509383E-02         4.5455634E-03         6.7324680E-01         9.6082896E-01         3.9063239E-01         1.1523066E-01        -2.1149041E-02         6.7650437E-01         9.4630635E-01         2.8765979E-01        -3.5767781E-03        -5.0031725E-02         6.7433709E-01         9.6049672E-01         2.4199630E-01         6.1892409E-02         8.7634727E-02         6.8716544E-01         9.5655686E-01        -6.7475021E-02         6.8554208E-02        -6.2345896E-02         6.8509996E-01
  2.1106260E+02         9.2291123E-01         0.0000000E+00         1.3877788E-17         0.0000000E+00         6.5922779E-01         9.4017231E-01         0.0000000E+00        -1.3877788E-17         0.0000000E+00         6.7154396E-01         9.3720859E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6940320E-01         9.6157670E-01         3.6953232E-01         3.7692584E-02        -1.0980318E-01         6.7525923E-01         9.3307096E-01         1.9313729E-01        -2.1179928E-03         3.0779954E-02         6.6915566E-01         9.6061838E-01         4.2399791E-01         1.3739403E-01        -1.6274579E-02         6.7406487E-01         9.4659752E-01         3.4157053E-01        -4.5783240E-02        -7.1768105E-02         6.7473614E-01         9.6145713E-01         2.5068367E-01         3.6497064E-02         5.0230093E-02         6.8877208E-01         9.5733875E-01        -6.7270033E-02         6.5954335E-02        -5.0141487E-02         6.8554306E-01
  2.1107820E+02         9.2296058E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5926164E-01         9.4065666E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7189211E-01         9.4354194E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7394686E-01         9.6075207E-01         3.4269589E-01         5.6518707E-02        -8.1342787E-02         6.7559111E-01         9.2889208E-01         1.1117166E-01         1.0748193E-01         4.3241205E-03         6.6661310E-01         9.5067137E-01         3.8389361E-01         1.3817750E-01        -1.2552083E-02         6.7474788E-01         9.4489068E-01         3.6153212E-01        -6.3345760E-02        -6.9465727E-02         6.7274886E-01         9.6075571E-01         2.5576720E-01         2.7101453E-02        -5.2428888E-03         6.8910402E-01         9.5849925E-01        -6.3051142E-02         6.8995222E-02        -3.7683792E-02         6.8698233E-01
  2.1109380E+02         9.2277181E-01         0.0000000E+00         1.3877788E-17         0.0000000E+00         6.5912575E-01         9.4017279E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7155570E-01         9.4231039E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7310715E-01         9.6609676E-01         3.4078228E-01         3.8058739E-02        -6.7959681E-02         6.7791343E-01         9.2619181E-01         1.2233733E-01         1.4185031E-01        -1.2093155E-02         6.6388214E-01         9.4697624E-01         3.1583819E-01         1.1870150E-01        -1.5881320E-04         6.7689937E-01         9.4220906E-01         3.4364271E-01        -4.1592170E-02        -1.5637448E-02         6.6881609E-01         9.5784962E-01         2.4883758E-01         1.8712161E-02        -4.7096711E-02         6.8636030E-01         9.6053809E-01        -5.4926302E-02         7.7805296E-02        -2.7233863E-02         6.8923706E-01
  2.1110940E+02         9.2233372E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5881181E-01         9.3914235E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7081606E-01         9.3382716E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6706139E-01         9.5980918E-01         3.1348020E-01        -7.3940931E-03        -8.7855801E-02         6.7728192E-01         9.2875171E-01         2.1575610E-01         7.8307204E-02         7.6464438E-03         6.6374743E-01         9.4427258E-01         2.3608519E-01         7.5627103E-02         3.3262104E-02         6.7503995E-01         9.3944788E-01         3.0403849E-01         2.7640788E-02         3.2640547E-02         6.6608047E-01         9.5466161E-01         2.3392172E-01        -3.3414850E-03        -5.5354252E-02         6.8290442E-01         9.6343505E-01        -4.1048285E-02         8.5232444E-02        -1.7027022E-02         6.9208193E-01
  2.1112500E+02         9.2176044E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5840173E-01         9.3808168E-01        -5.5511151E-17         0.0000000E+00         0.0000000E+00         6.7005813E-01         9.3128616E-01        -5.5511151E-17         0.0000000E+00         0.0000000E+00         6.6517603E-01         9.3786985E-01         2.2316439E-01         5.2169142E-03        -5.3567249E-02         6.6607052E-01         9.4098264E-01         2.8483436E-01         1.2944458E-02         5.7646200E-02         6.6804373E-01         9.4455767E-01         1.9546972E-01         3.2033421E-02         6.2621623E-02         6.7320514E-01         9.4208401E-01         2.3016468E-01         1.0063943E-01         4.3595769E-02         6.7114419E-01         9.5329237E-01         2.1607496E-01        -2.9901257E-02        -3.7015222E-02         6.8105346E-01         9.6641189E-01        -2.1915331E-02         8.1206389E-02        -5.2762148E-03         6.9506264E-01
  2.1114080E+02         9.2136139E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5811604E-01         9.3722308E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6944814E-01         9.3531638E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6805136E-01         9.3285692E-01         1.4413981E-01         6.6649079E-02         2.4491992E-02         6.6020161E-01         9.4750237E-01         2.8759399E-01        -4.7905307E-02         3.5244063E-02         6.6929543E-01         9.4982940E-01         2.5752312E-01         3.2379247E-02         5.3890463E-02         6.7504269E-01         9.4764084E-01         1.8615000E-01         1.0781273E-01         3.7722941E-02         6.7859805E-01         9.5392704E-01         2.0351206E-01        -4.8928086E-02        -4.7136229E-03         6.8112761E-01         9.6832150E-01        -1.9821632E-03         6.4733550E-02         4.9031023E-03         6.9715989E-01
