x cp
  -0.50000   1.05669
  -0.49995   1.05672
  -0.49979   1.04294
  -0.49952   1.01777
  -0.49915   0.98754
  -0.49867   0.94718
  -0.49809   0.90014
  -0.49741   0.84829
  -0.49663   0.79093
  -0.49580   0.73322
  -0.49497   0.67850
  -0.49414   0.62603
  -0.49330   0.57569
  -0.49245   0.52726
  -0.49158   0.48048
  -0.49070   0.43521
  -0.48980   0.39129
  -0.48888   0.34860
  -0.48794   0.30703
  -0.48697   0.26650
  -0.48598   0.22693
  -0.48496   0.18828
  -0.48390   0.15049
  -0.48282   0.11354
  -0.48170   0.07740
  -0.48054   0.04205
  -0.47935   0.00748
  -0.47811  -0.02632
  -0.47684  -0.05935
  -0.47552  -0.09160
  -0.47415  -0.12309
  -0.47274  -0.15379
  -0.47128  -0.18370
  -0.46978  -0.21283
  -0.46822  -0.24115
  -0.46661  -0.26867
  -0.46495  -0.29538
  -0.46323  -0.32127
  -0.46146  -0.34634
  -0.45964  -0.37058
  -0.45775  -0.39400
  -0.45581  -0.41660
  -0.45381  -0.43837
  -0.45175  -0.45931
  -0.44963  -0.47943
  -0.44745  -0.49874
  -0.44520  -0.51723
  -0.44289  -0.53492
  -0.44052  -0.55180
  -0.43809  -0.56790
  -0.43559  -0.58322
  -0.43303  -0.59777
  -0.43040  -0.61155
  -0.42770  -0.62459
  -0.42494  -0.63689
  -0.42211  -0.64847
  -0.41921  -0.65933
  -0.41625  -0.66949
  -0.41322  -0.67897
  -0.41013  -0.68777
  -0.40696  -0.69591
  -0.40373  -0.70340
  -0.40043  -0.71025
  -0.39707  -0.71647
  -0.39363  -0.72207
  -0.39013  -0.72707
  -0.38656  -0.73147
  -0.38293  -0.73530
  -0.37922  -0.73856
  -0.37545  -0.74128
  -0.37162  -0.74346
  -0.36772  -0.74514
  -0.36375  -0.74632
  -0.35971  -0.74703
  -0.35561  -0.74728
  -0.35145  -0.74709
  -0.34722  -0.74647
  -0.34293  -0.74543
  -0.33858  -0.74399
  -0.33416  -0.74216
  -0.32968  -0.73993
  -0.32514  -0.73733
  -0.32054  -0.73434
  -0.31588  -0.73098
  -0.31115  -0.72724
  -0.30637  -0.72313
  -0.30153  -0.71865
  -0.29664  -0.71380
  -0.29169  -0.70858
  -0.28668  -0.70300
  -0.28161  -0.69706
  -0.27650  -0.69079
  -0.27132  -0.68421
  -0.26610  -0.67733
  -0.26083  -0.67019
  -0.25550  -0.66279
  -0.25013  -0.65518
  -0.24470  -0.64736
  -0.23923  -0.63935
  -0.23371  -0.63118
  -0.22815  -0.62287
  -0.22254  -0.61445
  -0.21689  -0.60596
  -0.21120  -0.59745
  -0.20547  -0.58896
  -0.19969  -0.58055
  -0.19388  -0.57226
  -0.18803  -0.56414
  -0.18214  -0.55624
  -0.17622  -0.54861
  -0.17026  -0.54130
  -0.16427  -0.53435
  -0.15825  -0.52781
  -0.15219  -0.52169
  -0.14611  -0.51603
  -0.14000  -0.51083
  -0.13386  -0.50608
  -0.12770  -0.50178
  -0.12151  -0.49792
  -0.11530  -0.49448
  -0.10906  -0.49142
  -0.10281  -0.48873
  -0.09654  -0.48639
  -0.09025  -0.48436
  -0.08394  -0.48263
  -0.07762  -0.48117
  -0.07128  -0.47995
  -0.06493  -0.47895
  -0.05857  -0.47815
  -0.05219  -0.47754
  -0.04581  -0.47708
  -0.03943  -0.47676
  -0.03303  -0.47658
  -0.02663  -0.47650
  -0.02023  -0.47652
  -0.01382  -0.47661
  -0.00742  -0.47673
  -0.00101  -0.47684
   0.00539  -0.47691
   0.01179  -0.47687
   0.01819  -0.47668
   0.02458  -0.47628
   0.03096  -0.47564
   0.03734  -0.47479
   0.04370  -0.47375
   0.05006  -0.47237
   0.05640  -0.47079
   0.06273  -0.46910
   0.06905  -0.46716
   0.07535  -0.46577
   0.08163  -0.46535
   0.08789  -0.46589
   0.09413  -0.46856
   0.10036  -0.47259
   0.10656  -0.47771
   0.11274  -0.48682
   0.11889  -0.49820
   0.12502  -0.51182
   0.13112  -0.52908
   0.13719  -0.54500
   0.14324  -0.58219
   0.14925  -0.64950
   0.15524  -0.67323
   0.16119  -0.63777
   0.16711  -0.66963
   0.17299  -0.81725
   0.17884  -0.93113
   0.18465  -0.86827
   0.19043  -0.64793
   0.19616  -0.36202
   0.20186  -0.10712
   0.20752   0.05558
   0.21313   0.14393
   0.21871   0.17877
   0.22424   0.17491
   0.22973   0.15774
   0.23517   0.12227
   0.24057   0.07419
   0.24592   0.02195
   0.25122  -0.06523
   0.25648  -0.16281
   0.26169  -0.16395
   0.26685  -0.07558
   0.27196  -0.03002
   0.27702  -0.04286
   0.28203  -0.09617
   0.28699  -0.22272
   0.29190  -0.28902
   0.29676  -0.18465
   0.30156  -0.06118
   0.30631  -0.02328
   0.31100  -0.01310
   0.31564  -0.00766
   0.32023  -0.01402
   0.32477  -0.02421
   0.32924  -0.01854
   0.33367   0.00917
   0.33803   0.02387
   0.34235   0.01499
   0.34660  -0.00457
   0.35080  -0.04674
   0.35495  -0.09646
   0.35904  -0.10746
   0.36307  -0.07716
   0.36705  -0.03643
   0.37097  -0.00101
   0.37484   0.01574
   0.37865   0.00339
   0.38241  -0.01899
   0.38611  -0.02212
   0.38976  -0.00715
   0.39335   0.00028
   0.39689  -0.00659
   0.40037  -0.01275
   0.40381  -0.01090
   0.40719  -0.00322
   0.41051   0.00670
   0.41379   0.01598
   0.41702   0.02611
   0.42019   0.04017
   0.42332   0.05818
   0.42640   0.07802
   0.42943   0.09710
   0.43242   0.11349
   0.43535   0.12759
