x	cp
0.004601002233202395          0.001587692219471748
0.003510683372677209          -0.19967728473171298
0.005452390737147955          -0.38909728925546117
0.005387083106349527          -0.5508969445586
0.0063213008005759685          -0.736372607112479
0.005226203332919205          -0.9494765832321863
0.007159946352170626          -1.158628253036805
0.008083013963090052          -1.3717282469839025
0.01005339297035035          -1.4901142564965166
0.011029025259717301          -1.5729852595898681
0.013028075909767123          -1.620337274091348
0.01604576631336832          -1.6440092991694781
0.022109818763360184          -1.6203193543146046
0.029195696704991114          -1.565056753924033
0.038314075546592996          -1.4742731738552848
0.04844312979652693          -1.3795412696440577
0.0626164785488326          -1.2650697358067404
0.0767802700868751          -1.1742762003064682
0.09902150054635406          -1.0716277369472347
0.11519071421062183          -1.0124008837237457
0.13842191278086263          -0.957106425952297
0.15962857479635167          -0.9176012825781542
0.1808272724666214          -0.8978278044848822
0.21211998126785997          -0.8701417494162136
0.2423964396191131          -0.8602161841866334
0.2746878773108547          -0.8581793028967918
0.2999181265311453          -0.8502368596268228
0.33019219557883256          -0.8462307939815037
0.36349510511342814          -0.8382724220210961
0.39881458685755605          -0.8342564009442529
0.4331218003243081          -0.8381350370660627
0.46238280466009757          -0.8439967951474837
0.48862691502680794          -0.8242133616226877
0.512864806832771          -0.7748364123491951
0.5290372062351265          -0.7077168930133577
0.5462266525219894          -0.6208637173103453
0.5614027123374079          -0.5221755246114197
0.575560132399275          -0.4471673213358436
0.5927527644242256          -0.35242147952048275
0.6129646797218213          -0.2774013297270781
0.6372097394384817          -0.21026588170080185
0.6664858760301879          -0.17863747574856892
0.6917224967266542          -0.15490970025390327
0.7179650142243206          -0.1390725997852813
0.7492529444184275          -0.12322554388513507
0.7845803905077748          -0.09947785752742155
0.8178896715185455          -0.07573415334231726
0.854226200147181          -0.0519844758982988
0.8865287879222297          -0.02232326321523792
0.9168132106187019          0.007333967295212629
0.9511331670378049          0.03502599562279607
0.976369787734271          0.05875377111746127
0.9985775679438289          0.07852924029703834
