"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Function0"	"Function1"	"Function2"	"Function3"	"Function4"	"Function5"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
-7.54895e-02	-1.47240e-05	5.69338e-05	3.71764e-04	7.07744e-01	2.83098e-01	2.99123e-06	1.29991e-06	6.86939e-09	1.53442e-07	-7.98339e-10	-2.23850e-10	1	0.00000e+00	-6.50000e-01	2.50000e-01	-1.10000e-01
-7.55114e-02	-2.28694e-05	7.39326e-05	3.71264e-04	7.07744e-01	2.83098e-01	2.99136e-06	1.30002e-06	6.63222e-09	1.53590e-07	-7.90746e-10	-2.12436e-10	1	2.20000e-03	-6.50000e-01	2.50000e-01	-1.07800e-01
-7.55284e-02	-3.19995e-05	8.95700e-05	3.68498e-04	7.07744e-01	2.83098e-01	2.99140e-06	1.30008e-06	6.40299e-09	1.53664e-07	-7.84411e-10	-1.97263e-10	1	4.40000e-03	-6.50000e-01	2.50000e-01	-1.05600e-01
-7.55319e-02	-4.18255e-05	1.00852e-04	3.71054e-04	7.07745e-01	2.83098e-01	2.99135e-06	1.30010e-06	6.18535e-09	1.53663e-07	-7.81419e-10	-1.79376e-10	1	6.60000e-03	-6.50000e-01	2.50000e-01	-1.03400e-01
-7.55268e-02	-5.00432e-05	1.09658e-04	3.68181e-04	7.07745e-01	2.83098e-01	2.99121e-06	1.30007e-06	5.98317e-09	1.53589e-07	-7.81745e-10	-1.59551e-10	1	8.80000e-03	-6.50000e-01	2.50000e-01	-1.01200e-01
-7.55119e-02	-5.31688e-05	1.20168e-04	3.73809e-04	7.07745e-01	2.83098e-01	2.99100e-06	1.30000e-06	5.80025e-09	1.53454e-07	-7.83412e-10	-1.37355e-10	1	1.10000e-02	-6.50000e-01	2.50000e-01	-9.90000e-02
-7.54876e-02	-6.77106e-05	1.29018e-04	3.79274e-04	7.07745e-01	2.83098e-01	2.99072e-06	1.29989e-06	5.64012e-09	1.53281e-07	-7.83810e-10	-1.11724e-10	1	1.32000e-02	-6.50000e-01	2.50000e-01	-9.68000e-02
-7.54591e-02	-5.96141e-05	1.23442e-04	3.77345e-04	7.07745e-01	2.83099e-01	2.99042e-06	1.29978e-06	5.50573e-09	1.53052e-07	-7.81722e-10	-8.19979e-11	1	1.54000e-02	-6.50000e-01	2.50000e-01	-9.46000e-02
-7.54548e-02	-6.11223e-05	1.21129e-04	3.77986e-04	7.07745e-01	2.83099e-01	2.99032e-06	1.29977e-06	5.39928e-09	1.53014e-07	-7.77595e-10	-4.87340e-11	1	1.76000e-02	-6.50000e-01	2.50000e-01	-9.24000e-02
-7.54879e-02	-5.39019e-05	9.77264e-05	3.82485e-04	7.07745e-01	2.83099e-01	2.99047e-06	1.29988e-06	5.32223e-09	1.53223e-07	-7.75674e-10	-1.34778e-11	1	1.98000e-02	-6.50000e-01	2.50000e-01	-9.02000e-02
-7.55070e-02	-4.84656e-05	8.34269e-05	3.85199e-04	7.07745e-01	2.83099e-01	2.99055e-06	1.29997e-06	5.27563e-09	1.53362e-07	-7.77952e-10	2.28246e-11	1	2.20000e-02	-6.50000e-01	2.50000e-01	-8.80000e-02
-7.55164e-02	-2.52741e-05	5.25586e-05	3.81701e-04	7.07745e-01	2.83099e-01	2.99056e-06	1.30004e-06	5.26017e-09	1.53451e-07	-7.83973e-10	5.90777e-11	1	2.42000e-02	-6.50000e-01	2.50000e-01	-8.58000e-02
-7.55237e-02	-1.45501e-05	2.29792e-05	3.74612e-04	7.07745e-01	2.83098e-01	2.99052e-06	1.30007e-06	5.27617e-09	1.53507e-07	-7.91153e-10	9.55002e-11	1	2.64000e-02	-6.50000e-01	2.50000e-01	-8.36000e-02
-7.55236e-02	1.32107e-05	-1.91293e-05	3.73701e-04	7.07745e-01	2.83098e-01	2.99043e-06	1.30008e-06	5.32348e-09	1.53524e-07	-7.96508e-10	1.33250e-10	1	2.86000e-02	-6.50000e-01	2.50000e-01	-8.14000e-02
-7.55203e-02	2.77229e-05	-5.45985e-05	3.74586e-04	7.07745e-01	2.83098e-01	2.99028e-06	1.30006e-06	5.40136e-09	1.53503e-07	-7.98331e-10	1.73426e-10	1	3.08000e-02	-6.50000e-01	2.50000e-01	-7.92000e-02
-7.55094e-02	4.34239e-05	-8.64541e-05	3.84021e-04	7.07745e-01	2.83099e-01	2.99008e-06	1.30001e-06	5.50857e-09	1.53450e-07	-7.97332e-10	2.16053e-10	1	3.30000e-02	-6.50000e-01	2.50000e-01	-7.70000e-02
-7.54843e-02	5.68069e-05	-9.99528e-05	3.93297e-04	7.07745e-01	2.83099e-01	2.98981e-06	1.29994e-06	5.64354e-09	1.53346e-07	-7.96151e-10	2.59761e-10	1	3.52000e-02	-6.50000e-01	2.50000e-01	-7.48000e-02
-7.54539e-02	5.89167e-05	-1.15514e-04	3.79843e-04	7.07745e-01	2.83099e-01	2.98949e-06	1.29984e-06	5.80453e-09	1.53174e-07	-7.97222e-10	3.02266e-10	1	3.74000e-02	-6.50000e-01	2.50000e-01	-7.26000e-02
-7.54598e-02	6.32170e-05	-1.26903e-04	3.75904e-04	7.07745e-01	2.83098e-01	2.98940e-06	1.29987e-06	5.98937e-09	1.53249e-07	-8.02584e-10	3.41971e-10	1	3.96000e-02	-6.50000e-01	2.50000e-01	-7.04000e-02
-7.54943e-02	6.44891e-05	-1.24974e-04	3.78050e-04	7.07745e-01	2.83098e-01	2.98953e-06	1.29999e-06	6.19599e-09	1.53513e-07	-8.08892e-10	3.78897e-10	1	4.18000e-02	-6.50000e-01	2.50000e-01	-6.82000e-02
-7.55123e-02	4.56635e-05	-1.18570e-04	3.78787e-04	7.07745e-01	2.83098e-01	2.98962e-06	1.30011e-06	6.42207e-09	1.53723e-07	-8.10034e-10	4.14182e-10	1	4.40000e-02	-6.50000e-01	2.50000e-01	-6.60000e-02
-7.55242e-02	4.11207e-05	-1.13596e-04	3.72905e-04	7.07745e-01	2.83098e-01	2.98967e-06	1.30019e-06	6.66437e-09	1.53897e-07	-8.04155e-10	4.48196e-10	1	4.62000e-02	-6.50000e-01	2.50000e-01	-6.38000e-02
-7.55320e-02	5.90760e-05	-1.07487e-04	3.74826e-04	7.07744e-01	2.83098e-01	2.98964e-06	1.30023e-06	6.91906e-09	1.54009e-07	-7.91724e-10	4.80908e-10	1	4.84000e-02	-6.50000e-01	2.50000e-01	-6.16000e-02
-7.55300e-02	8.76686e-05	-8.32386e-05	3.68617e-04	7.07744e-01	2.83098e-01	2.98952e-06	1.30022e-06	7.18194e-09	1.54044e-07	-7.74801e-10	5.11201e-10	1	5.06000e-02	-6.50000e-01	2.50000e-01	-5.94000e-02
-7.55135e-02	4.45863e-05	-7.08666e-05	3.69943e-04	7.07744e-01	2.83098e-01	2.98932e-06	1.30016e-06	7.44866e-09	1.54001e-07	-7.56263e-10	5.37014e-10	1	5.28000e-02	-6.50000e-01	2.50000e-01	-5.72000e-02
-7.54938e-02	-1.22700e-05	-5.42320e-05	3.64076e-04	7.07744e-01	2.83098e-01	2.98905e-06	1.30006e-06	7.71473e-09	1.53889e-07	-7.37255e-10	5.56884e-10	1	5.50000e-02	-6.50000e-01	2.50000e-01	-5.50000e-02
-7.54507e-02	-4.62715e-05	-5.51472e-05	3.71066e-04	7.07744e-01	2.83098e-01	2.98873e-06	1.29992e-06	7.97552e-09	1.53714e-07	-7.15361e-10	5.70325e-10	1	5.72000e-02	-6.50000e-01	2.50000e-01	-5.28000e-02
-7.54114e-02	-2.68422e-05	-3.69344e-05	3.71370e-04	7.07744e-01	2.83098e-01	2.98834e-06	1.29974e-06	8.22620e-09	1.53482e-07	-6.87471e-10	5.78141e-10	1	5.94000e-02	-6.50000e-01	2.50000e-01	-5.06000e-02
-7.54098e-02	8.05931e-07	-8.83684e-06	3.63228e-04	7.07744e-01	2.83098e-01	2.98827e-06	1.29973e-06	8.46202e-09	1.53509e-07	-6.50191e-10	5.84049e-10	1	6.16000e-02	-6.50000e-01	2.50000e-01	-4.84000e-02
-7.54283e-02	-6.15117e-06	-6.65417e-07	3.66069e-04	7.07744e-01	2.83098e-01	2.98850e-06	1.29987e-06	8.67814e-09	1.53770e-07	-6.03769e-10	5.89115e-10	1	6.38000e-02	-6.50000e-01	2.50000e-01	-4.62000e-02
-7.54419e-02	-3.24493e-05	8.24543e-06	3.67586e-04	7.07743e-01	2.83098e-01	2.98866e-06	1.29997e-06	8.86936e-09	1.53965e-07	-5.52267e-10	5.90888e-10	1	6.60000e-02	-6.50000e-01	2.50000e-01	-4.40000e-02
-7.54483e-02	-3.42014e-05	1.50738e-05	3.65561e-04	7.07743e-01	2.83098e-01	2.98874e-06	1.30000e-06	9.03119e-09	1.54122e-07	-4.98926e-10	5.87813e-10	1	6.82000e-02	-6.50000e-01	2.50000e-01	-4.18000e-02
-7.54503e-02	-3.16120e-05	2.93843e-05	3.62573e-04	7.07743e-01	2.83097e-01	2.98881e-06	1.30003e-06	9.16010e-09	1.54206e-07	-4.45672e-10	5.78788e-10	1	7.04000e-02	-6.50000e-01	2.50000e-01	-3.96000e-02
-7.54426e-02	-3.31945e-05	2.45808e-05	3.66682e-04	7.07743e-01	2.83097e-01	2.98884e-06	1.30003e-06	9.25353e-09	1.54256e-07	-3.91560e-10	5.63646e-10	1	7.26000e-02	-6.50000e-01	2.50000e-01	-3.74000e-02
-7.54348e-02	-3.15376e-05	2.51715e-05	3.67417e-04	7.07742e-01	2.83097e-01	2.98886e-06	1.30003e-06	9.30988e-09	1.54280e-07	-3.34061e-10	5.43751e-10	1	7.48000e-02	-6.50000e-01	2.50000e-01	-3.52000e-02
-7.54283e-02	-1.95798e-05	2.38387e-05	3.67537e-04	7.07742e-01	2.83097e-01	2.98884e-06	1.29998e-06	9.32833e-09	1.54324e-07	-2.71348e-10	5.21041e-10	1	7.70000e-02	-6.50000e-01	2.50000e-01	-3.30000e-02
-7.54164e-02	-1.44650e-05	8.65339e-06	3.65206e-04	7.07742e-01	2.83097e-01	2.98889e-06	1.29999e-06	9.30898e-09	1.54308e-07	-2.03708e-10	4.97636e-10	1	7.92000e-02	-6.50000e-01	2.50000e-01	-3.08000e-02
-7.54046e-02	-3.66115e-06	3.25878e-06	3.64946e-04	7.07742e-01	2.83097e-01	2.98893e-06	1.29998e-06	9.25284e-09	1.54308e-07	-1.34537e-10	4.73282e-10	1	8.14000e-02	-6.50000e-01	2.50000e-01	-2.86000e-02
-7.53968e-02	4.75071e-06	-1.01419e-06	3.63697e-04	7.07742e-01	2.83097e-01	2.98898e-06	1.29997e-06	9.16210e-09	1.54318e-07	-6.78923e-11	4.46980e-10	1	8.36000e-02	-6.50000e-01	2.50000e-01	-2.64000e-02
-7.53871e-02	1.37591e-05	-1.82071e-05	3.62928e-04	7.07741e-01	2.83097e-01	2.98903e-06	1.29995e-06	9.04001e-09	1.54338e-07	-6.39863e-12	4.17558e-10	1	8.58000e-02	-6.50000e-01	2.50000e-01	-2.42000e-02
-7.53802e-02	2.00325e-05	-1.52312e-05	3.67197e-04	7.07741e-01	2.83097e-01	2.98908e-06	1.29993e-06	8.89056e-09	1.54372e-07	4.99378e-11	3.84852e-10	1	8.80000e-02	-6.50000e-01	2.50000e-01	-2.20000e-02
-7.53717e-02	2.73120e-05	-2.63012e-05	3.64453e-04	7.07741e-01	2.83097e-01	2.98917e-06	1.29995e-06	8.71809e-09	1.54346e-07	1.03533e-10	3.50524e-10	1	9.02000e-02	-6.50000e-01	2.50000e-01	-1.98000e-02
-7.53603e-02	3.31104e-05	-2.75568e-05	3.63631e-04	7.07741e-01	2.83097e-01	2.98922e-06	1.29994e-06	8.52649e-09	1.54340e-07	1.56638e-10	3.16406e-10	1	9.24000e-02	-6.50000e-01	2.50000e-01	-1.76000e-02
-7.53483e-02	3.88352e-05	-2.59962e-05	3.67536e-04	7.07741e-01	2.83097e-01	2.98924e-06	1.29991e-06	8.31931e-09	1.54308e-07	2.09386e-10	2.84277e-10	1	9.46000e-02	-6.50000e-01	2.50000e-01	-1.54000e-02
-7.53327e-02	3.77699e-05	-2.34871e-05	3.64620e-04	7.07741e-01	2.83097e-01	2.98922e-06	1.29987e-06	8.09965e-09	1.54245e-07	2.59305e-10	2.54476e-10	1	9.68000e-02	-6.50000e-01	2.50000e-01	-1.32000e-02
-7.53047e-02	1.28603e-05	-9.59389e-06	3.65002e-04	7.07741e-01	2.83097e-01	2.98916e-06	1.29982e-06	7.87035e-09	1.54113e-07	3.02314e-10	2.26152e-10	1	9.90000e-02	-6.50000e-01	2.50000e-01	-1.10000e-02
-7.52767e-02	1.30233e-05	-1.30640e-06	3.63677e-04	7.07740e-01	2.83097e-01	2.98902e-06	1.29971e-06	7.63418e-09	1.53943e-07	3.35614e-10	1.97739e-10	1	1.01200e-01	-6.50000e-01	2.50000e-01	-8.80000e-03
-7.52358e-02	3.50656e-05	2.96940e-05	3.72749e-04	7.07741e-01	2.83097e-01	2.98878e-06	1.29955e-06	7.39396e-09	1.53702e-07	3.58597e-10	1.68521e-10	1	1.03400e-01	-6.50000e-01	2.50000e-01	-6.60000e-03
-7.52323e-02	4.48025e-05	2.92250e-05	3.61749e-04	7.07740e-01	2.83097e-01	2.98882e-06	1.29955e-06	7.15380e-09	1.53692e-07	3.74042e-10	1.40920e-10	1	1.05600e-01	-6.50000e-01	2.50000e-01	-4.40000e-03
-7.52605e-02	2.62504e-05	4.43933e-05	3.65105e-04	7.07740e-01	2.83096e-01	2.98918e-06	1.29971e-06	6.91624e-09	1.53946e-07	3.85909e-10	1.17652e-10	1	1.07800e-01	-6.50000e-01	2.50000e-01	-2.20000e-03
-7.52793e-02	-4.22270e-05	6.29863e-05	3.70139e-04	7.07740e-01	2.83096e-01	2.98948e-06	1.29984e-06	6.68226e-09	1.54149e-07	3.94413e-10	9.87636e-11	1	1.10000e-01	-6.50000e-01	2.50000e-01	0.00000e+00
-7.52890e-02	-7.23809e-05	6.41476e-05	3.68853e-04	7.07740e-01	2.83096e-01	2.98972e-06	1.29993e-06	6.45430e-09	1.54291e-07	3.97273e-10	8.41512e-11	1	1.12200e-01	-6.50000e-01	2.50000e-01	2.20000e-03
-7.52960e-02	-5.43030e-05	8.73136e-05	3.70043e-04	7.07740e-01	2.83096e-01	2.98987e-06	1.29998e-06	6.23514e-09	1.54356e-07	3.91699e-10	7.23235e-11	1	1.14400e-01	-6.50000e-01	2.50000e-01	4.40000e-03
-7.52877e-02	-3.12716e-05	1.12416e-04	3.68380e-04	7.07739e-01	2.83096e-01	2.98993e-06	1.29999e-06	6.02805e-09	1.54339e-07	3.74772e-10	6.16995e-11	1	1.16600e-01	-6.50000e-01	2.50000e-01	6.60000e-03
-7.52724e-02	-4.19005e-05	1.10933e-04	3.70752e-04	7.07739e-01	2.83096e-01	2.98989e-06	1.29995e-06	5.83673e-09	1.54244e-07	3.46530e-10	5.12940e-11	1	1.18800e-01	-6.50000e-01	2.50000e-01	8.80000e-03
-7.52516e-02	-6.06363e-05	1.13225e-04	3.73031e-04	7.07739e-01	2.83096e-01	2.98979e-06	1.29986e-06	5.66494e-09	1.54088e-07	3.09891e-10	4.16757e-11	1	1.21000e-01	-6.50000e-01	2.50000e-01	1.10000e-02
-7.52229e-02	-6.72451e-05	1.42898e-04	3.75133e-04	7.07740e-01	2.83096e-01	2.98962e-06	1.29974e-06	5.51609e-09	1.53891e-07	2.68578e-10	3.43635e-11	1	1.23200e-01	-6.50000e-01	2.50000e-01	1.32000e-02
-7.51837e-02	-5.78028e-05	1.19938e-04	3.78544e-04	7.07740e-01	2.83096e-01	2.98943e-06	1.29962e-06	5.39289e-09	1.53635e-07	2.25147e-10	3.06611e-11	1	1.25400e-01	-6.50000e-01	2.50000e-01	1.54000e-02
-7.51723e-02	-6.09500e-05	1.16104e-04	3.78687e-04	7.07740e-01	2.83096e-01	2.98945e-06	1.29960e-06	5.29708e-09	1.53569e-07	1.80805e-10	3.22784e-11	1	1.27600e-01	-6.50000e-01	2.50000e-01	1.76000e-02
-7.51958e-02	-5.70863e-05	1.11226e-04	3.89409e-04	7.07739e-01	2.83096e-01	2.98972e-06	1.29970e-06	5.22938e-09	1.53749e-07	1.32059e-10	3.78656e-11	1	1.29800e-01	-6.50000e-01	2.50000e-01	1.98000e-02
-7.52179e-02	-4.61515e-05	7.88410e-05	3.78733e-04	7.07739e-01	2.83096e-01	2.98994e-06	1.29977e-06	5.19014e-09	1.53860e-07	7.56797e-11	4.38390e-11	1	1.32000e-01	-6.50000e-01	2.50000e-01	2.20000e-02
-7.52214e-02	-2.84137e-05	5.69893e-05	3.85548e-04	7.07739e-01	2.83096e-01	2.99009e-06	1.29983e-06	5.17971e-09	1.53915e-07	1.23617e-11	4.86889e-11	1	1.34200e-01	-6.50000e-01	2.50000e-01	2.42000e-02
-7.52278e-02	-1.14239e-05	1.28794e-05	3.76842e-04	7.07739e-01	2.83096e-01	2.99019e-06	1.29985e-06	5.19829e-09	1.53934e-07	-5.43674e-11	5.25450e-11	1	1.36400e-01	-6.50000e-01	2.50000e-01	2.64000e-02
-7.52284e-02	1.43341e-05	-1.74720e-05	3.75361e-04	7.07739e-01	2.83096e-01	2.99025e-06	1.29984e-06	5.24583e-09	1.53912e-07	-1.20222e-10	5.67314e-11	1	1.38600e-01	-6.50000e-01	2.50000e-01	2.86000e-02
-7.52262e-02	2.71326e-05	-5.05516e-05	3.76879e-04	7.07739e-01	2.83096e-01	2.99025e-06	1.29982e-06	5.32189e-09	1.53848e-07	-1.82345e-10	6.25420e-11	1	1.40800e-01	-6.50000e-01	2.50000e-01	3.08000e-02
-7.52165e-02	4.61494e-05	-9.01906e-05	3.82615e-04	7.07739e-01	2.83096e-01	2.99020e-06	1.29976e-06	5.42552e-09	1.53749e-07	-2.40706e-10	7.01517e-11	1	1.43000e-01	-6.50000e-01	2.50000e-01	3.30000e-02
-7.52010e-02	5.23836e-05	-9.94871e-05	3.84093e-04	7.07740e-01	2.83096e-01	2.99010e-06	1.29968e-06	5.55546e-09	1.53599e-07	-2.97513e-10	7.82535e-11	1	1.45200e-01	-6.50000e-01	2.50000e-01	3.52000e-02
-7.51713e-02	5.97505e-05	-1.22514e-04	3.78344e-04	7.07740e-01	2.83096e-01	2.98993e-06	1.29958e-06	5.71022e-09	1.53379e-07	-3.55426e-10	8.46504e-11	1	1.47400e-01	-6.50000e-01	2.50000e-01	3.74000e-02
-7.51824e-02	6.61878e-05	-1.16728e-04	3.74019e-04	7.07740e-01	2.83096e-01	2.99002e-06	1.29960e-06	5.88851e-09	1.53405e-07	-4.15891e-10	8.77167e-11	1	1.49600e-01	-6.50000e-01	2.50000e-01	3.96000e-02
-7.52194e-02	6.59206e-05	-1.32962e-04	3.81541e-04	7.07740e-01	2.83096e-01	2.99031e-06	1.29972e-06	6.08909e-09	1.53621e-07	-4.76805e-10	8.72448e-11	1	1.51800e-01	-6.50000e-01	2.50000e-01	4.18000e-02
-7.52482e-02	4.82639e-05	-1.22414e-04	3.76418e-04	7.07740e-01	2.83096e-01	2.99057e-06	1.29983e-06	6.31010e-09	1.53782e-07	-5.32881e-10	8.49746e-11	1	1.54000e-01	-6.50000e-01	2.50000e-01	4.40000e-02
-7.52697e-02	3.48325e-05	-1.08418e-04	3.74762e-04	7.07740e-01	2.83096e-01	2.99078e-06	1.29991e-06	6.54882e-09	1.53903e-07	-5.82394e-10	8.19860e-11	1	1.56200e-01	-6.50000e-01	2.50000e-01	4.62000e-02
-7.52824e-02	6.58597e-05	-1.08392e-04	3.78533e-04	7.07740e-01	2.83096e-01	2.99091e-06	1.29995e-06	6.80170e-09	1.53963e-07	-6.25827e-10	7.88301e-11	1	1.58400e-01	-6.50000e-01	2.50000e-01	4.84000e-02
-7.52934e-02	8.30043e-05	-8.30439e-05	3.73008e-04	7.07740e-01	2.83096e-01	2.99093e-06	1.29994e-06	7.06454e-09	1.53946e-07	-6.65367e-10	7.50391e-11	1	1.60600e-01	-6.50000e-01	2.50000e-01	5.06000e-02
-7.52887e-02	5.09954e-05	-6.98185e-05	3.69715e-04	7.07740e-01	2.83096e-01	2.99087e-06	1.29988e-06	7.33283e-09	1.53853e-07	-7.03920e-10	6.92925e-11	1	1.62800e-01	-6.50000e-01	2.50000e-01	5.28000e-02
-7.52765e-02	-1.80140e-05	-6.93632e-05	3.74368e-04	7.07740e-01	2.83096e-01	2.99074e-06	1.29978e-06	7.60194e-09	1.53690e-07	-7.42821e-10	6.08444e-11	1	1.65000e-01	-6.50000e-01	2.50000e-01	5.50000e-02
-7.52538e-02	-3.98991e-05	-5.78368e-05	3.65577e-04	7.07740e-01	2.83097e-01	2.99054e-06	1.29965e-06	7.86715e-09	1.53466e-07	-7.80164e-10	4.98175e-11	1	1.67200e-01	-6.50000e-01	2.50000e-01	5.72000e-02
-7.52319e-02	-2.96492e-05	-1.94486e-05	3.67051e-04	7.07741e-01	2.83097e-01	2.99026e-06	1.29948e-06	8.12359e-09	1.53186e-07	-8.13277e-10	3.71968e-11	1	1.69400e-01	-6.50000e-01	2.50000e-01	5.94000e-02
-7.52405e-02	4.84794e-07	-1.78314e-05	3.68266e-04	7.07741e-01	2.83097e-01	2.99030e-06	1.29948e-06	8.36722e-09	1.53167e-07	-8.38812e-10	2.34606e-11	1	1.71600e-01	-6.50000e-01	2.50000e-01	6.16000e-02
-7.52777e-02	-1.07600e-05	2.43695e-06	3.63617e-04	7.07741e-01	2.83097e-01	2.99063e-06	1.29962e-06	8.59257e-09	1.53383e-07	-8.56465e-10	9.24435e-12	1	1.73800e-01	-6.50000e-01	2.50000e-01	6.38000e-02
-7.53052e-02	-2.85552e-05	5.56374e-06	3.64189e-04	7.07741e-01	2.83097e-01	2.99088e-06	1.29972e-06	8.79335e-09	1.53535e-07	-8.69339e-10	-4.86972e-12	1	1.76000e-01	-6.50000e-01	2.50000e-01	6.60000e-02
-7.53316e-02	-3.55570e-05	2.06568e-05	3.59931e-04	7.07741e-01	2.83097e-01	2.99105e-06	1.29977e-06	8.96514e-09	1.53651e-07	-8.80203e-10	-2.00398e-11	1	1.78200e-01	-6.50000e-01	2.50000e-01	6.82000e-02
-7.53439e-02	-3.58208e-05	2.08441e-05	3.67910e-04	7.07741e-01	2.83097e-01	2.99117e-06	1.29980e-06	9.10472e-09	1.53696e-07	-8.90631e-10	-3.71616e-11	1	1.80400e-01	-6.50000e-01	2.50000e-01	7.04000e-02
-7.53555e-02	-3.13213e-05	2.99748e-05	3.67611e-04	7.07741e-01	2.83097e-01	2.99126e-06	1.29982e-06	9.21010e-09	1.53710e-07	-9.00032e-10	-5.60379e-11	1	1.82600e-01	-6.50000e-01	2.50000e-01	7.26000e-02
-7.53682e-02	-2.77202e-05	2.77164e-05	3.67459e-04	7.07741e-01	2.83097e-01	2.99132e-06	1.29983e-06	9.28033e-09	1.53702e-07	-9.06129e-10	-7.55837e-11	1	1.84800e-01	-6.50000e-01	2.50000e-01	7.48000e-02
-7.53816e-02	-2.70607e-05	1.43999e-05	3.61491e-04	7.07742e-01	2.83097e-01	2.99134e-06	1.29980e-06	9.31521e-09	1.53715e-07	-9.06969e-10	-9.44182e-11	1	1.87000e-01	-6.50000e-01	2.50000e-01	7.70000e-02
-7.53840e-02	-1.01565e-05	1.50333e-05	3.66403e-04	7.07742e-01	2.83097e-01	2.99140e-06	1.29982e-06	9.31532e-09	1.53671e-07	-9.01798e-10	-1.12030e-10	1	1.89200e-01	-6.50000e-01	2.50000e-01	7.92000e-02
-7.53925e-02	-5.26864e-06	1.00823e-05	3.63076e-04	7.07742e-01	2.83097e-01	2.99145e-06	1.29983e-06	9.28150e-09	1.53644e-07	-8.93285e-10	-1.28442e-10	1	1.91400e-01	-6.50000e-01	2.50000e-01	8.14000e-02
-7.53996e-02	3.81149e-06	-1.22440e-05	3.64858e-04	7.07742e-01	2.83097e-01	2.99149e-06	1.29983e-06	9.21522e-09	1.53633e-07	-8.84527e-10	-1.44538e-10	1	1.93600e-01	-6.50000e-01	2.50000e-01	8.36000e-02
-7.54108e-02	1.44329e-05	-5.60904e-06	3.63353e-04	7.07742e-01	2.83097e-01	2.99152e-06	1.29984e-06	9.11853e-09	1.53633e-07	-8.77666e-10	-1.60981e-10	1	1.95800e-01	-6.50000e-01	2.50000e-01	8.58000e-02
