Density	Momentum:0	Momentum:1	Momentum:2	StagnationEnergy	Function0	Function1	Function2	Function3	Function4	Function5	Points:0	Points:1	Points:2
0.954652	-0.0580942	0.00612704	0.00224942	0.683531	0.000590278	0.000539014	0.000494028	-3.96213E-05	-9.45679E-05	6.39147E-05	0	0.15	-0.0286
0.954641	-0.0585004	0.00677156	0.00309927	0.683513	0.000595038	0.000537333	0.00050149	-3.51114E-05	-9.92459E-05	7.05765E-05	0	0.15	-0.0264
0.954654	-0.0585632	0.00760837	0.00380837	0.683498	0.000626775	0.000527102	0.000510118	-2.70255E-05	-0.000103132	6.33075E-05	0	0.15	-0.0242
0.954685	-0.0582832	0.00826455	0.00437264	0.683491	0.000680466	0.000499953	0.000512292	5.40306E-06	-0.000104131	4.47459E-05	0	0.15	-0.022
0.954708	-0.0578326	0.00830906	0.00485494	0.683489	0.000753214	0.000459181	0.00051178	3.47165E-05	-0.000104082	1.84662E-05	0	0.15	-0.0198
0.954697	-0.0573111	0.00760416	0.00533307	0.683485	0.000848339	0.000422951	0.000515002	3.00033E-05	-0.000109383	-1.22176E-05	0	0.15	-0.0176
0.954656	-0.0566752	0.00640158	0.005832	0.683479	0.00095252	0.000410994	0.000523595	-4.04685E-06	-0.00011899	-4.47524E-05	0	0.15	-0.0154
0.954614	-0.0559105	0.00514889	0.00631053	0.68347	0.00104796	0.000420089	0.000538523	-4.33155E-05	-0.000121872	-7.94844E-05	0	0.15	-0.0132
0.954595	-0.0551319	0.00417689	0.00674421	0.68346	0.00114044	0.000439764	0.000562064	-7.40962E-05	-0.000104521	-0.000120668	0	0.15	-0.011
0.954592	-0.0544065	0.00354263	0.00718421	0.683448	0.00124011	0.000476562	0.000596316	-0.000111828	-6.00654E-05	-0.000171976	0	0.15	-0.0088
0.95459	-0.0535494	0.00322957	0.00747234	0.683438	0.00134604	0.000524097	0.000634122	-0.000166165	4.60285E-06	-0.000208355	0	0.15	-0.0066
0.954578	-0.052627	0.00304308	0.00756166	0.683431	0.00143984	0.000564017	0.000651361	-0.000211692	7.35749E-05	-0.000209753	0	0.15	-0.0044
0.954563	-0.0519904	0.00297768	0.00742999	0.683428	0.00148043	0.000587637	0.000644911	-0.000223751	0.000138425	-0.000174809	0	0.15	-0.0022
0.954551	-0.0518603	0.0030671	0.00712721	0.683429	0.00144887	0.000598554	0.00062618	-0.000195679	0.000195489	-0.000121049	0	0.15	0
0.954536	-0.0520345	0.00330166	0.00675895	0.683432	0.00136716	0.000599695	0.000602344	-0.000143208	0.000236152	-6.66856E-05	0	0.15	0.0022
0.954519	-0.0522023	0.00364692	0.00645212	0.683432	0.00127699	0.000590401	0.000575848	-8.75037E-05	0.000252754	-1.50951E-05	0	0.15	0.0044
0.954519	-0.0521507	0.00405357	0.00636009	0.683432	0.00122124	0.000584578	0.000558622	-0.0000394	0.000241702	3.66473E-05	0	0.15	0.0066
0.95454	-0.052018	0.00441437	0.00660685	0.683434	0.00120228	0.000585578	0.000547612	4.08836E-06	0.000232068	0.000090219	0	0.15	0.0088
0.954578	-0.0518208	0.00479432	0.00708972	0.683441	0.0011918	0.000598204	0.000540283	4.16772E-05	0.000233255	0.000131235	0	0.15	0.011
0.954618	-0.0515884	0.00531011	0.00768989	0.683453	0.00115036	0.00063513	0.000536934	0.000061694	0.000240268	0.000148203	0	0.15	0.0132
0.954645	-0.0513568	0.00591821	0.00830476	0.683464	0.00106594	0.000706817	0.000533461	5.67462E-05	0.000242513	0.000144167	0	0.15	0.0154
0.954651	-0.051077	0.00632317	0.0088594	0.683469	0.000971	0.000811396	0.000525329	3.28061E-05	0.000237463	0.000127617	0	0.15	0.0176
0.95463	-0.0506944	0.0062943	0.00929423	0.68346	0.000905742	0.000921269	0.000514024	-2.83145E-06	0.000229748	0.000103227	0	0.15	0.0198
0.954563	-0.0503671	0.00598226	0.00952026	0.683432	0.000880079	0.00100131	0.000504037	-4.86538E-05	0.000217017	7.00293E-05	0	0.15	0.022
0.954427	-0.0504721	0.00565089	0.00942548	0.683385	0.000869301	0.00104728	0.000497781	-0.000100974	0.000192859	2.59627E-05	0	0.15	0.0242
0.954248	-0.0511731	0.00535882	0.00899755	0.683324	0.00083607	0.00107636	0.000504033	-0.000151087	0.000159011	-0.000019119	0	0.15	0.0264
0.954091	-0.0520734	0.00518655	0.00840875	0.683255	0.000768349	0.00107753	0.000534039	-0.00018421	0.000125862	-0.000050589	0	0.15	0.0286
0.953999	-0.0525864	0.00536237	0.00789336	0.683191	0.00069948	0.00102892	0.000583669	-0.000198532	9.56259E-05	-6.87784E-05	0	0.15	0.0308
0.953975	-0.0525699	0.00594045	0.00753935	0.683147	0.000685171	0.000949191	0.000634614	-0.000209101	6.56295E-05	-8.03855E-05	0	0.15	0.033
0.954006	-0.0523522	0.00673949	0.00726395	0.68313	0.000751141	0.000867481	0.000672091	-0.000229799	4.20655E-05	-8.40371E-05	0	0.15	0.0352
0.954077	-0.0522971	0.00768258	0.00697865	0.683134	0.000862371	0.00079495	0.000689638	-0.000251209	3.37264E-05	-7.74036E-05	0	0.15	0.0374
0.954159	-0.0525713	0.00885117	0.00667798	0.683153	0.000953007	0.000733798	0.000685642	-0.000245832	3.67495E-05	-6.17852E-05	0	0.15	0.0396
0.954222	-0.053161	0.0101353	0.00635502	0.68318	0.000983383	0.00068126	0.000660852	-0.000209136	3.41644E-05	-4.12758E-05	0	0.15	0.0418
0.954256	-0.0539215	0.0111496	0.00594655	0.68321	0.000964141	0.00063284	0.000617337	-0.000169088	1.80118E-05	-2.27895E-05	0	0.15	0.044
0.95427	-0.0546969	0.011636	0.00542656	0.683234	0.000925247	0.000589289	0.000563221	-0.000146574	-4.59287E-06	-0.000010889	0	0.15	0.0462
0.954286	-0.0553763	0.0117237	0.00485702	0.683247	0.000889246	0.000558897	0.000511966	-0.000141878	-2.47574E-05	-5.34431E-06	0	0.15	0.0484
