"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Function0"	"Function1"	"Function2"	"Function3"	"Function4"	"Function5"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
4.33931e+00	1.85500e+00	2.48778e-02	3.57627e+00	6.59753e-01	-4.98425e-01	1.26706e-02	1.49129e-02	2.99208e-03	-7.25574e-03	9.18103e-04	-5.77355e-04	1	0.00000e+00	6.50000e-01	1.50000e-01	-1.10000e-01
4.37829e+00	1.73380e+00	2.89771e-02	3.65063e+00	6.59735e-01	-5.07897e-01	1.25510e-02	1.47267e-02	2.95921e-03	-7.19027e-03	9.75642e-04	-6.25894e-04	1	1.10000e-03	6.50000e-01	1.50000e-01	-1.08900e-01
4.41726e+00	1.61259e+00	3.30764e-02	3.72498e+00	6.59716e-01	-5.17369e-01	1.24314e-02	1.45405e-02	2.92634e-03	-7.12480e-03	1.03318e-03	-6.74434e-04	1	2.20000e-03	6.50000e-01	1.50000e-01	-1.07800e-01
4.38252e+00	1.46926e+00	-4.57749e-02	3.80970e+00	6.59696e-01	-5.70888e-01	1.24201e-02	1.42907e-02	2.90697e-03	-7.08004e-03	1.09000e-03	-7.21036e-04	1	3.30000e-03	6.50000e-01	1.50000e-01	-1.06700e-01
4.34777e+00	1.32592e+00	-1.24627e-01	3.89441e+00	6.59675e-01	-6.24407e-01	1.24089e-02	1.40410e-02	2.88761e-03	-7.03527e-03	1.14683e-03	-7.67639e-04	1	4.40000e-03	6.50000e-01	1.50000e-01	-1.05600e-01
4.20501e+00	1.18306e+00	-1.86901e-01	3.93987e+00	6.59648e-01	-7.24998e-01	1.24857e-02	1.38148e-02	2.88642e-03	-7.01528e-03	1.20079e-03	-8.03990e-04	1	5.50000e-03	6.50000e-01	1.50000e-01	-1.04500e-01
4.06224e+00	1.04020e+00	-2.49176e-01	3.98532e+00	6.59621e-01	-8.25590e-01	1.25625e-02	1.35887e-02	2.88524e-03	-6.99528e-03	1.25475e-03	-8.40340e-04	1	6.60000e-03	6.50000e-01	1.50000e-01	-1.03400e-01
3.88617e+00	8.60411e-01	-2.85979e-01	3.97277e+00	6.59590e-01	-9.21234e-01	1.26588e-02	1.34601e-02	2.89480e-03	-6.97978e-03	1.30202e-03	-8.65698e-04	1	7.70000e-03	6.50000e-01	1.50000e-01	-1.02300e-01
3.71009e+00	6.80624e-01	-3.22783e-01	3.96022e+00	6.59558e-01	-1.01688e+00	1.27550e-02	1.33314e-02	2.90436e-03	-6.96428e-03	1.34929e-03	-8.91056e-04	1	8.80000e-03	6.50000e-01	1.50000e-01	-1.01200e-01
3.71664e+00	5.32648e-01	-3.70495e-01	3.92493e+00	6.59524e-01	-9.17612e-01	1.28299e-02	1.33136e-02	2.91660e-03	-6.95412e-03	1.38353e-03	-9.06654e-04	1	9.90000e-03	6.50000e-01	1.50000e-01	-1.00100e-01
3.72318e+00	3.84671e-01	-4.18207e-01	3.88964e+00	6.59490e-01	-8.18346e-01	1.29048e-02	1.32959e-02	2.92884e-03	-6.94396e-03	1.41776e-03	-9.22251e-04	1	1.10000e-02	6.50000e-01	1.50000e-01	-9.90000e-02
