t       rho1       u1       v1       w1       p1       rho2       u2       v2       w2       p2       rho3       u3       v3       w3       p3       rho4       u4       v4       w4       p4       rho5       u5       v5       w5       p5
  1.5000030E+02         9.1766602E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5548235E-01         9.4928098E-01         2.4906659E-01         3.3951993E-03         2.2174003E-02         6.7316365E-01         9.4491696E-01         2.0262569E-01         8.6827457E-02        -3.1667957E-04         6.6258681E-01         9.7107160E-01         3.0384555E-01         9.2389770E-02         5.1412519E-02         6.8675268E-01         9.3149304E-01         1.6931717E-01         1.2572367E-01        -1.7527424E-01         6.6298568E-01
  1.5000800E+02         9.1785449E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5561748E-01         9.4498289E-01         2.8764224E-01         2.6791055E-02         1.3270141E-02         6.6771644E-01         9.4439071E-01         1.8634635E-01         8.8840879E-02        -2.4190621E-02         6.6097873E-01         9.7372848E-01         3.2122642E-01         8.9143746E-02         4.6295192E-02         6.8623906E-01         9.2913616E-01         1.6193078E-01         1.3310941E-01        -1.6256179E-01         6.6171080E-01
  1.5001580E+02         9.1788596E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5564102E-01         9.3918890E-01         3.1275663E-01         4.7579572E-02         8.4364861E-03         6.6218984E-01         9.4037694E-01         1.6877793E-01         8.8184461E-02        -3.5534792E-02         6.5892512E-01         9.7445655E-01         3.3515012E-01         8.4100068E-02         4.4236045E-02         6.8556434E-01         9.2732781E-01         1.5974155E-01         1.3949592E-01        -1.4609130E-01         6.6136491E-01
  1.5002350E+02         9.1774780E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5554214E-01         9.3309355E-01         3.2176921E-01         6.1362803E-02         8.9799706E-03         6.5771246E-01         9.3462849E-01         1.4952855E-01         8.4594943E-02        -3.5055853E-02         6.5695786E-01         9.7348464E-01         3.4485650E-01         7.8381337E-02         4.4816460E-02         6.8480146E-01         9.2663211E-01         1.6210167E-01         1.4305340E-01        -1.2847438E-01         6.6202271E-01
  1.5003140E+02         9.1741574E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5530336E-01         9.2735666E-01         3.1689268E-01         6.9023632E-02         1.3832693E-02         6.5446275E-01         9.2864263E-01         1.2976521E-01         7.6773047E-02        -2.5007889E-02         6.5543622E-01         9.7148657E-01         3.5114318E-01         7.2678551E-02         4.7931053E-02         6.8397313E-01         9.2713368E-01         1.6596887E-01         1.4401470E-01        -1.1101241E-01         6.6348487E-01
  1.5003930E+02         9.1693449E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5495574E-01         9.2282587E-01         3.0261686E-01         7.2624646E-02         2.0166319E-02         6.5239292E-01         9.2381406E-01         1.1360586E-01         6.3471854E-02        -7.3538027E-03         6.5480191E-01         9.6927816E-01         3.5466591E-01         6.7094989E-02         5.3228326E-02         6.8311256E-01         9.2857194E-01         1.6791244E-01         1.4347136E-01        -9.5441937E-02         6.6540611E-01
  1.5004700E+02         9.1642565E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5458840E-01         9.1989106E-01         2.8529933E-01         7.4292980E-02         2.4980349E-02         6.5116650E-01         9.2071551E-01         1.0416380E-01         4.5269758E-02         1.5490653E-02         6.5498739E-01         9.6762854E-01         3.5689583E-01         6.0624331E-02         5.8541488E-02         6.8229109E-01         9.3046051E-01         1.6623653E-01         1.4245118E-01        -8.2527861E-02         6.6746610E-01
  1.5005490E+02         9.1586614E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5418792E-01         9.1774428E-01         2.6730499E-01         7.4648589E-02         2.7461398E-02         6.5033299E-01         9.1924727E-01         1.0190222E-01         2.4479622E-02         4.1597366E-02         6.5554416E-01         9.6694016E-01         3.5970753E-01         5.1653985E-02         6.0721327E-02         6.8159109E-01         9.3251628E-01         1.6083102E-01         1.4106892E-01        -7.1848549E-02         6.6957539E-01
  1.5006260E+02         9.1533118E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5380794E-01         9.1535002E-01         2.4774681E-01         7.3478930E-02         2.9966116E-02         6.4968759E-01         9.1938084E-01         1.0575675E-01         8.3462894E-03         6.4965010E-02         6.5616149E-01         9.6703571E-01         3.6404166E-01         4.0584709E-02         5.8106482E-02         6.8104827E-01         9.3443948E-01         1.5252696E-01         1.3910773E-01        -6.3835807E-02         6.7153370E-01
  1.5007050E+02         9.1471457E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5337050E-01         9.1235149E-01         2.2262897E-01         7.1790665E-02         3.8561773E-02         6.4900082E-01         9.2094612E-01         1.1340216E-01         3.2126829E-03         8.0972791E-02         6.5706921E-01         9.6661735E-01         3.6903235E-01         2.9134357E-02         5.3855296E-02         6.8033195E-01         9.3619895E-01         1.4132981E-01         1.3640162E-01        -5.7730101E-02         6.7334771E-01
