t       rho1       u1       v1       w1       p1       rho2       u2       v2       w2       p2       rho3       u3       v3       w3       p3       rho4       u4       v4       w4       p4       rho5       u5       v5       w5       p5
  1.5000030E+02         9.4404811E-01         2.5059670E-01         1.3396509E-01         7.3924325E-02         6.7025876E-01         9.0822756E-01         2.4281299E-02         8.1457250E-02         5.3551003E-02         6.3715124E-01         9.4324017E-01         1.2567742E-01         2.1580046E-01         1.2359123E-01         6.7260361E-01         9.8108488E-01         2.3650582E-01         7.8385971E-02        -3.6934607E-02         6.9404757E-01         9.4405723E-01         2.9980662E-01         3.4153018E-02         1.0081726E-01         6.7506635E-01
  1.5000800E+02         9.4422096E-01         2.4840562E-01         1.3220915E-01         7.4849367E-02         6.7053801E-01         9.1612399E-01        -4.8560197E-03         6.5599605E-02         1.1301584E-01         6.4572853E-01         9.5109755E-01         1.2910882E-01         2.0534724E-01         9.7987369E-02         6.7859292E-01         9.8280257E-01         2.4529700E-01         8.0380291E-02        -4.7601998E-02         6.9351053E-01         9.4365299E-01         2.9386917E-01         3.5424482E-02         1.1049163E-01         6.7570090E-01
  1.5001580E+02         9.4445515E-01         2.4613065E-01         1.3025928E-01         7.5636066E-02         6.7087513E-01         9.2761660E-01        -2.2734432E-02         5.2160919E-02         1.5892099E-01         6.5821290E-01         9.5787197E-01         1.3896526E-01         1.9274655E-01         7.5351924E-02         6.8367755E-01         9.8231184E-01         2.4759638E-01         8.2150623E-02        -5.1451445E-02         6.9279599E-01         9.4306892E-01         2.8034449E-01         3.5806138E-02         1.2696216E-01         6.7674434E-01
  1.5002350E+02         9.4471467E-01         2.4390095E-01         1.2827978E-01         7.6203257E-02         6.7122823E-01         9.3966866E-01        -1.5563336E-02         3.8177680E-02         1.8251956E-01         6.7147130E-01         9.6261865E-01         1.5404995E-01         1.8027009E-01         5.8294281E-02         6.8737310E-01         9.7981709E-01         2.4516307E-01         8.0705360E-02        -5.0451178E-02         6.9194520E-01         9.4342196E-01         2.6765111E-01         3.7727535E-02         1.4477222E-01         6.7797309E-01
  1.5003140E+02         9.4496858E-01         2.4162181E-01         1.2627378E-01         7.6500215E-02         6.7157382E-01         9.4930965E-01         2.1765761E-02         2.4926946E-02         1.8462205E-01         6.8247253E-01         9.6555865E-01         1.7472509E-01         1.6745037E-01         4.6799738E-02         6.8973142E-01         9.7569817E-01         2.4000499E-01         7.3998906E-02        -4.6220925E-02         6.9095004E-01         9.4544572E-01         2.6185873E-01         4.3541163E-02         1.5946566E-01         6.7911053E-01
  1.5003930E+02         9.4519311E-01         2.3932478E-01         1.2436725E-01         7.6431558E-02         6.7189097E-01         9.5584959E-01         7.7518001E-02         1.7370896E-02         1.7064644E-01         6.8944323E-01         9.6748018E-01         2.0028737E-01         1.5321033E-01         4.0096059E-02         6.9076240E-01         9.7076190E-01         2.3337936E-01         6.1915115E-02        -3.9718993E-02         6.8994379E-01         9.4894725E-01         2.6553056E-01         5.3064823E-02         1.6778280E-01         6.7974985E-01
  1.5004700E+02         9.4534349E-01         2.3706706E-01         1.2267461E-01         7.5978205E-02         6.7213887E-01         9.6157706E-01         1.3377303E-01         1.7066328E-02         1.4690922E-01         6.9338638E-01         9.6907407E-01         2.2791633E-01         1.3629866E-01         3.4565661E-02         6.9042701E-01         9.6594959E-01         2.2571053E-01         4.6728469E-02        -3.1801067E-02         6.8903476E-01         9.5297343E-01         2.7644098E-01         6.3181877E-02         1.6996361E-01         6.7969555E-01
  1.5005490E+02         9.4539708E-01         2.3473933E-01         1.2118826E-01         7.5128801E-02         6.7230421E-01         9.6774846E-01         1.8274894E-01         2.1896647E-02         1.1626387E-01         6.9528127E-01         9.7022629E-01         2.5461823E-01         1.1454922E-01         2.6397364E-02         6.8871593E-01         9.6160984E-01         2.1687211E-01         3.0500622E-02        -2.3230946E-02         6.8808722E-01         9.5683551E-01         2.9156587E-01         7.0514701E-02         1.6774935E-01         6.7906457E-01
  1.5006260E+02         9.4533062E-01         2.3244046E-01         1.2000944E-01         7.3978037E-02         6.7236233E-01         9.7338033E-01         2.1847007E-01         2.7122568E-02         8.4744483E-02         6.9537926E-01         9.6989429E-01         2.7505121E-01         8.8294245E-02         1.6432855E-02         6.8586081E-01         9.5817524E-01         2.0832199E-01         1.6204750E-02        -1.6213726E-02         6.8701935E-01         9.5992005E-01         3.0706236E-01         7.1965203E-02         1.6243652E-01         6.7824543E-01
  1.5007050E+02         9.4513535E-01         2.3005481E-01         1.1909418E-01         7.2570518E-02         6.7231292E-01         9.7754496E-01         2.4497752E-01         2.6267931E-02         5.1990326E-02         6.9401455E-01         9.6691877E-01         2.8679436E-01         5.9585076E-02         5.5145468E-03         6.8168974E-01         9.5542842E-01         2.0203631E-01         4.7091590E-03        -1.2847163E-02         6.8569922E-01         9.6228564E-01         3.2089636E-01         6.6625178E-02         1.5405120E-01         6.7761135E-01
