t       rho1       u1       v1       w1       p1       rho2       u2       v2       w2       p2       rho3       u3       v3       w3       p3       rho4       u4       v4       w4       p4       rho5       u5       v5       w5       p5
  1.5000030E+02         9.5182663E-01         2.6144820E-01         1.5629227E-01        -7.3852338E-02         6.7477489E-01         8.7637311E-01         8.7983459E-02         3.2855276E-02        -1.5658228E-01         6.1406940E-01         9.2035425E-01         5.2291472E-02         7.5295568E-02         1.0483965E-01         6.5478337E-01         9.3132746E-01         2.3947164E-02         5.6453697E-02         5.1333513E-02         6.6355181E-01         9.3656981E-01         1.8749604E-01         2.6472598E-01         1.1619165E-01         6.7282158E-01
  1.5000800E+02         9.5106184E-01         2.6483473E-01         1.5643427E-01        -7.1820259E-02         6.7394596E-01         8.7444067E-01         7.1965851E-02         3.5750944E-02        -1.4236695E-01         6.1341840E-01         9.2564178E-01         4.6094943E-02         6.2736958E-02         9.0654969E-02         6.5953606E-01         9.3069398E-01         2.5068972E-02         6.0092427E-02         4.3281287E-02         6.6389441E-01         9.4003093E-01         1.9629410E-01         2.4287081E-01         1.0246158E-01         6.7626703E-01
  1.5001580E+02         9.5009333E-01         2.6787511E-01         1.5702036E-01        -6.9451705E-02         6.7300016E-01         8.7098598E-01         4.3630742E-02         4.4309340E-02        -1.3165742E-01         6.1145645E-01         9.3204665E-01         5.2653227E-02         4.2019792E-02         5.9672583E-02         6.6506702E-01         9.3024874E-01         2.6627533E-02         6.3336715E-02         3.5816580E-02         6.6422504E-01         9.4276130E-01         2.0767759E-01         2.2087845E-01         9.0881482E-02         6.7873323E-01
  1.5002350E+02         9.4903141E-01         2.7034938E-01         1.5798853E-01        -6.7097552E-02         6.7202735E-01         8.6806726E-01        -7.8803819E-04         6.4333178E-02        -1.2099195E-01         6.0990924E-01         9.3789971E-01         7.7093989E-02         1.3122278E-02         2.2234889E-02         6.6912299E-01         9.3012774E-01         2.8327059E-02         6.6266477E-02         2.9583434E-02         6.6456288E-01         9.4470161E-01         2.1959902E-01         2.0218855E-01         8.2285970E-02         6.8009877E-01
  1.5003140E+02         9.4788712E-01         2.7237377E-01         1.5935507E-01        -6.4858720E-02         6.7101765E-01         8.6860895E-01        -6.4661808E-02         1.0062648E-01        -1.0618011E-01         6.1069882E-01         9.4042647E-01         1.2109689E-01        -2.7830098E-02        -1.2052757E-02         6.6870588E-01         9.3040311E-01         2.9693136E-02         6.9699004E-02         2.4482867E-02         6.6494554E-01         9.4605029E-01         2.3031491E-01         1.8839796E-01         7.6244034E-02         6.8058735E-01
  1.5003930E+02         9.4676590E-01         2.7391008E-01         1.6105455E-01        -6.2946893E-02         6.7004991E-01         8.7587947E-01        -1.3524221E-01         1.4789051E-01        -9.1913462E-02         6.1580330E-01         9.3448603E-01         1.7014386E-01        -7.8020141E-02        -3.7050460E-02         6.5985537E-01         9.3097657E-01         3.0541923E-02         7.4319057E-02         2.0580415E-02         6.6532379E-01         9.4686532E-01         2.3726663E-01         1.8151195E-01         7.2759762E-02         6.8045270E-01
  1.5004700E+02         9.4574761E-01         2.7495989E-01         1.6295718E-01        -6.1481729E-02         6.6918367E-01         8.8824505E-01        -1.8172194E-01         1.8950415E-01        -8.8701919E-02         6.2515098E-01         9.1650146E-01         2.0217367E-01        -1.2202622E-01        -5.4384869E-02         6.4193237E-01         9.3166983E-01         3.1160928E-02         8.0273718E-02         1.7726149E-02         6.6564435E-01         9.4723797E-01         2.3908670E-01         1.8137786E-01         7.1700022E-02         6.8004107E-01
  1.5005490E+02         9.4484216E-01         2.7553177E-01         1.6503687E-01        -6.0427401E-02         6.6842872E-01         9.0170461E-01        -1.8234433E-01         2.1357112E-01        -9.9639922E-02         6.3774419E-01         8.8760418E-01         2.0891483E-01        -1.3852549E-01        -6.6701286E-02         6.1858183E-01         9.3244767E-01         3.1613998E-02         8.7838955E-02         1.5759602E-02         6.6593951E-01         9.4730508E-01         2.3595107E-01         1.8627599E-01         7.2913013E-02         6.7960024E-01
  1.5006260E+02         9.4414467E-01         2.7552336E-01         1.6706623E-01        -5.9823580E-02         6.6787434E-01         9.1365451E-01        -1.4502572E-01         2.1744150E-01        -1.1824182E-01         6.5049839E-01         8.5865718E-01         1.9838910E-01        -1.1316530E-01        -6.9838211E-02         5.9900635E-01         9.3317634E-01         3.1481244E-02         9.6731693E-02         1.4944978E-02         6.6615623E-01         9.4730175E-01         2.2952175E-01         1.9343816E-01         7.5959943E-02         6.7933971E-01
  1.5007050E+02         9.4366360E-01         2.7486461E-01         1.6898324E-01        -5.9632793E-02         6.6753918E-01         9.2515337E-01        -1.0510855E-01         2.1131852E-01        -1.3534924E-01         6.6167116E-01         8.3991778E-01         1.8104210E-01        -5.4441873E-02        -5.9110276E-02         5.8882213E-01         9.3375719E-01         3.0384103E-02         1.0738180E-01         1.5410671E-02         6.6622645E-01         9.4750130E-01         2.2205570E-01         2.0055455E-01         8.0020227E-02         6.7931658E-01
  1.5007840E+02         9.4339019E-01         2.7357048E-01         1.7059399E-01        -5.9867237E-02         6.6741282E-01         9.3585908E-01        -8.6058751E-02         2.0283629E-01        -1.4160679E-01         6.7114693E-01         8.3664751E-01         1.5761095E-01         1.4509660E-02        -3.8681116E-02         5.8910489E-01         9.3413317E-01         2.8282344E-02         1.1943246E-01         1.7052529E-02         6.6615152E-01         9.4808680E-01         2.1625720E-01         2.0543556E-01         8.3727717E-02         6.7952538E-01
  1.5008610E+02         9.4328612E-01         2.7179053E-01         1.7176040E-01        -6.0510609E-02         6.6744924E-01         9.4491148E-01        -7.8930847E-02         1.9175628E-01        -1.3570875E-01         6.7924839E-01         8.4540683E-01         1.2441811E-01         7.3406033E-02        -2.4863448E-02         5.9650433E-01         9.3433976E-01         2.5370385E-02         1.3223585E-01         1.9347498E-02         6.6600853E-01         9.4896704E-01         2.1379113E-01         2.0701125E-01         8.5927218E-02         6.7985642E-01
  1.5009390E+02         9.4334155E-01         2.6959616E-01         1.7243688E-01        -6.1600398E-02         6.6763592E-01         9.5207012E-01        -6.9744177E-02         1.7643200E-01        -1.2085027E-01         6.8592769E-01         8.6048979E-01         7.8887269E-02         1.1671566E-01        -3.3413824E-02         6.0746855E-01         9.3448520E-01         2.1494076E-02         1.4596507E-01         2.1832721E-02         6.6590422E-01         9.4987965E-01         2.1480465E-01         2.0533338E-01         8.6281925E-02         6.8016088E-01
  1.5010170E+02         9.4353437E-01         2.6728648E-01         1.7253026E-01        -6.3088536E-02         6.6793507E-01         9.5693189E-01        -5.6025546E-02         1.5918604E-01        -1.0145070E-01         6.9068062E-01         8.7614155E-01         3.2541879E-02         1.4519240E-01        -6.5065362E-02         6.1780381E-01         9.3462551E-01         1.6579991E-02         1.5962195E-01         2.3893893E-02         6.6587770E-01         9.5041293E-01         2.1826684E-01         2.0131044E-01         8.5126869E-02         6.8024683E-01
  1.5010950E+02         9.4383508E-01         2.6500863E-01         1.7203231E-01        -6.4999484E-02         6.6831100E-01         9.6001762E-01        -3.9743248E-02         1.4129201E-01        -8.0408596E-02         6.9393766E-01         8.8982981E-01         6.5854685E-03         1.6804650E-01        -1.0232572E-01         6.2572175E-01         9.3482786E-01         1.0087918E-02         1.7338130E-01         2.5182320E-02         6.6591686E-01         9.5033926E-01         2.2247802E-01         1.9610320E-01         8.3250999E-02         6.8000233E-01
  1.5011740E+02         9.4422841E-01         2.6302204E-01         1.7098580E-01        -6.7223281E-02         6.6873682E-01         9.6169835E-01        -2.3188164E-02         1.2411463E-01        -6.1261125E-02         6.9605380E-01         8.9949822E-01         2.3223463E-02         1.8737184E-01        -1.1956160E-01         6.3172394E-01         9.3521386E-01         2.0040032E-03         1.8637750E-01         2.5180344E-02         6.6607356E-01         9.4964290E-01         2.2533314E-01         1.9116510E-01         8.1534624E-02         6.7944419E-01
  1.5012510E+02         9.4466650E-01         2.6154619E-01         1.6952370E-01        -6.9572091E-02         6.6915953E-01         9.6242058E-01        -6.5709925E-03         1.0805108E-01        -4.6192016E-02         6.9737071E-01         9.0475065E-01         7.6782063E-02         1.9628862E-01        -1.0776982E-01         6.3676393E-01         9.3583918E-01        -7.1941870E-03         1.9764622E-01         2.3388324E-02         6.6638273E-01         9.4856381E-01         2.2549538E-01         1.8756133E-01         8.0564059E-02         6.7872661E-01
  1.5013300E+02         9.4516873E-01         2.6060054E-01         1.6772018E-01        -7.2000667E-02         6.6959602E-01         9.6273148E-01         1.2206605E-02         9.1955170E-02        -3.5660550E-02         6.9821382E-01         9.0641969E-01         1.4210489E-01         1.8719625E-01        -7.7668585E-02         6.4027679E-01         9.3670505E-01        -1.7389592E-02         2.0682344E-01         1.9218614E-02         6.6685361E-01         9.4731057E-01         2.2284409E-01         1.8538938E-01         8.0553822E-02         6.7795396E-01
