t       rho1       u1       v1       w1       p1       rho2       u2       v2       w2       p2       rho3       u3       v3       w3       p3       rho4       u4       v4       w4       p4       rho5       u5       v5       w5       p5
  1.5000030E+02         9.1766602E-01         0.0000000E+00         1.3877788E-17         0.0000000E+00         6.5548235E-01         9.4928098E-01         2.4906659E-01         3.3951993E-03         2.2174003E-02         6.7316365E-01         9.2087036E-01         2.3049377E-02         6.3690536E-02         1.6224127E-01         6.5667945E-01         9.6638983E-01         2.7114269E-01         7.6198906E-02         7.0763394E-02         6.8794638E-01         9.4741118E-01        -2.4664462E-02         8.5400447E-02         5.7753265E-02         6.8079245E-01
  1.5000800E+02         9.1785449E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5561748E-01         9.4498289E-01         2.8764224E-01         2.6791057E-02         1.3270140E-02         6.6771644E-01         9.1929859E-01         4.4398108E-03         5.7853553E-02         1.9134583E-01         6.5477151E-01         9.7075391E-01         2.9384881E-01         7.4979879E-02         5.9434801E-02         6.8778801E-01         9.4835192E-01        -2.9364254E-02         8.4452033E-02         4.9944606E-02         6.8126506E-01
  1.5001580E+02         9.1788596E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5564102E-01         9.3918890E-01         3.1275663E-01         4.7579575E-02         8.4364852E-03         6.6218984E-01         9.1835690E-01        -3.3717293E-03         4.2264789E-02         2.1110727E-01         6.5403384E-01         9.7363245E-01         3.1370366E-01         7.3383927E-02         5.0421160E-02         6.8720716E-01         9.4917268E-01        -3.3390217E-02         8.3252527E-02         4.2046029E-02         6.8164670E-01
  1.5002350E+02         9.1774780E-01         5.5511151E-17         0.0000000E+00         0.0000000E+00         6.5554214E-01         9.3309355E-01         3.2176921E-01         6.1362803E-02         8.9799687E-03         6.5771246E-01         9.1812253E-01         3.8593783E-04         2.2105303E-02         2.1637677E-01         6.5446591E-01         9.7458816E-01         3.2776892E-01         7.1655333E-02         4.5589026E-02         6.8644369E-01         9.4985104E-01        -3.6545884E-02         8.1860043E-02         3.4536071E-02         6.8194109E-01
  1.5003140E+02         9.1741574E-01         0.0000000E+00        -1.3877788E-17         0.0000000E+00         6.5530336E-01         9.2735666E-01         3.1689268E-01         6.9023632E-02         1.3832692E-02         6.5446275E-01         9.1829795E-01         1.3019535E-02         1.6590478E-03         2.0799798E-01         6.5549862E-01         9.7387451E-01         3.3655876E-01         7.0094571E-02         4.5710206E-02         6.8565202E-01         9.5045501E-01        -3.8916696E-02         8.0187991E-02         2.7190940E-02         6.8220174E-01
  1.5003930E+02         9.1693449E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5495574E-01         9.2282587E-01         3.0261686E-01         7.2624646E-02         2.0166313E-02         6.5239292E-01         9.1855919E-01         3.1100120E-02        -1.3131138E-02         1.8876250E-01         6.5654534E-01         9.7205788E-01         3.4170750E-01         6.8269424E-02         4.9848352E-02         6.8482709E-01         9.5099622E-01        -4.0362477E-02         7.8225181E-02         2.0253500E-02         6.8244874E-01
  1.5004700E+02         9.1642565E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5458834E-01         9.1989106E-01         2.8529936E-01         7.4292980E-02         2.4980346E-02         6.5116650E-01         9.1898090E-01         5.1259857E-02        -1.7833216E-02         1.6313224E-01         6.5748870E-01         9.7016758E-01         3.4603974E-01         6.4457513E-02         5.3902052E-02         6.8395030E-01         9.5146948E-01        -4.0864181E-02         7.6016791E-02         1.3896877E-02         6.8267959E-01
  1.5005490E+02         9.1586614E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5418792E-01         9.1774428E-01         2.6730499E-01         7.4648596E-02         2.7461395E-02         6.5033299E-01         9.1992491E-01         7.2561555E-02        -1.1516499E-02         1.3414966E-01         6.5854603E-01         9.6917117E-01         3.5143459E-01         5.6276679E-02         5.3347673E-02         6.8315208E-01         9.5189506E-01        -4.0495723E-02         7.3497579E-02         7.8654233E-03         6.8290037E-01
  1.5006260E+02         9.1533118E-01         0.0000000E+00        -1.3877788E-17         0.0000000E+00         6.5380794E-01         9.1535008E-01         2.4774683E-01         7.3478915E-02         2.9966049E-02         6.4968765E-01         9.2138273E-01         9.3464673E-02         2.0401385E-03         1.0662575E-01         6.5958476E-01         9.6928382E-01         3.5667381E-01         4.3521512E-02         4.7223475E-02         6.8254143E-01         9.5224762E-01        -3.9388292E-02         7.0808716E-02         2.4800841E-03         6.8308878E-01
  1.5007050E+02         9.1471469E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5337056E-01         9.1235179E-01         2.2262900E-01         7.1790591E-02         3.8561512E-02         6.4900106E-01         9.2296702E-01         1.1464576E-01         1.6329885E-02         8.1524760E-02         6.6022915E-01         9.6912235E-01         3.5881117E-01         2.7968774E-02         4.0503733E-02         6.8170279E-01         9.5256972E-01        -3.7621766E-02         6.7849785E-02        -2.4631598E-03         6.8326926E-01
