t       rho1       u1       v1       w1       p1       rho2       u2       v2       w2       p2       rho3       u3       v3       w3       p3       rho4       u4       v4       w4       p4       rho5       u5       v5       w5       p5
  1.5000030E+02         9.3737400E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6954845E-01         9.1108561E-01        -1.6323254E-02         1.2915824E-02         6.9925345E-02         6.4069372E-01         9.0099376E-01         1.2132256E-02         4.4928025E-02        -5.1496498E-02         6.4204872E-01         9.5475203E-01         2.1697915E-01        -3.2843523E-02         1.0868112E-01         6.7963278E-01         9.4081539E-01         1.0449097E-01         9.8468147E-02        -6.6304840E-03         6.7494339E-01
  1.5000800E+02         9.3768698E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6977078E-01         9.1774529E-01        -4.5323696E-02         2.0565398E-02         1.1280800E-01         6.4789397E-01         9.0491307E-01         1.2112601E-02         5.5854972E-02        -2.6800277E-02         6.4536417E-01         9.5303404E-01         2.1634260E-01        -2.7184809E-02         1.0022685E-01         6.7884594E-01         9.3876708E-01         1.1370633E-01         8.9419007E-02        -3.0378245E-02         6.7404222E-01
  1.5001580E+02         9.3810022E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7006522E-01         9.2714101E-01        -5.4399408E-02         3.2952923E-02         1.4094532E-01         6.5867907E-01         9.0998870E-01         5.6913202E-03         6.8193749E-02         2.4393544E-04         6.4905155E-01         9.5064068E-01         2.1384259E-01        -1.7300326E-02         8.8333718E-02         6.7806542E-01         9.3701243E-01         1.2129155E-01         7.9940207E-02        -5.5285808E-02         6.7315435E-01
  1.5002350E+02         9.3859154E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7041606E-01         9.3646687E-01        -3.9684810E-02         3.9723821E-02         1.5318204E-01         6.6962147E-01         9.1582513E-01        -5.5234311E-03         8.1061713E-02         2.4233002E-02         6.5289509E-01         9.4810432E-01         2.0995589E-01        -5.0175516E-03         7.4473724E-02         6.7737257E-01         9.3593484E-01         1.2598714E-01         7.1222678E-02        -7.9553396E-02         6.7243880E-01
  1.5003140E+02         9.3913049E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7080146E-01         9.4380713E-01        -6.0696700E-03         3.3755824E-02         1.5690726E-01         6.7848438E-01         9.2229187E-01        -1.8055331E-02         9.2812829E-02         4.3175701E-02         6.5712023E-01         9.4607776E-01         2.0545863E-01         9.1869785E-03         5.7874959E-02         6.7699105E-01         9.3564957E-01         1.2770583E-01         6.4036205E-02        -1.0373396E-01         6.7195553E-01
  1.5003930E+02         9.3969440E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7120528E-01         9.4899690E-01         3.6584102E-02         1.7880457E-02         1.5657803E-01         6.8449813E-01         9.2888397E-01        -2.7834207E-02         1.0059493E-01         5.4872807E-02         6.6160035E-01         9.4529188E-01         2.0141348E-01         2.5620114E-02         3.8159262E-02         6.7717785E-01         9.3615198E-01         1.2682463E-01         5.9697114E-02        -1.2662499E-01         6.7176616E-01
  1.5004700E+02         9.4021338E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7157704E-01         9.5320868E-01         8.3429188E-02         1.2462391E-03         1.4874786E-01         6.8815047E-01         9.3493861E-01        -3.1993967E-02         1.0237080E-01         5.8991961E-02         6.6594219E-01         9.4592071E-01         1.9855163E-01         4.5308504E-02         1.5937198E-02         6.7785388E-01         9.3719393E-01         1.2439557E-01         5.8650259E-02        -1.4698914E-01         6.7182118E-01
  1.5005490E+02         9.4065309E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7189252E-01         9.5788747E-01         1.3316974E-01        -9.0307258E-03         1.2900926E-01         6.9027144E-01         9.3989241E-01        -2.9172139E-02         9.6283630E-02         5.6595441E-02         6.6982651E-01         9.4776589E-01         1.9758441E-01         6.9173850E-02        -8.6035812E-03         6.7874759E-01         9.3851906E-01         1.2125581E-01         6.0410772E-02        -1.6499062E-01         6.7201245E-01
  1.5006260E+02         9.4095689E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7211050E-01         9.6340293E-01         1.7894247E-01        -1.1906562E-02         9.9339589E-02         6.9111162E-01         9.4302857E-01        -2.1027530E-02         8.1370972E-02         4.9100950E-02         6.7258078E-01         9.5031095E-01         2.0012830E-01         9.3170218E-02        -3.2891192E-02         6.7953736E-01         9.3979597E-01         1.1819810E-01         6.3840248E-02        -1.7934634E-01         6.7223275E-01
  1.5007050E+02         9.4109976E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7221367E-01         9.6925241E-01         2.1978103E-01        -1.4207267E-02         6.0257815E-02         6.9062245E-01         9.4457471E-01        -1.1893611E-02         5.7252370E-02         3.7718367E-02         6.7397362E-01         9.5327878E-01         2.0811543E-01         1.1312836E-01        -5.6805380E-02         6.8025285E-01         9.4086903E-01         1.1550362E-01         6.7813613E-02        -1.9044419E-01         6.7243791E-01
  1.5007840E+02         9.4107473E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7219663E-01         9.7235841E-01         2.4591532E-01        -1.9919297E-02         1.9490974E-02         6.8821746E-01         9.4449306E-01        -7.2018355E-03         2.7335588E-02         2.5601933E-02         6.7354006E-01         9.5628273E-01         2.2188289E-01         1.2399596E-01        -7.8893378E-02         6.8099213E-01         9.4156146E-01         1.1349321E-01         7.1193047E-02        -1.9790015E-01         6.7259437E-01
  1.5008610E+02         9.4089228E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7206734E-01         9.6993256E-01         2.5064141E-01        -2.7583495E-02        -9.2730643E-03         6.8413371E-01         9.4270974E-01        -9.7637875E-03        -1.6381383E-03         1.7600195E-02         6.7111927E-01         9.5869285E-01         2.3882794E-01         1.2453748E-01        -9.7677000E-02         6.8153703E-01         9.4180775E-01         1.1230312E-01         7.3271826E-02        -2.0182423E-01         6.7268121E-01
  1.5009390E+02         9.4055063E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7182422E-01         9.6205556E-01         2.3980941E-01        -3.4731504E-02        -2.0061081E-02         6.7907584E-01         9.3968993E-01        -1.8596215E-02        -2.4684427E-02         1.6517466E-02         6.6735852E-01         9.5963186E-01         2.5567985E-01         1.1632320E-01        -1.1219299E-01         6.8131560E-01         9.4166499E-01         1.1188547E-01         7.3827021E-02        -2.0267503E-01         6.7271042E-01
  1.5010170E+02         9.4012260E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7151904E-01         9.5152164E-01         2.2445036E-01        -3.8299095E-02        -1.6438747E-02         6.7378998E-01         9.3669206E-01        -2.8975260E-02        -3.7781164E-02         2.1295588E-02         6.6381538E-01         9.5812261E-01         2.6759791E-01         1.0203134E-01        -1.1915414E-01         6.7988241E-01         9.4126803E-01         1.1212119E-01         7.2731659E-02        -2.0077318E-01         6.7271060E-01
  1.5010950E+02         9.3963015E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7116743E-01         9.4053096E-01         2.1022812E-01        -3.7003301E-02        -7.1249860E-03         6.6816723E-01         9.3449593E-01        -3.6709961E-02        -4.2691857E-02         2.7907941E-02         6.6137195E-01         9.5371002E-01         2.7207610E-01         8.2709134E-02        -1.1525427E-01         6.7716449E-01         9.4075656E-01         1.1274360E-01         6.9937564E-02        -1.9652382E-01         6.7270947E-01
  1.5011740E+02         9.3914938E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7082351E-01         9.3094468E-01         1.9890387E-01        -3.1176485E-02         2.0516862E-03         6.6241056E-01         9.3350899E-01        -3.9667308E-02        -4.3080304E-02         3.2312218E-02         6.6044325E-01         9.4714659E-01         2.6762250E-01         5.9886567E-02        -9.6762411E-02         6.7375654E-01         9.4030046E-01         1.1336875E-01         6.5526679E-02        -1.9052944E-01         6.7274964E-01
  1.5012510E+02         9.3876231E-01         5.5511151E-17         0.0000000E+00         0.0000000E+00         6.7054617E-01         9.2351341E-01         1.9131349E-01        -2.2046885E-02         1.0142948E-02         6.5691620E-01         9.3306732E-01        -3.9215486E-02        -4.2773847E-02         3.3796232E-02         6.6033518E-01         9.4050211E-01         2.5577894E-01         3.6040034E-02        -6.3179351E-02         6.7069989E-01         9.4000012E-01         1.1359864E-01         5.9813596E-02        -1.8360497E-01         6.7284125E-01
  1.5013300E+02         9.3849921E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7035693E-01         9.1793281E-01         1.8927473E-01        -9.4682192E-03         1.9175664E-02         6.5190566E-01         9.3248361E-01        -3.8804855E-02        -4.3437622E-02         3.4061171E-02         6.6024911E-01         9.3570805E-01         2.3979183E-01         1.2991429E-02        -1.5753429E-02         6.6871834E-01         9.3990469E-01         1.1310250E-01         5.2777987E-02        -1.7599821E-01         6.7301464E-01
  1.5014070E+02         9.3838418E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7027378E-01         9.1427892E-01         1.9538729E-01         5.9815156E-03         3.0049982E-02         6.4805478E-01         9.3107569E-01        -4.0807851E-02        -4.5916423E-02         3.4401782E-02         6.5937507E-01         9.3439275E-01         2.2585653E-01        -5.6170118E-03         3.6315221E-02         6.6829401E-01         9.4000763E-01         1.1171073E-01         4.5033835E-02        -1.6843221E-01         6.7325205E-01
  1.5014860E+02         9.3838942E-01         0.0000000E+00        -1.3877788E-17         0.0000000E+00         6.7027700E-01         9.1213548E-01         2.1064515E-01         2.3394024E-02         4.3186072E-02         6.4538771E-01         9.2864150E-01        -4.4977587E-02        -5.0204691E-02         3.5611715E-02         6.5746099E-01         9.3657178E-01         2.1870817E-01        -1.9521298E-02         8.5604079E-02         6.6934001E-01         9.4025928E-01         1.0931344E-01         3.6586113E-02        -1.6077276E-01         6.7353565E-01
  1.5015640E+02         9.3846983E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7033428E-01         9.1099751E-01         2.3172848E-01         3.8056109E-02         5.7119805E-02         6.4367235E-01         9.2563856E-01        -4.8926428E-02        -5.5419084E-02         3.7845317E-02         6.5479815E-01         9.4095880E-01         2.2113742E-01        -2.8830590E-02         1.2170655E-01         6.7130816E-01         9.4061017E-01         1.0612686E-01         2.8175527E-02        -1.5339519E-01         6.7385429E-01
  1.5016420E+02         9.3861216E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7043591E-01         9.0962768E-01         2.5309289E-01         4.5630179E-02         7.2091021E-02         6.4175117E-01         9.2231381E-01        -5.2108053E-02        -6.0773231E-02         4.0531754E-02         6.5164238E-01         9.4591486E-01         2.3202053E-01        -3.5446253E-02         1.4149888E-01         6.7344964E-01         9.4103253E-01         1.0225603E-01         1.9812660E-02        -1.4593010E-01         6.7422736E-01
  1.5017210E+02         9.3881911E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7058331E-01         9.0789843E-01         2.6783374E-01         4.0486339E-02         8.5439980E-02         6.3914132E-01         9.1871840E-01        -5.6084566E-02        -6.4854622E-02         4.3266907E-02         6.4820492E-01         9.4972473E-01         2.4733701E-01        -4.0022641E-02         1.4341372E-01         6.7490011E-01         9.4146442E-01         9.8142132E-02         1.2008297E-02        -1.3841186E-01         6.7464238E-01
