t       rho1       u1       v1       w1       p1       rho2       u2       v2       w2       p2       rho3       u3       v3       w3       p3       rho4       u4       v4       w4       p4       rho5       u5       v5       w5       p5
  1.5000030E+02         9.0363079E-01         8.4674232E-02         6.9797508E-02        -3.6006108E-02         6.3390476E-01         9.4499433E-01         2.2036675E-01         1.1396600E-01         6.2961072E-02         6.6452116E-01         9.0513909E-01         9.6731531E-03         1.6968337E-01         1.7104828E-01         6.4465964E-01         9.4960475E-01         2.4166784E-01         9.7382054E-02         3.5742696E-02         6.8713129E-01         9.4600320E-01         1.3924433E-01         1.7322892E-01         2.0878760E-03         6.7800409E-01
  1.5000800E+02         9.0121090E-01         3.4073379E-02         8.4599003E-02        -4.0498376E-02         6.3136071E-01         9.4298756E-01         2.2029075E-01         9.3221173E-02         5.0972562E-02         6.6220379E-01         9.0591455E-01         2.3622084E-02         1.8088754E-01         1.6798943E-01         6.4516735E-01         9.5208281E-01         2.6093981E-01         8.2539864E-02         5.8764905E-02         6.8696016E-01         9.4717050E-01         1.3151351E-01         1.7673682E-01        -8.3954455E-03         6.7819083E-01
  1.5001580E+02         9.0460825E-01        -1.0849629E-02         1.0502473E-01        -3.8971148E-02         6.3310611E-01         9.4077104E-01         2.0900057E-01         7.7359825E-02         4.0930472E-02         6.6011840E-01         9.0684772E-01         4.1526657E-02         1.9319366E-01         1.6018814E-01         6.4553732E-01         9.5579851E-01         2.8117457E-01         6.6785917E-02         8.0036514E-02         6.8632746E-01         9.4743448E-01         1.2956096E-01         1.7832361E-01        -2.2968197E-02         6.7846239E-01
  1.5002350E+02         9.1167855E-01        -4.1424304E-02         1.2651873E-01        -3.0864941E-02         6.3829702E-01         9.3884516E-01         1.9109261E-01         6.8366416E-02         3.4027811E-02         6.5858686E-01         9.0796709E-01         6.1571606E-02         2.0570888E-01         1.4859721E-01         6.4582354E-01         9.5975870E-01         2.9618788E-01         5.6508608E-02         9.5298246E-02         6.8547136E-01         9.4703555E-01         1.3561380E-01         1.7869939E-01        -3.7993893E-02         6.7898369E-01
  1.5003140E+02         9.2003852E-01        -5.6947585E-02         1.4711277E-01        -1.8794533E-02         6.4568973E-01         9.3714124E-01         1.7015764E-01         6.5543033E-02         3.0108737E-02         6.5749550E-01         9.0934354E-01         8.2845345E-02         2.1744476E-01         1.3468252E-01         6.4614248E-01         9.6308017E-01         3.0276096E-01         5.3293671E-02         1.0208461E-01         6.8474531E-01         9.4657004E-01         1.4958303E-01         1.7870487E-01        -5.0444596E-02         6.7989713E-01
  1.5003930E+02         9.2754799E-01        -5.7712536E-02         1.6397862E-01        -7.9215858E-03         6.5370554E-01         9.3540400E-01         1.5014875E-01         6.8343095E-02         2.9033458E-02         6.5668648E-01         9.1089535E-01         1.0255945E-01         2.2575408E-01         1.2145143E-01         6.4660984E-01         9.6489519E-01         3.0029818E-01         5.5840142E-02         9.9396788E-02         6.8433404E-01         9.4670451E-01         1.6817127E-01         1.7911568E-01        -5.7448816E-02         6.8114072E-01
  1.5004700E+02         9.3338054E-01        -4.6736889E-02         1.7468697E-01        -2.0839307E-03         6.6115582E-01         9.3350828E-01         1.3346444E-01         7.6041080E-02         3.0620649E-02         6.5598953E-01         9.1249484E-01         1.1779746E-01         2.2858611E-01         1.1186516E-01         6.4731640E-01         9.6505904E-01         2.9249623E-01         6.1172340E-02         8.9896381E-02         6.8405527E-01         9.4775188E-01         1.8632793E-01         1.8043868E-01        -5.8729745E-02         6.8247265E-01
  1.5005490E+02         9.3794584E-01        -2.6853537E-02         1.7801347E-01        -1.9630459E-03         6.6775095E-01         9.3189663E-01         1.1951850E-01         8.7806821E-02         3.4988772E-02         6.5539753E-01         9.1424608E-01         1.2696469E-01         2.2528398E-01         1.0756918E-01         6.4840585E-01         9.6397775E-01         2.8395203E-01         6.7297041E-02         7.6848842E-02         6.8368590E-01         9.4971138E-01         2.0118865E-01         1.8278769E-01        -5.5836428E-02         6.8374407E-01
  1.5006260E+02         9.4145423E-01        -2.5404396E-03         1.7358284E-01        -6.4225597E-03         6.7296362E-01         9.3143392E-01         1.0823673E-01         9.9890336E-02         4.1747812E-02         6.5517128E-01         9.1622871E-01         1.2864941E-01         2.1643174E-01         1.0961282E-01         6.4987528E-01         9.6219712E-01         2.7901721E-01         7.2561868E-02         6.3822992E-02         6.8316609E-01         9.5220953E-01         2.1097408E-01         1.8553251E-01        -5.0970197E-02         6.8478101E-01
  1.5007050E+02         9.4425428E-01         2.3855628E-02         1.6259846E-01        -1.3492536E-02         6.7696553E-01         9.3201578E-01         9.9009655E-02         1.0828257E-01         5.0781470E-02         6.5559101E-01         9.1872793E-01         1.2382209E-01         2.0275924E-01         1.1748063E-01         6.5170193E-01         9.6002805E-01         2.7937290E-01         7.6386422E-02         5.1793557E-02         6.8251568E-01         9.5505452E-01         2.1746811E-01         1.8776608E-01        -4.5631249E-02         6.8561929E-01
