t       rho1       u1       v1       w1       p1       rho2       u2       v2       w2       p2       rho3       u3       v3       w3       p3       rho4       u4       v4       w4       p4       rho5       u5       v5       w5       p5
  1.5009390E+02         9.3494493E-01         0.0000000E+00        -1.3877788E-17         0.0000000E+00         6.6781795E-01         9.5210153E-01        -8.5208587E-02         1.4725552E-01        -1.0159273E-01         6.8589175E-01         8.7157369E-01         2.0786899E-01         1.9031847E-01        -9.2952102E-02         6.1901343E-01         9.6629161E-01         5.2156199E-02        -7.6019145E-03        -3.1038551E-02         6.8882054E-01         9.2046994E-01         2.9107249E-01         1.2619449E-01         1.4641525E-01         6.5281653E-01
  1.5010170E+02         9.3483806E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6774142E-01         9.5620543E-01        -6.4552262E-02         1.3200410E-01        -8.1586994E-02         6.8981940E-01         8.8431734E-01         1.4153920E-01         2.0921294E-01        -7.9221092E-02         6.2828392E-01         9.6755135E-01         7.0034929E-02        -3.0339463E-03        -9.9515580E-03         6.8989551E-01         9.2105711E-01         2.8597608E-01         1.3721479E-01         1.5084435E-01         6.5303952E-01
  1.5010950E+02         9.3478107E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6770053E-01         9.5892340E-01        -4.4304930E-02         1.1623224E-01        -6.2338959E-02         6.9248527E-01         8.9579904E-01         8.1958964E-02         2.1214135E-01        -9.3241110E-02         6.3567549E-01         9.6802902E-01         8.6973175E-02         3.8154200E-03         7.4365730E-03         6.9073498E-01         9.2191452E-01         2.8388602E-01         1.4770813E-01         1.5597923E-01         6.5348595E-01
  1.5011740E+02         9.3475360E-01         0.0000000E+00         1.3877788E-17         0.0000000E+00         6.6768074E-01         9.6038145E-01        -2.5434781E-02         1.0080127E-01        -4.5600384E-02         6.9418097E-01         9.0444773E-01         5.3684272E-02         2.0732886E-01        -1.1132788E-01         6.4043027E-01         9.6770257E-01         1.0209239E-01         1.2635764E-02         1.9532967E-02         6.9141805E-01         9.2326015E-01         2.8523430E-01         1.5625511E-01         1.6149409E-01         6.5434611E-01
  1.5012510E+02         9.3478942E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6770577E-01         9.6077794E-01        -7.4186148E-03         8.6125225E-02        -3.2265387E-02         6.9510126E-01         9.0953767E-01         6.3430220E-02         1.9824554E-01        -1.1217511E-01         6.4356279E-01         9.6679389E-01         1.1529116E-01         2.1992700E-02         2.6092606E-02         6.9196773E-01         9.2534178E-01         2.8967926E-01         1.6227202E-01         1.6670187E-01         6.5572542E-01
  1.5013300E+02         9.3490058E-01         5.5511151E-17         0.0000000E+00         0.0000000E+00         6.6778481E-01         9.6055061E-01         1.1791342E-02         7.1367681E-02        -2.2478355E-02         6.9552743E-01         9.1104257E-01         9.5448770E-02         1.7914806E-01        -9.4189234E-02         6.4557636E-01         9.6557772E-01         1.2769514E-01         3.0416856E-02         2.8158298E-02         6.9241410E-01         9.2833447E-01         2.9576778E-01         1.6653180E-01         1.7113413E-01         6.5770602E-01
  1.5014070E+02         9.3505985E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6789871E-01         9.6031439E-01         3.2502845E-02         5.6639928E-02        -1.7586643E-02         6.9573677E-01         9.0909737E-01         1.2326547E-01         1.4690097E-01        -7.3100604E-02         6.4578474E-01         9.6436328E-01         1.3930911E-01         3.5836317E-02         2.7280129E-02         6.9272757E-01         9.3179846E-01         3.0052784E-01         1.7028412E-01         1.7368796E-01         6.6007680E-01
  1.5014860E+02         9.3520457E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6800296E-01         9.6066600E-01         5.6607377E-02         4.0644210E-02        -1.7889198E-02         6.9595248E-01         9.0462101E-01         1.3075012E-01         1.0583192E-01        -6.4973548E-02         6.4403647E-01         9.6324635E-01         1.5080521E-01         3.7697632E-02         2.5866384E-02         6.9292372E-01         9.3530881E-01         3.0179253E-01         1.7541204E-01         1.7352031E-01         6.6270190E-01
  1.5015640E+02         9.3529081E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6806543E-01         9.6199518E-01         8.3516024E-02         2.3944413E-02        -2.2805570E-02         6.9620860E-01         9.0028888E-01         1.1621165E-01         7.0835665E-02        -7.7078789E-02         6.4159244E-01         9.6227819E-01         1.6107121E-01         3.6455996E-02         2.6301757E-02         6.9293833E-01         9.3827116E-01         2.9841274E-01         1.8257140E-01         1.7050219E-01         6.6525483E-01
  1.5016420E+02         9.3531322E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6808200E-01         9.6451157E-01         1.1403726E-01         6.6604898E-03        -3.0724879E-02         6.9645542E-01         8.9863670E-01         9.0966687E-02         5.5083767E-02        -1.0432120E-01         6.3999808E-01         9.6139681E-01         1.6932733E-01         3.3860877E-02         2.9882872E-02         6.9269717E-01         9.4067383E-01         2.8953561E-01         1.9159554E-01         1.6570988E-01         6.6771168E-01
