t       rho1       u1       v1       w1       p1       rho2       u2       v2       w2       p2       rho3       u3       v3       w3       p3       rho4       u4       v4       w4       p4       rho5       u5       v5       w5       p5
  1.5000030E+02         9.0363079E-01         8.4674232E-02         6.9797516E-02        -3.6006108E-02         6.3390476E-01         9.4499439E-01         2.2036675E-01         1.1396600E-01         6.2960960E-02         6.6452122E-01         8.9364499E-01        -4.4000987E-02         7.3169358E-02         1.1121929E-01         6.3847518E-01         9.5296675E-01         2.0449974E-01         1.1405474E-01        -2.9187351E-02         6.9009161E-01         9.4600326E-01         1.3924435E-01         1.7322892E-01         2.0878632E-03         6.7800415E-01
  1.5000800E+02         9.0121090E-01         3.4073215E-02         8.4598921E-02        -4.0498316E-02         6.3136065E-01         9.4298667E-01         2.2029063E-01         9.3221061E-02         5.0973598E-02         6.6220289E-01         8.9597696E-01        -3.9328240E-02         8.6555250E-02         1.2699008E-01         6.4076048E-01         9.5214909E-01         2.2874422E-01         9.6183389E-02         1.7321325E-04         6.8917668E-01         9.4717008E-01         1.3151358E-01         1.7673677E-01        -8.3949845E-03         6.7819047E-01
  1.5001580E+02         9.0460813E-01        -1.0849732E-02         1.0502467E-01        -3.8971175E-02         6.3310599E-01         9.4076991E-01         2.0900030E-01         7.7359751E-02         4.0930748E-02         6.6011727E-01         8.9875895E-01        -3.0532071E-02         1.0194478E-01         1.4045289E-01         6.4311123E-01         9.5292860E-01         2.5388035E-01         7.3381685E-02         3.3357836E-02         6.8787789E-01         9.4743401E-01         1.2956099E-01         1.7832385E-01        -2.2967802E-02         6.7846197E-01
  1.5002350E+02         9.1167837E-01        -4.1424390E-02         1.2651880E-01        -3.0865021E-02         6.3829678E-01         9.3884438E-01         1.9109246E-01         6.8366401E-02         3.4027468E-02         6.5858591E-01         9.0165341E-01        -1.6895747E-02         1.1862352E-01         1.4906956E-01         6.4526904E-01         9.5477575E-01         2.7432600E-01         5.2183457E-02         6.6321194E-02         6.8630022E-01         9.4703460E-01         1.3561368E-01         1.7869972E-01        -3.7994023E-02         6.7898285E-01
  1.5003140E+02         9.2003870E-01        -5.6947414E-02         1.4711328E-01        -1.8793810E-02         6.4569002E-01         9.3714166E-01         1.7015739E-01         6.5542862E-02         3.0109219E-02         6.5749574E-01         9.0450066E-01         2.8792224E-03         1.3668738E-01         1.5164925E-01         6.4718056E-01         9.5718074E-01         2.8784966E-01         3.5748679E-02         9.7486295E-02         6.8463653E-01         9.4657087E-01         1.4958197E-01         1.7870550E-01        -5.0442934E-02         6.7989802E-01
  1.5003930E+02         9.2754889E-01        -5.7712238E-02         1.6397864E-01        -7.9198526E-03         6.5370643E-01         9.3540567E-01         1.5015122E-01         6.8343498E-02         2.9035516E-02         6.5668803E-01         9.0698856E-01         2.8178731E-02         1.5434159E-01         1.4790782E-01         6.4865357E-01         9.5965815E-01         2.9316980E-01         2.5970636E-02         1.2361022E-01         6.8318945E-01         9.4670498E-01         1.6817243E-01         1.7911376E-01        -5.7447862E-02         6.8114114E-01
  1.5004700E+02         9.3338132E-01        -4.6736307E-02         1.7468642E-01        -2.0821127E-03         6.6115659E-01         9.3350446E-01         1.3346654E-01         7.6042026E-02         3.0617610E-02         6.5598583E-01         9.0905148E-01         5.6442160E-02         1.6931576E-01         1.4026088E-01         6.4966881E-01         9.6179634E-01         2.9154885E-01         2.1896642E-02         1.4295098E-01         6.8206143E-01         9.4775122E-01         1.8632805E-01         1.8043846E-01        -5.8729846E-02         6.8247199E-01
  1.5005490E+02         9.3794787E-01        -2.6854359E-02         1.7801210E-01        -1.9600072E-03         6.6775292E-01         9.3189377E-01         1.1952212E-01         8.7809205E-02         3.4985054E-02         6.5539473E-01         9.1095173E-01         8.5663192E-02         1.8028012E-01         1.3204084E-01         6.5045452E-01         9.6332389E-01         2.8468803E-01         2.1260513E-02         1.5617244E-01         6.8119037E-01         9.4971019E-01         2.0118937E-01         1.8278766E-01        -5.5837143E-02         6.8374288E-01
  1.5006260E+02         9.4145602E-01        -2.5412047E-03         1.7358179E-01        -6.4191115E-03         6.7296535E-01         9.3142903E-01         1.0824282E-01         9.9893250E-02         4.1741077E-02         6.5516645E-01         9.1272038E-01         1.1100510E-01         1.8509386E-01         1.2691332E-01         6.5118039E-01         9.6376067E-01         2.7454934E-01         2.2239998E-02         1.6334675E-01         6.8053794E-01         9.5220912E-01         2.1097535E-01         1.8553245E-01        -5.0970521E-02         6.8478054E-01
  1.5007050E+02         9.4425422E-01         2.3855781E-02         1.6259651E-01        -1.3490064E-02         6.7696536E-01         9.3201232E-01         9.9017948E-02         1.0828678E-01         5.0774030E-02         6.5558738E-01         9.1449559E-01         1.3090934E-01         1.8263157E-01         1.2619160E-01         6.5206259E-01         9.6294028E-01         2.6243186E-01         2.3935821E-02         1.6585414E-01         6.8004596E-01         9.5505440E-01         2.1746972E-01         1.8776675E-01        -4.5631222E-02         6.8561918E-01
