   n        time         Cl         Cd
  104000    17.92511   1.0398422  -0.0176689
  104800    18.04661   1.0396636  -0.0160811
  105600    18.16816   1.0365160  -0.0145576
  106400    18.28973   1.0333353  -0.0127528
  107200    18.41128   1.0316743  -0.0110633
  108000    18.53285   1.0260053  -0.0092406
  108800    18.65447   1.0244637  -0.0078084
  109600    18.77615   1.0184066  -0.0064633
  110400    18.89792   1.0192450  -0.0053704
  111200    19.01970   1.0156633  -0.0039399
  112000    19.14142   1.0145358  -0.0015041
  112800    19.26314   1.0120070   0.0013244
  113600    19.38497   1.0096366   0.0055159
  114400    19.50692   1.0080497   0.0082736
  115200    19.62902   1.0105781   0.0110178
  116000    19.75125   1.0105671   0.0127898
  116800    19.87341   1.0095630   0.0150452
  117600    19.99563   1.0108450   0.0181892
  118400    20.11785   1.0068084   0.0215820
  119200    20.24018   1.0065696   0.0264775
  120000    20.36265   1.0045604   0.0304784
  120800    20.48531   0.9988333   0.0335417
  121600    20.60810   0.9968905   0.0374911
  122400    20.73108   0.9940581   0.0402178
  123200    20.85407   0.9917215   0.0439838
  124000    20.97722   0.9835990   0.0476628
  124800    21.10037   0.9783516   0.0527896
  125600    21.22381   0.9743677   0.0575173
  126400    21.34747   0.9680705   0.0621362
  127200    21.47129   0.9612505   0.0667647
  128000    21.59536   0.9560791   0.0711817
  128800    21.71965   0.9515547   0.0755559
  129600    21.84414   0.9420977   0.0788424
  130400    21.96881   0.9349492   0.0821866
  131200    22.09368   0.9282054   0.0864847
  132000    22.21874   0.9195945   0.0911599
  132800    22.34409   0.9143349   0.0954678
  133600    22.46961   0.9135529   0.1006114
  134400    22.59550   0.9125164   0.1059129
  135200    22.72162   0.9124279   0.1106447
  136000    22.84802   0.9152764   0.1151502
  136800    22.97462   0.9100168   0.1189821
  137600    23.10139   0.9055425   0.1226041
  138400    23.22833   0.9050200   0.1279355
  139200    23.35550   0.9007707   0.1334953
  140000    23.48293   0.8973342   0.1380737
  140800    23.61073   0.8956496   0.1422469
  141600    23.73872   0.8855277   0.1451188
  142400    23.86695   0.8774657   0.1489848
  143200    23.99532   0.8731399   0.1545340
  144000    24.12402   0.8698391   0.1588889
  144800    24.25302   0.8580693   0.1604212
  145600    24.38230   0.8434974   0.1608319
  146400    24.51170   0.8253198   0.1604651
  147200    24.64123   0.8072916   0.1605244
  148000    24.77092   0.7909460   0.1606302
  148800    24.90090   0.7818646   0.1611964
  149600    25.03109   0.7643730   0.1596430
  150400    25.16139   0.7489744   0.1575792
  151200    25.29191   0.7278293   0.1537910
  152000    25.42259   0.7090705   0.1512062
  152800    25.55354   0.6980784   0.1500966
  153600    25.68469   0.6905827   0.1512725
  154400    25.81611   0.6861761   0.1542265
  155200    25.94780   0.6794097   0.1541736
  156000    26.07973   0.6649360   0.1526074
  156800    26.21181   0.6609050   0.1532525
  157600    26.34413   0.6500937   0.1518117
  158400    26.47662   0.6424114   0.1500596
  159200    26.60933   0.6358467   0.1494021
  160000    26.74220   0.6227858   0.1481927
  160800    26.87515   0.6073317   0.1476284
  161600    27.00828   0.5965881   0.1476972
  162400    27.14154   0.5834339   0.1479719
  163200    27.27502   0.5728453   0.1498167
  164000    27.40863   0.5608682   0.1517223
  164800    27.54246   0.5481417   0.1542831
  165600    27.67639   0.5313619   0.1552509
  166400    27.81049   0.5143630   0.1560725
  167200    27.94474   0.5043709   0.1568042
  168000    28.07923   0.4972754   0.1580951
