   n        time         Cl         Cd
  934360   150.42248   0.7620384   0.3440884
  934380   150.42568   0.7620933   0.3441058
  934400   150.42887   0.7621255   0.3441198
  934420   150.43206   0.7621306   0.3441287
  934440   150.43526   0.7621232   0.3441350
  934460   150.43845   0.7621020   0.3441394
  934480   150.44164   0.7620808   0.3441463
  934500   150.44483   0.7620670   0.3441578
  934520   150.44803   0.7620335   0.3441686
  934540   150.45122   0.7619730   0.3441763
  934560   150.45441   0.7619109   0.3441840
  934580   150.45760   0.7618800   0.3441964
  934600   150.46080   0.7618833   0.3442140
  934620   150.46399   0.7619070   0.3442343
  934640   150.46718   0.7619435   0.3442556
  934660   150.47037   0.7619948   0.3442776
  934680   150.47356   0.7620614   0.3443000
  934700   150.47675   0.7621333   0.3443226
  934720   150.47995   0.7621899   0.3443441
  934740   150.48314   0.7622391   0.3443678
  934760   150.48633   0.7623053   0.3443978
  934780   150.48952   0.7623897   0.3444328
  934800   150.49271   0.7624784   0.3444704
  934820   150.49590   0.7625595   0.3445085
  934840   150.49909   0.7626282   0.3445456
  934860   150.50228   0.7627096   0.3445882
  934880   150.50547   0.7628386   0.3446467
  934900   150.50866   0.7629991   0.3447175
  934920   150.51185   0.7631547   0.3447905
  934940   150.51504   0.7633117   0.3448657
  934960   150.51823   0.7634767   0.3449434
  934980   150.52143   0.7636202   0.3450153
  935000   150.52462   0.7637326   0.3450781
  935020   150.52781   0.7638442   0.3451392
  935040   150.53100   0.7639561   0.3451996
  935060   150.53419   0.7640342   0.3452529
  935080   150.53738   0.7640726   0.3452980
  935100   150.54057   0.7640900   0.3453370
  935120   150.54376   0.7640809   0.3453661
  935140   150.54695   0.7640412   0.3453839
  935160   150.55014   0.7639765   0.3453931
  935180   150.55333   0.7638952   0.3453967
  935200   150.55652   0.7638163   0.3454000
  935220   150.55971   0.7637337   0.3454023
  935240   150.56290   0.7636386   0.3454015
  935260   150.56609   0.7635478   0.3454013
  935280   150.56928   0.7634806   0.3454044
  935300   150.57247   0.7634465   0.3454105
  935320   150.57566   0.7634295   0.3454143
  935340   150.57885   0.7634246   0.3454151
  935360   150.58204   0.7634621   0.3454224
  935380   150.58523   0.7635351   0.3454368
  935400   150.58843   0.7636166   0.3454543
  935420   150.59162   0.7637006   0.3454762
  935440   150.59481   0.7637821   0.3455041
  935460   150.59800   0.7638429   0.3455348
  935480   150.60119   0.7638843   0.3455666
  935500   150.60438   0.7639744   0.3456113
  935520   150.60757   0.7641455   0.3456754
  935540   150.61076   0.7643159   0.3457416
  935560   150.61395   0.7643814   0.3457870
  935580   150.61714   0.7643234   0.3458060
  935600   150.62033   0.7642409   0.3458149
  935620   150.62352   0.7642163   0.3458323
  935640   150.62671   0.7642377   0.3458593
  935660   150.62990   0.7642484   0.3458847
  935680   150.63310   0.7642008   0.3459017
  935700   150.63629   0.7641626   0.3459259
  935720   150.63948   0.7642028   0.3459734
  935740   150.64267   0.7643274   0.3460461
  935760   150.64586   0.7644883   0.3461340
  935780   150.64905   0.7646581   0.3462289
  935800   150.65224   0.7648413   0.3463285
  935820   150.65543   0.7650558   0.3464335
  935840   150.65862   0.7653017   0.3465431
  935860   150.66182   0.7655626   0.3466532
  935880   150.66501   0.7658083   0.3467576
  935900   150.66820   0.7660337   0.3468567
  935920   150.67139   0.7662552   0.3469553
  935940   150.67458   0.7664783   0.3470549
  935960   150.67777   0.7667224   0.3471584
  935980   150.68096   0.7669944   0.3472672
  936000   150.68415   0.7672813   0.3473790
  936020   150.68734   0.7675694   0.3474906
  936040   150.69053   0.7678545   0.3476003
  936060   150.69372   0.7681372   0.3477089
  936080   150.69692   0.7684048   0.3478152
  936100   150.70011   0.7686479   0.3479177
  936120   150.70330   0.7688719   0.3480173
  936140   150.70649   0.7690841   0.3481161
  936160   150.70968   0.7692835   0.3482148
  936180   150.71287   0.7694523   0.3483088
  936200   150.71606   0.7695812   0.3483952
  936220   150.71925   0.7696856   0.3484781
  936240   150.72244   0.7697972   0.3485655
  936260   150.72563   0.7699356   0.3486612
  936280   150.72882   0.7700937   0.3487631
  936300   150.73201   0.7702565   0.3488667
  936320   150.73520   0.7704178   0.3489695
  936340   150.73839   0.7705727   0.3490705
  936360   150.74158   0.7707380   0.3491741
  936380   150.74476   0.7709279   0.3492842
  936400   150.74795   0.7711290   0.3493968
  936420   150.75114   0.7713302   0.3495083
  936440   150.75433   0.7715461   0.3496215
  936460   150.75752   0.7717808   0.3497380
  936480   150.76071   0.7720123   0.3498521
  936500   150.76390   0.7722263   0.3499603
  936520   150.76709   0.7724306   0.3500648
  936540   150.77028   0.7726284   0.3501664
  936560   150.77347   0.7728009   0.3502609
  936580   150.77666   0.7729486   0.3503488
  936600   150.77985   0.7730858   0.3504339
  936620   150.78304   0.7732264   0.3505201
  936640   150.78623   0.7733744   0.3506098
  936660   150.78942   0.7735341   0.3507042
  936680   150.79260   0.7737087   0.3508035
  936700   150.79579   0.7738904   0.3509055
  936720   150.79898   0.7740803   0.3510110
  936740   150.80217   0.7742817   0.3511214
  936760   150.80536   0.7744786   0.3512320
  936780   150.80855   0.7746696   0.3513409
  936800   150.81174   0.7748594   0.3514497
  936820   150.81493   0.7750430   0.3515570
  936840   150.81812   0.7752167   0.3516609
  936860   150.82131   0.7753765   0.3517598
  936880   150.82450   0.7755171   0.3518529
  936900   150.82769   0.7756456   0.3519434
  936920   150.83088   0.7757705   0.3520338
  936940   150.83406   0.7758654   0.3521153
  936960   150.83725   0.7758983   0.3521771
  936980   150.84044   0.7758854   0.3522227
  937000   150.84363   0.7758476   0.3522598
  937020   150.84682   0.7757874   0.3522924
  937040   150.85001   0.7757352   0.3523306
  937060   150.85320   0.7757164   0.3523795
  937080   150.85639   0.7757090   0.3524310
  937100   150.85958   0.7756932   0.3524794
  937120   150.86276   0.7756811   0.3525280
  937140   150.86595   0.7756931   0.3525809
  937160   150.86914   0.7757170   0.3526354
  937180   150.87233   0.7757396   0.3526880
  937200   150.87552   0.7757637   0.3527400
  937220   150.87871   0.7757949   0.3527929
  937240   150.88189   0.7758308   0.3528467
  937260   150.88508   0.7758706   0.3529006
  937280   150.88827   0.7759201   0.3529565
  937300   150.89146   0.7759904   0.3530182
  937320   150.89465   0.7760717   0.3530841
  937340   150.89783   0.7761544   0.3531514
  937360   150.90102   0.7762507   0.3532231
  937380   150.90421   0.7763663   0.3533031
  937400   150.90740   0.7764882   0.3533896
  937420   150.91058   0.7766127   0.3534798
  937440   150.91377   0.7767414   0.3535723
  937460   150.91696   0.7768643   0.3536638
  937480   150.92015   0.7769696   0.3537498
  937500   150.92333   0.7770539   0.3538276
  937520   150.92652   0.7771226   0.3538987
  937540   150.92971   0.7771806   0.3539656
  937560   150.93289   0.7772334   0.3540306
  937580   150.93608   0.7772812   0.3540942
  937600   150.93927   0.7773186   0.3541551
  937620   150.94245   0.7773466   0.3542127
  937640   150.94564   0.7773575   0.3542636
  937660   150.94883   0.7773448   0.3543042
  937680   150.95201   0.7773046   0.3543319
  937700   150.95520   0.7772382   0.3543465
  937720   150.95839   0.7771482   0.3543490
  937740   150.96157   0.7770458   0.3543453
  937760   150.96476   0.7769530   0.3543431
  937780   150.96795   0.7768840   0.3543448
  937800   150.97113   0.7768355   0.3543487
  937820   150.97432   0.7768074   0.3543572
  937840   150.97750   0.7767866   0.3543689
  937860   150.98069   0.7767416   0.3543760
  937880   150.98388   0.7766925   0.3543827
  937900   150.98706   0.7766611   0.3543933
  937920   150.99025   0.7766030   0.3543958
  937940   150.99343   0.7764892   0.3543836
  937960   150.99662   0.7763524   0.3543664
  937980   150.99981   0.7762349   0.3543549
  938000   151.00299   0.7761520   0.3543530
  938020   151.00618   0.7760905   0.3543588
  938040   151.00936   0.7760267   0.3543670
  938060   151.01255   0.7759646   0.3543761
  938080   151.01573   0.7759114   0.3543856
  938100   151.01892   0.7758600   0.3543936
  938120   151.02210   0.7758017   0.3544001
  938140   151.02529   0.7757518   0.3544121
  938160   151.02847   0.7757428   0.3544382
  938180   151.03166   0.7757851   0.3544792
  938200   151.03485   0.7758528   0.3545276
  938220   151.03803   0.7759043   0.3545735
  938240   151.04122   0.7759433   0.3546173
  938260   151.04440   0.7759985   0.3546649
  938280   151.04759   0.7760715   0.3547167
  938300   151.05077   0.7761375   0.3547672
  938320   151.05396   0.7761725   0.3548083
  938340   151.05714   0.7761696   0.3548343
  938360   151.06032   0.7761324   0.3548439
  938380   151.06351   0.7760604   0.3548381
  938400   151.06669   0.7759549   0.3548206
  938420   151.06988   0.7758339   0.3547984
  938440   151.07306   0.7757225   0.3547794
  938460   151.07625   0.7756314   0.3547665
  938480   151.07943   0.7755557   0.3547581
  938500   151.08262   0.7754904   0.3547529
  938520   151.08580   0.7754383   0.3547505
  938540   151.08899   0.7753875   0.3547460
