"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Function0"	"Points:0"	"Points:1"	"Points:2"
8.60250e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.14464e-01	2.45785e-01	-6.39687e-04	-4.33353e-01	6.22187e-02	2.64000e-02
8.60443e-01	1.98253e-22	0.00000e+00	0.00000e+00	6.14602e-01	2.45841e-01	-7.54557e-04	-4.31706e-01	6.30469e-02	2.64000e-02
8.60701e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.14785e-01	2.45914e-01	-9.11757e-04	-4.30027e-01	6.38717e-02	2.64000e-02
8.60877e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.14913e-01	2.45965e-01	-1.04684e-03	-4.28315e-01	6.46930e-02	2.64000e-02
8.60984e-01	-3.96505e-18	0.00000e+00	0.00000e+00	6.14987e-01	2.45995e-01	-1.18334e-03	-4.26572e-01	6.55107e-02	2.64000e-02
8.60964e-01	-1.98253e-22	0.00000e+00	0.00000e+00	6.14975e-01	2.45990e-01	-1.57300e-03	-4.24796e-01	6.63247e-02	2.64000e-02
8.61068e-01	-3.96486e-18	0.00000e+00	0.00000e+00	6.15049e-01	2.46020e-01	-2.33179e-03	-4.22987e-01	6.71348e-02	2.64000e-02
8.61656e-01	1.98253e-18	0.00000e+00	0.00000e+00	6.15468e-01	2.46187e-01	-2.64288e-03	-4.21144e-01	6.79408e-02	2.64000e-02
8.62089e-01	-1.98233e-18	0.00000e+00	0.00000e+00	6.15782e-01	2.46313e-01	-1.72609e-03	-4.19268e-01	6.87426e-02	2.64000e-02
8.61168e-01	7.93031e-18	0.00000e+00	0.00000e+00	6.15122e-01	2.46049e-01	-9.26514e-04	-4.17359e-01	6.95400e-02	2.64000e-02
8.59935e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.14246e-01	2.45699e-01	-1.76382e-03	-4.15415e-01	7.03329e-02	2.64000e-02
8.60059e-01	-7.93031e-18	0.00000e+00	0.00000e+00	6.14332e-01	2.45733e-01	-3.11732e-03	-4.13437e-01	7.11209e-02	2.64000e-02
8.60035e-01	-3.96505e-18	0.00000e+00	0.00000e+00	6.14308e-01	2.45723e-01	-3.76677e-03	-4.11425e-01	7.19040e-02	2.64000e-02
8.59790e-01	3.96505e-22	0.00000e+00	0.00000e+00	6.14143e-01	2.45657e-01	-4.14539e-03	-4.09379e-01	7.26820e-02	2.64000e-02
8.60820e-01	3.96525e-18	0.00000e+00	0.00000e+00	6.14870e-01	2.45948e-01	-5.21566e-03	-4.07297e-01	7.34546e-02	2.64000e-02
8.62687e-01	-5.94718e-18	0.00000e+00	0.00000e+00	6.16235e-01	2.46494e-01	-8.15042e-03	-4.05181e-01	7.42216e-02	2.64000e-02
8.67537e-01	-1.98253e-22	0.00000e+00	0.00000e+00	6.19696e-01	2.47879e-01	-1.11307e-02	-4.03030e-01	7.49828e-02	2.64000e-02
8.74695e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.24787e-01	2.49915e-01	-1.01913e-02	-4.00843e-01	7.57380e-02	2.64000e-02
8.79272e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.28055e-01	2.51222e-01	-7.19513e-03	-3.98621e-01	7.64870e-02	2.64000e-02
8.83243e-01	7.93011e-18	0.00000e+00	0.00000e+00	6.30889e-01	2.52356e-01	-5.38784e-03	-3.96364e-01	7.72296e-02	2.64000e-02
