"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Function0"	"Points:0"	"Points:1"	"Points:2"
8.60818e-01	7.92991e-18	0.00000e+00	0.00000e+00	6.14869e-01	2.45947e-01	5.83857e-03	-4.67281e-01	5.14223e-02	5.50000e-02
8.60965e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.14974e-01	2.45989e-01	5.60255e-03	-4.66007e-01	5.23065e-02	5.50000e-02
8.61055e-01	-7.93011e-18	0.00000e+00	0.00000e+00	6.15038e-01	2.46015e-01	5.39027e-03	-4.64705e-01	5.31874e-02	5.50000e-02
8.61093e-01	-3.96505e-18	0.00000e+00	0.00000e+00	6.15065e-01	2.46026e-01	5.20297e-03	-4.63376e-01	5.40651e-02	5.50000e-02
8.61083e-01	3.96525e-18	0.00000e+00	0.00000e+00	6.15058e-01	2.46023e-01	5.03540e-03	-4.62019e-01	5.49397e-02	5.50000e-02
8.61031e-01	-7.93070e-18	0.00000e+00	0.00000e+00	6.15021e-01	2.46008e-01	4.88826e-03	-4.60634e-01	5.58114e-02	5.50000e-02
8.60944e-01	7.93011e-18	0.00000e+00	0.00000e+00	6.14959e-01	2.45983e-01	4.75851e-03	-4.59220e-01	5.66803e-02	5.50000e-02
8.60825e-01	3.96505e-18	0.00000e+00	0.00000e+00	6.14874e-01	2.45949e-01	4.64236e-03	-4.57777e-01	5.75464e-02	5.50000e-02
8.60681e-01	-1.98253e-22	0.00000e+00	0.00000e+00	6.14770e-01	2.45908e-01	4.54102e-03	-4.56304e-01	5.84098e-02	5.50000e-02
8.60515e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.14652e-01	2.45861e-01	4.44550e-03	-4.54800e-01	5.92704e-02	5.50000e-02
8.60329e-01	1.98292e-18	0.00000e+00	0.00000e+00	6.14518e-01	2.45807e-01	4.35509e-03	-4.53266e-01	6.01282e-02	5.50000e-02
8.60128e-01	-1.98233e-18	0.00000e+00	0.00000e+00	6.14375e-01	2.45750e-01	4.25779e-03	-4.51701e-01	6.09832e-02	5.50000e-02
8.59918e-01	-1.98253e-22	0.00000e+00	0.00000e+00	6.14224e-01	2.45690e-01	4.13716e-03	-4.50104e-01	6.18353e-02	5.50000e-02
8.59726e-01	9.91263e-18	0.00000e+00	0.00000e+00	6.14087e-01	2.45635e-01	3.97538e-03	-4.48476e-01	6.26844e-02	5.50000e-02
8.59587e-01	-1.98253e-22	0.00000e+00	0.00000e+00	6.13986e-01	2.45595e-01	3.75104e-03	-4.46815e-01	6.35304e-02	5.50000e-02
8.59524e-01	-5.94798e-18	0.00000e+00	0.00000e+00	6.13941e-01	2.45576e-01	3.43468e-03	-4.45121e-01	6.43733e-02	5.50000e-02
8.59567e-01	7.93031e-18	0.00000e+00	0.00000e+00	6.13970e-01	2.45588e-01	3.00692e-03	-4.43394e-01	6.52129e-02	5.50000e-02
8.59718e-01	3.96505e-18	0.00000e+00	0.00000e+00	6.14077e-01	2.45631e-01	2.48482e-03	-4.41634e-01	6.60490e-02	5.50000e-02
8.60002e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.14279e-01	2.45712e-01	1.95033e-03	-4.39840e-01	6.68815e-02	5.50000e-02
8.60313e-01	-1.98292e-18	0.00000e+00	0.00000e+00	6.14500e-01	2.45800e-01	1.51201e-03	-4.38013e-01	6.77103e-02	5.50000e-02
8.60536e-01	3.96505e-18	0.00000e+00	0.00000e+00	6.14660e-01	2.45864e-01	1.26686e-03	-4.36151e-01	6.85351e-02	5.50000e-02
8.60640e-01	1.98253e-22	0.00000e+00	0.00000e+00	6.14733e-01	2.45893e-01	1.26217e-03	-4.34254e-01	6.93558e-02	5.50000e-02
8.60466e-01	1.98233e-18	0.00000e+00	0.00000e+00	6.14609e-01	2.45844e-01	1.37240e-03	-4.32323e-01	7.01722e-02	5.50000e-02
8.60071e-01	-3.96486e-18	0.00000e+00	0.00000e+00	6.14329e-01	2.45732e-01	1.40057e-03	-4.30357e-01	7.09841e-02	5.50000e-02
8.59664e-01	-3.96505e-18	0.00000e+00	0.00000e+00	6.14038e-01	2.45615e-01	1.37041e-03	-4.28356e-01	7.17913e-02	5.50000e-02
8.59321e-01	0.00000e+00	0.00000e+00	0.00000e+00	6.13797e-01	2.45519e-01	1.42644e-03	-4.26319e-01	7.25936e-02	5.50000e-02
8.58719e-01	-3.96505e-18	0.00000e+00	0.00000e+00	6.13364e-01	2.45345e-01	1.27572e-03	-4.24247e-01	7.33908e-02	5.50000e-02
8.57842e-01	-7.93031e-18	0.00000e+00	0.00000e+00	6.12739e-01	2.45095e-01	3.74314e-04	-4.22139e-01	7.41826e-02	5.50000e-02
8.58320e-01	-1.98253e-22	0.00000e+00	0.00000e+00	6.13085e-01	2.45234e-01	-6.22698e-04	-4.19995e-01	7.49689e-02	5.50000e-02
8.60575e-01	1.18954e-17	0.00000e+00	0.00000e+00	6.14701e-01	2.45880e-01	-6.68865e-04	-4.17814e-01	7.57494e-02	5.50000e-02
8.62523e-01	-3.96505e-18	0.00000e+00	0.00000e+00	6.16088e-01	2.46435e-01	-5.18804e-04	-4.15598e-01	7.65239e-02	5.50000e-02
8.64311e-01	3.96486e-18	0.00000e+00	0.00000e+00	6.17371e-01	2.46949e-01	-1.21166e-03	-4.13345e-01	7.72921e-02	5.50000e-02
8.67626e-01	-3.96505e-22	0.00000e+00	0.00000e+00	6.19740e-01	2.47896e-01	-1.51528e-03	-4.11056e-01	7.80538e-02	5.50000e-02
8.72571e-01	-7.93031e-18	0.00000e+00	0.00000e+00	6.23275e-01	2.49310e-01	3.12960e-04	-4.08730e-01	7.88089e-02	5.50000e-02
8.75951e-01	7.92971e-18	0.00000e+00	0.00000e+00	6.25700e-01	2.50280e-01	2.98600e-03	-4.06368e-01	7.95570e-02	5.50000e-02
8.73348e-01	-7.92991e-18	0.00000e+00	0.00000e+00	6.23776e-01	2.49510e-01	2.44219e-03	-4.03968e-01	8.02979e-02	5.50000e-02
