x0	i=0	x1	i=1	x2	i=2	
5.305305e-02 	 5.301642e-02 	5.305305e-02 	 5.305307e-02 	5.305305e-02 	 5.305048e-02 	 
5.405405e-02 	 5.401674e-02 	5.405405e-02 	 5.405407e-02 	5.405405e-02 	 5.405144e-02 	 
5.505506e-02 	 5.501706e-02 	5.505506e-02 	 5.505507e-02 	5.505506e-02 	 5.505239e-02 	 
5.605606e-02 	 5.601739e-02 	5.605606e-02 	 5.605607e-02 	5.605606e-02 	 5.605335e-02 	 
5.705706e-02 	 5.701771e-02 	5.705706e-02 	 5.705708e-02 	5.705706e-02 	 5.705431e-02 	 
5.805806e-02 	 5.801804e-02 	5.805806e-02 	 5.805808e-02 	5.805806e-02 	 5.805526e-02 	 
5.905906e-02 	 5.901836e-02 	5.905906e-02 	 5.905908e-02 	5.905906e-02 	 5.905622e-02 	 
6.006006e-02 	 6.001868e-02 	6.006006e-02 	 6.006009e-02 	6.006006e-02 	 6.005718e-02 	 
6.106106e-02 	 6.101901e-02 	6.106106e-02 	 6.106109e-02 	6.106106e-02 	 6.105814e-02 	 
6.206206e-02 	 6.201933e-02 	6.206206e-02 	 6.206209e-02 	6.206206e-02 	 6.205909e-02 	 
6.306306e-02 	 6.301965e-02 	6.306306e-02 	 6.306310e-02 	6.306306e-02 	 6.306005e-02 	 
6.406406e-02 	 6.401998e-02 	6.406406e-02 	 6.406410e-02 	6.406406e-02 	 6.406101e-02 	 
6.506507e-02 	 6.502030e-02 	6.506507e-02 	 6.506510e-02 	6.506507e-02 	 6.506197e-02 	 
6.606607e-02 	 6.602062e-02 	6.606607e-02 	 6.606611e-02 	6.606607e-02 	 6.606292e-02 	 
6.706707e-02 	 6.702094e-02 	6.706707e-02 	 6.706711e-02 	6.706707e-02 	 6.706388e-02 	 
6.806807e-02 	 6.802126e-02 	6.806807e-02 	 6.806812e-02 	6.806807e-02 	 6.806484e-02 	 
6.906907e-02 	 6.902158e-02 	6.906907e-02 	 6.906912e-02 	6.906907e-02 	 6.906580e-02 	 
7.007007e-02 	 7.002190e-02 	7.007007e-02 	 7.007013e-02 	7.007007e-02 	 7.006676e-02 	 
7.107107e-02 	 7.102222e-02 	7.107107e-02 	 7.107113e-02 	7.107107e-02 	 7.106772e-02 	 
7.207207e-02 	 7.202253e-02 	7.207207e-02 	 7.207214e-02 	7.207207e-02 	 7.206868e-02 	 
7.307307e-02 	 7.302285e-02 	7.307307e-02 	 7.307314e-02 	7.307307e-02 	 7.306964e-02 	 
7.407407e-02 	 7.402316e-02 	7.407407e-02 	 7.407415e-02 	7.407407e-02 	 7.407059e-02 	 
7.507508e-02 	 7.502347e-02 	7.507508e-02 	 7.507515e-02 	7.507508e-02 	 7.507155e-02 	 
7.607608e-02 	 7.602379e-02 	7.607608e-02 	 7.607616e-02 	7.607608e-02 	 7.607251e-02 	 
7.707708e-02 	 7.702410e-02 	7.707708e-02 	 7.707716e-02 	7.707708e-02 	 7.707347e-02 	 
7.807808e-02 	 7.802440e-02 	7.807808e-02 	 7.807817e-02 	7.807808e-02 	 7.807443e-02 	 
7.907908e-02 	 7.902471e-02 	7.907908e-02 	 7.907918e-02 	7.907908e-02 	 7.907539e-02 	 
