x	Cf	
-1.010122e-01 	 -7.712327e-04 	 
-9.569988e-02 	 -7.692721e-04 	 
-9.037240e-02 	 -7.686388e-04 	 
-8.503056e-02 	 -7.704602e-04 	 
-7.967512e-02 	 -7.733313e-04 	 
-7.430684e-02 	 -7.754305e-04 	 
-6.892650e-02 	 -7.762179e-04 	 
-6.353487e-02 	 -7.765727e-04 	 
-5.813272e-02 	 -7.791427e-04 	 
-5.272083e-02 	 -7.854373e-04 	 
-4.729999e-02 	 -7.935929e-04 	 
-4.187097e-02 	 -8.006571e-04 	 
-3.643458e-02 	 -8.048288e-04 	 
-3.099157e-02 	 -8.072449e-04 	 
-2.554277e-02 	 -8.103318e-04 	 
-2.008894e-02 	 -8.151973e-04 	 
-1.463090e-02 	 -8.207935e-04 	 
-9.169433e-03 	 -8.250985e-04 	 
-3.705335e-03 	 -8.273245e-04 	 
1.760596e-03 	 -8.279788e-04 	 
7.227560e-03 	 -8.278829e-04 	 
1.269476e-02 	 -8.275269e-04 	 
1.816139e-02 	 -8.282349e-04 	 
2.362666e-02 	 -8.309932e-04 	 
2.908977e-02 	 -8.355604e-04 	 
3.454991e-02 	 -8.411705e-04 	 
4.000629e-02 	 -8.470572e-04 	 
4.545812e-02 	 -8.533214e-04 	 
5.090458e-02 	 -8.597175e-04 	 
5.634489e-02 	 -8.660319e-04 	 
6.177824e-02 	 -8.730940e-04 	 
6.720385e-02 	 -8.820598e-04 	 
7.262093e-02 	 -8.919433e-04 	 
7.802868e-02 	 -9.018665e-04 	 
8.342630e-02 	 -9.130226e-04 	 
8.881303e-02 	 -9.269185e-04 	 
9.418807e-02 	 -9.432353e-04 	 
9.955063e-02 	 -9.609628e-04 	 
1.049000e-01 	 -9.804251e-04 	 
1.102353e-01 	 -1.000653e-03 	 
1.155557e-01 	 -1.021757e-03 	 
1.208607e-01 	 -1.045588e-03 	 
1.261493e-01 	 -1.071810e-03 	 
1.314208e-01 	 -1.097539e-03 	 
1.366744e-01 	 -1.122154e-03 	 
1.419094e-01 	 -1.148453e-03 	 
1.471251e-01 	 -1.177310e-03 	 
1.523207e-01 	 -1.206517e-03 	 
1.574954e-01 	 -1.235445e-03 	 
1.626485e-01 	 -1.264081e-03 	 
1.677793e-01 	 -1.292910e-03 	 
1.728871e-01 	 -1.322262e-03 	 
1.779711e-01 	 -1.351785e-03 	 
1.830307e-01 	 -1.382144e-03 	 
1.880651e-01 	 -1.416442e-03 	 
1.930735e-01 	 -1.454275e-03 	 
1.980554e-01 	 -1.490778e-03 	 
2.030101e-01 	 -1.524477e-03 	 
2.079368e-01 	 -1.558608e-03 	 
2.128348e-01 	 -1.594279e-03 	 
2.177036e-01 	 -1.629981e-03 	 
2.225424e-01 	 -1.666323e-03 	 
2.273505e-01 	 -1.704337e-03 	 
2.321275e-01 	 -1.744186e-03 	 
2.368725e-01 	 -1.785391e-03 	 
2.415850e-01 	 -1.826752e-03 	 
2.462643e-01 	 -1.866426e-03 	 
2.509099e-01 	 -1.904469e-03 	 
2.555211e-01 	 -1.944442e-03 	 
2.600973e-01 	 -1.988300e-03 	 
2.646380e-01 	 -2.031627e-03 	 
2.691426e-01 	 -2.069068e-03 	 
2.736104e-01 	 -2.101807e-03 	 
2.780410e-01 	 -2.131448e-03 	 
2.824338e-01 	 -2.156206e-03 	 
2.867882e-01 	 -2.177820e-03 	 
2.911038e-01 	 -2.202173e-03 	 
2.953799e-01 	 -2.230069e-03 	 
2.996161e-01 	 -2.254260e-03 	 
3.038120e-01 	 -2.270039e-03 	 
3.079669e-01 	 -2.284970e-03 	 
3.120805e-01 	 -2.304078e-03 	 
3.161523e-01 	 -2.322905e-03 	 
3.201818e-01 	 -2.337602e-03 	 
3.241686e-01 	 -2.350753e-03 	 
3.281122e-01 	 -2.363509e-03 	 
3.320123e-01 	 -2.376722e-03 	 
3.358684e-01 	 -2.395043e-03 	 
3.396801e-01 	 -2.413774e-03 	 
3.434471e-01 	 -2.423176e-03 	 
3.471690e-01 	 -2.424137e-03 	 
3.508455e-01 	 -2.420009e-03 	 
3.544762e-01 	 -2.413025e-03 	 
3.580607e-01 	 -2.410177e-03 	 
3.615989e-01 	 -2.414089e-03 	 
3.650903e-01 	 -2.411434e-03 	 
3.685347e-01 	 -2.396064e-03 	 
3.719318e-01 	 -2.375790e-03 	 
3.752814e-01 	 -2.355541e-03 	 
3.785833e-01 	 -2.334790e-03 	 
3.818371e-01 	 -2.311950e-03 	 
3.850428e-01 	 -2.290022e-03 	 
3.882000e-01 	 -2.269386e-03 	 
3.913087e-01 	 -2.246426e-03 	 
3.943687e-01 	 -2.219082e-03 	 
3.973798e-01 	 -2.189539e-03 	 
4.003418e-01 	 -2.158110e-03 	 
4.032547e-01 	 -2.120690e-03 	 
4.061185e-01 	 -2.077526e-03 	 
4.089329e-01 	 -2.040194e-03 	 
4.116979e-01 	 -2.015582e-03 	 
4.144135e-01 	 -1.994038e-03 	 
4.170797e-01 	 -1.966226e-03 	 
4.196965e-01 	 -1.928500e-03 	 
4.222637e-01 	 -1.879091e-03 	 
4.247816e-01 	 -1.822854e-03 	 
4.272501e-01 	 -1.769203e-03 	 
4.296692e-01 	 -1.723886e-03 	 
4.320391e-01 	 -1.687584e-03 	 
4.343599e-01 	 -1.651883e-03 	 
4.366316e-01 	 -1.611327e-03 	 
4.388545e-01 	 -1.568258e-03 	 
4.410286e-01 	 -1.521861e-03 	 
4.431541e-01 	 -1.470757e-03 	 
4.452313e-01 	 -1.417456e-03 	 
4.472603e-01 	 -1.363446e-03 	 
4.492413e-01 	 -1.310259e-03 	 
4.511747e-01 	 -1.260545e-03 	 
4.530607e-01 	 -1.215432e-03 	 
4.548997e-01 	 -1.175946e-03 	 
4.566918e-01 	 -1.143154e-03 	 
4.584375e-01 	 -1.112937e-03 	 
4.601371e-01 	 -1.078135e-03 	 
4.617909e-01 	 -1.039869e-03 	 
4.633995e-01 	 -1.006649e-03 	 
4.649633e-01 	 -9.775612e-04 	 
4.664825e-01 	 -9.426348e-04 	 
4.679578e-01 	 -9.012140e-04 	 
4.693896e-01 	 -8.612978e-04 	 
4.707785e-01 	 -8.252031e-04 	 
4.721249e-01 	 -7.886885e-04 	 
4.734295e-01 	 -7.523656e-04 	 
4.746927e-01 	 -7.194159e-04 	 
4.759153e-01 	 -6.893322e-04 	 
4.770978e-01 	 -6.605647e-04 	 
4.782410e-01 	 -6.328017e-04 	 
4.793454e-01 	 -6.044906e-04 	 
4.804118e-01 	 -5.758393e-04 	 
4.814408e-01 	 -5.512977e-04 	 
4.824334e-01 	 -5.319417e-04 	 
4.833902e-01 	 -5.140381e-04 	 
4.843120e-01 	 -4.969020e-04 	 
4.851996e-01 	 -4.820603e-04 	 
4.860540e-01 	 -4.700966e-04 	 
4.868760e-01 	 -4.595969e-04 	 
4.876664e-01 	 -4.490241e-04 	 
4.884262e-01 	 -4.382135e-04 	 
4.891564e-01 	 -4.276604e-04 	 
4.898580e-01 	 -4.173925e-04 	 
4.905319e-01 	 -4.073809e-04 	 
4.911792e-01 	 -3.973316e-04 	 
4.918009e-01 	 -3.884610e-04 	 
4.923982e-01 	 -3.776761e-04 	 
4.929722e-01 	 -3.694693e-04 	 
4.935239e-01 	 -3.578632e-04 	 
4.940546e-01 	 -3.472814e-04 	 
4.945655e-01 	 -3.327778e-04 	 
4.950578e-01 	 -3.158319e-04 	 
4.955327e-01 	 -2.963798e-04 	 
4.959916e-01 	 -2.689625e-04 	 
4.964357e-01 	 -2.372670e-04 	 
4.968664e-01 	 -1.987145e-04 	 
4.972851e-01 	 -1.457674e-04 	 
4.976931e-01 	 -1.055658e-04 	 
4.980919e-01 	 -2.262216e-05 	 
4.984830e-01 	 -3.005663e-05 	 
4.988678e-01 	 3.082465e-05 	 
4.992478e-01 	 -1.727158e-04 	 
4.996247e-01 	 -7.945189e-04 	 
5.000000e-01 	 -9.386000e-04 	 
