x0	G1	x1	G2	x2	G3	x3	G4	
-4.685310e-01 	 -1.174267e+00 	-4.520680e-01 	 -1.215337e+00 	-4.633250e-01 	 -1.187037e+00 	-4.633250e-01 	 -1.206463e+00 	 
-4.671810e-01 	 -1.173360e+00 	-4.490690e-01 	 -1.217414e+00 	-4.614430e-01 	 -1.187113e+00 	-4.614430e-01 	 -1.207090e+00 	 
-4.657970e-01 	 -1.172641e+00 	-4.459440e-01 	 -1.218758e+00 	-4.594960e-01 	 -1.187760e+00 	-4.594960e-01 	 -1.208187e+00 	 
-4.643780e-01 	 -1.172148e+00 	-4.426900e-01 	 -1.220473e+00 	-4.574830e-01 	 -1.188988e+00 	-4.574830e-01 	 -1.209784e+00 	 
-4.629250e-01 	 -1.171926e+00 	-4.393070e-01 	 -1.220583e+00 	-4.554020e-01 	 -1.190749e+00 	-4.554020e-01 	 -1.211878e+00 	 
-4.614350e-01 	 -1.172014e+00 	-4.357930e-01 	 -1.211965e+00 	-4.532530e-01 	 -1.192903e+00 	-4.532530e-01 	 -1.214315e+00 	 
-4.599100e-01 	 -1.172463e+00 	-4.321470e-01 	 -1.194203e+00 	-4.510340e-01 	 -1.195176e+00 	-4.510340e-01 	 -1.216714e+00 	 
-4.583470e-01 	 -1.173324e+00 	-4.283680e-01 	 -1.176219e+00 	-4.487450e-01 	 -1.197431e+00 	-4.487450e-01 	 -1.218682e+00 	 
-4.567470e-01 	 -1.174585e+00 	-4.244550e-01 	 -1.163002e+00 	-4.463840e-01 	 -1.199631e+00 	-4.463840e-01 	 -1.219934e+00 	 
-4.551080e-01 	 -1.176182e+00 	-4.204080e-01 	 -1.153518e+00 	-4.439510e-01 	 -1.201417e+00 	-4.439510e-01 	 -1.220360e+00 	 
-4.534310e-01 	 -1.178001e+00 	-4.162260e-01 	 -1.146125e+00 	-4.414460e-01 	 -1.202521e+00 	-4.414460e-01 	 -1.219432e+00 	 
-4.517140e-01 	 -1.179886e+00 	-4.119090e-01 	 -1.139185e+00 	-4.388660e-01 	 -1.202436e+00 	-4.388660e-01 	 -1.215404e+00 	 
-4.499570e-01 	 -1.181746e+00 	-4.074550e-01 	 -1.132017e+00 	-4.362120e-01 	 -1.199004e+00 	-4.362120e-01 	 -1.207015e+00 	 
-4.481600e-01 	 -1.183536e+00 	-4.028670e-01 	 -1.125049e+00 	-4.334830e-01 	 -1.189973e+00 	-4.334830e-01 	 -1.195357e+00 	 
-4.463220e-01 	 -1.185221e+00 	-3.981420e-01 	 -1.118414e+00 	-4.306780e-01 	 -1.176551e+00 	-4.306780e-01 	 -1.182985e+00 	 
-4.444420e-01 	 -1.186722e+00 	-3.932820e-01 	 -1.111650e+00 	-4.277970e-01 	 -1.163082e+00 	-4.277970e-01 	 -1.172320e+00 	 
-4.425200e-01 	 -1.187922e+00 	-3.882870e-01 	 -1.105170e+00 	-4.248390e-01 	 -1.152044e+00 	-4.248390e-01 	 -1.163802e+00 	 
-4.405560e-01 	 -1.188547e+00 	-3.831570e-01 	 -1.098203e+00 	-4.218050e-01 	 -1.142042e+00 	-4.218050e-01 	 -1.156553e+00 	 
-4.385490e-01 	 -1.187775e+00 	-3.778930e-01 	 -1.086596e+00 	-4.186930e-01 	 -1.132643e+00 	-4.186930e-01 	 -1.150257e+00 	 
-4.364990e-01 	 -1.184536e+00 	-3.724950e-01 	 -1.068493e+00 	-4.155030e-01 	 -1.124675e+00 	-4.155030e-01 	 -1.144483e+00 	 
-4.344060e-01 	 -1.178277e+00 	-3.669650e-01 	 -1.046847e+00 	-4.122350e-01 	 -1.117465e+00 	-4.122350e-01 	 -1.139328e+00 	 
-4.322690e-01 	 -1.169420e+00 	-3.613030e-01 	 -1.023573e+00 	-4.088900e-01 	 -1.110902e+00 	-4.088900e-01 	 -1.135353e+00 	 
-4.300870e-01 	 -1.159455e+00 	-3.555100e-01 	 -9.983336e-01 	-4.054650e-01 	 -1.105259e+00 	-4.054650e-01 	 -1.131281e+00 	 
-4.278610e-01 	 -1.150026e+00 	-3.495870e-01 	 -9.715445e-01 	-4.019630e-01 	 -1.100709e+00 	-4.019630e-01 	 -1.125785e+00 	 
-4.255910e-01 	 -1.141774e+00 	-3.435360e-01 	 -9.443330e-01 	-3.983820e-01 	 -1.096688e+00 	-3.983820e-01 	 -1.119615e+00 	 
-4.232750e-01 	 -1.134506e+00 	-3.373570e-01 	 -9.192189e-01 	-3.947230e-01 	 -1.091549e+00 	-3.947230e-01 	 -1.113385e+00 	 
-4.209140e-01 	 -1.127846e+00 	-3.310530e-01 	 -9.005277e-01 	-3.909850e-01 	 -1.085804e+00 	-3.909850e-01 	 -1.106407e+00 	 
-4.185080e-01 	 -1.121771e+00 	-3.246260e-01 	 -8.886984e-01 	-3.871690e-01 	 -1.080028e+00 	-3.871690e-01 	 -1.098120e+00 	 
-4.160560e-01 	 -1.116262e+00 	-3.180750e-01 	 -8.800051e-01 	-3.832740e-01 	 -1.072645e+00 	-3.832740e-01 	 -1.088072e+00 	 
-4.135590e-01 	 -1.110853e+00 	-3.114040e-01 	 -8.730341e-01 	-3.793020e-01 	 -1.062732e+00 	-3.793020e-01 	 -1.075944e+00 	 
-4.110150e-01 	 -1.105565e+00 	-3.046150e-01 	 -8.679212e-01 	-3.752510e-01 	 -1.050615e+00 	-3.752510e-01 	 -1.061426e+00 	 
-4.084250e-01 	 -1.101081e+00 	-2.977090e-01 	 -8.635423e-01 	-3.711240e-01 	 -1.037216e+00 	-3.711240e-01 	 -1.044039e+00 	 
-4.057890e-01 	 -1.097196e+00 	-2.906880e-01 	 -8.594496e-01 	-3.669190e-01 	 -1.022254e+00 	-3.669190e-01 	 -1.024721e+00 	 
-4.031070e-01 	 -1.092921e+00 	-2.835540e-01 	 -8.556824e-01 	-3.626370e-01 	 -1.004484e+00 	-3.626370e-01 	 -1.004581e+00 	 
-4.003780e-01 	 -1.088030e+00 	-2.763100e-01 	 -8.513209e-01 	-3.582780e-01 	 -9.841289e-01 	-3.582780e-01 	 -9.837199e-01 	 
-3.976020e-01 	 -1.083081e+00 	-2.689580e-01 	 -8.462469e-01 	-3.538440e-01 	 -9.621727e-01 	-3.538440e-01 	 -9.625676e-01 	 
-3.947810e-01 	 -1.077999e+00 	-2.615010e-01 	 -8.418086e-01 	-3.493340e-01 	 -9.401409e-01 	-3.493340e-01 	 -9.418872e-01 	 
-3.919120e-01 	 -1.072393e+00 	-2.539400e-01 	 -8.384545e-01 	-3.447490e-01 	 -9.202195e-01 	-3.447490e-01 	 -9.219858e-01 	 
-3.889970e-01 	 -1.066225e+00 	-2.462790e-01 	 -8.355918e-01 	-3.400890e-01 	 -9.029428e-01 	-3.400890e-01 	 -9.042346e-01 	 
-3.860360e-01 	 -1.059251e+00 	-2.385200e-01 	 -8.327199e-01 	-3.353550e-01 	 -8.882588e-01 	-3.353550e-01 	 -8.899076e-01 	 
-3.830280e-01 	 -1.051698e+00 	-2.306650e-01 	 -8.287750e-01 	-3.305490e-01 	 -8.765468e-01 	-3.305490e-01 	 -8.778260e-01 	 
-3.799730e-01 	 -1.043681e+00 	-2.227190e-01 	 -8.229055e-01 	-3.256690e-01 	 -8.668118e-01 	-3.256690e-01 	 -8.671526e-01 	 
-3.768720e-01 	 -1.034525e+00 	-2.146820e-01 	 -8.165708e-01 	-3.207180e-01 	 -8.583184e-01 	-3.207180e-01 	 -8.582082e-01 	 
-3.737250e-01 	 -1.023350e+00 	-2.065590e-01 	 -8.111356e-01 	-3.156950e-01 	 -8.519213e-01 	-3.156950e-01 	 -8.504436e-01 	 
-3.705310e-01 	 -1.009581e+00 	-1.983520e-01 	 -8.056843e-01 	-3.106020e-01 	 -8.478792e-01 	-3.106020e-01 	 -8.438674e-01 	 
-3.672910e-01 	 -9.937097e-01 	-1.900640e-01 	 -7.998426e-01 	-3.054400e-01 	 -8.454066e-01 	-3.054400e-01 	 -8.391720e-01 	 
-3.640050e-01 	 -9.772018e-01 	-1.816980e-01 	 -7.935206e-01 	-3.002080e-01 	 -8.437499e-01 	-3.002080e-01 	 -8.355176e-01 	 
-3.606740e-01 	 -9.610687e-01 	-1.732580e-01 	 -7.858076e-01 	-2.949090e-01 	 -8.422240e-01 	-2.949090e-01 	 -8.314626e-01 	 
-3.572960e-01 	 -9.452918e-01 	-1.647470e-01 	 -7.772617e-01 	-2.895430e-01 	 -8.408072e-01 	-2.895430e-01 	 -8.267504e-01 	 
-3.538730e-01 	 -9.301464e-01 	-1.561670e-01 	 -7.687956e-01 	-2.841110e-01 	 -8.399591e-01 	-2.841110e-01 	 -8.220678e-01 	 
-3.504050e-01 	 -9.160041e-01 	-1.475230e-01 	 -7.600348e-01 	-2.786130e-01 	 -8.394845e-01 	-2.786130e-01 	 -8.181928e-01 	 
-3.468920e-01 	 -9.024462e-01 	-1.388170e-01 	 -7.506932e-01 	-2.730520e-01 	 -8.388877e-01 	-2.730520e-01 	 -8.153006e-01 	 
-3.433330e-01 	 -8.891700e-01 	-1.300530e-01 	 -7.410070e-01 	-2.674280e-01 	 -8.379439e-01 	-2.674280e-01 	 -8.128315e-01 	 
-3.397300e-01 	 -8.770810e-01 	-1.212350e-01 	 -7.315971e-01 	-2.617410e-01 	 -8.366114e-01 	-2.617410e-01 	 -8.105179e-01 	 
-3.360830e-01 	 -8.670173e-01 	-1.123650e-01 	 -7.227379e-01 	-2.559940e-01 	 -8.350657e-01 	-2.559940e-01 	 -8.087489e-01 	 
-3.323910e-01 	 -8.588656e-01 	-1.034470e-01 	 -7.139075e-01 	-2.501870e-01 	 -8.336105e-01 	-2.501870e-01 	 -8.076483e-01 	 
-3.286560e-01 	 -8.520906e-01 	-9.448550e-02 	 -7.047652e-01 	-2.443220e-01 	 -8.321273e-01 	-2.443220e-01 	 -8.066709e-01 	 
-3.248760e-01 	 -8.459992e-01 	-8.548300e-02 	 -6.951241e-01 	-2.383990e-01 	 -8.301257e-01 	-2.383990e-01 	 -8.051169e-01 	 
-3.210540e-01 	 -8.404345e-01 	-7.644340e-02 	 -6.848084e-01 	-2.324190e-01 	 -8.278058e-01 	-2.324190e-01 	 -8.031440e-01 	 
-3.171890e-01 	 -8.354318e-01 	-6.737030e-02 	 -6.741462e-01 	-2.263850e-01 	 -8.257705e-01 	-2.263850e-01 	 -8.015179e-01 	 
-3.132800e-01 	 -8.311067e-01 	-5.826750e-02 	 -6.639946e-01 	-2.202970e-01 	 -8.239682e-01 	-2.202970e-01 	 -7.999650e-01 	 
-3.093300e-01 	 -8.280121e-01 	-4.913840e-02 	 -6.545019e-01 	-2.141570e-01 	 -8.221368e-01 	-2.141570e-01 	 -7.978209e-01 	 
-3.053380e-01 	 -8.258285e-01 	-3.998680e-02 	 -6.444078e-01 	-2.079650e-01 	 -8.201617e-01 	-2.079650e-01 	 -7.954792e-01 	 
