x0	T4	x1	T5	x2	T6	x3	T8	
-4.533070e-01 	 -1.319793e+00 	-4.533070e-01 	 -1.838967e+00 	-4.533070e-01 	 -1.703770e+00 	-4.533070e-01 	 -5.765209e-01 	 
-4.519565e-01 	 -1.323168e+00 	-4.519565e-01 	 -1.844923e+00 	-4.519565e-01 	 -1.710175e+00 	-4.519565e-01 	 -5.767500e-01 	 
-4.505733e-01 	 -1.325711e+00 	-4.505733e-01 	 -1.850721e+00 	-4.505733e-01 	 -1.715368e+00 	-4.505733e-01 	 -5.770308e-01 	 
-4.491564e-01 	 -1.327621e+00 	-4.491564e-01 	 -1.856201e+00 	-4.491564e-01 	 -1.719346e+00 	-4.491564e-01 	 -5.773686e-01 	 
-4.477054e-01 	 -1.329080e+00 	-4.477054e-01 	 -1.861182e+00 	-4.477054e-01 	 -1.722253e+00 	-4.477054e-01 	 -5.777712e-01 	 
-4.462194e-01 	 -1.330245e+00 	-4.462194e-01 	 -1.865544e+00 	-4.462194e-01 	 -1.724374e+00 	-4.462194e-01 	 -5.782719e-01 	 
-4.446979e-01 	 -1.331429e+00 	-4.446979e-01 	 -1.869234e+00 	-4.446979e-01 	 -1.726012e+00 	-4.446979e-01 	 -5.788997e-01 	 
-4.431401e-01 	 -1.332822e+00 	-4.431401e-01 	 -1.872318e+00 	-4.431401e-01 	 -1.727565e+00 	-4.431401e-01 	 -5.796375e-01 	 
-4.415454e-01 	 -1.334499e+00 	-4.415454e-01 	 -1.874812e+00 	-4.415454e-01 	 -1.729359e+00 	-4.415454e-01 	 -5.804402e-01 	 
-4.399133e-01 	 -1.336642e+00 	-4.399133e-01 	 -1.877003e+00 	-4.399133e-01 	 -1.731693e+00 	-4.399133e-01 	 -5.813329e-01 	 
-4.382431e-01 	 -1.339471e+00 	-4.382431e-01 	 -1.879356e+00 	-4.382431e-01 	 -1.734571e+00 	-4.382431e-01 	 -5.824707e-01 	 
-4.365344e-01 	 -1.343131e+00 	-4.365344e-01 	 -1.881711e+00 	-4.365344e-01 	 -1.737520e+00 	-4.365344e-01 	 -5.840099e-01 	 
-4.347866e-01 	 -1.347180e+00 	-4.347866e-01 	 -1.883790e+00 	-4.347866e-01 	 -1.740071e+00 	-4.347866e-01 	 -5.858219e-01 	 
-4.329991e-01 	 -1.350986e+00 	-4.329991e-01 	 -1.885896e+00 	-4.329991e-01 	 -1.742002e+00 	-4.329991e-01 	 -5.875914e-01 	 
