x	Cp	
-1.168511e-01 	 -7.997036e-01 	 
-1.115886e-01 	 -7.996223e-01 	 
-1.063087e-01 	 -7.995620e-01 	 
-1.010122e-01 	 -7.995187e-01 	 
-9.569988e-02 	 -7.995032e-01 	 
-9.037240e-02 	 -7.995168e-01 	 
-8.503056e-02 	 -7.995422e-01 	 
-7.967512e-02 	 -7.995711e-01 	 
-7.430684e-02 	 -7.996149e-01 	 
-6.892650e-02 	 -7.996853e-01 	 
-6.353487e-02 	 -7.997930e-01 	 
-5.813272e-02 	 -7.999452e-01 	 
-5.272083e-02 	 -8.001219e-01 	 
-4.729999e-02 	 -8.002942e-01 	 
-4.187097e-02 	 -8.004654e-01 	 
-3.643458e-02 	 -8.006585e-01 	 
-3.099157e-02 	 -8.008879e-01 	 
-2.554277e-02 	 -8.011516e-01 	 
-2.008894e-02 	 -8.014357e-01 	 
-1.463090e-02 	 -8.017330e-01 	 
-9.169433e-03 	 -8.020530e-01 	 
-3.705335e-03 	 -8.024108e-01 	 
1.760596e-03 	 -8.028164e-01 	 
7.227560e-03 	 -8.032711e-01 	 
1.269476e-02 	 -8.037783e-01 	 
1.816139e-02 	 -8.043455e-01 	 
2.362666e-02 	 -8.049628e-01 	 
2.908977e-02 	 -8.056147e-01 	 
3.454991e-02 	 -8.063037e-01 	 
4.000629e-02 	 -8.070325e-01 	 
4.545812e-02 	 -8.077926e-01 	 
5.090458e-02 	 -8.085806e-01 	 
5.634489e-02 	 -8.094064e-01 	 
6.177824e-02 	 -8.102808e-01 	 
6.720385e-02 	 -8.111985e-01 	 
7.262093e-02 	 -8.121504e-01 	 
7.802868e-02 	 -8.131474e-01 	 
8.342630e-02 	 -8.141867e-01 	 
8.881303e-02 	 -8.152407e-01 	 
9.418807e-02 	 -8.163077e-01 	 
9.955063e-02 	 -8.173960e-01 	 
1.049000e-01 	 -8.184946e-01 	 
1.102353e-01 	 -8.196084e-01 	 
1.155557e-01 	 -8.207468e-01 	 
1.208607e-01 	 -8.218842e-01 	 
1.261493e-01 	 -8.229891e-01 	 
1.314208e-01 	 -8.240850e-01 	 
1.366744e-01 	 -8.252141e-01 	 
1.419094e-01 	 -8.263528e-01 	 
1.471251e-01 	 -8.274539e-01 	 
1.523207e-01 	 -8.285298e-01 	 
1.574954e-01 	 -8.296132e-01 	 
1.626485e-01 	 -8.306890e-01 	 
1.677793e-01 	 -8.317288e-01 	 
1.728871e-01 	 -8.327343e-01 	 
1.779711e-01 	 -8.337116e-01 	 
1.830307e-01 	 -8.346694e-01 	 
1.880651e-01 	 -8.356039e-01 	 
1.930735e-01 	 -8.364727e-01 	 
1.980554e-01 	 -8.372804e-01 	 
2.030101e-01 	 -8.380649e-01 	 
2.079368e-01 	 -8.387784e-01 	 
2.128348e-01 	 -8.393824e-01 	 
2.177036e-01 	 -8.399235e-01 	 
2.225424e-01 	 -8.404126e-01 	 
2.273505e-01 	 -8.408100e-01 	 
2.321275e-01 	 -8.410872e-01 	 
2.368725e-01 	 -8.412321e-01 	 
2.415850e-01 	 -8.412783e-01 	 
2.462643e-01 	 -8.412746e-01 	 
2.509099e-01 	 -8.412129e-01 	 
2.555211e-01 	 -8.410371e-01 	 
2.600973e-01 	 -8.406875e-01 	 
2.646380e-01 	 -8.401709e-01 	 
2.691426e-01 	 -8.395686e-01 	 
2.736104e-01 	 -8.388945e-01 	 
2.780410e-01 	 -8.380878e-01 	 
2.824338e-01 	 -8.371799e-01 	 
2.867882e-01 	 -8.362299e-01 	 
2.911038e-01 	 -8.351844e-01 	 
2.953799e-01 	 -8.339995e-01 	 
2.996161e-01 	 -8.327291e-01 	 
3.038120e-01 	 -8.314406e-01 	 
3.079669e-01 	 -8.301070e-01 	 
3.120805e-01 	 -8.286270e-01 	 
3.161523e-01 	 -8.270159e-01 	 
3.201818e-01 	 -8.253812e-01 	 
3.241686e-01 	 -8.237126e-01 	 
3.281122e-01 	 -8.219494e-01 	 
3.320123e-01 	 -8.201127e-01 	 
3.358684e-01 	 -8.181590e-01 	 
3.396801e-01 	 -8.160418e-01 	 
3.434471e-01 	 -8.138806e-01 	 
3.471690e-01 	 -8.117272e-01 	 
3.508455e-01 	 -8.095120e-01 	 
3.544762e-01 	 -8.072741e-01 	 
3.580607e-01 	 -8.050304e-01 	 
3.615989e-01 	 -8.026929e-01 	 
