x0	avg	
-1.168511e-01 	 -7.198707e-01 	 
-1.115886e-01 	 -7.195724e-01 	 
-1.063087e-01 	 -7.192867e-01 	 
-1.010122e-01 	 -7.190161e-01 	 
-9.569988e-02 	 -7.187668e-01 	 
-9.037240e-02 	 -7.185422e-01 	 
-8.503056e-02 	 -7.183436e-01 	 
-7.967512e-02 	 -7.181685e-01 	 
-7.430684e-02 	 -7.180182e-01 	 
-6.892650e-02 	 -7.178943e-01 	 
-6.353487e-02 	 -7.178017e-01 	 
-5.813272e-02 	 -7.177405e-01 	 
-5.272083e-02 	 -7.177088e-01 	 
-4.729999e-02 	 -7.177054e-01 	 
-4.187097e-02 	 -7.177290e-01 	 
-3.643458e-02 	 -7.177742e-01 	 
-3.099157e-02 	 -7.178400e-01 	 
-2.554277e-02 	 -7.179297e-01 	 
-2.008894e-02 	 -7.180412e-01 	 
-1.463090e-02 	 -7.181658e-01 	 
-9.169433e-03 	 -7.183000e-01 	 
-3.705335e-03 	 -7.184497e-01 	 
1.760596e-03 	 -7.186249e-01 	 
7.227560e-03 	 -7.188280e-01 	 
1.269476e-02 	 -7.190595e-01 	 
1.816139e-02 	 -7.193201e-01 	 
2.362666e-02 	 -7.196094e-01 	 
2.908977e-02 	 -7.199233e-01 	 
3.454991e-02 	 -7.202588e-01 	 
4.000629e-02 	 -7.206214e-01 	 
4.545812e-02 	 -7.210116e-01 	 
5.090458e-02 	 -7.214174e-01 	 
5.634489e-02 	 -7.218360e-01 	 
6.177824e-02 	 -7.222835e-01 	 
6.720385e-02 	 -7.227654e-01 	 
7.262093e-02 	 -7.232689e-01 	 
7.802868e-02 	 -7.237923e-01 	 
8.342630e-02 	 -7.243384e-01 	 
8.881303e-02 	 -7.249007e-01 	 
9.418807e-02 	 -7.254773e-01 	 
9.955063e-02 	 -7.260748e-01 	 
1.049000e-01 	 -7.266900e-01 	 
1.102353e-01 	 -7.273204e-01 	 
1.155557e-01 	 -7.279680e-01 	 
1.208607e-01 	 -7.286212e-01 	 
1.261493e-01 	 -7.292781e-01 	 
1.314208e-01 	 -7.299531e-01 	 
1.366744e-01 	 -7.306478e-01 	 
1.419094e-01 	 -7.313529e-01 	 
1.471251e-01 	 -7.320640e-01 	 
1.523207e-01 	 -7.327742e-01 	 
1.574954e-01 	 -7.334744e-01 	 
1.626485e-01 	 -7.341610e-01 	 
1.677793e-01 	 -7.348468e-01 	 
1.728871e-01 	 -7.355395e-01 	 
1.779711e-01 	 -7.362237e-01 	 
1.830307e-01 	 -7.368950e-01 	 
1.880651e-01 	 -7.375586e-01 	 
1.930735e-01 	 -7.382064e-01 	 
1.980554e-01 	 -7.388350e-01 	 
2.030101e-01 	 -7.394500e-01 	 
2.079368e-01 	 -7.400413e-01 	 
2.128348e-01 	 -7.405947e-01 	 
2.177036e-01 	 -7.411132e-01 	 
2.225424e-01 	 -7.415962e-01 	 
2.273505e-01 	 -7.420368e-01 	 
2.321275e-01 	 -7.424295e-01 	 
2.368725e-01 	 -7.427757e-01 	 
2.415850e-01 	 -7.430855e-01 	 
2.462643e-01 	 -7.433547e-01 	 
2.509099e-01 	 -7.435731e-01 	 
2.555211e-01 	 -7.437718e-01 	 
2.600973e-01 	 -7.439491e-01 	 
2.646380e-01 	 -7.440469e-01 	 
2.691426e-01 	 -7.440779e-01 	 
2.736104e-01 	 -7.440897e-01 	 
2.780410e-01 	 -7.440554e-01 	 
2.824338e-01 	 -7.439404e-01 	 
2.867882e-01 	 -7.437323e-01 	 
2.911038e-01 	 -7.434573e-01 	 
2.953799e-01 	 -7.431731e-01 	 
2.996161e-01 	 -7.428735e-01 	 
3.038120e-01 	 -7.425248e-01 	 
3.079669e-01 	 -7.421328e-01 	 
3.120805e-01 	 -7.416992e-01 	 
