x0	T1	x1	T2	
-3.743956e-01 	 1.549926e-03 	-3.743956e-01 	 -1.131360e-03 	 
-3.714696e-01 	 1.378477e-03 	-3.714696e-01 	 -1.329929e-03 	 
-3.684980e-01 	 1.567828e-03 	-3.684980e-01 	 -1.583832e-03 	 
-3.654809e-01 	 1.984027e-03 	-3.654809e-01 	 -1.831858e-03 	 
-3.624185e-01 	 2.478340e-03 	-3.624185e-01 	 -2.104211e-03 	 
-3.593107e-01 	 2.955128e-03 	-3.593107e-01 	 -2.447655e-03 	 
-3.561577e-01 	 3.320140e-03 	-3.561577e-01 	 -2.817772e-03 	 
-3.529596e-01 	 3.667555e-03 	-3.529596e-01 	 -3.133646e-03 	 
-3.497164e-01 	 4.233005e-03 	-3.497164e-01 	 -3.381447e-03 	 
-3.464285e-01 	 4.817778e-03 	-3.464285e-01 	 -3.589074e-03 	 
-3.430957e-01 	 4.999570e-03 	-3.430957e-01 	 -3.764289e-03 	 
-3.397186e-01 	 4.907018e-03 	-3.397186e-01 	 -3.909748e-03 	 
-3.362970e-01 	 4.888487e-03 	-3.362970e-01 	 -4.040140e-03 	 
-3.328313e-01 	 4.940980e-03 	-3.328313e-01 	 -4.160426e-03 	 
-3.293217e-01 	 4.995634e-03 	-3.293217e-01 	 -4.271694e-03 	 
-3.257684e-01 	 5.128314e-03 	-3.257684e-01 	 -4.389904e-03 	 
-3.221716e-01 	 5.315443e-03 	-3.221716e-01 	 -4.521061e-03 	 
-3.185317e-01 	 5.398055e-03 	-3.185317e-01 	 -4.655050e-03 	 
-3.148488e-01 	 5.336137e-03 	-3.148488e-01 	 -4.782196e-03 	 
-3.111233e-01 	 5.249484e-03 	-3.111233e-01 	 -4.857848e-03 	 
-3.073556e-01 	 5.104224e-03 	-3.073556e-01 	 -4.823842e-03 	 
-3.035458e-01 	 4.800856e-03 	-3.035458e-01 	 -4.716660e-03 	 
-2.996944e-01 	 4.491619e-03 	-2.996944e-01 	 -4.665321e-03 	 
-2.958016e-01 	 4.208855e-03 	-2.958016e-01 	 -4.723051e-03 	 
-2.918678e-01 	 3.736803e-03 	-2.918678e-01 	 -4.808339e-03 	 
-2.878935e-01 	 3.152552e-03 	-2.878935e-01 	 -4.838675e-03 	 
-2.838789e-01 	 2.701186e-03 	-2.838789e-01 	 -4.833217e-03 	 
-2.798245e-01 	 2.485690e-03 	-2.798245e-01 	 -4.846929e-03 	 
-2.757306e-01 	 2.588530e-03 	-2.757306e-01 	 -4.862248e-03 	 
-2.715978e-01 	 2.818121e-03 	-2.715978e-01 	 -4.826658e-03 	 
