x0	T1	x1	T2	x2	T3	x3	T4	x4	avg	
-4.607660e-01 	 2.093923e-04 	-4.607660e-01 	 -3.889455e-05 	-4.607660e-01 	 -9.468235e-05 	-4.607660e-01 	 7.127788e-04 	-4.759756e-01 	 5.705518e-03 	 
-4.595954e-01 	 4.947054e-04 	-4.595954e-01 	 4.578827e-05 	-4.595954e-01 	 7.468463e-05 	-4.595954e-01 	 1.037140e-03 	-4.748087e-01 	 5.442749e-03 	 
-4.583969e-01 	 7.362125e-04 	-4.583969e-01 	 1.133628e-04 	-4.583969e-01 	 2.483977e-04 	-4.583969e-01 	 1.362237e-03 	-4.736133e-01 	 5.202947e-03 	 
-4.571696e-01 	 9.324171e-04 	-4.571696e-01 	 1.736964e-04 	-4.571696e-01 	 4.294189e-04 	-4.571696e-01 	 1.669748e-03 	-4.723885e-01 	 4.981726e-03 	 
-4.559128e-01 	 1.095656e-03 	-4.559128e-01 	 2.489047e-04 	-4.559128e-01 	 5.935972e-04 	-4.559128e-01 	 1.871924e-03 	-4.711335e-01 	 4.773649e-03 	 
-4.546255e-01 	 1.231859e-03 	-4.546255e-01 	 3.244309e-04 	-4.546255e-01 	 7.249756e-04 	-4.546255e-01 	 1.857654e-03 	-4.698474e-01 	 4.573043e-03 	 
-4.533070e-01 	 1.350904e-03 	-4.533070e-01 	 3.869784e-04 	-4.533070e-01 	 8.323311e-04 	-4.533070e-01 	 1.661552e-03 	-4.685294e-01 	 4.378300e-03 	 
-4.519565e-01 	 1.475002e-03 	-4.519565e-01 	 4.829743e-04 	-4.519565e-01 	 9.222022e-04 	-4.519565e-01 	 1.448249e-03 	-4.671786e-01 	 4.193743e-03 	 
-4.505733e-01 	 1.601781e-03 	-4.505733e-01 	 6.413694e-04 	-4.505733e-01 	 9.804553e-04 	-4.505733e-01 	 1.311747e-03 	-4.657944e-01 	 4.023704e-03 	 
-4.491564e-01 	 1.695212e-03 	-4.491564e-01 	 7.978815e-04 	-4.491564e-01 	 1.010895e-03 	-4.491564e-01 	 1.209985e-03 	-4.643758e-01 	 3.866996e-03 	 
-4.477054e-01 	 1.749113e-03 	-4.477054e-01 	 8.924528e-04 	-4.477054e-01 	 1.052380e-03 	-4.477054e-01 	 1.090772e-03 	-4.629223e-01 	 3.719703e-03 	 
-4.462194e-01 	 1.788539e-03 	-4.462194e-01 	 9.582969e-04 	-4.462194e-01 	 1.102726e-03 	-4.462194e-01 	 9.608708e-04 	-4.614331e-01 	 3.583996e-03 	 
-4.446979e-01 	 1.818826e-03 	-4.446979e-01 	 1.042420e-03 	-4.446979e-01 	 1.113948e-03 	-4.446979e-01 	 8.466872e-04 	-4.599075e-01 	 3.461440e-03 	 
-4.431401e-01 	 1.846798e-03 	-4.431401e-01 	 1.116396e-03 	-4.431401e-01 	 1.072561e-03 	-4.431401e-01 	 7.613211e-04 	-4.583448e-01 	 3.345486e-03 	 
-4.415454e-01 	 1.911039e-03 	-4.415454e-01 	 1.130085e-03 	-4.415454e-01 	 9.936740e-04 	-4.415454e-01 	 7.049766e-04 	-4.567445e-01 	 3.223776e-03 	 
-4.399133e-01 	 2.034853e-03 	-4.399133e-01 	 1.083876e-03 	-4.399133e-01 	 9.071543e-04 	-4.399133e-01 	 6.622843e-04 	-4.551059e-01 	 3.082457e-03 	 
-4.382431e-01 	 2.179035e-03 	-4.382431e-01 	 1.012371e-03 	-4.382431e-01 	 9.131824e-04 	-4.382431e-01 	 6.169875e-04 	-4.534284e-01 	 2.914864e-03 	 
-4.365344e-01 	 2.294058e-03 	-4.365344e-01 	 9.573774e-04 	-4.365344e-01 	 1.048201e-03 	-4.365344e-01 	 5.760323e-04 	-4.517114e-01 	 2.724165e-03 	 
-4.347866e-01 	 2.284904e-03 	-4.347866e-01 	 9.387847e-04 	-4.347866e-01 	 1.205892e-03 	-4.347866e-01 	 5.572692e-04 	-4.499545e-01 	 2.522298e-03 	 
-4.329991e-01 	 2.002235e-03 	-4.329991e-01 	 9.118453e-04 	-4.329991e-01 	 1.217034e-03 	-4.329991e-01 	 5.585580e-04 	-4.481571e-01 	 2.321485e-03 	 
-4.311716e-01 	 1.491517e-03 	-4.311716e-01 	 8.102638e-04 	-4.311716e-01 	 1.099433e-03 	-4.311716e-01 	 5.757419e-04 	-4.463187e-01 	 2.134385e-03 	 
-4.293035e-01 	 9.221204e-04 	-4.293035e-01 	 6.452859e-04 	-4.293035e-01 	 1.044110e-03 	-4.293035e-01 	 6.301476e-04 	-4.444389e-01 	 1.981380e-03 	 
-4.273944e-01 	 1.817311e-04 	-4.273944e-01 	 5.287169e-04 	-4.273944e-01 	 9.536078e-04 	-4.273944e-01 	 7.122843e-04 	-4.425171e-01 	 1.857198e-03 	 
-4.254439e-01 	 -1.137500e-03 	-4.254439e-01 	 5.942439e-04 	-4.254439e-01 	 7.316450e-06 	-4.254439e-01 	 7.484165e-04 	-4.405531e-01 	 1.687805e-03 	 
-4.234516e-01 	 -2.892314e-03 	-4.234516e-01 	 8.026181e-04 	-4.234516e-01 	 -2.283893e-03 	-4.234516e-01 	 7.003632e-04 	-4.385462e-01 	 1.398453e-03 	 
