z	circulation	
-1.960000e+00 	 9.532881e-02 	 
-2.000000e+00 	 9.426996e-02 	 
-2.040000e+00 	 9.311839e-02 	 
-2.080000e+00 	 9.196649e-02 	 
-2.120000e+00 	 9.087918e-02 	 
-2.160000e+00 	 8.989282e-02 	 
-2.200000e+00 	 8.907227e-02 	 
-2.240000e+00 	 8.846820e-02 	 
-2.280000e+00 	 8.793982e-02 	 
-2.320000e+00 	 8.742587e-02 	 
-2.360000e+00 	 8.699616e-02 	 
-2.400000e+00 	 8.659682e-02 	 
-2.440000e+00 	 8.597234e-02 	 
-2.480000e+00 	 8.502280e-02 	 
-2.520000e+00 	 8.400668e-02 	 
-2.560000e+00 	 8.312279e-02 	 
-2.600000e+00 	 8.221806e-02 	 
-2.640000e+00 	 8.133871e-02 	 
-2.680000e+00 	 8.059614e-02 	 
-2.720000e+00 	 8.013381e-02 	 
-2.760000e+00 	 7.989603e-02 	 
-2.800000e+00 	 7.976971e-02 	 
-2.840000e+00 	 7.968276e-02 	 
-2.880000e+00 	 7.948810e-02 	 
-2.920000e+00 	 7.910720e-02 	 
-2.960000e+00 	 7.855877e-02 	 
-3.000000e+00 	 7.792074e-02 	 
-3.040000e+00 	 7.720760e-02 	 
-3.080000e+00 	 7.644974e-02 	 
-3.120000e+00 	 7.568951e-02 	 
-3.160000e+00 	 7.501682e-02 	 
-3.200000e+00 	 7.444702e-02 	 
-3.240000e+00 	 7.401625e-02 	 
-3.280000e+00 	 7.376549e-02 	 
-3.320000e+00 	 7.357679e-02 	 
-3.360000e+00 	 7.314371e-02 	 
-3.400000e+00 	 7.243357e-02 	 
-3.440000e+00 	 7.158496e-02 	 
-3.480000e+00 	 7.074300e-02 	 
-3.520000e+00 	 6.996154e-02 	 
-3.560000e+00 	 6.939346e-02 	 
-3.600000e+00 	 6.920324e-02 	 
-3.640000e+00 	 6.931665e-02 	 
-3.680000e+00 	 6.947914e-02 	 
-3.720000e+00 	 6.953636e-02 	 
-3.760000e+00 	 6.953778e-02 	 
-3.800000e+00 	 6.953329e-02 	 
-3.840000e+00 	 6.962301e-02 	 
-3.880000e+00 	 6.981744e-02 	 
-3.920000e+00 	 7.003880e-02 	 
-3.960000e+00 	 7.025699e-02 	 
-4.000000e+00 	 7.060351e-02 	 
