x0	T1	x1	T2	x2	T3	
-3.714696e-01 	 3.230365e-03 	-3.714696e-01 	 4.906394e-03 	-3.714696e-01 	 -1.195618e-03 	 
-3.684980e-01 	 4.223246e-03 	-3.684980e-01 	 5.716060e-03 	-3.684980e-01 	 -1.320563e-03 	 
-3.654809e-01 	 5.072218e-03 	-3.654809e-01 	 6.198694e-03 	-3.654809e-01 	 -1.460971e-03 	 
-3.624185e-01 	 5.239759e-03 	-3.624185e-01 	 6.199670e-03 	-3.624185e-01 	 -1.621529e-03 	 
-3.593107e-01 	 5.200885e-03 	-3.593107e-01 	 5.906116e-03 	-3.593107e-01 	 -1.776213e-03 	 
-3.561577e-01 	 5.297424e-03 	-3.561577e-01 	 5.790234e-03 	-3.561577e-01 	 -1.922138e-03 	 
-3.529596e-01 	 5.425743e-03 	-3.529596e-01 	 5.841712e-03 	-3.529596e-01 	 -2.069954e-03 	 
-3.497164e-01 	 5.589069e-03 	-3.497164e-01 	 5.614282e-03 	-3.497164e-01 	 -2.202518e-03 	 
-3.464285e-01 	 5.832871e-03 	-3.464285e-01 	 5.407467e-03 	-3.464285e-01 	 -2.293085e-03 	 
-3.430957e-01 	 6.013141e-03 	-3.430957e-01 	 5.809297e-03 	-3.430957e-01 	 -2.347321e-03 	 
-3.397186e-01 	 6.026339e-03 	-3.397186e-01 	 6.375079e-03 	-3.397186e-01 	 -2.429285e-03 	 
-3.362970e-01 	 5.863639e-03 	-3.362970e-01 	 6.537193e-03 	-3.362970e-01 	 -2.628984e-03 	 
-3.328313e-01 	 5.413689e-03 	-3.328313e-01 	 6.446498e-03 	-3.328313e-01 	 -2.929716e-03 	 
-3.293217e-01 	 4.800911e-03 	-3.293217e-01 	 6.269272e-03 	-3.293217e-01 	 -3.184658e-03 	 
-3.257684e-01 	 4.357524e-03 	-3.257684e-01 	 6.017553e-03 	-3.257684e-01 	 -3.328910e-03 	 
-3.221716e-01 	 4.104057e-03 	-3.221716e-01 	 5.808526e-03 	-3.221716e-01 	 -3.470091e-03 	 
-3.185317e-01 	 3.805193e-03 	-3.185317e-01 	 5.779673e-03 	-3.185317e-01 	 -3.683072e-03 	 
-3.148488e-01 	 3.497720e-03 	-3.148488e-01 	 5.885441e-03 	-3.148488e-01 	 -3.876755e-03 	 
-3.111233e-01 	 3.363224e-03 	-3.111233e-01 	 5.825889e-03 	-3.111233e-01 	 -3.935334e-03 	 
-3.073556e-01 	 3.292647e-03 	-3.073556e-01 	 5.409159e-03 	-3.073556e-01 	 -3.878711e-03 	 
-3.035458e-01 	 3.132019e-03 	-3.035458e-01 	 4.840927e-03 	-3.035458e-01 	 -3.846861e-03 	 
-2.996944e-01 	 3.003459e-03 	-2.996944e-01 	 4.386309e-03 	-2.996944e-01 	 -3.939062e-03 	 
-2.958016e-01 	 3.058571e-03 	-2.958016e-01 	 4.147029e-03 	-2.958016e-01 	 -4.105206e-03 	 
-2.918678e-01 	 3.281781e-03 	-2.918678e-01 	 4.038528e-03 	-2.918678e-01 	 -4.265871e-03 	 
-2.878935e-01 	 3.462133e-03 	-2.878935e-01 	 3.630306e-03 	-2.878935e-01 	 -4.429186e-03 	 
-2.838789e-01 	 3.262016e-03 	-2.838789e-01 	 2.897073e-03 	-2.838789e-01 	 -4.609859e-03 	 
-2.798245e-01 	 2.653301e-03 	-2.798245e-01 	 2.510281e-03 	-2.798245e-01 	 -4.778959e-03 	 
-2.757306e-01 	 1.988332e-03 	-2.757306e-01 	 2.494662e-03 	-2.757306e-01 	 -4.910604e-03 	 
-2.715978e-01 	 1.557182e-03 	-2.715978e-01 	 2.312537e-03 	-2.715978e-01 	 -5.000273e-03 	 
-2.674264e-01 	 1.393479e-03 	-2.674264e-01 	 2.233605e-03 	-2.674264e-01 	 -5.046295e-03 	 
-2.632168e-01 	 1.365288e-03 	-2.632168e-01 	 2.528182e-03 	-2.632168e-01 	 -5.049212e-03 	 
-2.589696e-01 	 1.226496e-03 	-2.589696e-01 	 2.427831e-03 	-2.589696e-01 	 -5.031847e-03 	 
-2.546851e-01 	 7.592876e-04 	-2.546851e-01 	 1.573857e-03 	-2.546851e-01 	 -5.036433e-03 	 
-2.503639e-01 	 1.036532e-04 	-2.503639e-01 	 9.445195e-04 	-2.503639e-01 	 -5.065866e-03 	 
-2.460064e-01 	 -2.949442e-04 	-2.460064e-01 	 1.244242e-03 	-2.460064e-01 	 -5.073672e-03 	 
-2.416132e-01 	 -3.771965e-04 	-2.416132e-01 	 1.816426e-03 	-2.416132e-01 	 -5.056109e-03 	 
-2.371847e-01 	 -4.146449e-04 	-2.371847e-01 	 1.919581e-03 	-2.371847e-01 	 -5.062283e-03 	 
