x0	G1	x1	G2	x2	G3	x3	G4	
-4.657947e-01 	 4.088781e-03 	-4.459416e-01 	 2.141524e-03 	-4.594938e-01 	 3.452246e-03 	-4.594938e-01 	 3.552805e-03 	 
-4.643758e-01 	 3.927239e-03 	-4.426881e-01 	 1.858431e-03 	-4.574807e-01 	 3.271419e-03 	-4.574805e-01 	 3.357982e-03 	 
-4.629224e-01 	 3.775028e-03 	-4.393050e-01 	 1.206258e-03 	-4.553997e-01 	 3.080151e-03 	-4.553997e-01 	 3.157255e-03 	 
-4.614331e-01 	 3.634422e-03 	-4.357908e-01 	 5.265492e-04 	-4.532505e-01 	 2.879512e-03 	-4.532504e-01 	 2.937377e-03 	 
-4.599074e-01 	 3.506209e-03 	-4.321449e-01 	 4.587047e-04 	-4.510317e-01 	 2.666159e-03 	-4.510317e-01 	 2.673042e-03 	 
-4.583447e-01 	 3.384800e-03 	-4.283657e-01 	 9.784859e-04 	-4.487426e-01 	 2.435849e-03 	-4.487424e-01 	 2.371151e-03 	 
-4.567443e-01 	 3.261542e-03 	-4.244530e-01 	 1.518647e-03 	-4.463818e-01 	 2.211595e-03 	-4.463817e-01 	 2.076494e-03 	 
-4.551059e-01 	 3.123949e-03 	-4.204060e-01 	 1.799978e-03 	-4.439490e-01 	 2.030362e-03 	-4.439488e-01 	 1.775298e-03 	 
-4.534282e-01 	 2.963606e-03 	-4.162236e-01 	 1.925920e-03 	-4.414431e-01 	 1.839212e-03 	-4.414433e-01 	 1.382401e-03 	 
-4.517114e-01 	 2.783205e-03 	-4.119061e-01 	 2.000806e-03 	-4.388634e-01 	 1.489397e-03 	-4.388633e-01 	 9.282855e-04 	 
-4.499545e-01 	 2.593368e-03 	-4.074529e-01 	 2.027566e-03 	-4.362091e-01 	 9.890042e-04 	-4.362093e-01 	 6.279114e-04 	 
-4.481569e-01 	 2.407178e-03 	-4.028641e-01 	 1.983354e-03 	-4.334799e-01 	 6.229725e-04 	-4.334800e-01 	 6.532171e-04 	 
-4.463188e-01 	 2.236592e-03 	-3.981397e-01 	 1.855147e-03 	-4.306754e-01 	 6.250691e-04 	-4.306753e-01 	 9.456335e-04 	 
-4.444388e-01 	 2.083662e-03 	-3.932796e-01 	 1.664781e-03 	-4.277939e-01 	 8.839374e-04 	-4.277940e-01 	 1.315595e-03 	 
-4.425174e-01 	 1.920900e-03 	-3.882844e-01 	 1.421968e-03 	-4.248364e-01 	 1.155590e-03 	-4.248366e-01 	 1.620934e-03 	 
-4.405532e-01 	 1.694772e-03 	-3.831547e-01 	 1.113965e-03 	-4.218019e-01 	 1.388027e-03 	-4.218020e-01 	 1.826332e-03 	 
-4.385465e-01 	 1.379405e-03 	-3.778906e-01 	 8.151678e-04 	-4.186899e-01 	 1.616794e-03 	-4.186898e-01 	 1.965404e-03 	 
-4.364963e-01 	 1.028926e-03 	-3.724928e-01 	 6.625541e-04 	-4.155002e-01 	 1.788384e-03 	-4.155002e-01 	 2.067196e-03 	 
-4.344028e-01 	 7.610554e-04 	-3.669625e-01 	 6.480305e-04 	-4.122325e-01 	 1.873741e-03 	-4.122326e-01 	 2.098833e-03 	 
-4.322654e-01 	 6.783765e-04 	-3.612999e-01 	 6.071276e-04 	-4.088863e-01 	 1.905210e-03 	-4.088866e-01 	 2.024309e-03 	 
-4.300840e-01 	 7.785986e-04 	-3.555068e-01 	 4.948723e-04 	-4.054622e-01 	 1.900920e-03 	-4.054627e-01 	 1.887349e-03 	 
-4.278582e-01 	 9.769015e-04 	-3.495842e-01 	 4.166014e-04 	-4.019598e-01 	 1.844569e-03 	-4.019600e-01 	 1.754120e-03 	 
