x0	g1_up	x1	dns_up	x2	g1_bot	x3	dns_bot	x4	O2_up	x5	O2_bot	
-5.000000e-01 	 8.464216e-02 	-4.750813e-01 	 2.486478e-02 	-5.000000e-01 	 -7.755592e-02 	-4.927586e-01 	 -1.667412e-05 	-5.000000e-01 	 5.261384e-04 	-5.000000e-01 	 5.255684e-04 	 
-4.999955e-01 	 7.876797e-02 	-4.723079e-01 	 2.291953e-02 	-4.999955e-01 	 -7.427934e-02 	-4.913105e-01 	 2.952683e-03 	-4.999955e-01 	 2.221996e-04 	-4.999955e-01 	 1.083018e-04 	 
-4.999821e-01 	 8.147391e-02 	-4.695352e-01 	 2.092308e-02 	-4.999821e-01 	 -7.369508e-02 	-4.893831e-01 	 6.689983e-03 	-4.999821e-01 	 1.989314e-04 	-4.999821e-01 	 -2.124382e-04 	 
-4.999596e-01 	 8.361316e-02 	-4.667642e-01 	 1.882425e-02 	-4.999596e-01 	 -7.243688e-02 	-4.893464e-01 	 9.044934e-03 	-4.999596e-01 	 4.337652e-04 	-4.999596e-01 	 -4.196029e-04 	 
-4.999282e-01 	 8.510252e-02 	-4.649229e-01 	 1.703253e-02 	-4.999282e-01 	 -7.013756e-02 	-4.874350e-01 	 1.175834e-02 	-4.999282e-01 	 7.878571e-04 	-4.999282e-01 	 -7.120538e-04 	 
-4.998909e-01 	 8.640634e-02 	-4.612181e-01 	 1.488255e-02 	-4.998909e-01 	 -6.784998e-02 	-4.855347e-01 	 1.375503e-02 	-4.998909e-01 	 1.209467e-03 	-4.998909e-01 	 -1.012370e-03 	 
-4.998460e-01 	 8.721491e-02 	-4.575117e-01 	 1.283496e-02 	-4.998460e-01 	 -6.522587e-02 	-4.826967e-01 	 1.595654e-02 	-4.998460e-01 	 1.745957e-03 	-4.998460e-01 	 -1.365913e-03 	 
-4.997860e-01 	 8.801364e-02 	-4.538029e-01 	 1.094095e-02 	-4.997860e-01 	 -6.236629e-02 	-4.770661e-01 	 1.744147e-02 	-4.997860e-01 	 2.458830e-03 	-4.997860e-01 	 -1.784007e-03 	 
-4.997035e-01 	 8.864864e-02 	-4.491595e-01 	 9.046991e-03 	-4.997035e-01 	 -5.907101e-02 	-4.695803e-01 	 1.803059e-02 	-4.997035e-01 	 3.426509e-03 	-4.997035e-01 	 -2.281719e-03 	 
-4.995917e-01 	 8.896150e-02 	-4.426485e-01 	 7.050738e-03 	-4.995917e-01 	 -5.519656e-02 	-4.588338e-01 	 1.795435e-02 	-4.995917e-01 	 4.727621e-03 	-4.995917e-01 	 -2.862438e-03 	 
-4.994438e-01 	 8.897542e-02 	-4.380027e-01 	 5.310361e-03 	-4.994438e-01 	 -5.089913e-02 	-4.471627e-01 	 1.723822e-02 	-4.994438e-01 	 6.408414e-03 	-4.994438e-01 	 -3.477905e-03 	 
