x0	y0	y1	y2	y3	y4	y5	y6	y7	y8	y9	
0.000000e+00 	6.518236e-01 	6.465595e-01 	6.607463e-01 	6.664857e-01 	6.375301e-01 	6.335043e-01 	6.471175e-01 	6.474504e-01 	6.664835e-01 	6.430808e-01 	 
1.554871e-02 	6.520013e-01 	6.476339e-01 	6.653494e-01 	6.492794e-01 	6.350982e-01 	6.285617e-01 	6.425102e-01 	6.452655e-01 	6.754805e-01 	6.492124e-01 	 
3.108215e-02 	6.521841e-01 	6.492017e-01 	6.626747e-01 	6.325947e-01 	6.397058e-01 	6.269432e-01 	6.356580e-01 	6.440006e-01 	6.840404e-01 	6.457194e-01 	 
4.679871e-02 	6.523296e-01 	6.504964e-01 	6.543807e-01 	6.248611e-01 	6.482282e-01 	6.261972e-01 	6.282943e-01 	6.426246e-01 	6.883522e-01 	6.411609e-01 	 
6.234741e-02 	6.524519e-01 	6.508399e-01 	6.434186e-01 	6.240531e-01 	6.576257e-01 	6.189327e-01 	6.225406e-01 	6.436303e-01 	6.868733e-01 	6.401519e-01 	 
7.804871e-02 	6.525149e-01 	6.501181e-01 	6.343690e-01 	6.263007e-01 	6.690997e-01 	6.092953e-01 	6.229076e-01 	6.469800e-01 	6.824830e-01 	6.406418e-01 	 
9.359741e-02 	6.524992e-01 	6.487929e-01 	6.344360e-01 	6.277599e-01 	6.736766e-01 	6.147067e-01 	6.330751e-01 	6.479490e-01 	6.782385e-01 	6.423130e-01 	 
1.093140e-01 	6.524177e-01 	6.476136e-01 	6.431040e-01 	6.329651e-01 	6.696042e-01 	6.255724e-01 	6.432962e-01 	6.485668e-01 	6.758071e-01 	6.440499e-01 	 
1.248474e-01 	6.523171e-01 	6.471953e-01 	6.518383e-01 	6.446521e-01 	6.609731e-01 	6.276630e-01 	6.438656e-01 	6.497671e-01 	6.748000e-01 	6.471539e-01 	 
1.405640e-01 	6.522492e-01 	6.476041e-01 	6.568118e-01 	6.542043e-01 	6.517442e-01 	6.292672e-01 	6.402282e-01 	6.515847e-01 	6.739247e-01 	6.535037e-01 	 
1.561127e-01 	6.522326e-01 	6.484445e-01 	6.577364e-01 	6.492168e-01 	6.426972e-01 	6.358828e-01 	6.362438e-01 	6.537614e-01 	6.725516e-01 	6.616916e-01 	 
1.718292e-01 	6.522171e-01 	6.491593e-01 	6.542229e-01 	6.373783e-01 	6.316810e-01 	6.446800e-01 	6.333700e-01 	6.562858e-01 	6.702259e-01 	6.722863e-01 	 
1.873779e-01 	6.521506e-01 	6.493357e-01 	6.472272e-01 	6.385657e-01 	6.238497e-01 	6.532097e-01 	6.340560e-01 	6.583533e-01 	6.678641e-01 	6.848198e-01 	 
2.030945e-01 	6.520305e-01 	6.489369e-01 	6.402801e-01 	6.545126e-01 	6.219108e-01 	6.593822e-01 	6.366616e-01 	6.593618e-01 	6.651086e-01 	6.937722e-01 	 
2.186584e-01 	6.518735e-01 	6.482353e-01 	6.380401e-01 	6.694229e-01 	6.178617e-01 	6.643920e-01 	6.405441e-01 	6.594967e-01 	6.618243e-01 	6.965744e-01 	 
2.342072e-01 	6.516944e-01 	6.476411e-01 	6.420367e-01 	6.727625e-01 	6.083940e-01 	6.635225e-01 	6.165836e-01 	6.596782e-01 	6.613485e-01 	6.959872e-01 	 
2.499390e-01 	6.515211e-01 	6.474753e-01 	6.486030e-01 	6.605322e-01 	6.030802e-01 	6.582453e-01 	5.810574e-01 	6.600497e-01 	6.627260e-01 	6.941255e-01 	 
2.655029e-01 	6.513901e-01 	6.477553e-01 	6.525375e-01 	6.472650e-01 	6.166838e-01 	6.531547e-01 	5.977464e-01 	6.583834e-01 	6.624658e-01 	6.919414e-01 	 
2.812347e-01 	6.513087e-01 	6.482626e-01 	6.522236e-01 	6.331353e-01 	6.364090e-01 	6.472660e-01 	6.409484e-01 	6.533673e-01 	6.630667e-01 	6.893418e-01 	 
2.967834e-01 	6.513144e-01 	6.487378e-01 	6.488264e-01 	6.169647e-01 	6.492997e-01 	6.364594e-01 	6.723967e-01 	6.447781e-01 	6.650143e-01 	6.868831e-01 	 
3.123474e-01 	6.514331e-01 	6.489145e-01 	6.448403e-01 	6.104637e-01 	6.557231e-01 	6.158355e-01 	6.829280e-01 	6.346495e-01 	6.660998e-01 	6.837780e-01 	 
3.280792e-01 	6.515746e-01 	6.488305e-01 	6.432572e-01 	6.322622e-01 	6.607209e-01 	6.006215e-01 	6.807277e-01 	6.222225e-01 	6.698392e-01 	6.798293e-01 	 
3.436432e-01 	6.517037e-01 	6.487246e-01 	6.453993e-01 	6.565921e-01 	6.600062e-01 	6.047493e-01 	6.776057e-01 	6.055216e-01 	6.771494e-01 	6.777000e-01 	 
3.593750e-01 	6.518040e-01 	6.487504e-01 	6.495906e-01 	6.639411e-01 	6.501668e-01 	6.144425e-01 	6.747584e-01 	5.965427e-01 	6.784833e-01 	6.772063e-01 	 
3.749237e-01 	6.518382e-01 	6.490582e-01 	6.525467e-01 	6.589946e-01 	6.334747e-01 	6.289859e-01 	6.714061e-01 	6.008596e-01 	6.749296e-01 	6.763055e-01 	 
3.904877e-01 	6.518971e-01 	6.496346e-01 	6.524361e-01 	6.482560e-01 	6.232706e-01 	6.399868e-01 	6.658283e-01 	6.185115e-01 	6.734156e-01 	6.749499e-01 	 
4.062195e-01 	6.520761e-01 	6.502817e-01 	6.497783e-01 	6.384622e-01 	6.256658e-01 	6.404396e-01 	6.540034e-01 	6.382183e-01 	6.679677e-01 	6.727625e-01 	 
4.217682e-01 	6.523651e-01 	6.507267e-01 	6.465807e-01 	6.381767e-01 	6.252750e-01 	6.376815e-01 	6.359738e-01 	6.501961e-01 	6.607894e-01 	6.675744e-01 	 
4.373322e-01 	6.526536e-01 	6.508451e-01 	6.449373e-01 	6.488128e-01 	6.262150e-01 	6.306521e-01 	6.159434e-01 	6.571647e-01 	6.532698e-01 	6.624915e-01 	 
4.530487e-01 	6.528411e-01 	6.507171e-01 	6.460199e-01 	6.618751e-01 	6.335664e-01 	6.192495e-01 	6.186568e-01 	6.613433e-01 	6.413484e-01 	6.609681e-01 	 
4.686127e-01 	6.528895e-01 	6.505299e-01 	6.491532e-01 	6.683859e-01 	6.428205e-01 	6.090418e-01 	6.423276e-01 	6.665719e-01 	6.276264e-01 	6.710278e-01 	 
4.843445e-01 	6.528425e-01 	6.505051e-01 	6.522543e-01 	6.654563e-01 	6.472414e-01 	6.174229e-01 	6.595697e-01 	6.730319e-01 	6.191760e-01 	6.890368e-01 	 
4.999084e-01 	6.528025e-01 	6.506605e-01 	6.532249e-01 	6.554871e-01 	6.430302e-01 	6.221136e-01 	6.669486e-01 	6.771135e-01 	6.202039e-01 	6.962554e-01 	 
5.154724e-01 	6.528049e-01 	6.508587e-01 	6.515658e-01 	6.432695e-01 	6.382165e-01 	6.179319e-01 	6.685696e-01 	6.775493e-01 	6.280387e-01 	6.962938e-01 	 
5.312042e-01 	6.528317e-01 	6.509745e-01 	6.483162e-01 	6.340961e-01 	6.467751e-01 	6.080778e-01 	6.635978e-01 	6.709098e-01 	6.372389e-01 	6.942771e-01 	 
5.467682e-01 	6.528838e-01 	6.509742e-01 	6.453092e-01 	6.330736e-01 	6.614193e-01 	5.998073e-01 	6.534121e-01 	6.582541e-01 	6.487104e-01 	6.910313e-01 	 
5.623474e-01 	6.529874e-01 	6.508775e-01 	6.440125e-01 	6.412141e-01 	6.698433e-01 	6.043832e-01 	6.484270e-01 	6.444470e-01 	6.574090e-01 	6.879597e-01 	 
5.780792e-01 	6.531475e-01 	6.507722e-01 	6.451259e-01 	6.545429e-01 	6.679125e-01 	6.204905e-01 	6.490521e-01 	6.357135e-01 	6.591025e-01 	6.833227e-01 	 
5.936584e-01 	6.533665e-01 	6.507839e-01 	6.480244e-01 	6.660375e-01 	6.584576e-01 	6.335836e-01 	6.481184e-01 	6.370173e-01 	6.587261e-01 	6.786023e-01 	 
6.092224e-01 	6.536535e-01 	6.509371e-01 	6.512185e-01 	6.699898e-01 	6.447347e-01 	6.402371e-01 	6.413107e-01 	6.489520e-01 	6.590422e-01 	6.740744e-01 	 
6.249695e-01 	6.539859e-01 	6.511625e-01 	6.532488e-01 	6.644425e-01 	6.270402e-01 	6.454378e-01 	6.246834e-01 	6.635260e-01 	6.595684e-01 	6.700162e-01 	 
6.405487e-01 	6.543243e-01 	6.513847e-01 	6.532680e-01 	6.532339e-01 	6.134751e-01 	6.496276e-01 	5.985422e-01 	6.732371e-01 	6.596300e-01 	6.680934e-01 	 
6.561279e-01 	6.546463e-01 	6.515315e-01 	6.515588e-01 	6.418402e-01 	6.197206e-01 	6.535510e-01 	5.810303e-01 	6.793179e-01 	6.584958e-01 	6.682208e-01 	 
6.717072e-01 	6.549121e-01 	6.516621e-01 	6.491477e-01 	6.343333e-01 	6.382521e-01 	6.565893e-01 	5.904909e-01 	6.830642e-01 	6.555517e-01 	6.692366e-01 	 
6.874542e-01 	6.551930e-01 	6.518294e-01 	6.471362e-01 	6.331629e-01 	6.515538e-01 	6.549161e-01 	6.102883e-01 	6.841846e-01 	6.500916e-01 	6.701226e-01 	 
7.030334e-01 	6.555288e-01 	6.519626e-01 	6.463856e-01 	6.380023e-01 	6.578144e-01 	6.463410e-01 	6.269431e-01 	6.831464e-01 	6.413845e-01 	6.706242e-01 	 
7.186127e-01 	6.558610e-01 	6.520193e-01 	6.472559e-01 	6.458544e-01 	6.600296e-01 	6.301200e-01 	6.307371e-01 	6.804673e-01 	6.244481e-01 	6.716719e-01 	 
7.343597e-01 	6.561334e-01 	6.520405e-01 	6.494600e-01 	6.534251e-01 	6.583679e-01 	6.141071e-01 	6.429306e-01 	6.727093e-01 	5.881370e-01 	6.731116e-01 	 
7.499390e-01 	6.563415e-01 	6.520146e-01 	6.520643e-01 	6.583074e-01 	6.523634e-01 	6.116611e-01 	6.479355e-01 	6.579712e-01 	5.579872e-01 	6.742885e-01 	 
7.655029e-01 	6.564842e-01 	6.519495e-01 	6.541432e-01 	6.594296e-01 	6.424132e-01 	6.201835e-01 	6.512438e-01 	6.340905e-01 	5.768685e-01 	6.755041e-01 	 
7.810822e-01 	6.565896e-01 	6.519114e-01 	6.550072e-01 	6.567252e-01 	6.325039e-01 	6.317493e-01 	6.535620e-01 	6.123663e-01 	6.201931e-01 	6.764486e-01 	 
7.968292e-01 	6.566771e-01 	6.519871e-01 	6.543861e-01 	6.517960e-01 	6.282972e-01 	6.469658e-01 	6.518540e-01 	6.215849e-01 	6.503708e-01 	6.768062e-01 	 
8.124084e-01 	6.567218e-01 	6.522645e-01 	6.525897e-01 	6.473390e-01 	6.320627e-01 	6.596689e-01 	6.447659e-01 	6.434668e-01 	6.687217e-01 	6.770583e-01 	 
8.279877e-01 	6.567221e-01 	6.528223e-01 	6.501415e-01 	6.453100e-01 	6.398373e-01 	6.586749e-01 	6.285043e-01 	6.496903e-01 	6.802194e-01 	6.763796e-01 	 
8.437347e-01 	6.567255e-01 	6.535015e-01 	6.475708e-01 	6.463501e-01 	6.463395e-01 	6.507367e-01 	6.032735e-01 	6.559701e-01 	6.852080e-01 	6.739793e-01 	 
8.593140e-01 	6.567276e-01 	6.539355e-01 	6.455086e-01 	6.497242e-01 	6.492592e-01 	6.396372e-01 	5.928681e-01 	6.620867e-01 	6.862645e-01 	6.662996e-01 	 
8.748932e-01 	6.567280e-01 	6.537594e-01 	6.445240e-01 	6.541869e-01 	6.494713e-01 	6.265067e-01 	6.111674e-01 	6.658827e-01 	6.828979e-01 	6.582772e-01 	 
8.904724e-01 	6.566997e-01 	6.528168e-01 	6.452970e-01 	6.583083e-01 	6.477081e-01 	6.193897e-01 	6.287396e-01 	6.681206e-01 	6.773413e-01 	6.534376e-01 	 
9.062195e-01 	6.566188e-01 	6.514686e-01 	6.481653e-01 	6.602498e-01 	6.440411e-01 	6.225837e-01 	6.352057e-01 	6.683350e-01 	6.724060e-01 	6.538977e-01 	 
9.217834e-01 	6.565253e-01 	6.505990e-01 	6.525747e-01 	6.580220e-01 	6.401750e-01 	6.289191e-01 	6.393549e-01 	6.663707e-01 	6.698714e-01 	6.560025e-01 	 
9.373627e-01 	6.564409e-01 	6.511416e-01 	6.574249e-01 	6.513407e-01 	6.392526e-01 	6.344537e-01 	6.401101e-01 	6.598290e-01 	6.717523e-01 	6.557198e-01 	 
9.531097e-01 	6.564100e-01 	6.534190e-01 	6.611792e-01 	6.423128e-01 	6.431292e-01 	6.379493e-01 	6.331506e-01 	6.414175e-01 	6.715260e-01 	6.501034e-01 	 
9.686890e-01 	6.565831e-01 	6.563603e-01 	6.606513e-01 	6.354132e-01 	6.503971e-01 	6.390655e-01 	6.213809e-01 	6.173798e-01 	6.685826e-01 	6.398744e-01 	 
9.842682e-01 	6.570479e-01 	6.580943e-01 	6.519392e-01 	6.350726e-01 	6.582056e-01 	6.405525e-01 	6.138130e-01 	6.118574e-01 	6.677580e-01 	6.357532e-01 	 
9.998474e-01 	6.575788e-01 	6.567938e-01 	6.372464e-01 	6.426719e-01 	6.639501e-01 	6.420812e-01 	6.225843e-01 	6.305100e-01 	6.690942e-01 	6.452466e-01 	 
1.015594e+00 	6.576982e-01 	6.513816e-01 	6.273459e-01 	6.550735e-01 	6.647190e-01 	6.418769e-01 	6.287706e-01 	6.526135e-01 	6.698841e-01 	6.648034e-01 	 
1.031174e+00 	6.570108e-01 	6.439124e-01 	6.310762e-01 	6.670784e-01 	6.579953e-01 	6.405634e-01 	6.200705e-01 	6.610749e-01 	6.704240e-01 	6.813480e-01 	 
1.046753e+00 	6.556853e-01 	6.405692e-01 	6.445848e-01 	6.744713e-01 	6.445425e-01 	6.411651e-01 	6.110283e-01 	6.585599e-01 	6.714126e-01 	6.893173e-01 	 
1.062332e+00 	6.546116e-01 	6.461108e-01 	6.598720e-01 	6.729380e-01 	6.303314e-01 	6.425810e-01 	6.108073e-01 	6.499863e-01 	6.714511e-01 	6.918941e-01 	 
1.078079e+00 	6.549282e-01 	6.554320e-01 	6.731421e-01 	6.587065e-01 	6.257417e-01 	6.458066e-01 	6.147270e-01 	6.408409e-01 	6.698804e-01 	6.920494e-01 	 
1.093658e+00 	6.568907e-01 	6.626267e-01 	6.730015e-01 	6.351052e-01 	6.337954e-01 	6.524670e-01 	6.189525e-01 	6.411532e-01 	6.665539e-01 	6.912312e-01 	 
1.109253e+00 	6.592704e-01 	6.647480e-01 	6.525328e-01 	6.149643e-01 	6.477695e-01 	6.567338e-01 	6.251814e-01 	6.468966e-01 	6.628600e-01 	6.909502e-01 	 
1.124832e+00 	6.602011e-01 	6.577705e-01 	6.299708e-01 	6.211005e-01 	6.632609e-01 	6.546618e-01 	6.245534e-01 	6.507905e-01 	6.619907e-01 	6.926180e-01 	 
1.140594e+00 	6.585570e-01 	6.406835e-01 	6.277241e-01 	6.399298e-01 	6.777644e-01 	6.469071e-01 	6.161102e-01 	6.497492e-01 	6.633943e-01 	6.963484e-01 	 
1.156189e+00 	6.550871e-01 	6.292049e-01 	6.450166e-01 	6.539199e-01 	6.843268e-01 	6.386527e-01 	6.085921e-01 	6.462094e-01 	6.651487e-01 	7.005920e-01 	 
1.171768e+00 	6.527050e-01 	6.392447e-01 	6.642125e-01 	6.573772e-01 	6.790289e-01 	6.339253e-01 	6.057739e-01 	6.437136e-01 	6.664738e-01 	7.034304e-01 	 
1.187363e+00 	6.543621e-01 	6.548893e-01 	6.755763e-01 	6.496102e-01 	6.644077e-01 	6.352525e-01 	6.100575e-01 	6.481570e-01 	6.661041e-01 	7.038448e-01 	 
1.203125e+00 	6.595343e-01 	6.664634e-01 	6.701941e-01 	6.332130e-01 	6.549177e-01 	6.411682e-01 	6.176153e-01 	6.576595e-01 	6.643992e-01 	7.019811e-01 	 
1.218704e+00 	6.638029e-01 	6.717845e-01 	6.488835e-01 	6.284346e-01 	6.576199e-01 	6.493027e-01 	6.216034e-01 	6.654776e-01 	6.624002e-01 	6.987803e-01 	 
1.234283e+00 	6.637598e-01 	6.632496e-01 	6.325610e-01 	6.387453e-01 	6.661140e-01 	6.598688e-01 	6.217641e-01 	6.648788e-01 	6.594218e-01 	6.952862e-01 	 
1.249863e+00 	6.589294e-01 	6.384012e-01 	6.343184e-01 	6.508721e-01 	6.700071e-01 	6.693232e-01 	6.184301e-01 	6.572440e-01 	6.540223e-01 	6.922914e-01 	 
1.265610e+00 	6.522589e-01 	6.244915e-01 	6.479795e-01 	6.638372e-01 	6.587291e-01 	6.748032e-01 	6.137914e-01 	6.470912e-01 	6.428466e-01 	6.900646e-01 	 
1.281189e+00 	6.492122e-01 	6.385963e-01 	6.585065e-01 	6.697720e-01 	6.403410e-01 	6.772392e-01 	6.094027e-01 	6.435519e-01 	6.371741e-01 	6.885141e-01 	 
1.296768e+00 	6.524479e-01 	6.544572e-01 	6.650396e-01 	6.636004e-01 	6.313936e-01 	6.776456e-01 	6.086209e-01 	6.459924e-01 	6.415635e-01 	6.874488e-01 	 
1.312332e+00 	6.589745e-01 	6.652895e-01 	6.600640e-01 	6.521706e-01 	6.333269e-01 	6.770686e-01 	6.136897e-01 	6.476190e-01 	6.471268e-01 	6.868082e-01 	 
1.328079e+00 	6.628325e-01 	6.689817e-01 	6.387646e-01 	6.535438e-01 	6.321541e-01 	6.770115e-01 	6.219096e-01 	6.443065e-01 	6.523860e-01 	6.860081e-01 	 
1.343658e+00 	6.616156e-01 	6.558679e-01 	6.280664e-01 	6.704062e-01 	6.243932e-01 	6.727899e-01 	6.289143e-01 	6.334606e-01 	6.605188e-01 	6.848202e-01 	 
1.359222e+00 	6.570314e-01 	6.325080e-01 	6.386904e-01 	6.893268e-01 	6.110135e-01 	6.625336e-01 	6.334351e-01 	6.168149e-01 	6.675395e-01 	6.825656e-01 	 
1.374969e+00 	6.530909e-01 	6.307607e-01 	6.497160e-01 	6.868027e-01 	6.044027e-01 	6.484399e-01 	6.345196e-01 	5.995968e-01 	6.708929e-01 	6.777120e-01 	 
1.390549e+00 	6.528213e-01 	6.466103e-01 	6.609566e-01 	6.689767e-01 	6.131479e-01 	6.382869e-01 	6.368668e-01 	5.893808e-01 	6.716071e-01 	6.741744e-01 	 
1.406128e+00 	6.558573e-01 	6.589953e-01 	6.646311e-01 	6.485148e-01 	6.291982e-01 	6.416478e-01 	6.466529e-01 	5.846894e-01 	6.708376e-01 	6.744704e-01 	 
1.421860e+00 	6.592930e-01 	6.664588e-01 	6.505848e-01 	6.361053e-01 	6.461987e-01 	6.480281e-01 	6.569092e-01 	5.946611e-01 	6.695721e-01 	6.773610e-01 	 
1.437439e+00 	6.604672e-01 	6.633669e-01 	6.311644e-01 	6.417506e-01 	6.608799e-01 	6.430561e-01 	6.590353e-01 	6.086131e-01 	6.672982e-01 	6.793627e-01 	 
1.453003e+00 	6.592423e-01 	6.480451e-01 	6.376553e-01 	6.508546e-01 	6.717791e-01 	6.281027e-01 	6.553199e-01 	6.180006e-01 	6.646433e-01 	6.788420e-01 	 
1.468750e+00 	6.570720e-01 	6.350187e-01 	6.512908e-01 	6.506928e-01 	6.794606e-01 	6.118200e-01 	6.477596e-01 	6.200453e-01 	6.587191e-01 	6.776828e-01 	 
1.484314e+00 	6.556574e-01 	6.390317e-01 	6.636034e-01 	6.421069e-01 	6.839260e-01 	6.085358e-01 	6.369668e-01 	6.160012e-01 	6.498975e-01 	6.770239e-01 	 
1.499878e+00 	6.556564e-01 	6.510761e-01 	6.748357e-01 	6.265714e-01 	6.790547e-01 	6.192837e-01 	6.290822e-01 	6.157853e-01 	6.410041e-01 	6.776462e-01 	 
1.515625e+00 	6.566063e-01 	6.602070e-01 	6.735744e-01 	6.172630e-01 	6.679793e-01 	6.328138e-01 	6.230935e-01 	6.290928e-01 	6.360375e-01 	6.792067e-01 	 
1.531189e+00 	6.575774e-01 	6.630135e-01 	6.554685e-01 	6.208325e-01 	6.622368e-01 	6.451715e-01 	6.106232e-01 	6.453319e-01 	6.321626e-01 	6.806490e-01 	 
1.546753e+00 	6.579470e-01 	6.575873e-01 	6.334940e-01 	6.361313e-01 	6.605369e-01 	6.559051e-01 	5.809532e-01 	6.561894e-01 	6.242722e-01 	6.819676e-01 	 
1.562500e+00 	6.576517e-01 	6.478969e-01 	6.350952e-01 	6.454983e-01 	6.536312e-01 	6.648451e-01 	5.525920e-01 	6.599361e-01 	6.173310e-01 	6.831852e-01 	 
1.578064e+00 	6.570845e-01 	6.425123e-01 	6.489862e-01 	6.506099e-01 	6.383680e-01 	6.685705e-01 	5.764849e-01 	6.584268e-01 	6.183915e-01 	6.839540e-01 	 
