x0	up	x1	bot	
-4.771068e-01 	 1.831662e-02 	-4.771068e-01 	 1.654669e-02 	 
-4.740515e-01 	 1.665493e-02 	-4.740515e-01 	 1.701994e-02 	 
-4.707611e-01 	 1.514440e-02 	-4.707611e-01 	 1.729539e-02 	 
-4.672316e-01 	 1.375134e-02 	-4.672316e-01 	 1.741290e-02 	 
-4.634595e-01 	 1.244075e-02 	-4.634595e-01 	 1.740297e-02 	 
-4.594418e-01 	 1.119146e-02 	-4.594418e-01 	 1.729233e-02 	 
-4.551758e-01 	 9.989272e-03 	-4.551758e-01 	 1.710564e-02 	 
-4.506595e-01 	 8.824564e-03 	-4.506595e-01 	 1.685882e-02 	 
-4.458913e-01 	 7.689501e-03 	-4.458913e-01 	 1.656628e-02 	 
-4.408700e-01 	 6.577754e-03 	-4.408700e-01 	 1.624015e-02 	 
-4.355949e-01 	 5.482978e-03 	-4.355949e-01 	 1.588957e-02 	 
-4.300657e-01 	 4.400054e-03 	-4.300657e-01 	 1.551927e-02 	 
-4.242825e-01 	 3.328846e-03 	-4.242825e-01 	 1.513828e-02 	 
-4.182458e-01 	 2.274994e-03 	-4.182458e-01 	 1.474933e-02 	 
-4.119565e-01 	 1.255203e-03 	-4.119565e-01 	 1.435521e-02 	 
-4.054160e-01 	 3.012299e-04 	-4.054160e-01 	 1.396058e-02 	 
-3.986260e-01 	 -5.403555e-04 	-3.986260e-01 	 1.356666e-02 	 
-3.915885e-01 	 -1.214900e-03 	-3.915885e-01 	 1.317519e-02 	 
-3.843059e-01 	 -1.677558e-03 	-3.843059e-01 	 1.278791e-02 	 
-3.767811e-01 	 -1.916230e-03 	-3.767811e-01 	 1.240644e-02 	 
-3.690172e-01 	 -1.967060e-03 	-3.690172e-01 	 1.203196e-02 	 
-3.610175e-01 	 -1.908320e-03 	-3.610175e-01 	 1.166379e-02 	 
-3.527859e-01 	 -1.830812e-03 	-3.527859e-01 	 1.130428e-02 	 
-3.443264e-01 	 -1.795665e-03 	-3.443264e-01 	 1.095277e-02 	 
-3.356435e-01 	 -1.805520e-03 	-3.356435e-01 	 1.060960e-02 	 
-3.267418e-01 	 -1.809968e-03 	-3.267418e-01 	 1.027555e-02 	 
-3.176262e-01 	 -1.747848e-03 	-3.176262e-01 	 9.949957e-03 	 
-3.083020e-01 	 -1.598373e-03 	-3.083020e-01 	 9.633298e-03 	 
-2.987745e-01 	 -1.399283e-03 	-2.987745e-01 	 9.325851e-03 	 
-2.890497e-01 	 -1.218433e-03 	-2.890497e-01 	 9.026967e-03 	 
-2.791335e-01 	 -1.105512e-03 	-2.791335e-01 	 8.737157e-03 	 
-2.690319e-01 	 -1.062345e-03 	-2.690319e-01 	 8.455942e-03 	 
-2.587515e-01 	 -1.050308e-03 	-2.587515e-01 	 8.183277e-03 	 
-2.482990e-01 	 -1.021948e-03 	-2.482990e-01 	 7.919061e-03 	 
-2.376810e-01 	 -9.516601e-04 	-2.376810e-01 	 7.663248e-03 	 
-2.269047e-01 	 -8.462198e-04 	-2.269047e-01 	 7.415563e-03 	 
-2.159773e-01 	 -7.332320e-04 	-2.159773e-01 	 7.176201e-03 	 
-2.049060e-01 	 -6.404355e-04 	-2.049060e-01 	 6.944559e-03 	 
-1.936986e-01 	 -5.806729e-04 	-1.936986e-01 	 6.720554e-03 	 
-1.823625e-01 	 -5.494403e-04 	-1.823625e-01 	 6.504338e-03 	 
-1.709058e-01 	 -5.330557e-04 	-1.709058e-01 	 6.295339e-03 	 
-1.593362e-01 	 -5.172112e-04 	-1.593362e-01 	 6.093607e-03 	 
-1.476619e-01 	 -4.912116e-04 	-1.476619e-01 	 5.898758e-03 	 
-1.358912e-01 	 -4.535163e-04 	-1.358912e-01 	 5.710944e-03 	 
-1.240322e-01 	 -4.138479e-04 	-1.240322e-01 	 5.529580e-03 	 
-1.120933e-01 	 -3.854800e-04 	-1.120933e-01 	 5.354770e-03 	 
-1.000830e-01 	 -3.788932e-04 	-1.000830e-01 	 5.186155e-03 	 
-8.800991e-02 	 -4.000299e-04 	-8.800991e-02 	 5.023486e-03 	 
-7.588250e-02 	 -4.605576e-04 	-7.588250e-02 	 4.866589e-03 	 
-6.370946e-02 	 -6.282070e-04 	-6.370946e-02 	 4.715216e-03 	 
-5.149946e-02 	 -1.046697e-03 	-5.149946e-02 	 4.569176e-03 	 
-3.926120e-02 	 -1.794666e-03 	-3.926120e-02 	 4.428177e-03 	 
-2.700344e-02 	 -2.775331e-03 	-2.700344e-02 	 4.292154e-03 	 
-1.473489e-02 	 -3.856036e-03 	-1.473489e-02 	 4.160704e-03 	 
-2.464324e-03 	 -4.985196e-03 	-2.464324e-03 	 4.033617e-03 	 
9.799541e-03 	 -6.054193e-03 	9.799541e-03 	 3.910637e-03 	 
2.204799e-02 	 -6.761313e-03 	2.204799e-02 	 3.791591e-03 	 
3.427232e-02 	 -6.849646e-03 	3.427232e-02 	 3.676217e-03 	 
4.646391e-02 	 -6.395784e-03 	4.646391e-02 	 3.564220e-03 	 
5.861415e-02 	 -5.615858e-03 	5.861415e-02 	 3.455417e-03 	 
7.071450e-02 	 -4.562264e-03 	7.071450e-02 	 3.349561e-03 	 
8.275648e-02 	 -3.237866e-03 	8.275648e-02 	 3.246360e-03 	 
9.473172e-02 	 -1.766545e-03 	9.473172e-02 	 3.145646e-03 	 
1.066319e-01 	 -2.821537e-04 	1.066319e-01 	 3.047149e-03 	 
1.184488e-01 	 1.152453e-03 	1.184488e-01 	 2.950690e-03 	 
1.301744e-01 	 2.473234e-03 	1.301744e-01 	 2.856024e-03 	 
1.418007e-01 	 3.593235e-03 	1.418007e-01 	 2.762976e-03 	 
1.533198e-01 	 4.470637e-03 	1.533198e-01 	 2.671354e-03 	 
1.647241e-01 	 5.154378e-03 	1.647241e-01 	 2.580924e-03 	 
1.760059e-01 	 5.722436e-03 	1.760059e-01 	 2.491526e-03 	 
1.871578e-01 	 6.189558e-03 	1.871578e-01 	 2.403005e-03 	 
1.981727e-01 	 6.518044e-03 	1.981727e-01 	 2.315281e-03 	 
2.090436e-01 	 6.704694e-03 	2.090436e-01 	 2.228137e-03 	 
2.197634e-01 	 6.799963e-03 	2.197634e-01 	 2.141587e-03 	 
2.303256e-01 	 6.849046e-03 	2.303256e-01 	 2.055469e-03 	 
2.407237e-01 	 6.863084e-03 	2.407237e-01 	 1.969784e-03 	 
2.509516e-01 	 6.839691e-03 	2.509516e-01 	 1.884507e-03 	 
2.610030e-01 	 6.783775e-03 	2.610030e-01 	 1.799620e-03 	 
2.708724e-01 	 6.710907e-03 	2.708724e-01 	 1.715219e-03 	 
2.805542e-01 	 6.637779e-03 	2.805542e-01 	 1.631325e-03 	 
2.900431e-01 	 6.566592e-03 	2.900431e-01 	 1.548033e-03 	 
2.993341e-01 	 6.484672e-03 	2.993341e-01 	 1.465480e-03 	 
3.084225e-01 	 6.384690e-03 	3.084225e-01 	 1.383805e-03 	 
3.173040e-01 	 6.275394e-03 	3.173040e-01 	 1.303167e-03 	 
3.259743e-01 	 6.169233e-03 	3.259743e-01 	 1.223742e-03 	 
3.344297e-01 	 6.067696e-03 	3.344297e-01 	 1.145719e-03 	 
3.426666e-01 	 5.962734e-03 	3.426666e-01 	 1.069304e-03 	 
3.506819e-01 	 5.847182e-03 	3.506819e-01 	 9.946982e-04 	 
3.584728e-01 	 5.719724e-03 	3.584728e-01 	 9.220901e-04 	 
3.660367e-01 	 5.584521e-03 	3.660367e-01 	 8.516884e-04 	 
3.733716e-01 	 5.449051e-03 	3.733716e-01 	 7.836617e-04 	 
3.804757e-01 	 5.320895e-03 	3.804757e-01 	 7.181694e-04 	 
3.873476e-01 	 5.203476e-03 	3.873476e-01 	 6.553581e-04 	 
3.939863e-01 	 5.095904e-03 	3.939863e-01 	 5.953413e-04 	 
4.003913e-01 	 4.995229e-03 	4.003913e-01 	 5.382064e-04 	 
4.065624e-01 	 4.898110e-03 	4.065624e-01 	 4.840232e-04 	 
4.124997e-01 	 4.801717e-03 	4.124997e-01 	 4.328228e-04 	 
4.182040e-01 	 4.704707e-03 	4.182040e-01 	 3.846156e-04 	 
4.236763e-01 	 4.607919e-03 	4.236763e-01 	 3.393764e-04 	 
4.289183e-01 	 4.513691e-03 	4.289183e-01 	 2.970760e-04 	 
4.339319e-01 	 4.423597e-03 	4.339319e-01 	 2.576361e-04 	 
4.387196e-01 	 4.336539e-03 	4.387196e-01 	 2.209774e-04 	 
4.432844e-01 	 4.250194e-03 	4.432844e-01 	 1.870296e-04 	 
4.476297e-01 	 4.164097e-03 	4.476297e-01 	 1.556302e-04 	 
4.517594e-01 	 4.079934e-03 	4.517594e-01 	 1.267028e-04 	 
4.556781e-01 	 3.999406e-03 	4.556781e-01 	 1.001377e-04 	 
4.593906e-01 	 3.922654e-03 	4.593906e-01 	 7.567677e-05 	 
