x0	T4	x1	T5	x2	T6	x3	T8	
-4.505733e-01 	 1.612741e-03 	-4.505733e-01 	 2.332257e-03 	-4.505733e-01 	 1.378910e-03 	-4.505733e-01 	 4.393195e-04 	 
-4.491564e-01 	 1.316474e-03 	-4.491564e-01 	 2.264265e-03 	-4.491564e-01 	 1.237498e-03 	-4.491564e-01 	 3.829412e-04 	 
-4.477054e-01 	 1.105172e-03 	-4.477054e-01 	 2.132849e-03 	-4.477054e-01 	 1.094495e-03 	-4.477054e-01 	 3.626812e-04 	 
-4.462194e-01 	 9.695163e-04 	-4.462194e-01 	 1.944554e-03 	-4.462194e-01 	 9.369081e-04 	-4.462194e-01 	 3.787993e-04 	 
-4.446979e-01 	 8.854372e-04 	-4.446979e-01 	 1.725529e-03 	-4.446979e-01 	 7.840047e-04 	-4.446979e-01 	 4.238950e-04 	 
-4.431401e-01 	 8.586432e-04 	-4.431401e-01 	 1.493125e-03 	-4.431401e-01 	 6.462968e-04 	-4.431401e-01 	 4.782410e-04 	 
-4.415454e-01 	 8.906126e-04 	-4.415454e-01 	 1.278017e-03 	-4.415454e-01 	 5.400185e-04 	-4.415454e-01 	 5.403646e-04 	 
-4.399133e-01 	 9.729543e-04 	-4.399133e-01 	 1.130865e-03 	-4.399133e-01 	 4.483543e-04 	-4.399133e-01 	 6.248579e-04 	 
-4.382431e-01 	 1.081257e-03 	-4.382431e-01 	 1.038482e-03 	-4.382431e-01 	 3.407906e-04 	-4.382431e-01 	 7.362568e-04 	 
-4.365344e-01 	 1.155235e-03 	-4.365344e-01 	 9.340867e-04 	-4.365344e-01 	 1.957861e-04 	-4.365344e-01 	 8.469545e-04 	 
-4.347866e-01 	 1.148002e-03 	-4.347866e-01 	 8.056944e-04 	-4.347866e-01 	 4.074182e-05 	-4.347866e-01 	 9.116058e-04 	 
-4.329991e-01 	 1.136833e-03 	-4.329991e-01 	 7.106518e-04 	-4.329991e-01 	 -9.334621e-05 	-4.329991e-01 	 9.119913e-04 	 
-4.311716e-01 	 1.243973e-03 	-4.311716e-01 	 6.588137e-04 	-4.311716e-01 	 -2.399285e-04 	-4.311716e-01 	 8.655604e-04 	 
-4.293035e-01 	 1.408849e-03 	-4.293035e-01 	 5.916574e-04 	-4.293035e-01 	 -4.252871e-04 	-4.293035e-01 	 8.137592e-04 	 
-4.273944e-01 	 1.483192e-03 	-4.273944e-01 	 4.611383e-04 	-4.273944e-01 	 -6.834614e-04 	-4.273944e-01 	 7.963390e-04 	 
-4.254439e-01 	 1.459559e-03 	-4.254439e-01 	 2.230924e-04 	-4.254439e-01 	 -1.081594e-03 	-4.254439e-01 	 8.152912e-04 	 
-4.234516e-01 	 1.390622e-03 	-4.234516e-01 	 -1.426529e-04 	-4.234516e-01 	 -1.585740e-03 	-4.234516e-01 	 8.157379e-04 	 
-4.214171e-01 	 1.293598e-03 	-4.214171e-01 	 -5.682334e-04 	-4.214171e-01 	 -2.026668e-03 	-4.214171e-01 	 7.572091e-04 	 
-4.193401e-01 	 1.185757e-03 	-4.193401e-01 	 -9.948566e-04 	-4.193401e-01 	 -2.462480e-03 	-4.193401e-01 	 6.846589e-04 	 
-4.172201e-01 	 1.056486e-03 	-4.172201e-01 	 -1.440776e-03 	-4.172201e-01 	 -3.076686e-03 	-4.172201e-01 	 6.636147e-04 	 
-4.150571e-01 	 9.224145e-04 	-4.150571e-01 	 -1.873400e-03 	-4.150571e-01 	 -3.764385e-03 	-4.150571e-01 	 6.913074e-04 	 
-4.128505e-01 	 8.451173e-04 	-4.128505e-01 	 -2.191347e-03 	-4.128505e-01 	 -4.342025e-03 	-4.128505e-01 	 7.195492e-04 	 
-4.106001e-01 	 7.613061e-04 	-4.106001e-01 	 -2.368704e-03 	-4.106001e-01 	 -4.822041e-03 	-4.106001e-01 	 7.143060e-04 	 
-4.083058e-01 	 5.930424e-04 	-4.083058e-01 	 -2.616342e-03 	-4.083058e-01 	 -5.211927e-03 	-4.083058e-01 	 6.709838e-04 	 
-4.059672e-01 	 4.628040e-04 	-4.059672e-01 	 -3.214628e-03 	-4.059672e-01 	 -5.488932e-03 	-4.059672e-01 	 6.099094e-04 	 
-4.035842e-01 	 4.009407e-04 	-4.035842e-01 	 -4.055981e-03 	-4.035842e-01 	 -5.807970e-03 	-4.035842e-01 	 5.589196e-04 	 
-4.011565e-01 	 2.964918e-04 	-4.011565e-01 	 -4.775199e-03 	-4.011565e-01 	 -6.339839e-03 	-4.011565e-01 	 5.167226e-04 	 
-3.986840e-01 	 1.399785e-04 	-3.986840e-01 	 -5.300139e-03 	-3.986840e-01 	 -6.849152e-03 	-3.986840e-01 	 4.534053e-04 	 
-3.961666e-01 	 -1.459493e-04 	-3.961666e-01 	 -5.664726e-03 	-3.961666e-01 	 -6.995901e-03 	-3.961666e-01 	 3.614745e-04 	 
-3.936040e-01 	 -5.862662e-04 	-3.936040e-01 	 -5.853597e-03 	-3.936040e-01 	 -6.891424e-03 	-3.936040e-01 	 2.679435e-04 	 
-3.909962e-01 	 -9.830715e-04 	-3.909962e-01 	 -6.052739e-03 	-3.909962e-01 	 -6.624553e-03 	-3.909962e-01 	 1.886796e-04 	 
-3.883431e-01 	 -1.328087e-03 	-3.883431e-01 	 -6.294208e-03 	-3.883431e-01 	 -6.024926e-03 	-3.883431e-01 	 1.154262e-04 	 
