x0	y0	y1	y2	y3	y4	y5	y6	y7	y8	
3.235934e+01 	1.050040e-01 	1.165543e-01 	1.129863e-01 	1.051479e-01 	7.089839e-02 	1.164464e-01 	7.634025e-02 	7.310902e-02 	1.431317e-02 	 
3.237482e+01 	1.050922e-01 	1.167475e-01 	1.132544e-01 	1.054657e-01 	7.198869e-02 	1.341824e-01 	5.395478e-02 	8.755922e-02 	1.950407e-02 	 
3.239050e+01 	1.051706e-01 	1.169290e-01 	1.135164e-01 	1.058263e-01 	7.301651e-02 	1.462720e-01 	2.253852e-02 	1.132518e-01 	3.526410e-02 	 
3.240619e+01 	1.052365e-01 	1.170996e-01 	1.137751e-01 	1.062170e-01 	7.377968e-02 	1.488963e-01 	-1.387708e-02 	1.519907e-01 	6.032864e-02 	 
3.242169e+01 	1.052924e-01 	1.172587e-01 	1.140351e-01 	1.066157e-01 	7.415938e-02 	1.402260e-01 	-4.696072e-02 	1.996779e-01 	9.429792e-02 	 
3.243738e+01 	1.053432e-01 	1.174116e-01 	1.143092e-01 	1.070158e-01 	7.415140e-02 	1.211353e-01 	-6.778408e-02 	2.478578e-01 	1.327765e-01 	 
3.245303e+01 	1.053910e-01 	1.175581e-01 	1.145932e-01 	1.074012e-01 	7.384240e-02 	9.641744e-02 	-6.874205e-02 	2.845054e-01 	1.643451e-01 	 
3.246854e+01 	1.054355e-01 	1.176968e-01 	1.148797e-01 	1.077631e-01 	7.343074e-02 	7.331778e-02 	-5.092140e-02 	3.027275e-01 	1.809029e-01 	 
3.248422e+01 	1.054793e-01 	1.178299e-01 	1.151747e-01 	1.081141e-01 	7.313975e-02 	5.734970e-02 	-2.205471e-02 	3.032131e-01 	1.825459e-01 	 
3.249991e+01 	1.055214e-01 	1.179597e-01 	1.154693e-01 	1.084642e-01 	7.317909e-02 	5.154346e-02 	9.371984e-03 	2.897929e-01 	1.714746e-01 	 
3.251559e+01 	1.055633e-01 	1.180883e-01 	1.157581e-01 	1.088389e-01 	7.367035e-02 	5.509282e-02 	4.027043e-02 	2.662613e-01 	1.510178e-01 	 
3.253110e+01 	1.056058e-01 	1.182156e-01 	1.160369e-01 	1.092570e-01 	7.460480e-02 	6.515966e-02 	7.158770e-02 	2.350028e-01 	1.298497e-01 	 
3.254678e+01 	1.056512e-01 	1.183473e-01 	1.163103e-01 	1.097474e-01 	7.589169e-02 	7.909332e-02 	1.060667e-01 	1.973563e-01 	1.173755e-01 	 
3.256244e+01 	1.057004e-01 	1.184821e-01 	1.165785e-01 	1.103116e-01 	7.732016e-02 	9.429315e-02 	1.429813e-01 	1.584711e-01 	1.170214e-01 	 
3.257794e+01 	1.057518e-01 	1.186239e-01 	1.168445e-01 	1.109206e-01 	7.864726e-02 	1.082845e-01 	1.781431e-01 	1.210692e-01 	1.260333e-01 	 
3.259363e+01 	1.058096e-01 	1.187798e-01 	1.171122e-01 	1.115562e-01 	7.972146e-02 	1.190065e-01 	2.063248e-01 	7.284303e-02 	1.421283e-01 	 
3.260931e+01 	1.058739e-01 	1.189455e-01 	1.173800e-01 	1.121870e-01 	8.042039e-02 	1.240164e-01 	2.222294e-01 	9.313946e-03 	1.629774e-01 	 
3.262497e+01 	1.059445e-01 	1.191191e-01 	1.176552e-01 	1.127897e-01 	8.074843e-02 	1.219542e-01 	2.275467e-01 	-5.224297e-02 	1.859379e-01 	 
3.264044e+01 	1.060179e-01 	1.192968e-01 	1.179401e-01 	1.133366e-01 	8.084360e-02 	1.133004e-01 	2.305547e-01 	-9.523278e-02 	2.076571e-01 	 
3.265613e+01 	1.060925e-01 	1.194823e-01 	1.182391e-01 	1.138207e-01 	8.091529e-02 	1.001333e-01 	2.372964e-01 	-1.051522e-01 	2.260341e-01 	 
3.267181e+01 	1.061704e-01 	1.196707e-01 	1.185440e-01 	1.142292e-01 	8.120361e-02 	8.630319e-02 	2.452578e-01 	-8.341987e-02 	2.369566e-01 	 
3.268732e+01 	1.062482e-01 	1.198612e-01 	1.188472e-01 	1.145801e-01 	8.189089e-02 	7.571195e-02 	2.480309e-01 	-5.009079e-02 	2.389636e-01 	 
3.270300e+01 	1.063209e-01 	1.200519e-01 	1.191570e-01 	1.149060e-01 	8.304908e-02 	7.058124e-02 	2.418722e-01 	-2.209267e-02 	2.299541e-01 	 
3.271869e+01 	1.063875e-01 	1.202342e-01 	1.194698e-01 	1.152336e-01 	8.458758e-02 	7.165084e-02 	2.264791e-01 	-4.919135e-04 	2.061465e-01 	 
3.273419e+01 	1.064482e-01 	1.204144e-01 	1.197840e-01 	1.155796e-01 	8.629183e-02 	7.786055e-02 	2.037382e-01 	2.288206e-02 	1.744322e-01 	 
3.274988e+01 	1.065087e-01 	1.206009e-01 	1.201074e-01 	1.159701e-01 	8.792661e-02 	8.763862e-02 	1.751508e-01 	5.538198e-02 	1.445657e-01 	 
3.276556e+01 	1.065636e-01 	1.207893e-01 	1.204375e-01 	1.164043e-01 	8.919472e-02 	9.896579e-02 	1.430205e-01 	9.737360e-02 	1.313961e-01 	 
3.278107e+01 	1.066155e-01 	1.209747e-01 	1.207669e-01 	1.168612e-01 	8.990367e-02 	1.097220e-01 	1.097116e-01 	1.426906e-01 	1.432170e-01 	 
3.279675e+01 	1.066740e-01 	1.211592e-01 	1.210962e-01 	1.173427e-01 	9.000885e-02 	1.183255e-01 	7.637143e-02 	1.852542e-01 	1.719789e-01 	 
3.281244e+01 	1.067413e-01 	1.213423e-01 	1.214277e-01 	1.178415e-01 	8.958171e-02 	1.232619e-01 	4.548748e-02 	2.203848e-01 	1.990327e-01 	 
3.282794e+01 	1.068157e-01 	1.215297e-01 	1.217739e-01 	1.183492e-01 	8.885356e-02 	1.240422e-01 	1.964186e-02 	2.477061e-01 	2.100836e-01 	 
3.284363e+01 	1.068977e-01 	1.217315e-01 	1.221549e-01 	1.188725e-01 	8.812634e-02 	1.212628e-01 	6.238854e-04 	2.695301e-01 	2.041825e-01 	 
3.285931e+01 	1.069877e-01 	1.219452e-01 	1.225554e-01 	1.194062e-01 	8.773263e-02 	1.164278e-01 	-9.148695e-03 	2.862544e-01 	1.886240e-01 	 
3.287482e+01 	1.070852e-01 	1.221650e-01 	1.229471e-01 	1.199471e-01 	8.789505e-02 	1.115518e-01 	-8.964631e-03 	2.964846e-01 	1.704867e-01 	 
3.289050e+01 	1.071886e-01 	1.223949e-01 	1.233261e-01 	1.204974e-01 	8.869111e-02 	1.081285e-01 	-2.872380e-05 	2.975453e-01 	1.511304e-01 	 
3.290619e+01 	1.072929e-01 	1.226310e-01 	1.236903e-01 	1.210304e-01 	9.004581e-02 	1.069566e-01 	1.516133e-02 	2.867132e-01 	1.301681e-01 	 
3.292169e+01 	1.073945e-01 	1.228648e-01 	1.240454e-01 	1.215433e-01 	9.174214e-02 	1.077743e-01 	3.420365e-02 	2.649957e-01 	1.099751e-01 	 
3.293738e+01 	1.074912e-01 	1.230975e-01 	1.244065e-01 	1.220872e-01 	9.354729e-02 	1.096191e-01 	5.696569e-02 	2.371165e-01 	9.463090e-02 	 
3.295306e+01 	1.075812e-01 	1.233285e-01 	1.247684e-01 	1.226949e-01 	9.516281e-02 	1.111566e-01 	8.370105e-02 	2.123164e-01 	8.735217e-02 	 
3.296857e+01 	1.076665e-01 	1.235567e-01 	1.251312e-01 	1.233531e-01 	9.638641e-02 	1.111865e-01 	1.138715e-01 	2.003715e-01 	8.809190e-02 	 
3.298425e+01 	1.077526e-01 	1.237912e-01 	1.255159e-01 	1.240315e-01 	9.717561e-02 	1.090782e-01 	1.461025e-01 	2.038958e-01 	9.517954e-02 	 
3.299994e+01 	1.078396e-01 	1.240375e-01 	1.259293e-01 	1.246644e-01 	9.754504e-02 	1.050828e-01 	1.762486e-01 	2.128097e-01 	1.062332e-01 	 
3.301544e+01 	1.079335e-01 	1.242946e-01 	1.263671e-01 	1.252183e-01 	9.762276e-02 	1.004159e-01 	2.002633e-01 	2.148612e-01 	1.184657e-01 	 
3.303113e+01 	1.080408e-01 	1.245642e-01 	1.268283e-01 	1.257260e-01 	9.760044e-02 	9.663886e-02 	2.165177e-01 	2.129405e-01 	1.300809e-01 	 
3.304681e+01 	1.081576e-01 	1.248402e-01 	1.272955e-01 	1.262159e-01 	9.768314e-02 	9.543733e-02 	2.241482e-01 	2.106268e-01 	1.398758e-01 	 
3.306232e+01 	1.082802e-01 	1.251127e-01 	1.277514e-01 	1.267050e-01 	9.805945e-02 	9.781764e-02 	2.233522e-01 	1.927344e-01 	1.474942e-01 	 
3.307800e+01 	1.084038e-01 	1.253816e-01 	1.282025e-01 	1.272161e-01 	9.887240e-02 	1.040661e-01 	2.141486e-01 	1.463417e-01 	1.526156e-01 	 
3.309369e+01 	1.085196e-01 	1.256448e-01 	1.286423e-01 	1.277566e-01 	1.001298e-01 	1.135766e-01 	1.966844e-01 	9.907386e-02 	1.529773e-01 	 
3.310919e+01 	1.086256e-01 	1.258987e-01 	1.290655e-01 	1.283466e-01 	1.016658e-01 	1.248862e-01 	1.725187e-01 	9.323740e-02 	1.471235e-01 	 
3.312488e+01 	1.087237e-01 	1.261488e-01 	1.294880e-01 	1.290296e-01 	1.032559e-01 	1.364108e-01 	1.438470e-01 	1.213411e-01 	1.350763e-01 	 
3.314056e+01 	1.088138e-01 	1.263962e-01 	1.299172e-01 	1.297966e-01 	1.046032e-01 	1.458764e-01 	1.147566e-01 	1.473750e-01 	1.137628e-01 	 
