x	Cp	
-1.168511e-01 	 -8.468150e-01 	 
-1.115886e-01 	 -8.466811e-01 	 
-1.063087e-01 	 -8.465952e-01 	 
-1.010122e-01 	 -8.466064e-01 	 
-9.569988e-02 	 -8.467382e-01 	 
-9.037240e-02 	 -8.469523e-01 	 
-8.503056e-02 	 -8.471837e-01 	 
-7.967512e-02 	 -8.474264e-01 	 
-7.430684e-02 	 -8.477364e-01 	 
-6.892650e-02 	 -8.481437e-01 	 
-6.353487e-02 	 -8.486369e-01 	 
-5.813272e-02 	 -8.492080e-01 	 
-5.272083e-02 	 -8.498240e-01 	 
-4.729999e-02 	 -8.504600e-01 	 
-4.187097e-02 	 -8.511770e-01 	 
-3.643458e-02 	 -8.520168e-01 	 
-3.099157e-02 	 -8.529199e-01 	 
-2.554277e-02 	 -8.538567e-01 	 
-2.008894e-02 	 -8.548483e-01 	 
-1.463090e-02 	 -8.559015e-01 	 
-9.169433e-03 	 -8.570251e-01 	 
-3.705335e-03 	 -8.581831e-01 	 
1.760596e-03 	 -8.593394e-01 	 
7.227560e-03 	 -8.605674e-01 	 
1.269476e-02 	 -8.619225e-01 	 
1.816139e-02 	 -8.633399e-01 	 
2.362666e-02 	 -8.648046e-01 	 
2.908977e-02 	 -8.663425e-01 	 
3.454991e-02 	 -8.678814e-01 	 
4.000629e-02 	 -8.694062e-01 	 
4.545812e-02 	 -8.710033e-01 	 
5.090458e-02 	 -8.726657e-01 	 
5.634489e-02 	 -8.743376e-01 	 
6.177824e-02 	 -8.760461e-01 	 
6.720385e-02 	 -8.778471e-01 	 
7.262093e-02 	 -8.797068e-01 	 
7.802868e-02 	 -8.815492e-01 	 
8.342630e-02 	 -8.834068e-01 	 
8.881303e-02 	 -8.853513e-01 	 
9.418807e-02 	 -8.873753e-01 	 
9.955063e-02 	 -8.894595e-01 	 
1.049000e-01 	 -8.916246e-01 	 
1.102353e-01 	 -8.938801e-01 	 
1.155557e-01 	 -8.961461e-01 	 
1.208607e-01 	 -8.982544e-01 	 
1.261493e-01 	 -9.001499e-01 	 
1.314208e-01 	 -9.020208e-01 	 
1.366744e-01 	 -9.039771e-01 	 
1.419094e-01 	 -9.058887e-01 	 
1.471251e-01 	 -9.077683e-01 	 
1.523207e-01 	 -9.097707e-01 	 
1.574954e-01 	 -9.118076e-01 	 
1.626485e-01 	 -9.136507e-01 	 
1.677793e-01 	 -9.153297e-01 	 
1.728871e-01 	 -9.170708e-01 	 
1.779711e-01 	 -9.187931e-01 	 
1.830307e-01 	 -9.202389e-01 	 
1.880651e-01 	 -9.215237e-01 	 
1.930735e-01 	 -9.227807e-01 	 
1.980554e-01 	 -9.238622e-01 	 
2.030101e-01 	 -9.248369e-01 	 
2.079368e-01 	 -9.258516e-01 	 
2.128348e-01 	 -9.266980e-01 	 
2.177036e-01 	 -9.272163e-01 	 
2.225424e-01 	 -9.274824e-01 	 
2.273505e-01 	 -9.275130e-01 	 
2.321275e-01 	 -9.273250e-01 	 
2.368725e-01 	 -9.269913e-01 	 
2.415850e-01 	 -9.265327e-01 	 
2.462643e-01 	 -9.259393e-01 	 
2.509099e-01 	 -9.252040e-01 	 
2.555211e-01 	 -9.242700e-01 	 
2.600973e-01 	 -9.231328e-01 	 
2.646380e-01 	 -9.218974e-01 	 
2.691426e-01 	 -9.205598e-01 	 
2.736104e-01 	 -9.190478e-01 	 
2.780410e-01 	 -9.174639e-01 	 
2.824338e-01 	 -9.158716e-01 	 
2.867882e-01 	 -9.141312e-01 	 
2.911038e-01 	 -9.122754e-01 	 
2.953799e-01 	 -9.104644e-01 	 
2.996161e-01 	 -9.086033e-01 	 
3.038120e-01 	 -9.066163e-01 	 
3.079669e-01 	 -9.046455e-01 	 
3.120805e-01 	 -9.027135e-01 	 
3.161523e-01 	 -9.006633e-01 	 
3.201818e-01 	 -8.983639e-01 	 
3.241686e-01 	 -8.958814e-01 	 
3.281122e-01 	 -8.934039e-01 	 
3.320123e-01 	 -8.909348e-01 	 
3.358684e-01 	 -8.884046e-01 	 
3.396801e-01 	 -8.858948e-01 	 
3.434471e-01 	 -8.834278e-01 	 
3.471690e-01 	 -8.809342e-01 	 
3.508455e-01 	 -8.784431e-01 	 
3.544762e-01 	 -8.761458e-01 	 
3.580607e-01 	 -8.740406e-01 	 
3.615989e-01 	 -8.719828e-01 	 
3.650903e-01 	 -8.700856e-01 	 
3.685347e-01 	 -8.684295e-01 	 
3.719318e-01 	 -8.669147e-01 	 
3.752814e-01 	 -8.655472e-01 	 
3.785833e-01 	 -8.644512e-01 	 
3.818371e-01 	 -8.636647e-01 	 
3.850428e-01 	 -8.630006e-01 	 
3.882000e-01 	 -8.624097e-01 	 
3.913087e-01 	 -8.621067e-01 	 
3.943687e-01 	 -8.620587e-01 	 
3.973798e-01 	 -8.620440e-01 	 
4.003418e-01 	 -8.621354e-01 	 
4.032547e-01 	 -8.625152e-01 	 
4.061185e-01 	 -8.631389e-01 	 
4.089329e-01 	 -8.638715e-01 	 
4.116979e-01 	 -8.646612e-01 	 
4.144135e-01 	 -8.655158e-01 	 
4.170797e-01 	 -8.665116e-01 	 
4.196965e-01 	 -8.677196e-01 	 
4.222637e-01 	 -8.690103e-01 	 
4.247816e-01 	 -8.702190e-01 	 
4.272501e-01 	 -8.713460e-01 	 
4.296692e-01 	 -8.723858e-01 	 
4.320391e-01 	 -8.733983e-01 	 
4.343599e-01 	 -8.744318e-01 	 
4.366316e-01 	 -8.753876e-01 	 
4.388545e-01 	 -8.762467e-01 	 
4.410286e-01 	 -8.770694e-01 	 
4.431541e-01 	 -8.778211e-01 	 
4.452313e-01 	 -8.784415e-01 	 
4.472603e-01 	 -8.789367e-01 	 
4.492413e-01 	 -8.793856e-01 	 
4.511747e-01 	 -8.797985e-01 	 
4.530607e-01 	 -8.800586e-01 	 
4.548997e-01 	 -8.801818e-01 	 
4.566918e-01 	 -8.802413e-01 	 
4.584375e-01 	 -8.801650e-01 	 
4.601371e-01 	 -8.799899e-01 	 
4.617909e-01 	 -8.798208e-01 	 
4.633995e-01 	 -8.796125e-01 	 
4.649633e-01 	 -8.793681e-01 	 
4.664825e-01 	 -8.791408e-01 	 
4.679578e-01 	 -8.789164e-01 	 
4.693896e-01 	 -8.786827e-01 	 
4.707785e-01 	 -8.784350e-01 	 
4.721249e-01 	 -8.782043e-01 	 
4.734295e-01 	 -8.779730e-01 	 
4.746927e-01 	 -8.776582e-01 	 
4.759153e-01 	 -8.772875e-01 	 
4.770978e-01 	 -8.769131e-01 	 
4.782410e-01 	 -8.765006e-01 	 
4.793454e-01 	 -8.760568e-01 	 
4.804118e-01 	 -8.756065e-01 	 
4.814408e-01 	 -8.750937e-01 	 
4.824334e-01 	 -8.744715e-01 	 
4.833902e-01 	 -8.737909e-01 	 
4.843120e-01 	 -8.731119e-01 	 
4.851996e-01 	 -8.724157e-01 	 
4.860540e-01 	 -8.717027e-01 	 
4.868760e-01 	 -8.709716e-01 	 
4.876664e-01 	 -8.702561e-01 	 
4.884262e-01 	 -8.695380e-01 	 
4.891564e-01 	 -8.687863e-01 	 
4.898580e-01 	 -8.680620e-01 	 
4.905319e-01 	 -8.673228e-01 	 
4.911792e-01 	 -8.666200e-01 	 
4.918009e-01 	 -8.658952e-01 	 
4.923982e-01 	 -8.650801e-01 	 
4.929722e-01 	 -8.643514e-01 	 
4.935239e-01 	 -8.634106e-01 	 
4.940546e-01 	 -8.627050e-01 	 
4.945655e-01 	 -8.617470e-01 	 
4.950578e-01 	 -8.610020e-01 	 
4.955327e-01 	 -8.602819e-01 	 
4.959916e-01 	 -8.592833e-01 	 
4.964357e-01 	 -8.589777e-01 	 
4.968664e-01 	 -8.576040e-01 	 
4.972851e-01 	 -8.575472e-01 	 
4.976931e-01 	 -8.563686e-01 	 
4.980919e-01 	 -8.554678e-01 	 
4.984830e-01 	 -8.562536e-01 	 
4.988678e-01 	 -8.525923e-01 	 
4.992478e-01 	 -8.608037e-01 	 
4.996247e-01 	 -8.583443e-01 	 
5.000000e-01 	 -8.629637e-01 	 
