f	SCd	
2.310345e+00 	 2.211424e-08 	 
2.325544e+00 	 1.515595e-08 	 
2.340744e+00 	 1.131511e-08 	 
2.355944e+00 	 1.137757e-08 	 
2.371143e+00 	 8.197585e-09 	 
2.386343e+00 	 7.465910e-09 	 
2.401543e+00 	 7.864423e-09 	 
2.416742e+00 	 1.137728e-08 	 
2.431942e+00 	 1.522422e-08 	 
2.447142e+00 	 7.986154e-09 	 
2.462341e+00 	 6.470959e-09 	 
2.477541e+00 	 5.986293e-09 	 
2.492740e+00 	 5.670031e-09 	 
2.507940e+00 	 9.803378e-09 	 
2.523140e+00 	 2.850263e-08 	 
2.538339e+00 	 2.416983e-08 	 
2.553539e+00 	 9.359196e-09 	 
2.568739e+00 	 4.171887e-09 	 
2.583938e+00 	 6.796841e-09 	 
2.599138e+00 	 7.351932e-09 	 
2.614338e+00 	 4.860894e-09 	 
2.629537e+00 	 6.241981e-09 	 
2.644737e+00 	 4.146629e-09 	 
2.659936e+00 	 3.779197e-09 	 
2.675136e+00 	 6.378859e-09 	 
2.690336e+00 	 1.285040e-08 	 
2.705535e+00 	 1.017514e-08 	 
2.720735e+00 	 4.502101e-09 	 
2.735935e+00 	 1.746475e-09 	 
2.751134e+00 	 1.725101e-09 	 
2.766334e+00 	 3.002913e-09 	 
2.781534e+00 	 6.993098e-09 	 
2.796733e+00 	 1.025202e-08 	 
2.811933e+00 	 8.451035e-09 	 
2.827132e+00 	 8.456106e-09 	 
2.842332e+00 	 7.454584e-09 	 
2.857532e+00 	 4.707499e-09 	 
2.872731e+00 	 8.673264e-09 	 
2.887931e+00 	 1.495291e-08 	 
2.903131e+00 	 4.689841e-09 	 
2.918330e+00 	 1.152454e-09 	 
2.933530e+00 	 4.432704e-09 	 
2.948730e+00 	 3.283857e-09 	 
2.963929e+00 	 8.056410e-10 	 
2.979129e+00 	 6.450221e-10 	 
2.994328e+00 	 1.516106e-09 	 
3.009528e+00 	 3.602847e-09 	 
3.024728e+00 	 3.357044e-09 	 
3.039927e+00 	 1.354948e-09 	 
3.055127e+00 	 1.560921e-09 	 
3.070327e+00 	 7.932319e-10 	 
3.085526e+00 	 3.755487e-09 	 
3.100726e+00 	 5.983070e-09 	 
3.115926e+00 	 2.774362e-09 	 
3.131125e+00 	 1.591098e-09 	 
3.146325e+00 	 1.808757e-09 	 
3.161524e+00 	 2.942565e-09 	 
3.176724e+00 	 1.646144e-09 	 
3.191924e+00 	 2.528201e-09 	 
3.207123e+00 	 2.396109e-09 	 
3.222323e+00 	 3.209627e-09 	 
3.237523e+00 	 3.313446e-09 	 
3.252722e+00 	 4.618894e-09 	 
3.267922e+00 	 3.200761e-09 	 
3.283122e+00 	 1.053744e-09 	 
3.298321e+00 	 7.119510e-10 	 
3.313521e+00 	 1.324543e-09 	 
3.328720e+00 	 1.237125e-09 	 
3.343920e+00 	 1.515858e-09 	 
3.359120e+00 	 9.020930e-10 	 
3.374319e+00 	 1.475338e-09 	 
3.389519e+00 	 1.529142e-09 	 
3.404719e+00 	 1.667666e-09 	 
3.419918e+00 	 1.540266e-09 	 
3.435118e+00 	 3.044896e-09 	 
3.450318e+00 	 2.477753e-09 	 
3.465517e+00 	 4.577323e-09 	 
3.480717e+00 	 2.387384e-09 	 
3.495916e+00 	 9.622923e-10 	 
3.511116e+00 	 9.443917e-10 	 
3.526316e+00 	 9.361960e-10 	 
3.541515e+00 	 5.057465e-10 	 
3.556715e+00 	 5.112297e-10 	 
3.571915e+00 	 5.878051e-10 	 
3.587114e+00 	 6.957521e-10 	 
3.602314e+00 	 1.229541e-09 	 
3.617514e+00 	 2.075004e-09 	 
3.632713e+00 	 2.937651e-09 	 
3.647913e+00 	 2.518676e-09 	 
3.663112e+00 	 6.862067e-10 	 
3.678312e+00 	 2.916311e-10 	 
3.693512e+00 	 4.671635e-10 	 
3.708711e+00 	 1.625970e-09 	 
3.723911e+00 	 1.533465e-09 	 
3.739111e+00 	 8.834428e-10 	 
3.754310e+00 	 2.122125e-09 	 
3.769510e+00 	 2.505776e-09 	 
3.784710e+00 	 3.045246e-09 	 
3.799909e+00 	 2.293679e-09 	 
3.815109e+00 	 1.822043e-09 	 
3.830308e+00 	 1.638171e-09 	 
3.845508e+00 	 1.295206e-09 	 
3.860708e+00 	 1.178517e-09 	 
3.875907e+00 	 9.881352e-10 	 
3.891107e+00 	 1.414762e-09 	 
3.906307e+00 	 2.740139e-09 	 
3.921506e+00 	 1.353425e-09 	 
3.936706e+00 	 1.298030e-09 	 
3.951906e+00 	 2.727059e-09 	 
3.967105e+00 	 2.212082e-09 	 
3.982305e+00 	 1.978260e-09 	 
3.997504e+00 	 2.340046e-09 	 
4.012704e+00 	 2.124462e-09 	 
4.027904e+00 	 5.718685e-10 	 
4.043103e+00 	 5.707089e-10 	 
4.058303e+00 	 1.239644e-09 	 
4.073503e+00 	 1.008931e-09 	 
4.088702e+00 	 6.784553e-10 	 
4.103902e+00 	 1.354689e-09 	 
4.119102e+00 	 1.180378e-09 	 
4.134301e+00 	 1.235756e-10 	 
4.149501e+00 	 2.456045e-10 	 
4.164700e+00 	 4.017796e-10 	 
4.179900e+00 	 4.437546e-10 	 
4.195100e+00 	 1.612977e-09 	 
4.210299e+00 	 1.282070e-09 	 
4.225499e+00 	 7.163828e-10 	 
4.240699e+00 	 9.564860e-10 	 
4.255898e+00 	 4.907983e-10 	 
4.271098e+00 	 1.343854e-09 	 
4.286298e+00 	 1.803038e-09 	 
4.301497e+00 	 5.196790e-10 	 
4.316697e+00 	 4.160563e-10 	 
4.331896e+00 	 5.618773e-10 	 
4.347096e+00 	 6.337026e-10 	 
4.362296e+00 	 5.004760e-10 	 
4.377495e+00 	 2.212867e-10 	 
4.392695e+00 	 2.425262e-10 	 
4.407895e+00 	 7.601175e-10 	 
4.423094e+00 	 6.777958e-10 	 
4.438294e+00 	 3.981154e-10 	 
4.453494e+00 	 3.965397e-10 	 
4.468693e+00 	 4.859383e-10 	 
4.483893e+00 	 2.782138e-10 	 
4.499092e+00 	 1.242730e-10 	 
4.514292e+00 	 3.629535e-10 	 
4.529492e+00 	 3.163453e-10 	 
4.544691e+00 	 2.657720e-10 	 
4.559891e+00 	 2.859902e-10 	 
4.575091e+00 	 4.344833e-10 	 
4.590290e+00 	 5.046035e-10 	 
4.605490e+00 	 5.662662e-10 	 
4.620690e+00 	 5.871430e-10 	 
4.635889e+00 	 3.654478e-10 	 
4.651089e+00 	 4.895085e-10 	 
4.666288e+00 	 3.484572e-10 	 
4.681488e+00 	 6.855984e-10 	 
4.696688e+00 	 5.652954e-10 	 
4.711887e+00 	 1.395580e-10 	 
4.727087e+00 	 1.103745e-10 	 
4.742287e+00 	 2.708368e-10 	 
4.757486e+00 	 1.567511e-10 	 
4.772686e+00 	 3.023642e-10 	 
4.787886e+00 	 8.105580e-10 	 
4.803085e+00 	 7.822354e-10 	 
4.818285e+00 	 8.208845e-10 	 
4.833484e+00 	 1.531245e-09 	 
4.848684e+00 	 5.321347e-10 	 
4.863884e+00 	 2.794900e-10 	 
4.879083e+00 	 5.235390e-10 	 
4.894283e+00 	 5.913816e-10 	 
4.909483e+00 	 7.479471e-10 	 
4.924682e+00 	 7.341527e-10 	 
4.939882e+00 	 2.053196e-10 	 
4.955082e+00 	 1.913249e-10 	 
4.970281e+00 	 3.139682e-10 	 
4.985481e+00 	 3.069750e-10 	 
5.000681e+00 	 2.507151e-10 	 
5.015880e+00 	 4.756677e-10 	 
5.031080e+00 	 2.688949e-10 	 
5.046279e+00 	 2.081102e-10 	 
5.061479e+00 	 3.681223e-10 	 
5.076679e+00 	 3.942324e-10 	 
5.091878e+00 	 3.160621e-10 	 
5.107078e+00 	 1.895096e-10 	 
5.122278e+00 	 1.214794e-10 	 
5.137477e+00 	 3.985046e-10 	 
5.152677e+00 	 2.640330e-10 	 
5.167877e+00 	 2.101946e-10 	 
5.183076e+00 	 3.341424e-10 	 
5.198276e+00 	 3.734142e-10 	 
5.213475e+00 	 3.402159e-10 	 
5.228675e+00 	 2.288045e-10 	 
5.243875e+00 	 2.890773e-10 	 
5.259074e+00 	 4.345778e-10 	 
5.274274e+00 	 4.572429e-10 	 
5.289474e+00 	 2.750992e-10 	 
5.304673e+00 	 1.616017e-10 	 
5.319873e+00 	 1.803372e-10 	 
5.335073e+00 	 1.374000e-10 	 
5.350272e+00 	 2.341790e-10 	 
5.365472e+00 	 1.136680e-10 	 
5.380671e+00 	 5.793473e-11 	 
5.395871e+00 	 1.288961e-10 	 
5.411071e+00 	 2.228407e-10 	 
5.426270e+00 	 2.488945e-10 	 
5.441470e+00 	 4.157883e-10 	 
5.456670e+00 	 4.095859e-10 	 
5.471869e+00 	 3.069370e-10 	 
5.487069e+00 	 1.781598e-10 	 
5.502269e+00 	 8.190730e-11 	 
5.517468e+00 	 1.703743e-10 	 
5.532668e+00 	 2.112815e-10 	 
5.547867e+00 	 3.285170e-10 	 
5.563067e+00 	 1.822158e-10 	 
5.578267e+00 	 9.180025e-11 	 
5.593466e+00 	 2.029661e-10 	 
5.608666e+00 	 2.379657e-10 	 
5.623866e+00 	 1.976802e-10 	 
5.639065e+00 	 1.973015e-10 	 
5.654265e+00 	 2.126223e-10 	 
5.669465e+00 	 2.169448e-10 	 
5.684664e+00 	 1.549052e-10 	 
5.699864e+00 	 1.306240e-10 	 
5.715063e+00 	 3.073549e-10 	 
5.730263e+00 	 1.694418e-10 	 
5.745463e+00 	 1.895797e-10 	 
5.760662e+00 	 1.453664e-10 	 
5.775862e+00 	 1.962649e-10 	 
5.791062e+00 	 2.173682e-10 	 
5.806261e+00 	 3.452926e-10 	 
5.821461e+00 	 2.717826e-10 	 
5.836661e+00 	 1.266860e-10 	 
5.851860e+00 	 9.232131e-11 	 
5.867060e+00 	 1.884005e-10 	 
5.882259e+00 	 1.048737e-10 	 
5.897459e+00 	 1.704206e-10 	 
5.912659e+00 	 2.162051e-10 	 
5.927858e+00 	 2.670160e-10 	 
5.943058e+00 	 1.958588e-10 	 
5.958258e+00 	 8.658051e-11 	 
5.973457e+00 	 1.282288e-10 	 
5.988657e+00 	 1.198637e-10 	 
6.003857e+00 	 1.571634e-10 	 
6.019056e+00 	 8.559993e-11 	 
6.034256e+00 	 1.086565e-10 	 
6.049455e+00 	 8.560135e-11 	 
6.064655e+00 	 3.963868e-11 	 
6.079855e+00 	 1.278146e-10 	 
6.095054e+00 	 2.067159e-10 	 
6.110254e+00 	 3.717363e-10 	 
6.125454e+00 	 2.448850e-10 	 
6.140653e+00 	 1.491839e-10 	 
6.155853e+00 	 1.062225e-10 	 
6.171053e+00 	 2.174110e-10 	 
6.186252e+00 	 2.473070e-10 	 
6.201452e+00 	 2.193594e-10 	 
6.216651e+00 	 1.633656e-10 	 
6.231851e+00 	 1.309728e-10 	 
6.247051e+00 	 5.895884e-11 	 
6.262250e+00 	 7.143376e-11 	 
6.277450e+00 	 1.581646e-10 	 
6.292650e+00 	 1.193095e-10 	 
6.307849e+00 	 7.683714e-11 	 
6.323049e+00 	 3.040100e-11 	 
6.338249e+00 	 3.299646e-11 	 
6.353448e+00 	 4.479358e-11 	 
6.368648e+00 	 1.291794e-10 	 
6.383847e+00 	 1.448646e-10 	 
6.399047e+00 	 1.136554e-10 	 
6.414247e+00 	 8.871258e-11 	 
6.429446e+00 	 6.865622e-11 	 
6.444646e+00 	 7.805550e-11 	 
6.459846e+00 	 1.133711e-10 	 
6.475045e+00 	 1.752800e-10 	 
6.490245e+00 	 2.419843e-10 	 
6.505445e+00 	 1.744575e-10 	 
6.520644e+00 	 5.725041e-11 	 
6.535844e+00 	 6.834871e-11 	 
6.551043e+00 	 8.630438e-11 	 
6.566243e+00 	 1.426644e-10 	 
6.581443e+00 	 1.825696e-10 	 
6.596642e+00 	 2.124754e-11 	 
6.611842e+00 	 3.666600e-11 	 
6.627042e+00 	 1.007530e-10 	 
6.642241e+00 	 1.584349e-10 	 
6.657441e+00 	 1.069607e-10 	 
6.672641e+00 	 1.204619e-10 	 
6.687840e+00 	 1.182657e-10 	 
6.703040e+00 	 1.025343e-10 	 
6.718239e+00 	 1.154576e-10 	 
6.733439e+00 	 7.213800e-11 	 
6.748639e+00 	 6.039454e-11 	 
6.763838e+00 	 8.722704e-11 	 
