x0	delta	x1	wle	x2	sle	
-4.556032e-01 	 3.431589e-04 	-4.556032e-01 	 1.659243e-03 	-4.556032e-01 	 1.316084e-03 	 
-4.541493e-01 	 3.466912e-04 	-4.541493e-01 	 1.657087e-03 	-4.541493e-01 	 1.310396e-03 	 
-4.526540e-01 	 3.153382e-04 	-4.526540e-01 	 1.620719e-03 	-4.526540e-01 	 1.305381e-03 	 
-4.511169e-01 	 2.861923e-04 	-4.511169e-01 	 1.587012e-03 	-4.511169e-01 	 1.300820e-03 	 
-4.495376e-01 	 2.574367e-04 	-4.495376e-01 	 1.554057e-03 	-4.495376e-01 	 1.296620e-03 	 
-4.479155e-01 	 2.293783e-04 	-4.479155e-01 	 1.522070e-03 	-4.479155e-01 	 1.292691e-03 	 
-4.462501e-01 	 1.976869e-04 	-4.462501e-01 	 1.486615e-03 	-4.462501e-01 	 1.288928e-03 	 
-4.445411e-01 	 1.672200e-04 	-4.445411e-01 	 1.452501e-03 	-4.445411e-01 	 1.285281e-03 	 
-4.427879e-01 	 1.443745e-04 	-4.427879e-01 	 1.426006e-03 	-4.427879e-01 	 1.281631e-03 	 
-4.409904e-01 	 1.275732e-04 	-4.409904e-01 	 1.405487e-03 	-4.409904e-01 	 1.277914e-03 	 
-4.391479e-01 	 1.152326e-04 	-4.391479e-01 	 1.389310e-03 	-4.391479e-01 	 1.274077e-03 	 
-4.372603e-01 	 1.062532e-04 	-4.372603e-01 	 1.376315e-03 	-4.372603e-01 	 1.270062e-03 	 
-4.353271e-01 	 9.980446e-05 	-4.353271e-01 	 1.365663e-03 	-4.353271e-01 	 1.265859e-03 	 
-4.333479e-01 	 9.534776e-05 	-4.333479e-01 	 1.356712e-03 	-4.333479e-01 	 1.261364e-03 	 
-4.313226e-01 	 9.242538e-05 	-4.313226e-01 	 1.349016e-03 	-4.313226e-01 	 1.256590e-03 	 
-4.292508e-01 	 9.070184e-05 	-4.292508e-01 	 1.342179e-03 	-4.292508e-01 	 1.251477e-03 	 
-4.271322e-01 	 8.993211e-05 	-4.271322e-01 	 1.335936e-03 	-4.271322e-01 	 1.246004e-03 	 
-4.249665e-01 	 8.986469e-05 	-4.249665e-01 	 1.330026e-03 	-4.249665e-01 	 1.240161e-03 	 
-4.227536e-01 	 9.035734e-05 	-4.227536e-01 	 1.324269e-03 	-4.227536e-01 	 1.233911e-03 	 
-4.204932e-01 	 9.126661e-05 	-4.204932e-01 	 1.318498e-03 	-4.204932e-01 	 1.227232e-03 	 
-4.181851e-01 	 9.248030e-05 	-4.181851e-01 	 1.312604e-03 	-4.181851e-01 	 1.220124e-03 	 
-4.158291e-01 	 9.390069e-05 	-4.158291e-01 	 1.306476e-03 	-4.158291e-01 	 1.212575e-03 	 
-4.134250e-01 	 9.546323e-05 	-4.134250e-01 	 1.300030e-03 	-4.134250e-01 	 1.204567e-03 	 
-4.109728e-01 	 9.714155e-05 	-4.109728e-01 	 1.293224e-03 	-4.109728e-01 	 1.196082e-03 	 
-4.084723e-01 	 9.887368e-05 	-4.084723e-01 	 1.286005e-03 	-4.084723e-01 	 1.187131e-03 	 
-4.059233e-01 	 1.006118e-04 	-4.059233e-01 	 1.278337e-03 	-4.059233e-01 	 1.177725e-03 	 
-4.033257e-01 	 1.023785e-04 	-4.033257e-01 	 1.270192e-03 	-4.033257e-01 	 1.167814e-03 	 
