x0	y0	y1	y2	y3	y4	y5	y6	y7	y8	
3.912491e+01 	6.719814e-01 	6.781547e-01 	6.799935e-01 	6.803085e-01 	6.802455e-01 	6.789521e-01 	6.744753e-01 	6.813625e-01 	6.755941e-01 	 
3.914059e+01 	6.719311e-01 	6.781203e-01 	6.799698e-01 	6.802824e-01 	6.802398e-01 	6.803824e-01 	6.813814e-01 	6.891506e-01 	6.789726e-01 	 
3.915607e+01 	6.718915e-01 	6.780933e-01 	6.799468e-01 	6.802673e-01 	6.802397e-01 	6.816002e-01 	6.872239e-01 	6.959240e-01 	6.815893e-01 	 
3.917172e+01 	6.718615e-01 	6.780695e-01 	6.799271e-01 	6.802664e-01 	6.802504e-01 	6.823995e-01 	6.914052e-01 	6.999406e-01 	6.817170e-01 	 
3.918738e+01 	6.718374e-01 	6.780494e-01 	6.799156e-01 	6.802831e-01 	6.802722e-01 	6.826408e-01 	6.934036e-01 	6.999751e-01 	6.785932e-01 	 
3.920303e+01 	6.718166e-01 	6.780376e-01 	6.799172e-01 	6.803154e-01 	6.802950e-01 	6.823400e-01 	6.929735e-01 	6.964266e-01 	6.716314e-01 	 
3.921869e+01 	6.718058e-01 	6.780405e-01 	6.799299e-01 	6.803505e-01 	6.803093e-01 	6.816186e-01 	6.900472e-01 	6.904024e-01 	6.619561e-01 	 
3.923434e+01 	6.718037e-01 	6.780483e-01 	6.799407e-01 	6.803744e-01 	6.803149e-01 	6.806593e-01 	6.848889e-01 	6.838653e-01 	6.564204e-01 	 
3.924982e+01 	6.717997e-01 	6.780524e-01 	6.799443e-01 	6.803877e-01 	6.803179e-01 	6.796785e-01 	6.783154e-01 	6.789055e-01 	6.606504e-01 	 
3.926547e+01 	6.717950e-01 	6.780564e-01 	6.799449e-01 	6.803943e-01 	6.803245e-01 	6.788361e-01 	6.713543e-01 	6.752775e-01 	6.680956e-01 	 
3.928113e+01 	6.717954e-01 	6.780604e-01 	6.799410e-01 	6.803890e-01 	6.803318e-01 	6.782808e-01 	6.656835e-01 	6.711856e-01 	6.707194e-01 	 
3.929675e+01 	6.717936e-01 	6.780544e-01 	6.799261e-01 	6.803657e-01 	6.803383e-01 	6.780870e-01 	6.628989e-01 	6.661767e-01 	6.698541e-01 	 
3.931241e+01 	6.717778e-01 	6.780357e-01 	6.799015e-01 	6.803238e-01 	6.803451e-01 	6.782482e-01 	6.635948e-01 	6.619583e-01 	6.706953e-01 	 
3.932806e+01 	6.717551e-01 	6.780127e-01 	6.798694e-01 	6.802687e-01 	6.803431e-01 	6.786855e-01 	6.672124e-01 	6.604066e-01 	6.741705e-01 	 
3.934372e+01 	6.717295e-01 	6.779842e-01 	6.798287e-01 	6.802036e-01 	6.803239e-01 	6.792836e-01 	6.728285e-01 	6.629055e-01 	6.786581e-01 	 
3.935916e+01 	6.716997e-01 	6.779494e-01 	6.797830e-01 	6.801345e-01 	6.802893e-01 	6.798938e-01 	6.792156e-01 	6.698135e-01 	6.837186e-01 	 
3.937482e+01 	6.716667e-01 	6.779095e-01 	6.797311e-01 	6.800670e-01 	6.802419e-01 	6.803848e-01 	6.852361e-01 	6.793986e-01 	6.875595e-01 	 
3.939044e+01 	6.716267e-01 	6.778619e-01 	6.796747e-01 	6.800088e-01 	6.801778e-01 	6.806705e-01 	6.897766e-01 	6.880910e-01 	6.876322e-01 	 
3.940610e+01 	6.715795e-01 	6.778095e-01 	6.796219e-01 	6.799621e-01 	6.800965e-01 	6.807401e-01 	6.922575e-01 	6.936194e-01 	6.845676e-01 	 
3.942175e+01 	6.715280e-01 	6.777574e-01 	6.795741e-01 	6.799238e-01 	6.800057e-01 	6.806250e-01 	6.924629e-01 	6.957094e-01 	6.811970e-01 	 
3.943738e+01 	6.714719e-01 	6.777056e-01 	6.795295e-01 	6.798928e-01 	6.799126e-01 	6.803985e-01 	6.904110e-01 	6.948676e-01 	6.795713e-01 	 
3.945300e+01 	6.714143e-01 	6.776569e-01 	6.794934e-01 	6.798693e-01 	6.798287e-01 	6.801510e-01 	6.863952e-01 	6.915931e-01 	6.794814e-01 	 
3.946866e+01 	6.713616e-01 	6.776155e-01 	6.794658e-01 	6.798505e-01 	6.797619e-01 	6.799581e-01 	6.810074e-01 	6.864246e-01 	6.786913e-01 	 
3.948428e+01 	6.713139e-01 	6.775813e-01 	6.794441e-01 	6.798345e-01 	6.797202e-01 	6.798709e-01 	6.750452e-01 	6.797573e-01 	6.756862e-01 	 
3.949991e+01 	6.712726e-01 	6.775538e-01 	6.794276e-01 	6.798190e-01 	6.797065e-01 	6.798949e-01 	6.695420e-01 	6.719176e-01 	6.719831e-01 	 
3.951556e+01 	6.712388e-01 	6.775315e-01 	6.794135e-01 	6.797999e-01 	6.797207e-01 	6.799880e-01 	6.656530e-01 	6.638177e-01 	6.690909e-01 	 
3.953119e+01 	6.712097e-01 	6.775118e-01 	6.793980e-01 	6.797775e-01 	6.797590e-01 	6.800686e-01 	6.642726e-01 	6.572511e-01 	6.662528e-01 	 
3.954681e+01 	6.711856e-01 	6.774946e-01 	6.793788e-01 	6.797540e-01 	6.797984e-01 	6.800473e-01 	6.658125e-01 	6.549364e-01 	6.634005e-01 	 
3.956244e+01 	6.711628e-01 	6.774727e-01 	6.793513e-01 	6.797260e-01 	6.798055e-01 	6.798756e-01 	6.700051e-01 	6.597210e-01 	6.618423e-01 	 
3.957806e+01 	6.711333e-01 	6.774438e-01 	6.793164e-01 	6.796875e-01 	6.797747e-01 	6.795473e-01 	6.757412e-01 	6.713489e-01 	6.618002e-01 	 
3.959369e+01 	6.711054e-01 	6.774128e-01 	6.792728e-01 	6.796416e-01 	6.797204e-01 	6.790848e-01 	6.815079e-01 	6.843042e-01 	6.629522e-01 	 
3.960931e+01 	6.710730e-01 	6.773726e-01 	6.792230e-01 	6.796045e-01 	6.796489e-01 	6.785523e-01 	6.860737e-01 	6.929029e-01 	6.664032e-01 	 
3.962494e+01 	6.710330e-01 	6.773300e-01 	6.791792e-01 	6.795822e-01 	6.795733e-01 	6.780569e-01 	6.888971e-01 	6.965334e-01 	6.731760e-01 	 
3.964056e+01 	6.709909e-01 	6.772899e-01 	6.791469e-01 	6.795758e-01 	6.795093e-01 	6.777465e-01 	6.899605e-01 	6.973264e-01 	6.812654e-01 	 
3.965619e+01 	6.709481e-01 	6.772599e-01 	6.791329e-01 	6.795845e-01 	6.794725e-01 	6.777729e-01 	6.894524e-01 	6.965042e-01 	6.869539e-01 	 
3.967181e+01 	6.709188e-01 	6.772495e-01 	6.791352e-01 	6.795976e-01 	6.794805e-01 	6.782121e-01 	6.878021e-01 	6.938676e-01 	6.885263e-01 	 
3.968744e+01 	6.709002e-01 	6.772480e-01 	6.791414e-01 	6.796076e-01 	6.795416e-01 	6.790189e-01 	6.855171e-01 	6.886940e-01 	6.870150e-01 	 
3.970306e+01 	6.708887e-01 	6.772534e-01 	6.791527e-01 	6.796213e-01 	6.796371e-01 	6.800385e-01 	6.829706e-01 	6.809090e-01 	6.840924e-01 	 
3.971866e+01 	6.708905e-01 	6.772667e-01 	6.791700e-01 	6.796358e-01 	6.797323e-01 	6.810494e-01 	6.804550e-01 	6.716219e-01 	6.805691e-01 	 
3.973428e+01 	6.708972e-01 	6.772843e-01 	6.791904e-01 	6.796435e-01 	6.798076e-01 	6.818182e-01 	6.781840e-01 	6.624754e-01 	6.762600e-01 	 
3.974991e+01 	6.709112e-01 	6.773070e-01 	6.792107e-01 	6.796467e-01 	6.798552e-01 	6.821633e-01 	6.762174e-01 	6.544879e-01 	6.710256e-01 	 
3.976550e+01 	6.709333e-01 	6.773327e-01 	6.792294e-01 	6.796563e-01 	6.798683e-01 	6.819972e-01 	6.744825e-01 	6.487392e-01 	6.662325e-01 	 
3.978110e+01 	6.709608e-01 	6.773599e-01 	6.792485e-01 	6.796723e-01 	6.798529e-01 	6.813489e-01 	6.728677e-01 	6.480894e-01 	6.648121e-01 	 
3.979669e+01 	6.709885e-01 	6.773832e-01 	6.792660e-01 	6.796905e-01 	6.798359e-01 	6.803473e-01 	6.713681e-01 	6.555894e-01 	6.683369e-01 	 
3.981229e+01 	6.710106e-01 	6.774056e-01 	6.792852e-01 	6.797226e-01 	6.798369e-01 	6.791904e-01 	6.702366e-01 	6.692487e-01 	6.749334e-01 	 
3.982809e+01 	6.710397e-01 	6.774374e-01 	6.793137e-01 	6.797755e-01 	6.798544e-01 	6.781161e-01 	6.700263e-01 	6.829603e-01 	6.816729e-01 	 
3.984369e+01 	6.710739e-01 	6.774749e-01 	6.793553e-01 	6.798402e-01 	6.798694e-01 	6.774031e-01 	6.714611e-01 	6.924136e-01 	6.859593e-01 	 
3.985931e+01 	6.711110e-01 	6.775211e-01 	6.794043e-01 	6.799010e-01 	6.798664e-01 	6.772368e-01 	6.749615e-01 	6.976471e-01 	6.869780e-01 	 
3.987491e+01 	6.711544e-01 	6.775734e-01 	6.794542e-01 	6.799424e-01 	6.798484e-01 	6.776801e-01 	6.800829e-01 	7.000627e-01 	6.861137e-01 	 
3.989050e+01 	6.712026e-01 	6.776282e-01 	6.794978e-01 	6.799615e-01 	6.798301e-01 	6.786174e-01 	6.855893e-01 	7.005568e-01 	6.848650e-01 	 
3.990613e+01 	6.712543e-01 	6.776815e-01 	6.795278e-01 	6.799572e-01 	6.798180e-01 	6.798078e-01 	6.901426e-01 	6.990179e-01 	6.833222e-01 	 
3.992172e+01 	6.713060e-01 	6.777230e-01 	6.795392e-01 	6.799276e-01 	6.798126e-01 	6.809642e-01 	6.929859e-01 	6.951366e-01 	6.804371e-01 	 
3.993732e+01 	6.713497e-01 	6.777471e-01 	6.795319e-01 	6.798804e-01 	6.798167e-01 	6.818281e-01 	6.941327e-01 	6.889225e-01 	6.745599e-01 	 
3.995291e+01 	6.713812e-01 	6.777555e-01 	6.795119e-01 	6.798286e-01 	6.798241e-01 	6.822308e-01 	6.937787e-01 	6.806123e-01 	6.661795e-01 	 
3.996869e+01 	6.714012e-01 	6.777522e-01 	6.794890e-01 	6.797805e-01 	6.798171e-01 	6.821163e-01 	6.919398e-01 	6.709172e-01 	6.586034e-01 	 
3.998431e+01 	6.714118e-01 	6.777452e-01 	6.794677e-01 	6.797375e-01 	6.797879e-01 	6.815324e-01 	6.885346e-01 	6.617967e-01 	6.536497e-01 	 
3.999991e+01 	6.714169e-01 	6.777374e-01 	6.794443e-01 	6.796971e-01 	6.797418e-01 	6.805776e-01 	6.834111e-01 	6.554741e-01 	6.499266e-01 	 
4.001550e+01 	6.714170e-01 	6.777267e-01 	6.794187e-01 	6.796657e-01 	6.796799e-01 	6.794080e-01 	6.766318e-01 	6.541720e-01 	6.478337e-01 	 
4.003110e+01 	6.714137e-01 	6.777156e-01 	6.793972e-01 	6.796516e-01 	6.795927e-01 	6.782360e-01 	6.687145e-01 	6.558899e-01 	6.492844e-01 	 
4.004669e+01 	6.714135e-01 	6.777104e-01 	6.793865e-01 	6.796463e-01 	6.794891e-01 	6.772894e-01 	6.610800e-01 	6.552429e-01 	6.553070e-01 	 
4.006229e+01 	6.714190e-01 	6.777113e-01 	6.793836e-01 	6.796449e-01 	6.793878e-01 	6.767735e-01 	6.563333e-01 	6.539517e-01 	6.665163e-01 	 
4.007806e+01 	6.714296e-01 	6.777174e-01 	6.793858e-01 	6.796507e-01 	6.793106e-01 	6.768364e-01 	6.571759e-01 	6.593653e-01 	6.795148e-01 	 
