f	SCd	
5.163399e+00 	 1.705133e-09 	 
5.197369e+00 	 1.396708e-09 	 
5.231338e+00 	 7.315433e-10 	 
5.265308e+00 	 5.743446e-10 	 
5.299278e+00 	 6.227461e-10 	 
5.333248e+00 	 9.396443e-10 	 
5.367217e+00 	 1.248640e-09 	 
5.401187e+00 	 1.149617e-09 	 
5.435157e+00 	 1.950343e-09 	 
5.469126e+00 	 2.648179e-09 	 
5.503096e+00 	 1.903651e-09 	 
5.537066e+00 	 1.103251e-09 	 
5.571036e+00 	 1.036880e-09 	 
5.605005e+00 	 4.899284e-10 	 
5.638975e+00 	 5.261691e-10 	 
5.672945e+00 	 7.458918e-10 	 
5.706915e+00 	 2.433605e-10 	 
5.740884e+00 	 6.085195e-10 	 
5.774854e+00 	 2.267569e-09 	 
5.808824e+00 	 1.319816e-09 	 
5.842794e+00 	 6.619251e-10 	 
5.876763e+00 	 7.574963e-10 	 
5.910733e+00 	 7.016428e-10 	 
5.944703e+00 	 5.624261e-10 	 
5.978672e+00 	 3.613531e-10 	 
6.012642e+00 	 4.385863e-10 	 
6.046612e+00 	 8.519868e-10 	 
6.080582e+00 	 7.799273e-10 	 
6.114551e+00 	 8.371406e-10 	 
6.148521e+00 	 7.910874e-10 	 
6.182491e+00 	 1.060490e-09 	 
6.216461e+00 	 1.095413e-09 	 
6.250430e+00 	 4.460987e-10 	 
6.284400e+00 	 5.514673e-10 	 
6.318370e+00 	 4.711763e-10 	 
6.352339e+00 	 1.160015e-09 	 
6.386309e+00 	 1.036351e-09 	 
6.420279e+00 	 4.267740e-10 	 
6.454249e+00 	 6.072234e-10 	 
6.488218e+00 	 5.367559e-10 	 
6.522188e+00 	 5.114618e-10 	 
6.556158e+00 	 9.001594e-10 	 
6.590128e+00 	 6.796297e-10 	 
6.624097e+00 	 4.971958e-10 	 
6.658067e+00 	 9.819076e-10 	 
6.692037e+00 	 4.351149e-10 	 
6.726006e+00 	 4.483462e-10 	 
6.759976e+00 	 7.302231e-10 	 
6.793946e+00 	 1.475707e-09 	 
6.827916e+00 	 3.959622e-10 	 
6.861885e+00 	 2.332772e-10 	 
6.895855e+00 	 2.755461e-10 	 
6.929825e+00 	 3.568638e-10 	 
6.963795e+00 	 9.093195e-10 	 
6.997764e+00 	 6.955828e-10 	 
