x0	Gamma	
-1.920000e+00 	 6.933776e-02 	 
-1.960000e+00 	 7.037279e-02 	 
-2.000000e+00 	 6.922173e-02 	 
-2.040000e+00 	 6.639819e-02 	 
-2.080000e+00 	 6.149401e-02 	 
-2.120000e+00 	 5.553008e-02 	 
-2.160000e+00 	 4.987267e-02 	 
-2.200000e+00 	 4.568422e-02 	 
-2.240000e+00 	 4.411559e-02 	 
-2.280000e+00 	 4.474119e-02 	 
-2.320000e+00 	 4.644595e-02 	 
-2.360000e+00 	 4.812671e-02 	 
-2.400000e+00 	 4.857894e-02 	 
-2.440000e+00 	 4.636918e-02 	 
-2.480000e+00 	 4.106587e-02 	 
-2.520000e+00 	 3.411351e-02 	 
-2.560000e+00 	 2.678271e-02 	 
-2.600000e+00 	 1.868554e-02 	 
-2.640000e+00 	 1.119452e-02 	 
-2.680000e+00 	 5.678261e-03 	 
-2.720000e+00 	 3.151887e-03 	 
-2.760000e+00 	 2.539551e-03 	 
-2.800000e+00 	 2.218902e-03 	 
-2.840000e+00 	 1.204847e-03 	 
-2.880000e+00 	 -1.797742e-03 	 
-2.920000e+00 	 -6.874446e-03 	 
-2.960000e+00 	 -1.254678e-02 	 
-3.000000e+00 	 -1.726384e-02 	 
-3.040000e+00 	 -2.100172e-02 	 
-3.080000e+00 	 -2.419036e-02 	 
-3.120000e+00 	 -2.737563e-02 	 
-3.160000e+00 	 -3.031182e-02 	 
-3.200000e+00 	 -3.240385e-02 	 
-3.240000e+00 	 -3.282315e-02 	 
-3.280000e+00 	 -3.119898e-02 	 
-3.320000e+00 	 -2.827575e-02 	 
-3.360000e+00 	 -2.641167e-02 	 
-3.400000e+00 	 -2.707675e-02 	 
-3.440000e+00 	 -3.083856e-02 	 
-3.480000e+00 	 -3.704280e-02 	 
-3.520000e+00 	 -4.482697e-02 	 
-3.560000e+00 	 -5.267376e-02 	 
-3.600000e+00 	 -5.891545e-02 	 
-3.640000e+00 	 -6.335809e-02 	 
-3.680000e+00 	 -6.727455e-02 	 
-3.720000e+00 	 -7.135630e-02 	 
-3.760000e+00 	 -7.503606e-02 	 
-3.800000e+00 	 -7.842729e-02 	 
-3.840000e+00 	 -8.168809e-02 	 
-3.880000e+00 	 -8.585479e-02 	 
-3.920000e+00 	 -9.251380e-02 	 
-3.960000e+00 	 -1.014602e-01 	 
-4.000000e+00 	 -1.096883e-01 	 
