x0	cdp	x1	cdv	
9.874800e+00 	 3.950772e-01 	9.874800e+00 	 4.301000e-03 	 
1.000000e+01 	 3.954644e-01 	1.000000e+01 	 4.429000e-03 	 
1.012490e+01 	 3.961318e-01 	1.012490e+01 	 4.564500e-03 	 
1.024990e+01 	 3.969680e-01 	1.024990e+01 	 4.671700e-03 	 
1.037490e+01 	 3.978067e-01 	1.037490e+01 	 4.785500e-03 	 
1.050000e+01 	 3.963757e-01 	1.050000e+01 	 4.831700e-03 	 
1.062480e+01 	 3.940810e-01 	1.062480e+01 	 4.870600e-03 	 
1.074980e+01 	 3.927352e-01 	1.074980e+01 	 4.922900e-03 	 
1.087490e+01 	 3.888796e-01 	1.087490e+01 	 4.933200e-03 	 
1.099990e+01 	 3.868260e-01 	1.099990e+01 	 4.958700e-03 	 
1.112480e+01 	 3.846494e-01 	1.112480e+01 	 4.950900e-03 	 
1.124990e+01 	 3.832046e-01 	1.124990e+01 	 4.960700e-03 	 
1.137490e+01 	 3.798952e-01 	1.137490e+01 	 4.955700e-03 	 
1.149990e+01 	 3.763729e-01 	1.149990e+01 	 5.006200e-03 	 
1.162480e+01 	 3.701852e-01 	1.162480e+01 	 5.041300e-03 	 
1.174980e+01 	 3.649483e-01 	1.174980e+01 	 5.029200e-03 	 
1.187490e+01 	 3.631804e-01 	1.187490e+01 	 4.971800e-03 	 
1.199990e+01 	 3.650092e-01 	1.199990e+01 	 4.908000e-03 	 
1.212480e+01 	 3.658756e-01 	1.212480e+01 	 4.826400e-03 	 
1.225000e+01 	 3.662170e-01 	1.225000e+01 	 4.760400e-03 	 
1.237480e+01 	 3.683692e-01 	1.237480e+01 	 4.692300e-03 	 
1.249980e+01 	 3.731302e-01 	1.249980e+01 	 4.612000e-03 	 
1.262480e+01 	 3.770779e-01 	1.262480e+01 	 4.537400e-03 	 
1.274990e+01 	 3.768451e-01 	1.274990e+01 	 4.498300e-03 	 
1.287480e+01 	 3.700016e-01 	1.287480e+01 	 4.510500e-03 	 
1.299990e+01 	 3.614711e-01 	1.299990e+01 	 4.484800e-03 	 
1.312490e+01 	 3.542257e-01 	1.312490e+01 	 4.453700e-03 	 
1.325000e+01 	 3.485826e-01 	1.325000e+01 	 4.419300e-03 	 
1.337480e+01 	 3.436203e-01 	1.337480e+01 	 4.402800e-03 	 
1.349990e+01 	 3.406772e-01 	1.349990e+01 	 4.332100e-03 	 
