x0	avg	
-1.010122e-01 	 -7.050756e-04 	 
-9.569988e-02 	 -6.994867e-04 	 
-9.037240e-02 	 -6.934135e-04 	 
-8.503056e-02 	 -6.870949e-04 	 
-7.967512e-02 	 -6.807566e-04 	 
-7.430684e-02 	 -6.747239e-04 	 
-6.892650e-02 	 -6.690310e-04 	 
-6.353487e-02 	 -6.634872e-04 	 
-5.813272e-02 	 -6.584231e-04 	 
-5.272083e-02 	 -6.538947e-04 	 
-4.729999e-02 	 -6.500994e-04 	 
-4.187097e-02 	 -6.480755e-04 	 
-3.643458e-02 	 -6.476810e-04 	 
-3.099157e-02 	 -6.479526e-04 	 
-2.554277e-02 	 -6.483957e-04 	 
-2.008894e-02 	 -6.492057e-04 	 
-1.463090e-02 	 -6.502210e-04 	 
-9.169433e-03 	 -6.503952e-04 	 
-3.705335e-03 	 -6.492073e-04 	 
1.760596e-03 	 -6.473117e-04 	 
7.227560e-03 	 -6.457717e-04 	 
1.269476e-02 	 -6.448681e-04 	 
1.816139e-02 	 -6.446014e-04 	 
2.362666e-02 	 -6.446618e-04 	 
2.908977e-02 	 -6.449119e-04 	 
3.454991e-02 	 -6.455883e-04 	 
4.000629e-02 	 -6.470457e-04 	 
4.545812e-02 	 -6.504019e-04 	 
5.090458e-02 	 -6.556706e-04 	 
5.634489e-02 	 -6.611097e-04 	 
6.177824e-02 	 -6.654553e-04 	 
6.720385e-02 	 -6.695782e-04 	 
7.262093e-02 	 -6.742763e-04 	 
7.802868e-02 	 -6.796730e-04 	 
8.342630e-02 	 -6.858404e-04 	 
8.881303e-02 	 -6.931748e-04 	 
9.418807e-02 	 -7.017108e-04 	 
9.955063e-02 	 -7.107946e-04 	 
1.049000e-01 	 -7.202773e-04 	 
1.102353e-01 	 -7.296155e-04 	 
1.155557e-01 	 -7.391961e-04 	 
1.208607e-01 	 -7.495734e-04 	 
1.261493e-01 	 -7.599483e-04 	 
1.314208e-01 	 -7.698538e-04 	 
1.366744e-01 	 -7.804857e-04 	 
1.419094e-01 	 -7.930561e-04 	 
1.471251e-01 	 -8.072135e-04 	 
1.523207e-01 	 -8.222547e-04 	 
1.574954e-01 	 -8.381855e-04 	 
1.626485e-01 	 -8.537239e-04 	 
1.677793e-01 	 -8.685456e-04 	 
1.728871e-01 	 -8.840821e-04 	 
1.779711e-01 	 -9.012828e-04 	 
1.830307e-01 	 -9.197693e-04 	 
1.880651e-01 	 -9.394163e-04 	 
1.930735e-01 	 -9.595871e-04 	 
1.980554e-01 	 -9.793279e-04 	 
2.030101e-01 	 -9.991783e-04 	 
2.079368e-01 	 -1.020974e-03 	 
2.128348e-01 	 -1.045326e-03 	 
2.177036e-01 	 -1.070696e-03 	 
2.225424e-01 	 -1.096041e-03 	 
2.273505e-01 	 -1.121805e-03 	 
2.321275e-01 	 -1.148306e-03 	 
2.368725e-01 	 -1.174444e-03 	 
2.415850e-01 	 -1.200361e-03 	 
2.462643e-01 	 -1.227312e-03 	 
2.509099e-01 	 -1.254202e-03 	 
2.555211e-01 	 -1.279569e-03 	 
2.600973e-01 	 -1.305186e-03 	 
2.646380e-01 	 -1.332439e-03 	 
2.691426e-01 	 -1.359612e-03 	 
2.736104e-01 	 -1.386136e-03 	 
