St0	i0	St1	i1	St2	i2	St3	i3	St4	i4	St5	i5	St6	i6	St7	i7	St8	i8	
0.000000e+00 	 1.678911e-06 	0.000000e+00 	 1.245737e-06 	0.000000e+00 	 1.154022e-06 	0.000000e+00 	 1.000565e-06 	0.000000e+00 	 1.424447e-06 	0.000000e+00 	 1.372404e-06 	0.000000e+00 	 2.174711e-06 	0.000000e+00 	 1.716869e-06 	0.000000e+00 	 1.810397e-06 	 
1.060529e-01 	 1.777450e-05 	1.060529e-01 	 1.303370e-05 	1.060529e-01 	 1.192108e-05 	1.060529e-01 	 1.079566e-05 	1.060529e-01 	 9.939399e-06 	1.060529e-01 	 1.440337e-05 	1.060529e-01 	 1.693446e-05 	1.060529e-01 	 1.609267e-05 	1.060529e-01 	 1.062543e-05 	 
2.121058e-01 	 2.328564e-05 	2.121058e-01 	 1.637249e-05 	2.121058e-01 	 1.467298e-05 	2.121058e-01 	 1.287697e-05 	2.121058e-01 	 9.108304e-06 	2.121058e-01 	 1.247845e-05 	2.121058e-01 	 1.818026e-05 	2.121058e-01 	 1.313087e-05 	2.121058e-01 	 1.353840e-05 	 
3.181587e-01 	 2.940259e-06 	3.181587e-01 	 2.047207e-06 	3.181587e-01 	 1.822847e-06 	3.181587e-01 	 1.635036e-06 	3.181587e-01 	 2.186195e-06 	3.181587e-01 	 6.388154e-06 	3.181587e-01 	 8.634935e-06 	3.181587e-01 	 7.436929e-06 	3.181587e-01 	 8.584203e-06 	 
4.242116e-01 	 2.467889e-07 	4.242116e-01 	 1.678848e-07 	4.242116e-01 	 1.551651e-07 	4.242116e-01 	 1.322181e-07 	4.242116e-01 	 1.457724e-06 	4.242116e-01 	 4.835111e-06 	4.242116e-01 	 6.967408e-06 	4.242116e-01 	 6.116747e-06 	4.242116e-01 	 8.509832e-06 	 
5.302645e-01 	 9.860543e-08 	5.302645e-01 	 6.702017e-08 	5.302645e-01 	 5.021492e-08 	5.302645e-01 	 5.251142e-08 	5.302645e-01 	 2.219587e-06 	5.302645e-01 	 4.850660e-06 	5.302645e-01 	 9.213237e-06 	5.302645e-01 	 7.504078e-06 	5.302645e-01 	 1.055588e-05 	 
6.363173e-01 	 5.944177e-08 	6.363173e-01 	 4.181403e-08 	6.363173e-01 	 2.979077e-08 	6.363173e-01 	 3.859887e-08 	6.363173e-01 	 1.504281e-06 	6.363173e-01 	 7.196464e-06 	6.363173e-01 	 1.455562e-05 	6.363173e-01 	 8.276341e-06 	6.363173e-01 	 1.432790e-05 	 
7.423702e-01 	 4.330850e-08 	7.423702e-01 	 3.205292e-08 	7.423702e-01 	 2.197227e-08 	7.423702e-01 	 3.350300e-08 	7.423702e-01 	 1.107983e-06 	7.423702e-01 	 5.608358e-06 	7.423702e-01 	 1.186844e-05 	7.423702e-01 	 7.378831e-06 	7.423702e-01 	 1.003806e-05 	 
8.484231e-01 	 2.533446e-08 	8.484231e-01 	 1.935367e-08 	8.484231e-01 	 1.360771e-08 	8.484231e-01 	 3.775494e-08 	8.484231e-01 	 1.404143e-06 	8.484231e-01 	 3.350938e-06 	8.484231e-01 	 1.532939e-05 	8.484231e-01 	 8.465798e-06 	8.484231e-01 	 7.579103e-06 	 
9.544760e-01 	 1.659661e-08 	9.544760e-01 	 1.279821e-08 	9.544760e-01 	 8.430928e-09 	9.544760e-01 	 4.286000e-08 	9.544760e-01 	 1.257253e-06 	9.544760e-01 	 4.764211e-06 	9.544760e-01 	 1.237174e-05 	9.544760e-01 	 7.754106e-06 	9.544760e-01 	 8.283708e-06 	 
