x0	circulation	
-1.960000e+00 	 8.727330e-02 	 
-2.000000e+00 	 8.646359e-02 	 
-2.040000e+00 	 8.582301e-02 	 
-2.080000e+00 	 8.545438e-02 	 
-2.120000e+00 	 8.520617e-02 	 
-2.160000e+00 	 8.486773e-02 	 
-2.200000e+00 	 8.439663e-02 	 
-2.240000e+00 	 8.387367e-02 	 
-2.280000e+00 	 8.339363e-02 	 
-2.320000e+00 	 8.302691e-02 	 
-2.360000e+00 	 8.274148e-02 	 
-2.400000e+00 	 8.239826e-02 	 
-2.440000e+00 	 8.191634e-02 	 
-2.480000e+00 	 8.138403e-02 	 
-2.520000e+00 	 8.094867e-02 	 
-2.560000e+00 	 8.068287e-02 	 
-2.600000e+00 	 8.058056e-02 	 
-2.640000e+00 	 8.058321e-02 	 
-2.680000e+00 	 8.057485e-02 	 
-2.720000e+00 	 8.043769e-02 	 
-2.760000e+00 	 8.016311e-02 	 
-2.800000e+00 	 7.986693e-02 	 
-2.840000e+00 	 7.973338e-02 	 
-2.880000e+00 	 7.989293e-02 	 
-2.920000e+00 	 8.024070e-02 	 
-2.960000e+00 	 8.048380e-02 	 
-3.000000e+00 	 8.043295e-02 	 
-3.040000e+00 	 8.009355e-02 	 
-3.080000e+00 	 7.955074e-02 	 
-3.120000e+00 	 7.896058e-02 	 
-3.160000e+00 	 7.850440e-02 	 
-3.200000e+00 	 7.820271e-02 	 
-3.240000e+00 	 7.792108e-02 	 
-3.280000e+00 	 7.759561e-02 	 
-3.320000e+00 	 7.730424e-02 	 
-3.360000e+00 	 7.713507e-02 	 
-3.400000e+00 	 7.712630e-02 	 
-3.440000e+00 	 7.731626e-02 	 
-3.480000e+00 	 7.773131e-02 	 
-3.520000e+00 	 7.831888e-02 	 
-3.560000e+00 	 7.896380e-02 	 
-3.600000e+00 	 7.958190e-02 	 
-3.640000e+00 	 8.014988e-02 	 
-3.680000e+00 	 8.062375e-02 	 
-3.720000e+00 	 8.090221e-02 	 
-3.760000e+00 	 8.096009e-02 	 
-3.800000e+00 	 8.091409e-02 	 
-3.840000e+00 	 8.091532e-02 	 
-3.880000e+00 	 8.111526e-02 	 
-3.920000e+00 	 8.165397e-02 	 
-3.960000e+00 	 8.250072e-02 	 
-4.000000e+00 	 8.343296e-02 	 
