x0	y0	
-7.967512e-02 	 9.894887e-02 	 
-7.430684e-02 	 9.852562e-02 	 
-6.892650e-02 	 9.808736e-02 	 
-6.353487e-02 	 9.763432e-02 	 
-5.813272e-02 	 9.716674e-02 	 
-5.272083e-02 	 9.668486e-02 	 
-4.729999e-02 	 9.618892e-02 	 
-4.187097e-02 	 9.567917e-02 	 
-3.643458e-02 	 9.515586e-02 	 
-3.099157e-02 	 9.461925e-02 	 
-2.554277e-02 	 9.406959e-02 	 
-2.008894e-02 	 9.350715e-02 	 
-1.463090e-02 	 9.293218e-02 	 
-9.169433e-03 	 9.234496e-02 	 
-3.705335e-03 	 9.174575e-02 	 
1.760596e-03 	 9.113482e-02 	 
7.227560e-03 	 9.051245e-02 	 
1.269476e-02 	 8.987890e-02 	 
1.816139e-02 	 8.923446e-02 	 
2.362666e-02 	 8.857940e-02 	 
2.908977e-02 	 8.791399e-02 	 
3.454991e-02 	 8.723852e-02 	 
4.000629e-02 	 8.655326e-02 	 
4.545812e-02 	 8.585849e-02 	 
5.090458e-02 	 8.515450e-02 	 
5.634489e-02 	 8.444156e-02 	 
6.177824e-02 	 8.371997e-02 	 
6.720385e-02 	 8.298998e-02 	 
7.262093e-02 	 8.225189e-02 	 
7.802868e-02 	 8.150598e-02 	 
8.342630e-02 	 8.075253e-02 	 
8.881303e-02 	 7.999182e-02 	 
9.418807e-02 	 7.922412e-02 	 
9.955063e-02 	 7.844971e-02 	 
1.049000e-01 	 7.766888e-02 	 
1.102353e-01 	 7.688189e-02 	 
1.155557e-01 	 7.608903e-02 	 
1.208607e-01 	 7.529058e-02 	 
1.261493e-01 	 7.448678e-02 	 
1.314208e-01 	 7.367795e-02 	 
1.366744e-01 	 7.286433e-02 	 
1.419094e-01 	 7.204620e-02 	 
1.471251e-01 	 7.122382e-02 	 
1.523207e-01 	 7.039747e-02 	 
1.574954e-01 	 6.956740e-02 	 
1.626485e-01 	 6.873390e-02 	 
1.677793e-01 	 6.789722e-02 	 
1.728871e-01 	 6.705760e-02 	 
1.779711e-01 	 6.621534e-02 	 
1.830307e-01 	 6.537066e-02 	 
1.880651e-01 	 6.452385e-02 	 
1.930735e-01 	 6.367515e-02 	 
1.980554e-01 	 6.282481e-02 	 
2.030101e-01 	 6.197308e-02 	 
2.079368e-01 	 6.112022e-02 	 
2.128348e-01 	 6.026648e-02 	 
2.177036e-01 	 5.941210e-02 	 
2.225424e-01 	 5.855732e-02 	 
2.273505e-01 	 5.770240e-02 	 
2.321275e-01 	 5.684756e-02 	 
2.368725e-01 	 5.599306e-02 	 
2.415850e-01 	 5.513912e-02 	 
2.462643e-01 	 5.428599e-02 	 
2.509099e-01 	 5.343390e-02 	 
2.555211e-01 	 5.258309e-02 	 
2.600973e-01 	 5.173378e-02 	 
2.646380e-01 	 5.088620e-02 	 
2.691426e-01 	 5.004058e-02 	 
2.736104e-01 	 4.919714e-02 	 
2.780410e-01 	 4.835612e-02 	 
2.824338e-01 	 4.751773e-02 	 
2.867882e-01 	 4.668219e-02 	 
2.911038e-01 	 4.584971e-02 	 
2.953799e-01 	 4.502053e-02 	 
2.996161e-01 	 4.419484e-02 	 
3.038120e-01 	 4.337286e-02 	 
3.079669e-01 	 4.255480e-02 	 
3.120805e-01 	 4.174087e-02 	 
3.161523e-01 	 4.093127e-02 	 
3.201818e-01 	 4.012621e-02 	 
3.241686e-01 	 3.932589e-02 	 
3.281122e-01 	 3.853050e-02 	 
3.320123e-01 	 3.774025e-02 	 
3.358684e-01 	 3.695532e-02 	 
3.396801e-01 	 3.617591e-02 	 
3.434471e-01 	 3.540221e-02 	 
3.471690e-01 	 3.463440e-02 	 
3.508455e-01 	 3.387267e-02 	 
3.544762e-01 	 3.311720e-02 	 
3.580607e-01 	 3.236817e-02 	 
3.615989e-01 	 3.162574e-02 	 
3.650903e-01 	 3.089010e-02 	 
3.685347e-01 	 3.016141e-02 	 
3.719318e-01 	 2.943984e-02 	 
3.752814e-01 	 2.872555e-02 	 
3.785833e-01 	 2.801870e-02 	 
3.818371e-01 	 2.731945e-02 	 
3.850428e-01 	 2.662794e-02 	 
3.882000e-01 	 2.594432e-02 	 
3.913087e-01 	 2.526874e-02 	 
3.943687e-01 	 2.460134e-02 	 
3.973798e-01 	 2.394226e-02 	 
4.003418e-01 	 2.329163e-02 	 
4.032547e-01 	 2.264956e-02 	 
4.061185e-01 	 2.201620e-02 	 
4.089329e-01 	 2.139165e-02 	 
4.116979e-01 	 2.077604e-02 	 
4.144135e-01 	 2.016946e-02 	 
4.170797e-01 	 1.957203e-02 	 
4.196965e-01 	 1.898384e-02 	 
4.222637e-01 	 1.840499e-02 	 
4.247816e-01 	 1.783557e-02 	 
4.272501e-01 	 1.727565e-02 	 
4.296692e-01 	 1.672533e-02 	 
4.320391e-01 	 1.618466e-02 	 
4.343599e-01 	 1.565372e-02 	 
4.366316e-01 	 1.513257e-02 	 
4.388545e-01 	 1.462126e-02 	 
4.410286e-01 	 1.411985e-02 	 
4.431541e-01 	 1.362836e-02 	 
4.452313e-01 	 1.314685e-02 	 
4.472603e-01 	 1.267533e-02 	 
4.492413e-01 	 1.221384e-02 	 
4.511747e-01 	 1.176239e-02 	 
4.530607e-01 	 1.132098e-02 	 
4.548997e-01 	 1.088963e-02 	 
4.566918e-01 	 1.046832e-02 	 
4.584375e-01 	 1.005705e-02 	 
4.601371e-01 	 9.655798e-03 	 
4.617909e-01 	 9.264539e-03 	 
4.633995e-01 	 8.883241e-03 	 
4.649633e-01 	 8.511863e-03 	 
4.664825e-01 	 8.150358e-03 	 
4.679578e-01 	 7.798671e-03 	 
4.693896e-01 	 7.456741e-03 	 
4.707785e-01 	 7.124498e-03 	 
4.721249e-01 	 6.801862e-03 	 
4.734295e-01 	 6.488751e-03 	 
4.746927e-01 	 6.185069e-03 	 
4.759153e-01 	 5.890717e-03 	 
4.770978e-01 	 5.605586e-03 	 
4.782410e-01 	 5.329560e-03 	 
4.793454e-01 	 5.062513e-03 	 
4.804118e-01 	 4.804313e-03 	 
4.814408e-01 	 4.554821e-03 	 
4.824334e-01 	 4.313887e-03 	 
4.833902e-01 	 4.081355e-03 	 
4.843120e-01 	 3.857061e-03 	 
4.851996e-01 	 3.640833e-03 	 
4.860540e-01 	 3.432490e-03 	 
4.868760e-01 	 3.231842e-03 	 
4.876664e-01 	 3.038695e-03 	 
4.884262e-01 	 2.852842e-03 	 
4.891564e-01 	 2.674071e-03 	 
4.898580e-01 	 2.502162e-03 	 
4.905319e-01 	 2.336885e-03 	 
4.911792e-01 	 2.178003e-03 	 
4.918009e-01 	 2.025271e-03 	 
4.923982e-01 	 1.878436e-03 	 
4.929722e-01 	 1.737237e-03 	 
4.935239e-01 	 1.601404e-03 	 
4.940546e-01 	 1.470660e-03 	 
4.945655e-01 	 1.344719e-03 	 
4.950578e-01 	 1.223289e-03 	 
4.955327e-01 	 1.106067e-03 	 
4.959916e-01 	 9.927433e-04 	 
4.964357e-01 	 8.830011e-04 	 
4.968664e-01 	 7.765139e-04 	 
4.972851e-01 	 6.729481e-04 	 
4.976931e-01 	 5.719616e-04 	 
4.980919e-01 	 4.732041e-04 	 
4.984830e-01 	 3.763173e-04 	 
4.988678e-01 	 2.809348e-04 	 
4.992478e-01 	 1.866816e-04 	 
4.996247e-01 	 9.317493e-05 	 
5.000000e-01 	 0.000000e+00 	 
