x0	cdp	x1	cdv	
9.874900e+00 	 2.774792e-01 	9.874900e+00 	 5.631300e-03 	 
9.999900e+00 	 2.769105e-01 	9.999900e+00 	 5.627200e-03 	 
1.012500e+01 	 2.762844e-01 	1.012500e+01 	 5.606400e-03 	 
1.025000e+01 	 2.754295e-01 	1.025000e+01 	 5.633500e-03 	 
1.037500e+01 	 2.751504e-01 	1.037500e+01 	 5.611300e-03 	 
1.050000e+01 	 2.752158e-01 	1.050000e+01 	 5.577800e-03 	 
1.062500e+01 	 2.745603e-01 	1.062500e+01 	 5.565200e-03 	 
1.074990e+01 	 2.736991e-01 	1.074990e+01 	 5.642100e-03 	 
1.087490e+01 	 2.731985e-01 	1.087490e+01 	 5.673800e-03 	 
1.100000e+01 	 2.728296e-01 	1.100000e+01 	 5.681700e-03 	 
1.112500e+01 	 2.728416e-01 	1.112500e+01 	 5.672500e-03 	 
1.124990e+01 	 2.726496e-01 	1.124990e+01 	 5.648300e-03 	 
1.137500e+01 	 2.729763e-01 	1.137500e+01 	 5.613600e-03 	 
1.149990e+01 	 2.720760e-01 	1.149990e+01 	 5.627000e-03 	 
1.162490e+01 	 2.722834e-01 	1.162490e+01 	 5.623700e-03 	 
1.175000e+01 	 2.727192e-01 	1.175000e+01 	 5.585200e-03 	 
1.187490e+01 	 2.740209e-01 	1.187490e+01 	 5.569800e-03 	 
1.199990e+01 	 2.736635e-01 	1.199990e+01 	 5.587800e-03 	 
1.212490e+01 	 2.731274e-01 	1.212490e+01 	 5.616600e-03 	 
1.225000e+01 	 2.726763e-01 	1.225000e+01 	 5.645500e-03 	 
1.237490e+01 	 2.722340e-01 	1.237490e+01 	 5.629000e-03 	 
1.249990e+01 	 2.712166e-01 	1.249990e+01 	 5.622200e-03 	 
1.262490e+01 	 2.713718e-01 	1.262490e+01 	 5.610200e-03 	 
1.275000e+01 	 2.722797e-01 	1.275000e+01 	 5.647100e-03 	 
1.287480e+01 	 2.731825e-01 	1.287480e+01 	 5.660700e-03 	 
1.299980e+01 	 2.745677e-01 	1.299980e+01 	 5.654200e-03 	 
1.312480e+01 	 2.776722e-01 	1.312480e+01 	 5.628500e-03 	 
1.324990e+01 	 2.796297e-01 	1.324990e+01 	 5.616900e-03 	 
1.337480e+01 	 2.812760e-01 	1.337480e+01 	 5.581400e-03 	 
1.349980e+01 	 2.824543e-01 	1.349980e+01 	 5.589000e-03 	 
1.362480e+01 	 2.829073e-01 	1.362480e+01 	 5.642900e-03 	 
1.375000e+01 	 2.850904e-01 	1.375000e+01 	 5.662600e-03 	 
1.387500e+01 	 2.876979e-01 	1.387500e+01 	 5.672900e-03 	 
