x0	i=0	x1	i=1	x2	i=2	
5.205205e-02 	 -4.380678e-06 	5.205205e-02 	 5.296410e-09 	5.205205e-02 	 -7.318215e-07 	 
5.305305e-02 	 -4.550484e-06 	5.305305e-02 	 5.934946e-09 	5.305305e-02 	 -7.595907e-07 	 
5.405405e-02 	 -4.723599e-06 	5.405405e-02 	 6.636212e-09 	5.405405e-02 	 -7.878385e-07 	 
5.505506e-02 	 -4.900037e-06 	5.505506e-02 	 7.405017e-09 	5.505506e-02 	 -8.165621e-07 	 
5.605606e-02 	 -5.079814e-06 	5.605606e-02 	 8.246440e-09 	5.605606e-02 	 -8.457585e-07 	 
5.705706e-02 	 -5.262949e-06 	5.705706e-02 	 9.165834e-09 	5.705706e-02 	 -8.754247e-07 	 
5.805806e-02 	 -5.449460e-06 	5.805806e-02 	 1.016884e-08 	5.805806e-02 	 -9.055576e-07 	 
5.905906e-02 	 -5.639367e-06 	5.905906e-02 	 1.126140e-08 	5.905906e-02 	 -9.361542e-07 	 
6.006006e-02 	 -5.832693e-06 	6.006006e-02 	 1.244975e-08 	6.006006e-02 	 -9.672113e-07 	 
6.106106e-02 	 -6.029460e-06 	6.106106e-02 	 1.374046e-08 	6.106106e-02 	 -9.987254e-07 	 
6.206206e-02 	 -6.229694e-06 	6.206206e-02 	 1.514041e-08 	6.206206e-02 	 -1.030694e-06 	 
6.306306e-02 	 -6.433420e-06 	6.306306e-02 	 1.665682e-08 	6.306306e-02 	 -1.063112e-06 	 
6.406406e-02 	 -6.640668e-06 	6.406406e-02 	 1.829726e-08 	6.406406e-02 	 -1.095978e-06 	 
6.506507e-02 	 -6.851466e-06 	6.506507e-02 	 2.006966e-08 	6.506507e-02 	 -1.129287e-06 	 
6.606607e-02 	 -7.065847e-06 	6.606607e-02 	 2.198230e-08 	6.606607e-02 	 -1.163036e-06 	 
6.706707e-02 	 -7.283843e-06 	6.706707e-02 	 2.404386e-08 	6.706707e-02 	 -1.197222e-06 	 
6.806807e-02 	 -7.505491e-06 	6.806807e-02 	 2.626338e-08 	6.806807e-02 	 -1.231840e-06 	 
6.906907e-02 	 -7.730827e-06 	6.906907e-02 	 2.865034e-08 	6.906907e-02 	 -1.266887e-06 	 
7.007007e-02 	 -7.959891e-06 	7.007007e-02 	 3.121459e-08 	7.007007e-02 	 -1.302360e-06 	 
7.107107e-02 	 -8.192724e-06 	7.107107e-02 	 3.396642e-08 	7.107107e-02 	 -1.338254e-06 	 
7.207207e-02 	 -8.429369e-06 	7.207207e-02 	 3.691654e-08 	7.207207e-02 	 -1.374565e-06 	 
7.307307e-02 	 -8.669871e-06 	7.307307e-02 	 4.007612e-08 	7.307307e-02 	 -1.411289e-06 	 
7.407407e-02 	 -8.914279e-06 	7.407407e-02 	 4.345676e-08 	7.407407e-02 	 -1.448423e-06 	 
7.507508e-02 	 -9.162641e-06 	7.507508e-02 	 4.707055e-08 	7.507508e-02 	 -1.485961e-06 	 
7.607608e-02 	 -9.415012e-06 	7.607608e-02 	 5.093004e-08 	7.607608e-02 	 -1.523901e-06 	 
7.707708e-02 	 -9.671444e-06 	7.707708e-02 	 5.504827e-08 	7.707708e-02 	 -1.562238e-06 	 
7.807808e-02 	 -9.931995e-06 	7.807808e-02 	 5.943879e-08 	7.807808e-02 	 -1.600966e-06 	 
7.907908e-02 	 -1.019672e-05 	7.907908e-02 	 6.411563e-08 	7.907908e-02 	 -1.640083e-06 	 
8.008008e-02 	 -1.046569e-05 	8.008008e-02 	 6.909338e-08 	8.008008e-02 	 -1.679583e-06 	 
8.108108e-02 	 -1.073897e-05 	8.108108e-02 	 7.438713e-08 	8.108108e-02 	 -1.719462e-06 	 
8.208208e-02 	 -1.101661e-05 	8.208208e-02 	 8.001255e-08 	8.208208e-02 	 -1.759715e-06 	 
8.308308e-02 	 -1.129870e-05 	8.308308e-02 	 8.598584e-08 	8.308308e-02 	 -1.800338e-06 	 
8.408408e-02 	 -1.158530e-05 	8.408408e-02 	 9.232378e-08 	8.408408e-02 	 -1.841326e-06 	 
8.508509e-02 	 -1.187649e-05 	8.508509e-02 	 9.904372e-08 	8.508509e-02 	 -1.882673e-06 	 
8.608609e-02 	 -1.217235e-05 	8.608609e-02 	 1.061636e-07 	8.608609e-02 	 -1.924376e-06 	 
8.708709e-02 	 -1.247296e-05 	8.708709e-02 	 1.137020e-07 	8.708709e-02 	 -1.966429e-06 	 
8.808809e-02 	 -1.277840e-05 	8.808809e-02 	 1.216781e-07 	8.808809e-02 	 -2.008827e-06 	 
8.908909e-02 	 -1.308876e-05 	8.908909e-02 	 1.301116e-07 	8.908909e-02 	 -2.051565e-06 	 
9.009009e-02 	 -1.340413e-05 	9.009009e-02 	 1.390231e-07 	9.009009e-02 	 -2.094638e-06 	 
9.109109e-02 	 -1.372461e-05 	9.109109e-02 	 1.484336e-07 	9.109109e-02 	 -2.138040e-06 	 
