x0	delta	x1	wle	x2	sle	
-3.975919e-01 	 3.007839e-05 	-3.975919e-01 	 3.605025e-04 	-3.975919e-01 	 3.304241e-04 	 
-3.955080e-01 	 3.368552e-05 	-3.955080e-01 	 3.660809e-04 	-3.955080e-01 	 3.323954e-04 	 
-3.933859e-01 	 3.706593e-05 	-3.933859e-01 	 3.712719e-04 	-3.933859e-01 	 3.342060e-04 	 
-3.912253e-01 	 4.011487e-05 	-3.912253e-01 	 3.760960e-04 	-3.912253e-01 	 3.359811e-04 	 
-3.890257e-01 	 4.294344e-05 	-3.890257e-01 	 3.805726e-04 	-3.890257e-01 	 3.376291e-04 	 
-3.867871e-01 	 4.557164e-05 	-3.867871e-01 	 3.847428e-04 	-3.867871e-01 	 3.391712e-04 	 
-3.845091e-01 	 4.797823e-05 	-3.845091e-01 	 3.885965e-04 	-3.845091e-01 	 3.406183e-04 	 
-3.821916e-01 	 5.022792e-05 	-3.821916e-01 	 3.922041e-04 	-3.821916e-01 	 3.419762e-04 	 
-3.798342e-01 	 5.229872e-05 	-3.798342e-01 	 3.955739e-04 	-3.798342e-01 	 3.432752e-04 	 
-3.774369e-01 	 5.416138e-05 	-3.774369e-01 	 3.986977e-04 	-3.774369e-01 	 3.445363e-04 	 
-3.749995e-01 	 5.592932e-05 	-3.749995e-01 	 4.016569e-04 	-3.749995e-01 	 3.457276e-04 	 
-3.725219e-01 	 5.759477e-05 	-3.725219e-01 	 4.044924e-04 	-3.725219e-01 	 3.468976e-04 	 
-3.700039e-01 	 5.919698e-05 	-3.700039e-01 	 4.071662e-04 	-3.700039e-01 	 3.479693e-04 	 
-3.674455e-01 	 6.069251e-05 	-3.674455e-01 	 4.096822e-04 	-3.674455e-01 	 3.489896e-04 	 
-3.648466e-01 	 6.212828e-05 	-3.648466e-01 	 4.120667e-04 	-3.648466e-01 	 3.499384e-04 	 
-3.622071e-01 	 6.341820e-05 	-3.622071e-01 	 4.142820e-04 	-3.622071e-01 	 3.508638e-04 	 
-3.595270e-01 	 6.453428e-05 	-3.595270e-01 	 4.163047e-04 	-3.595270e-01 	 3.517704e-04 	 
-3.568064e-01 	 6.544746e-05 	-3.568064e-01 	 4.180710e-04 	-3.568064e-01 	 3.526236e-04 	 
-3.540451e-01 	 6.603622e-05 	-3.540451e-01 	 4.194881e-04 	-3.540451e-01 	 3.534519e-04 	 
-3.512433e-01 	 6.624373e-05 	-3.512433e-01 	 4.205368e-04 	-3.512433e-01 	 3.542931e-04 	 
