x	Cp	
-5.000000e-01 	 -3.135271e-01 	 
-4.999471e-01 	 -6.737283e-01 	 
-4.997877e-01 	 -5.541443e-01 	 
-4.995212e-01 	 -6.299567e-01 	 
-4.991479e-01 	 -6.425790e-01 	 
-4.986692e-01 	 -6.974798e-01 	 
-4.980874e-01 	 -7.781195e-01 	 
-4.974055e-01 	 -8.178563e-01 	 
-4.966272e-01 	 -8.921297e-01 	 
-4.958019e-01 	 -9.314568e-01 	 
-4.949751e-01 	 -9.658536e-01 	 
-4.941451e-01 	 -9.948011e-01 	 
-4.933106e-01 	 -1.005947e+00 	 
-4.924700e-01 	 -1.019250e+00 	 
-4.916220e-01 	 -1.020267e+00 	 
-4.907651e-01 	 -1.019436e+00 	 
-4.898979e-01 	 -1.013985e+00 	 
-4.890191e-01 	 -1.004364e+00 	 
-4.881274e-01 	 -9.934107e-01 	 
-4.872214e-01 	 -9.795130e-01 	 
-4.863000e-01 	 -9.648349e-01 	 
-4.853619e-01 	 -9.493402e-01 	 
-4.844059e-01 	 -9.333694e-01 	 
-4.834308e-01 	 -9.179229e-01 	 
-4.824354e-01 	 -9.028867e-01 	 
-4.814187e-01 	 -8.888990e-01 	 
-4.803795e-01 	 -8.762269e-01 	 
-4.793168e-01 	 -8.649688e-01 	 
-4.782296e-01 	 -8.553888e-01 	 
-4.771168e-01 	 -8.472797e-01 	 
-4.759774e-01 	 -8.405293e-01 	 
-4.748105e-01 	 -8.348717e-01 	 
-4.736151e-01 	 -8.300944e-01 	 
-4.723904e-01 	 -8.261278e-01 	 
-4.711355e-01 	 -8.228512e-01 	 
-4.698495e-01 	 -8.201935e-01 	 
-4.685315e-01 	 -8.180347e-01 	 
-4.671808e-01 	 -8.162676e-01 	 
-4.657966e-01 	 -8.148195e-01 	 
-4.643781e-01 	 -8.136171e-01 	 
-4.629246e-01 	 -8.126201e-01 	 
-4.614355e-01 	 -8.117856e-01 	 
-4.599099e-01 	 -8.110831e-01 	 
-4.583473e-01 	 -8.104949e-01 	 
-4.567470e-01 	 -8.099985e-01 	 
-4.551085e-01 	 -8.095806e-01 	 
-4.534310e-01 	 -8.092300e-01 	 
-4.517142e-01 	 -8.089371e-01 	 
-4.499573e-01 	 -8.086936e-01 	 
-4.481600e-01 	 -8.084943e-01 	 
-4.463216e-01 	 -8.083422e-01 	 
-4.444418e-01 	 -8.082359e-01 	 
-4.425201e-01 	 -8.081708e-01 	 
-4.405560e-01 	 -8.081485e-01 	 
-4.385493e-01 	 -8.081771e-01 	 
-4.364994e-01 	 -8.082636e-01 	 
-4.344059e-01 	 -8.084103e-01 	 
-4.322687e-01 	 -8.086165e-01 	 
-4.300873e-01 	 -8.088755e-01 	 
-4.278614e-01 	 -8.091710e-01 	 
-4.255908e-01 	 -8.094838e-01 	 
-4.232753e-01 	 -8.097988e-01 	 
-4.209144e-01 	 -8.101071e-01 	 
-4.185082e-01 	 -8.104057e-01 	 
-4.160563e-01 	 -8.106958e-01 	 
-4.135585e-01 	 -8.109816e-01 	 
-4.110149e-01 	 -8.112697e-01 	 
-4.084250e-01 	 -8.115641e-01 	 
-4.057890e-01 	 -8.118639e-01 	 
-4.031065e-01 	 -8.121673e-01 	 
-4.003777e-01 	 -8.124726e-01 	 
-3.976024e-01 	 -8.127785e-01 	 
-3.947805e-01 	 -8.130901e-01 	 
-3.919121e-01 	 -8.134192e-01 	 
-3.889972e-01 	 -8.137731e-01 	 
-3.860356e-01 	 -8.141548e-01 	 
-3.830275e-01 	 -8.145641e-01 	 
-3.799730e-01 	 -8.149979e-01 	 
-3.768719e-01 	 -8.154551e-01 	 
-3.737246e-01 	 -8.159235e-01 	 
-3.705310e-01 	 -8.163981e-01 	 
-3.672912e-01 	 -8.169002e-01 	 
-3.640054e-01 	 -8.174271e-01 	 
-3.606737e-01 	 -8.179573e-01 	 
-3.572963e-01 	 -8.184997e-01 	 
-3.538734e-01 	 -8.190552e-01 	 
-3.504051e-01 	 -8.196112e-01 	 
-3.468917e-01 	 -8.201800e-01 	 
-3.433333e-01 	 -8.207748e-01 	 
-3.397303e-01 	 -8.213999e-01 	 
-3.360828e-01 	 -8.220690e-01 	 
-3.323911e-01 	 -8.227672e-01 	 
-3.286555e-01 	 -8.234610e-01 	 
-3.248764e-01 	 -8.241520e-01 	 
-3.210539e-01 	 -8.248357e-01 	 
-3.171885e-01 	 -8.254915e-01 	 
-3.132804e-01 	 -8.261376e-01 	 
-3.093301e-01 	 -8.267996e-01 	 
-3.053378e-01 	 -8.274594e-01 	 
-3.013040e-01 	 -8.280941e-01 	 
-2.972291e-01 	 -8.287075e-01 	 
-2.931134e-01 	 -8.292935e-01 	 
-2.889573e-01 	 -8.298420e-01 	 
-2.847613e-01 	 -8.303395e-01 	 
-2.805259e-01 	 -8.307511e-01 	 
-2.762514e-01 	 -8.310871e-01 	 
-2.719383e-01 	 -8.313876e-01 	 
-2.675872e-01 	 -8.316334e-01 	 
-2.631984e-01 	 -8.318091e-01 	 
-2.587725e-01 	 -8.319557e-01 	 
-2.543100e-01 	 -8.320722e-01 	 
-2.498114e-01 	 -8.321109e-01 	 
-2.452773e-01 	 -8.320714e-01 	 
-2.407081e-01 	 -8.320045e-01 	 
-2.361044e-01 	 -8.319264e-01 	 
-2.314668e-01 	 -8.318014e-01 	 
