x0	cf	x1	cp	
-7.588250e-02 	 -6.656714e-04 	-7.588250e-02 	 -8.425578e-01 	 
-6.370946e-02 	 -7.401894e-04 	-6.370946e-02 	 -8.448340e-01 	 
-5.149946e-02 	 -8.866765e-04 	-5.149946e-02 	 -8.466959e-01 	 
-3.926120e-02 	 -1.211165e-03 	-3.926120e-02 	 -8.479141e-01 	 
-2.700344e-02 	 -1.837479e-03 	-2.700344e-02 	 -8.478575e-01 	 
-1.473489e-02 	 -2.803890e-03 	-1.473489e-02 	 -8.432537e-01 	 
-2.464324e-03 	 -4.177567e-03 	-2.464324e-03 	 -8.313671e-01 	 
9.799541e-03 	 -5.913805e-03 	9.799541e-03 	 -8.103155e-01 	 
2.204799e-02 	 -7.508653e-03 	2.204799e-02 	 -7.757902e-01 	 
3.427232e-02 	 -8.365956e-03 	3.427232e-02 	 -7.258006e-01 	 
4.646391e-02 	 -8.360234e-03 	4.646391e-02 	 -6.635882e-01 	 
5.861415e-02 	 -7.542631e-03 	5.861415e-02 	 -5.912312e-01 	 
7.071450e-02 	 -6.046034e-03 	7.071450e-02 	 -5.129583e-01 	 
8.275648e-02 	 -4.272401e-03 	8.275648e-02 	 -4.398592e-01 	 
9.473172e-02 	 -2.448150e-03 	9.473172e-02 	 -3.769316e-01 	 
1.066319e-01 	 -4.550190e-04 	1.066319e-01 	 -3.220148e-01 	 
1.184488e-01 	 1.584977e-03 	1.184488e-01 	 -2.770841e-01 	 
1.301744e-01 	 3.118509e-03 	1.301744e-01 	 -2.450727e-01 	 
1.418007e-01 	 3.792598e-03 	1.418007e-01 	 -2.217494e-01 	 
1.533198e-01 	 3.891374e-03 	1.533198e-01 	 -2.001777e-01 	 
1.647241e-01 	 4.069468e-03 	1.647241e-01 	 -1.782842e-01 	 
1.760059e-01 	 4.621287e-03 	1.760059e-01 	 -1.585096e-01 	 
1.871578e-01 	 5.247797e-03 	1.871578e-01 	 -1.434125e-01 	 
1.981727e-01 	 5.662635e-03 	1.981727e-01 	 -1.316957e-01 	 
2.090436e-01 	 5.958884e-03 	2.090436e-01 	 -1.207352e-01 	 
2.197634e-01 	 6.256282e-03 	2.197634e-01 	 -1.114041e-01 	 
2.303256e-01 	 6.517243e-03 	2.303256e-01 	 -1.046374e-01 	 
2.407237e-01 	 6.718978e-03 	2.407237e-01 	 -9.896904e-02 	 
2.509516e-01 	 6.857863e-03 	2.509516e-01 	 -9.347796e-02 	 
2.610030e-01 	 6.899962e-03 	2.610030e-01 	 -8.814484e-02 	 
2.708724e-01 	 6.868609e-03 	2.708724e-01 	 -8.282438e-02 	 
2.805542e-01 	 6.832249e-03 	2.805542e-01 	 -7.723272e-02 	 
2.900431e-01 	 6.775938e-03 	2.900431e-01 	 -7.155761e-02 	 
2.993341e-01 	 6.618301e-03 	2.993341e-01 	 -6.628931e-02 	 
3.084225e-01 	 6.354275e-03 	3.084225e-01 	 -6.153211e-02 	 
3.173040e-01 	 6.077723e-03 	3.173040e-01 	 -5.703196e-02 	 
3.259743e-01 	 5.869126e-03 	3.259743e-01 	 -5.285069e-02 	 
3.344297e-01 	 5.723577e-03 	3.344297e-01 	 -4.916191e-02 	 
3.426666e-01 	 5.593702e-03 	3.426666e-01 	 -4.567653e-02 	 
3.506819e-01 	 5.452990e-03 	3.506819e-01 	 -4.206374e-02 	 
3.584728e-01 	 5.306738e-03 	3.584728e-01 	 -3.828704e-02 	 
