St0	i0	St1	i1	St2	i2	St3	i3	St4	i4	St5	i5	St6	i6	St7	i7	St8	i8	
1.908952e+00 	 2.668183e-09 	1.908952e+00 	 2.975273e-09 	1.908952e+00 	 6.075761e-09 	1.908952e+00 	 3.209809e-07 	1.908952e+00 	 1.267738e-06 	1.908952e+00 	 6.516662e-06 	1.908952e+00 	 1.733927e-05 	1.908952e+00 	 5.926920e-06 	1.908952e+00 	 5.027233e-06 	 
2.015005e+00 	 2.902723e-09 	2.015005e+00 	 3.055709e-09 	2.015005e+00 	 5.850026e-09 	2.015005e+00 	 4.348289e-07 	2.015005e+00 	 2.146723e-06 	2.015005e+00 	 7.084231e-06 	2.015005e+00 	 1.285468e-05 	2.015005e+00 	 6.510213e-06 	2.015005e+00 	 4.799353e-06 	 
2.121058e+00 	 1.849530e-09 	2.121058e+00 	 2.182585e-09 	2.121058e+00 	 4.015669e-09 	2.121058e+00 	 4.908298e-07 	2.121058e+00 	 2.391235e-06 	2.121058e+00 	 1.061247e-05 	2.121058e+00 	 1.580736e-05 	2.121058e+00 	 9.039103e-06 	2.121058e+00 	 5.130534e-06 	 
2.227111e+00 	 1.542605e-09 	2.227111e+00 	 1.843228e-09 	2.227111e+00 	 3.107097e-09 	2.227111e+00 	 5.273645e-07 	2.227111e+00 	 3.552763e-06 	2.227111e+00 	 1.052090e-05 	2.227111e+00 	 2.140760e-05 	2.227111e+00 	 7.042609e-06 	2.227111e+00 	 4.166547e-06 	 
2.333164e+00 	 2.697623e-09 	2.333164e+00 	 3.561873e-09 	2.333164e+00 	 7.540329e-09 	2.333164e+00 	 7.800419e-07 	2.333164e+00 	 4.548002e-06 	2.333164e+00 	 2.267612e-05 	2.333164e+00 	 2.543887e-05 	2.333164e+00 	 9.175187e-06 	2.333164e+00 	 4.613079e-06 	 
2.439216e+00 	 6.516749e-09 	2.439216e+00 	 7.941456e-09 	2.439216e+00 	 1.535556e-08 	2.439216e+00 	 9.833481e-07 	2.439216e+00 	 6.150050e-06 	2.439216e+00 	 1.978376e-05 	2.439216e+00 	 2.089358e-05 	2.439216e+00 	 1.141829e-05 	2.439216e+00 	 6.744532e-06 	 
2.545269e+00 	 3.658540e-09 	2.545269e+00 	 4.002255e-09 	2.545269e+00 	 7.368252e-09 	2.545269e+00 	 1.165955e-06 	2.545269e+00 	 1.466638e-05 	2.545269e+00 	 3.192746e-05 	2.545269e+00 	 2.261020e-05 	2.545269e+00 	 1.475817e-05 	2.545269e+00 	 6.963393e-06 	 
2.651322e+00 	 3.774582e-09 	2.651322e+00 	 3.894405e-09 	2.651322e+00 	 7.181430e-09 	2.651322e+00 	 1.531304e-06 	2.651322e+00 	 1.476234e-05 	2.651322e+00 	 3.342592e-05 	2.651322e+00 	 1.911435e-05 	2.651322e+00 	 1.073224e-05 	2.651322e+00 	 4.978526e-06 	 
2.757375e+00 	 2.022173e-09 	2.757375e+00 	 2.222167e-09 	2.757375e+00 	 4.765989e-09 	2.757375e+00 	 1.452529e-06 	2.757375e+00 	 2.505082e-05 	2.757375e+00 	 3.522817e-05 	2.757375e+00 	 3.645425e-05 	2.757375e+00 	 1.627544e-05 	2.757375e+00 	 6.552591e-06 	 
2.863428e+00 	 1.578259e-09 	2.863428e+00 	 1.732361e-09 	2.863428e+00 	 3.997498e-09 	2.863428e+00 	 1.291094e-06 	2.863428e+00 	 3.269835e-05 	2.863428e+00 	 5.407566e-05 	2.863428e+00 	 4.550248e-05 	2.863428e+00 	 1.606241e-05 	2.863428e+00 	 5.397323e-06 	 
2.969481e+00 	 1.868549e-09 	2.969481e+00 	 2.217899e-09 	2.969481e+00 	 4.841785e-09 	2.969481e+00 	 1.566893e-06 	2.969481e+00 	 2.989448e-05 	2.969481e+00 	 4.057889e-05 	2.969481e+00 	 3.610761e-05 	2.969481e+00 	 1.380244e-05 	2.969481e+00 	 6.614453e-06 	 
3.075534e+00 	 1.775963e-09 	3.075534e+00 	 2.243976e-09 	3.075534e+00 	 5.457472e-09 	3.075534e+00 	 2.606771e-06 	3.075534e+00 	 2.839683e-05 	3.075534e+00 	 3.323117e-05 	3.075534e+00 	 1.606036e-05 	3.075534e+00 	 1.046777e-05 	3.075534e+00 	 4.340686e-06 	 
3.181587e+00 	 1.076042e-09 	3.181587e+00 	 1.126565e-09 	3.181587e+00 	 4.774103e-09 	3.181587e+00 	 2.118381e-06 	3.181587e+00 	 3.036571e-05 	3.181587e+00 	 2.589372e-05 	3.181587e+00 	 1.336830e-05 	3.181587e+00 	 9.811511e-06 	3.181587e+00 	 3.585782e-06 	 
3.287640e+00 	 1.275408e-09 	3.287640e+00 	 1.376939e-09 	3.287640e+00 	 4.357053e-09 	3.287640e+00 	 1.072909e-06 	3.287640e+00 	 2.464201e-05 	3.287640e+00 	 3.219036e-05 	3.287640e+00 	 1.688380e-05 	3.287640e+00 	 8.552961e-06 	3.287640e+00 	 2.964116e-06 	 
3.393692e+00 	 8.558401e-10 	3.393692e+00 	 1.116771e-09 	3.393692e+00 	 2.673143e-09 	3.393692e+00 	 8.611614e-07 	3.393692e+00 	 2.720930e-05 	3.393692e+00 	 2.720042e-05 	3.393692e+00 	 1.324743e-05 	3.393692e+00 	 7.614405e-06 	3.393692e+00 	 4.456092e-06 	 
3.499745e+00 	 6.668025e-10 	3.499745e+00 	 8.846367e-10 	3.499745e+00 	 2.144907e-09 	3.499745e+00 	 7.604541e-07 	3.499745e+00 	 3.832024e-05 	3.499745e+00 	 3.934264e-05 	3.499745e+00 	 1.386125e-05 	3.499745e+00 	 8.728286e-06 	3.499745e+00 	 5.275600e-06 	 
3.605798e+00 	 4.571555e-10 	3.605798e+00 	 5.838763e-10 	3.605798e+00 	 1.110908e-09 	3.605798e+00 	 6.201173e-07 	3.605798e+00 	 4.460592e-05 	3.605798e+00 	 4.617568e-05 	3.605798e+00 	 1.430311e-05 	3.605798e+00 	 1.086846e-05 	3.605798e+00 	 2.929209e-06 	 
3.711851e+00 	 5.520318e-10 	3.711851e+00 	 7.406265e-10 	3.711851e+00 	 9.493624e-10 	3.711851e+00 	 4.035573e-07 	3.711851e+00 	 3.398348e-05 	3.711851e+00 	 2.961407e-05 	3.711851e+00 	 1.280213e-05 	3.711851e+00 	 8.714488e-06 	3.711851e+00 	 3.289621e-06 	 
3.817904e+00 	 4.345066e-10 	3.817904e+00 	 4.108158e-10 	3.817904e+00 	 6.368712e-10 	3.817904e+00 	 3.413024e-07 	3.817904e+00 	 2.801065e-05 	3.817904e+00 	 3.150356e-05 	3.817904e+00 	 9.938132e-06 	3.817904e+00 	 7.926534e-06 	3.817904e+00 	 4.207388e-06 	 
3.923957e+00 	 5.083202e-10 	3.923957e+00 	 3.052515e-10 	3.923957e+00 	 7.004181e-10 	3.923957e+00 	 3.457160e-07 	3.923957e+00 	 2.108863e-05 	3.923957e+00 	 3.258185e-05 	3.923957e+00 	 1.135761e-05 	3.923957e+00 	 1.019794e-05 	3.923957e+00 	 3.669366e-06 	 
4.030010e+00 	 5.546597e-10 	4.030010e+00 	 2.197729e-10 	4.030010e+00 	 5.998174e-10 	4.030010e+00 	 3.057553e-07 	4.030010e+00 	 3.028364e-05 	4.030010e+00 	 5.283017e-05 	4.030010e+00 	 1.426388e-05 	4.030010e+00 	 8.338760e-06 	4.030010e+00 	 4.446278e-06 	 
4.136063e+00 	 5.604945e-10 	4.136063e+00 	 4.149870e-10 	4.136063e+00 	 3.996557e-10 	4.136063e+00 	 2.182980e-07 	4.136063e+00 	 3.831932e-05 	4.136063e+00 	 4.860654e-05 	4.136063e+00 	 1.758067e-05 	4.136063e+00 	 6.775154e-06 	4.136063e+00 	 3.105320e-06 	 
4.242116e+00 	 4.830823e-10 	4.242116e+00 	 5.423447e-10 	4.242116e+00 	 5.559647e-10 	4.242116e+00 	 1.684140e-07 	4.242116e+00 	 2.866421e-05 	4.242116e+00 	 3.396210e-05 	4.242116e+00 	 1.700340e-05 	4.242116e+00 	 6.879255e-06 	4.242116e+00 	 3.953934e-06 	 
4.348168e+00 	 3.053023e-10 	4.348168e+00 	 4.727574e-10 	4.348168e+00 	 5.011365e-10 	4.348168e+00 	 1.245514e-07 	4.348168e+00 	 2.328723e-05 	4.348168e+00 	 3.259461e-05 	4.348168e+00 	 1.461008e-05 	4.348168e+00 	 6.465735e-06 	4.348168e+00 	 4.235355e-06 	 
4.454221e+00 	 1.104479e-10 	4.454221e+00 	 3.328181e-10 	4.454221e+00 	 2.905381e-10 	4.454221e+00 	 7.853452e-08 	4.454221e+00 	 1.438805e-05 	4.454221e+00 	 3.648906e-05 	4.454221e+00 	 1.488145e-05 	4.454221e+00 	 7.026008e-06 	4.454221e+00 	 3.585136e-06 	 
4.560274e+00 	 3.636660e-11 	4.560274e+00 	 1.476244e-10 	4.560274e+00 	 1.779351e-10 	4.560274e+00 	 2.837184e-08 	4.560274e+00 	 3.188557e-06 	4.560274e+00 	 2.153107e-05 	4.560274e+00 	 9.874240e-06 	4.560274e+00 	 4.605102e-06 	4.560274e+00 	 1.539494e-06 	 
