   n        time         Cl         Cd
  877980   150.45854   0.5365313   0.2495557
  878000   150.46201   0.5364782   0.2495246
  878020   150.46548   0.5364281   0.2494939
  878040   150.46895   0.5363810   0.2494634
  878060   150.47242   0.5363345   0.2494327
  878080   150.47589   0.5362873   0.2494012
  878100   150.47936   0.5362398   0.2493689
  878120   150.48283   0.5361934   0.2493358
  878140   150.48631   0.5361479   0.2493019
  878160   150.48978   0.5361038   0.2492672
  878180   150.49325   0.5360618   0.2492321
  878200   150.49672   0.5360221   0.2491967
  878220   150.50019   0.5359843   0.2491611
  878240   150.50366   0.5359476   0.2491253
  878260   150.50713   0.5359105   0.2490892
  878280   150.51060   0.5358717   0.2490530
  878300   150.51408   0.5358310   0.2490165
  878320   150.51755   0.5357891   0.2489799
  878340   150.52102   0.5357467   0.2489432
  878360   150.52449   0.5357050   0.2489064
  878380   150.52796   0.5356645   0.2488695
  878400   150.53143   0.5356254   0.2488326
  878420   150.53490   0.5355886   0.2487958
  878440   150.53838   0.5355545   0.2487591
  878460   150.54185   0.5355228   0.2487227
  878480   150.54532   0.5354936   0.2486868
  878500   150.54879   0.5354682   0.2486515
  878520   150.55226   0.5354468   0.2486166
  878540   150.55573   0.5354293   0.2485822
  878560   150.55921   0.5354168   0.2485483
  878580   150.56268   0.5354094   0.2485151
  878600   150.56615   0.5354068   0.2484827
  878620   150.56962   0.5354080   0.2484509
  878640   150.57309   0.5354121   0.2484197
  878660   150.57657   0.5354194   0.2483892
  878680   150.58004   0.5354295   0.2483593
  878700   150.58351   0.5354429   0.2483300
  878720   150.58698   0.5354620   0.2483018
  878740   150.59045   0.5354875   0.2482747
  878760   150.59392   0.5355197   0.2482486
  878780   150.59740   0.5355611   0.2482240
  878800   150.60087   0.5356123   0.2482011
  878820   150.60434   0.5356719   0.2481801
  878840   150.60781   0.5357402   0.2481610
  878860   150.61128   0.5358142   0.2481433
  878880   150.61475   0.5358911   0.2481270
  878900   150.61823   0.5359700   0.2481123
  878920   150.62170   0.5360482   0.2480984
  878940   150.62517   0.5361238   0.2480847
  878960   150.62864   0.5361962   0.2480708
  878980   150.63211   0.5362641   0.2480567
  879000   150.63558   0.5363273   0.2480421
  879020   150.63906   0.5363856   0.2480268
  879040   150.64253   0.5364388   0.2480104
  879060   150.64600   0.5364869   0.2479927
  879080   150.64947   0.5365304   0.2479736
  879100   150.65294   0.5365708   0.2479534
  879120   150.65641   0.5366079   0.2479320
  879140   150.65989   0.5366427   0.2479095
  879160   150.66336   0.5366766   0.2478862
  879180   150.66683   0.5367097   0.2478621
  879200   150.67030   0.5367398   0.2478369
  879220   150.67377   0.5367665   0.2478107
  879240   150.67724   0.5367903   0.2477840
  879260   150.68072   0.5368092   0.2477563
  879280   150.68419   0.5368225   0.2477278
  879300   150.68766   0.5368305   0.2476986
  879320   150.69113   0.5368335   0.2476688
  879340   150.69461   0.5368317   0.2476381
  879360   150.69808   0.5368258   0.2476066
  879380   150.70155   0.5368162   0.2475741
  879400   150.70502   0.5368036   0.2475407
  879420   150.70849   0.5367884   0.2475061
  879440   150.71197   0.5367717   0.2474705
  879460   150.71544   0.5367550   0.2474339
  879480   150.71891   0.5367392   0.2473966
  879500   150.72238   0.5367245   0.2473588
  879520   150.72586   0.5367105   0.2473208
  879540   150.72933   0.5366968   0.2472830
  879560   150.73280   0.5366835   0.2472459
  879580   150.73627   0.5366702   0.2472096
  879600   150.73974   0.5366564   0.2471745
  879620   150.74322   0.5366412   0.2471406
  879640   150.74669   0.5366233   0.2471075
  879660   150.75016   0.5366016   0.2470753
  879680   150.75363   0.5365764   0.2470438
  879700   150.75710   0.5365481   0.2470130
  879720   150.76057   0.5365176   0.2469829
  879740   150.76405   0.5364855   0.2469534
  879760   150.76752   0.5364520   0.2469244
  879780   150.77099   0.5364168   0.2468956
  879800   150.77446   0.5363792   0.2468668
  879820   150.77793   0.5363391   0.2468376
  879840   150.78140   0.5362964   0.2468079
  879860   150.78488   0.5362514   0.2467773
  879880   150.78835   0.5362041   0.2467458
  879900   150.79182   0.5361557   0.2467135
  879920   150.79529   0.5361076   0.2466807
  879940   150.79876   0.5360610   0.2466475
  879960   150.80223   0.5360174   0.2466141
  879980   150.80570   0.5359801   0.2465811
  880000   150.80917   0.5359535   0.2465490
  880020   150.81265   0.5359411   0.2465182
  880040   150.81612   0.5359441   0.2464889
  880060   150.81959   0.5359612   0.2464611
  880080   150.82306   0.5359900   0.2464349
  880100   150.82653   0.5360279   0.2464100
  880120   150.83000   0.5360727   0.2463865
  880140   150.83347   0.5361226   0.2463638
  880160   150.83694   0.5361760   0.2463419
  880180   150.84041   0.5362311   0.2463203
  880200   150.84388   0.5362866   0.2462989
