x0	M1	x1	P1	x2	M2	x3	T1	x4	M3	x5	P2	x6	M4	x7	T2	x8	M5	x9	P3	x10	M6	x11	T3	x12	M7	x13	P4	x14	M8	x15	T4	x16	M9	x17	avg	
-4.949730e-01 	 -7.981360e-01 	-5.100130e-01 	 -6.614880e-01 	-4.949730e-01 	 -1.136110e+00 	-4.799310e-01 	 -1.565940e+00 	-4.949730e-01 	 -1.219970e+00 	-5.100130e-01 	 -8.103740e-01 	-4.949730e-01 	 -1.205060e+00 	-4.799310e-01 	 -1.451310e+00 	-4.949730e-01 	 -1.204860e+00 	-5.100130e-01 	 -8.098800e-01 	-4.949730e-01 	 -1.219160e+00 	-4.799310e-01 	 -1.564070e+00 	-4.949730e-01 	 -1.134760e+00 	-5.100130e-01 	 -6.514840e-01 	-4.949730e-01 	 -7.980100e-01 	-4.799310e-01 	 -7.554120e-01 	-4.949730e-01 	 -7.981360e-01 	-4.949730e-01 	 -1.046127e+00 	 
-4.941370e-01 	 -8.236580e-01 	-5.091880e-01 	 -7.099840e-01 	-4.941370e-01 	 -1.182700e+00 	-4.790850e-01 	 -1.560120e+00 	-4.941370e-01 	 -1.273290e+00 	-5.091880e-01 	 -8.688450e-01 	-4.941370e-01 	 -1.254220e+00 	-4.790850e-01 	 -1.437970e+00 	-4.941370e-01 	 -1.254120e+00 	-5.091880e-01 	 -8.684460e-01 	-4.941370e-01 	 -1.272320e+00 	-4.790850e-01 	 -1.558630e+00 	-4.941370e-01 	 -1.181350e+00 	-5.091880e-01 	 -6.996560e-01 	-4.941370e-01 	 -8.229710e-01 	-4.790850e-01 	 -7.519000e-01 	-4.941370e-01 	 -8.236580e-01 	-4.941370e-01 	 -1.079049e+00 	 
-4.932920e-01 	 -8.372220e-01 	-5.083530e-01 	 -7.435180e-01 	-4.932920e-01 	 -1.217190e+00 	-4.782290e-01 	 -1.537040e+00 	-4.932920e-01 	 -1.313840e+00 	-5.083530e-01 	 -9.115570e-01 	-4.932920e-01 	 -1.290750e+00 	-4.782290e-01 	 -1.412090e+00 	-4.932920e-01 	 -1.290590e+00 	-5.083530e-01 	 -9.112510e-01 	-4.932920e-01 	 -1.312880e+00 	-4.782290e-01 	 -1.535880e+00 	-4.932920e-01 	 -1.215680e+00 	-5.083530e-01 	 -7.328920e-01 	-4.932920e-01 	 -8.366460e-01 	-4.782290e-01 	 -7.409900e-01 	-4.932920e-01 	 -8.372220e-01 	-4.932920e-01 	 -1.098661e+00 	 
-4.924350e-01 	 -8.502700e-01 	-5.075060e-01 	 -7.802430e-01 	-4.924350e-01 	 -1.251450e+00 	-4.773610e-01 	 -1.522980e+00 	-4.924350e-01 	 -1.354070e+00 	-5.075060e-01 	 -9.577430e-01 	-4.924350e-01 	 -1.326850e+00 	-4.773610e-01 	 -1.399090e+00 	-4.924350e-01 	 -1.326690e+00 	-5.075060e-01 	 -9.575260e-01 	-4.924350e-01 	 -1.353070e+00 	-4.773610e-01 	 -1.522110e+00 	-4.924350e-01 	 -1.249830e+00 	-5.075060e-01 	 -7.692900e-01 	-4.924350e-01 	 -8.496840e-01 	-4.773610e-01 	 -7.411380e-01 	-4.924350e-01 	 -8.502700e-01 	-4.924350e-01 	 -1.121312e+00 	 
-4.915610e-01 	 -8.542400e-01 	-5.066430e-01 	 -8.073480e-01 	-4.915610e-01 	 -1.275950e+00 	-4.764770e-01 	 -1.502460e+00 	-4.915610e-01 	 -1.384180e+00 	-5.066430e-01 	 -9.940120e-01 	-4.915610e-01 	 -1.352760e+00 	-4.764770e-01 	 -1.382420e+00 	-4.915610e-01 	 -1.352610e+00 	-5.066430e-01 	 -9.938820e-01 	-4.915610e-01 	 -1.383130e+00 	-4.764770e-01 	 -1.501790e+00 	-4.915610e-01 	 -1.274240e+00 	-5.066430e-01 	 -7.960700e-01 	-4.915610e-01 	 -8.533790e-01 	-4.764770e-01 	 -7.357700e-01 	-4.915610e-01 	 -8.542400e-01 	-4.915610e-01 	 -1.135205e+00 	 
-4.906690e-01 	 -8.555540e-01 	-5.057600e-01 	 -8.325930e-01 	-4.906690e-01 	 -1.298300e+00 	-4.755750e-01 	 -1.486270e+00 	-4.906690e-01 	 -1.411870e+00 	-5.057600e-01 	 -1.028450e+00 	-4.906690e-01 	 -1.376220e+00 	-4.755750e-01 	 -1.372190e+00 	-4.906690e-01 	 -1.376050e+00 	-5.057600e-01 	 -1.028410e+00 	-4.906690e-01 	 -1.410810e+00 	-4.755750e-01 	 -1.485700e+00 	-4.906690e-01 	 -1.296470e+00 	-5.057600e-01 	 -8.209690e-01 	-4.906690e-01 	 -8.547830e-01 	-4.755750e-01 	 -7.344760e-01 	-4.906690e-01 	 -8.555540e-01 	-4.906690e-01 	 -1.148510e+00 	 
-4.897560e-01 	 -8.527800e-01 	-5.048560e-01 	 -8.550220e-01 	-4.897560e-01 	 -1.316190e+00 	-4.746530e-01 	 -1.473270e+00 	-4.897560e-01 	 -1.434880e+00 	-5.048560e-01 	 -1.060210e+00 	-4.897560e-01 	 -1.394890e+00 	-4.746530e-01 	 -1.365500e+00 	-4.897560e-01 	 -1.394720e+00 	-5.048560e-01 	 -1.060250e+00 	-4.897560e-01 	 -1.433770e+00 	-4.746530e-01 	 -1.472700e+00 	-4.897560e-01 	 -1.314260e+00 	-5.048560e-01 	 -8.430290e-01 	-4.897560e-01 	 -8.517680e-01 	-4.746530e-01 	 -7.341940e-01 	-4.897560e-01 	 -8.527800e-01 	-4.897560e-01 	 -1.159424e+00 	 
-4.888190e-01 	 -8.456850e-01 	-5.039270e-01 	 -8.726660e-01 	-4.888190e-01 	 -1.329650e+00 	-4.737060e-01 	 -1.461400e+00 	-4.888190e-01 	 -1.453120e+00 	-5.039270e-01 	 -1.087180e+00 	-4.888190e-01 	 -1.408720e+00 	-4.737060e-01 	 -1.358760e+00 	-4.888190e-01 	 -1.408560e+00 	-5.039270e-01 	 -1.087300e+00 	-4.888190e-01 	 -1.451970e+00 	-4.737060e-01 	 -1.460720e+00 	-4.888190e-01 	 -1.327600e+00 	-5.039270e-01 	 -8.602870e-01 	-4.888190e-01 	 -8.445960e-01 	-4.737060e-01 	 -7.325390e-01 	-4.888190e-01 	 -8.456850e-01 	-4.888190e-01 	 -1.166849e+00 	 
-4.878550e-01 	 -8.369020e-01 	-5.029710e-01 	 -8.892570e-01 	-4.878550e-01 	 -1.341180e+00 	-4.727340e-01 	 -1.454370e+00 	-4.878550e-01 	 -1.469190e+00 	-5.029710e-01 	 -1.113350e+00 	-4.878550e-01 	 -1.420300e+00 	-4.727340e-01 	 -1.354950e+00 	-4.878550e-01 	 -1.420140e+00 	-5.029710e-01 	 -1.113550e+00 	-4.878550e-01 	 -1.468010e+00 	-4.727340e-01 	 -1.453460e+00 	-4.878550e-01 	 -1.339010e+00 	-5.029710e-01 	 -8.764550e-01 	-4.878550e-01 	 -8.357320e-01 	-4.727340e-01 	 -7.329980e-01 	-4.878550e-01 	 -8.369020e-01 	-4.878550e-01 	 -1.173868e+00 	 
-4.868610e-01 	 -8.253600e-01 	-5.019850e-01 	 -9.024920e-01 	-4.868610e-01 	 -1.349030e+00 	-4.717320e-01 	 -1.448230e+00 	-4.868610e-01 	 -1.481260e+00 	-5.019850e-01 	 -1.136350e+00 	-4.868610e-01 	 -1.427780e+00 	-4.717320e-01 	 -1.350950e+00 	-4.868610e-01 	 -1.427640e+00 	-5.019850e-01 	 -1.136640e+00 	-4.868610e-01 	 -1.480040e+00 	-4.717320e-01 	 -1.447070e+00 	-4.868610e-01 	 -1.346750e+00 	-5.019850e-01 	 -8.892390e-01 	-4.868610e-01 	 -8.240100e-01 	-4.717320e-01 	 -7.324640e-01 	-4.868610e-01 	 -8.253600e-01 	-4.868610e-01 	 -1.178274e+00 	 
