Re      St
56276.30306483825     1.43558989912255
70680.63820992917     1.6401044342080717
82693.98015468488     1.9460648700528531
93706.21027071094     2.194781650307135
99870.46366057402     2.3218163170539614
111689.14497196564     2.601767144503408
124512.02796341015     2.887641229771459
136407.95555788273     3.7305202091633074
149926.05509705615     4.38037949433661
161976.47525769076     4.371892290908141
175262.83594762118     4.39119887370205
187004.27097593178     4.424497580784663
198204.98202267548     4.425993576760968
211491.34271260595     4.405517010929019


