t     p     U
  0.3342501E+03       0.6859311E+00       0.3951102E+00
  0.3343750E+03       0.6858472E+00       0.3955753E+00
  0.3345001E+03       0.6853498E+00       0.3962487E+00
  0.3346250E+03       0.6846228E+00       0.3972786E+00
  0.3347501E+03       0.6845964E+00       0.3976170E+00
  0.3348752E+03       0.6845164E+00       0.3979370E+00
  0.3350001E+03       0.6842148E+00       0.3984465E+00
  0.3351251E+03       0.6838540E+00       0.3990886E+00
  0.3352501E+03       0.6836275E+00       0.3995370E+00
  0.3353752E+03       0.6831205E+00       0.4002974E+00
  0.3355000E+03       0.6829547E+00       0.4008325E+00
  0.3356252E+03       0.6827357E+00       0.4013430E+00
  0.3357501E+03       0.6828848E+00       0.4014364E+00
  0.3358751E+03       0.6829919E+00       0.4014374E+00
  0.3360000E+03       0.6833771E+00       0.4010896E+00
  0.3361251E+03       0.6841713E+00       0.4000619E+00
  0.3362501E+03       0.6846117E+00       0.3993907E+00
  0.3363750E+03       0.6852360E+00       0.3985311E+00
  0.3365000E+03       0.6861144E+00       0.3973325E+00
  0.3366251E+03       0.6872054E+00       0.3957857E+00
  0.3367501E+03       0.6883193E+00       0.3941184E+00
  0.3368752E+03       0.6893492E+00       0.3924754E+00
  0.3370000E+03       0.6901983E+00       0.3909822E+00
  0.3371251E+03       0.6908692E+00       0.3897555E+00
  0.3372501E+03       0.6913205E+00       0.3888100E+00
  0.3373751E+03       0.6915915E+00       0.3881627E+00
  0.3375002E+03       0.6916716E+00       0.3878321E+00
  0.3376252E+03       0.6919464E+00       0.3872994E+00
  0.3377501E+03       0.6923165E+00       0.3866080E+00
  0.3378750E+03       0.6929114E+00       0.3856206E+00
  0.3380002E+03       0.6938288E+00       0.3840807E+00
  0.3381250E+03       0.6947294E+00       0.3824286E+00
  0.3382502E+03       0.6957167E+00       0.3806610E+00
  0.3383751E+03       0.6967135E+00       0.3788441E+00
  0.3385002E+03       0.6976585E+00       0.3770449E+00
  0.3386252E+03       0.6983867E+00       0.3754434E+00
  0.3387500E+03       0.6987106E+00       0.3743816E+00
  0.3388752E+03       0.6988050E+00       0.3736860E+00
  0.3390001E+03       0.6986812E+00       0.3733910E+00
  0.3391251E+03       0.6984733E+00       0.3733276E+00
  0.3392501E+03       0.6980844E+00       0.3736004E+00
  0.3393752E+03       0.6976376E+00       0.3740627E+00
  0.3395000E+03       0.6969398E+00       0.3749165E+00
  0.3396252E+03       0.6961056E+00       0.3760981E+00
  0.3397501E+03       0.6957189E+00       0.3768107E+00
  0.3398752E+03       0.6950267E+00       0.3777958E+00
  0.3400001E+03       0.6940152E+00       0.3792331E+00
  0.3401250E+03       0.6929872E+00       0.3808546E+00
  0.3402501E+03       0.6921461E+00       0.3822964E+00
  0.3403751E+03       0.6917438E+00       0.3831869E+00
  0.3405000E+03       0.6911514E+00       0.3841639E+00
  0.3406251E+03       0.6907076E+00       0.3849561E+00
  0.3407501E+03       0.6901384E+00       0.3858171E+00
  0.3408751E+03       0.6895842E+00       0.3867518E+00
  0.3410000E+03       0.6889773E+00       0.3876927E+00
  0.3411251E+03       0.6884629E+00       0.3885465E+00
  0.3412501E+03       0.6877678E+00       0.3896552E+00
  0.3413751E+03       0.6874174E+00       0.3904619E+00
  0.3415001E+03       0.6871305E+00       0.3911138E+00
  0.3416252E+03       0.6869178E+00       0.3916367E+00
  0.3417501E+03       0.6869744E+00       0.3917995E+00
  0.3418750E+03       0.6868490E+00       0.3921960E+00
  0.3420001E+03       0.6868859E+00       0.3924291E+00
  0.3421251E+03       0.6869774E+00       0.3925736E+00
  0.3422501E+03       0.6873238E+00       0.3923889E+00
  0.3423752E+03       0.6877424E+00       0.3920211E+00
  0.3425002E+03       0.6882629E+00       0.3914937E+00
  0.3426252E+03       0.6886629E+00       0.3910581E+00
  0.3427500E+03       0.6891142E+00       0.3905160E+00
  0.3428751E+03       0.6897417E+00       0.3897180E+00
  0.3430000E+03       0.6903967E+00       0.3888001E+00
  0.3431252E+03       0.6911386E+00       0.3877243E+00
  0.3432502E+03       0.6919941E+00       0.3864360E+00
  0.3433750E+03       0.6926858E+00       0.3852533E+00
  0.3435001E+03       0.6932158E+00       0.3842576E+00
  0.3436252E+03       0.6937558E+00       0.3832876E+00
  0.3437501E+03       0.6943270E+00       0.3822846E+00
  0.3438752E+03       0.6949381E+00       0.3812183E+00
  0.3440001E+03       0.6953700E+00       0.3803542E+00
  0.3441251E+03       0.6954323E+00       0.3799872E+00
  0.3442501E+03       0.6955251E+00       0.3796620E+00
  0.3443751E+03       0.6954735E+00       0.3796066E+00
  0.3445001E+03       0.6952095E+00       0.3797940E+00
  0.3446252E+03       0.6951062E+00       0.3799607E+00
  0.3447502E+03       0.6948879E+00       0.3802406E+00
  0.3448752E+03       0.6948341E+00       0.3802536E+00
  0.3450001E+03       0.6946020E+00       0.3803583E+00
  0.3451251E+03       0.6939643E+00       0.3810297E+00
  0.3452501E+03       0.6930140E+00       0.3822531E+00
  0.3453751E+03       0.6918170E+00       0.3839122E+00
  0.3455002E+03       0.6910297E+00       0.3851712E+00
  0.3456252E+03       0.6899814E+00       0.3868156E+00
  0.3457502E+03       0.6893498E+00       0.3880442E+00
  0.3458751E+03       0.6883633E+00       0.3896239E+00
  0.3460000E+03       0.6876755E+00       0.3908450E+00
  0.3461251E+03       0.6869611E+00       0.3921108E+00
  0.3462501E+03       0.6865131E+00       0.3929614E+00
  0.3463750E+03       0.6860475E+00       0.3938223E+00
  0.3465002E+03       0.6853662E+00       0.3948171E+00
  0.3466252E+03       0.6848057E+00       0.3958641E+00
  0.3467500E+03       0.6841796E+00       0.3968638E+00
  0.3468751E+03       0.6835847E+00       0.3979555E+00
  0.3470001E+03       0.6830404E+00       0.3989806E+00
  0.3471252E+03       0.6828062E+00       0.3996546E+00
  0.3472501E+03       0.6829445E+00       0.3998145E+00
  0.3473752E+03       0.6833645E+00       0.3995124E+00
  0.3475000E+03       0.6838414E+00       0.3990237E+00
  0.3476252E+03       0.6842140E+00       0.3985911E+00
  0.3477501E+03       0.6844812E+00       0.3983721E+00
  0.3478750E+03       0.6853859E+00       0.3973623E+00
  0.3480002E+03       0.6856995E+00       0.3968888E+00
  0.3481250E+03       0.6862847E+00       0.3963052E+00
  0.3482500E+03       0.6873516E+00       0.3949696E+00
  0.3483750E+03       0.6886183E+00       0.3931975E+00
  0.3485001E+03       0.6890349E+00       0.3922765E+00
  0.3486251E+03       0.6891567E+00       0.3919461E+00
  0.3487501E+03       0.6888596E+00       0.3921571E+00
  0.3488752E+03       0.6894507E+00       0.3915241E+00
  0.3490001E+03       0.6906612E+00       0.3898398E+00
  0.3491252E+03       0.6917759E+00       0.3880738E+00
  0.3492501E+03       0.6929850E+00       0.3860512E+00
  0.3493752E+03       0.6936035E+00       0.3846989E+00
  0.3495001E+03       0.6940616E+00       0.3836402E+00
  0.3496251E+03       0.6942081E+00       0.3830557E+00
  0.3497501E+03       0.6943983E+00       0.3825423E+00
  0.3498751E+03       0.6946285E+00       0.3819073E+00
  0.3500002E+03       0.6947007E+00       0.3814740E+00
  0.3501250E+03       0.6952428E+00       0.3805126E+00
  0.3502500E+03       0.6956093E+00       0.3796270E+00
  0.3503751E+03       0.6960373E+00       0.3786938E+00
  0.3505002E+03       0.6961552E+00       0.3781814E+00
  0.3506252E+03       0.6963869E+00       0.3775870E+00
  0.3507501E+03       0.6961947E+00       0.3775022E+00
  0.3508752E+03       0.6956341E+00       0.3779989E+00
  0.3510000E+03       0.6948797E+00       0.3788914E+00
  0.3511251E+03       0.6940588E+00       0.3799721E+00
  0.3512502E+03       0.6930498E+00       0.3814028E+00
  0.3513752E+03       0.6920128E+00       0.3830046E+00
  0.3515002E+03       0.6909398E+00       0.3847603E+00
  0.3516251E+03       0.6899798E+00       0.3864514E+00
  0.3517501E+03       0.6895912E+00       0.3873900E+00
  0.3518751E+03       0.6888653E+00       0.3884872E+00
  0.3520001E+03       0.6881855E+00       0.3895947E+00
  0.3521252E+03       0.6872610E+00       0.3910650E+00
  0.3522501E+03       0.6863804E+00       0.3924887E+00
  0.3523751E+03       0.6862046E+00       0.3930621E+00
  0.3525001E+03       0.6856490E+00       0.3940203E+00
  0.3526251E+03       0.6851716E+00       0.3948187E+00
  0.3527500E+03       0.6845929E+00       0.3958108E+00
  0.3528751E+03       0.6846125E+00       0.3962157E+00
  0.3530000E+03       0.6848497E+00       0.3961396E+00
  0.3531250E+03       0.6850163E+00       0.3960599E+00
  0.3532500E+03       0.6853166E+00       0.3957344E+00
  0.3533750E+03       0.6855299E+00       0.3955542E+00
  0.3535001E+03       0.6855469E+00       0.3955796E+00
  0.3536251E+03       0.6856810E+00       0.3955170E+00
  0.3537502E+03       0.6859434E+00       0.3953363E+00
  0.3538751E+03       0.6865166E+00       0.3947634E+00
  0.3540000E+03       0.6874510E+00       0.3935972E+00
  0.3541251E+03       0.6884802E+00       0.3921780E+00
  0.3542501E+03       0.6895275E+00       0.3906385E+00
  0.3543752E+03       0.6907133E+00       0.3888824E+00
  0.3545001E+03       0.6916162E+00       0.3873815E+00
  0.3546250E+03       0.6923293E+00       0.3861859E+00
  0.3547500E+03       0.6926098E+00       0.3855506E+00
  0.3548751E+03       0.6929980E+00       0.3849005E+00
  0.3550002E+03       0.6935371E+00       0.3840317E+00
  0.3551250E+03       0.6938847E+00       0.3833460E+00
  0.3552501E+03       0.6938456E+00       0.3831568E+00
  0.3553751E+03       0.6937785E+00       0.3830971E+00
  0.3555001E+03       0.6936357E+00       0.3831954E+00
  0.3556250E+03       0.6937101E+00       0.3831509E+00
  0.3557501E+03       0.6940672E+00       0.3826470E+00
  0.3558751E+03       0.6943604E+00       0.3821895E+00
  0.3560002E+03       0.6945711E+00       0.3817274E+00
  0.3561250E+03       0.6944869E+00       0.3816067E+00
  0.3562502E+03       0.6944015E+00       0.3815632E+00
  0.3563751E+03       0.6936868E+00       0.3822500E+00
  0.3565000E+03       0.6931475E+00       0.3830127E+00
  0.3566251E+03       0.6927851E+00       0.3834954E+00
  0.3567501E+03       0.6921529E+00       0.3843147E+00
  0.3568751E+03       0.6916640E+00       0.3850579E+00
  0.3570001E+03       0.6907469E+00       0.3861981E+00
  0.3571251E+03       0.6900204E+00       0.3872930E+00
  0.3572502E+03       0.6890156E+00       0.3887393E+00
  0.3573751E+03       0.6882789E+00       0.3899623E+00
  0.3575002E+03       0.6874315E+00       0.3912836E+00
  0.3576252E+03       0.6865068E+00       0.3927546E+00
  0.3577501E+03       0.6854801E+00       0.3944069E+00
  0.3578750E+03       0.6846651E+00       0.3958031E+00
  0.3580001E+03       0.6841562E+00       0.3968257E+00
  0.3581252E+03       0.6837952E+00       0.3976902E+00
  0.3582500E+03       0.6832208E+00       0.3987758E+00
  0.3583750E+03       0.6826876E+00       0.3998335E+00
  0.3585001E+03       0.6821877E+00       0.4008270E+00
  0.3586251E+03       0.6818739E+00       0.4016373E+00
  0.3587500E+03       0.6819029E+00       0.4019926E+00
  0.3588752E+03       0.6819196E+00       0.4022681E+00
  0.3590001E+03       0.6820393E+00       0.4024046E+00
  0.3591251E+03       0.6825578E+00       0.4020029E+00
  0.3592500E+03       0.6831062E+00       0.4014246E+00
  0.3593750E+03       0.6838273E+00       0.4005575E+00
  0.3595001E+03       0.6847901E+00       0.3992895E+00
  0.3596251E+03       0.6859661E+00       0.3976646E+00
  0.3597500E+03       0.6871471E+00       0.3958974E+00
  0.3598751E+03       0.6884012E+00       0.3939680E+00
  0.3600002E+03       0.6896381E+00       0.3919737E+00
  0.3600003E+03       0.6896400E+00       0.3919708E+00
  0.3601253E+03       0.6906956E+00       0.3901519E+00
  0.3602502E+03       0.6913155E+00       0.3888984E+00
  0.3603752E+03       0.6917594E+00       0.3879876E+00
  0.3605002E+03       0.6925012E+00       0.3867439E+00
  0.3606252E+03       0.6934049E+00       0.3852043E+00
  0.3607502E+03       0.6942701E+00       0.3836024E+00
  0.3608752E+03       0.6950438E+00       0.3821109E+00
  0.3610002E+03       0.6958979E+00       0.3806192E+00
  0.3611252E+03       0.6973100E+00       0.3783972E+00
  0.3612502E+03       0.6988603E+00       0.3757585E+00
  0.3613752E+03       0.6997724E+00       0.3737164E+00
  0.3615003E+03       0.7002001E+00       0.3724144E+00
  0.3616253E+03       0.7004501E+00       0.3715296E+00
  0.3617503E+03       0.7004451E+00       0.3711137E+00
  0.3618753E+03       0.7004781E+00       0.3708315E+00
  0.3620003E+03       0.7001494E+00       0.3710710E+00
  0.3621253E+03       0.6998800E+00       0.3712496E+00
  0.3622503E+03       0.6998490E+00       0.3711952E+00
  0.3623752E+03       0.6985909E+00       0.3726487E+00
  0.3625003E+03       0.6975871E+00       0.3742322E+00
  0.3626252E+03       0.6967113E+00       0.3756785E+00
  0.3627503E+03       0.6954395E+00       0.3775012E+00
  0.3628752E+03       0.6946836E+00       0.3788184E+00
  0.3630003E+03       0.6926813E+00       0.3814870E+00
  0.3631253E+03       0.6901824E+00       0.3852430E+00
  0.3632502E+03       0.6880658E+00       0.3889951E+00
  0.3633753E+03       0.6863338E+00       0.3922561E+00
  0.3635002E+03       0.6848667E+00       0.3951356E+00
  0.3636253E+03       0.6830277E+00       0.3983488E+00
  0.3637503E+03       0.6811860E+00       0.4017333E+00
  0.3638752E+03       0.6798108E+00       0.4046379E+00
  0.3640002E+03       0.6782704E+00       0.4076937E+00
  0.3641252E+03       0.6774725E+00       0.4098909E+00
  0.3642503E+03       0.6771703E+00       0.4113046E+00
  0.3643752E+03       0.6768400E+00       0.4124597E+00
  0.3645003E+03       0.6768643E+00       0.4132003E+00
  0.3646252E+03       0.6774365E+00       0.4130844E+00
  0.3647502E+03       0.6783773E+00       0.4122377E+00
  0.3648752E+03       0.6792877E+00       0.4111597E+00
  0.3650002E+03       0.6802183E+00       0.4099198E+00
  0.3651253E+03       0.6815517E+00       0.4081015E+00
  0.3652502E+03       0.6828386E+00       0.4061314E+00
  0.3653752E+03       0.6834624E+00       0.4048665E+00
  0.3655002E+03       0.6837792E+00       0.4041825E+00
  0.3656252E+03       0.6843708E+00       0.4032073E+00
  0.3657503E+03       0.6856671E+00       0.4012619E+00
  0.3658753E+03       0.6871868E+00       0.3987902E+00
  0.3660003E+03       0.6889948E+00       0.3958285E+00
  0.3661253E+03       0.6906502E+00       0.3928438E+00
  0.3662502E+03       0.6920799E+00       0.3901691E+00
  0.3663752E+03       0.6933198E+00       0.3877358E+00
  0.3665002E+03       0.6943273E+00       0.3855964E+00
  0.3666253E+03       0.6952395E+00       0.3836160E+00
  0.3667503E+03       0.6964436E+00       0.3812415E+00
  0.3668752E+03       0.6973463E+00       0.3791529E+00
  0.3670002E+03       0.6978051E+00       0.3776868E+00
  0.3671252E+03       0.6982759E+00       0.3763852E+00
  0.3672503E+03       0.6992928E+00       0.3745313E+00
  0.3673753E+03       0.7001821E+00       0.3727099E+00
  0.3675002E+03       0.7006177E+00       0.3713941E+00
  0.3676252E+03       0.7005082E+00       0.3709168E+00
  0.3677503E+03       0.6999351E+00       0.3712788E+00
  0.3678752E+03       0.6993005E+00       0.3719164E+00
  0.3680002E+03       0.6983618E+00       0.3730132E+00
  0.3681253E+03       0.6972486E+00       0.3745293E+00
  0.3682502E+03       0.6963953E+00       0.3758751E+00
  0.3683752E+03       0.6953866E+00       0.3772923E+00
  0.3685002E+03       0.6943654E+00       0.3790204E+00
  0.3686252E+03       0.6932588E+00       0.3806528E+00
  0.3687503E+03       0.6916578E+00       0.3831137E+00
  0.3688753E+03       0.6898766E+00       0.3860339E+00
  0.3690003E+03       0.6886774E+00       0.3883506E+00
  0.3691252E+03       0.6876736E+00       0.3902763E+00
  0.3692502E+03       0.6865723E+00       0.3922452E+00
  0.3693753E+03       0.6850978E+00       0.3945935E+00
  0.3695002E+03       0.6843709E+00       0.3962225E+00
