t     p     U
  0.3821252E+03       0.6825453E+00       0.4011867E+00
  0.3822503E+03       0.6821605E+00       0.4020490E+00
  0.3823752E+03       0.6823019E+00       0.4023381E+00
  0.3825002E+03       0.6823387E+00       0.4025861E+00
  0.3826252E+03       0.6828279E+00       0.4023208E+00
  0.3827502E+03       0.6835966E+00       0.4014890E+00
  0.3828753E+03       0.6844462E+00       0.4004068E+00
  0.3830003E+03       0.6853882E+00       0.3991462E+00
  0.3831252E+03       0.6866145E+00       0.3974462E+00
  0.3832503E+03       0.6873459E+00       0.3962930E+00
  0.3833753E+03       0.6883139E+00       0.3948264E+00
  0.3835002E+03       0.6889390E+00       0.3937468E+00
  0.3836252E+03       0.6895748E+00       0.3927179E+00
  0.3837503E+03       0.6905806E+00       0.3911696E+00
  0.3838752E+03       0.6917651E+00       0.3893168E+00
  0.3840003E+03       0.6924638E+00       0.3879311E+00
  0.3841252E+03       0.6931973E+00       0.3865853E+00
  0.3842503E+03       0.6938278E+00       0.3852940E+00
  0.3843752E+03       0.6943218E+00       0.3842181E+00
  0.3845002E+03       0.6944807E+00       0.3835842E+00
  0.3846252E+03       0.6945684E+00       0.3831848E+00
  0.3847502E+03       0.6947770E+00       0.3826571E+00
  0.3848752E+03       0.6951287E+00       0.3819375E+00
  0.3850003E+03       0.6954465E+00       0.3812572E+00
  0.3851252E+03       0.6956014E+00       0.3806857E+00
  0.3852503E+03       0.6954359E+00       0.3805694E+00
  0.3853752E+03       0.6954743E+00       0.3802803E+00
  0.3855003E+03       0.6955982E+00       0.3799247E+00
  0.3856252E+03       0.6958512E+00       0.3793246E+00
  0.3857502E+03       0.6960725E+00       0.3786797E+00
  0.3858753E+03       0.6957121E+00       0.3787455E+00
  0.3860002E+03       0.6949511E+00       0.3795320E+00
  0.3861252E+03       0.6949775E+00       0.3795872E+00
  0.3862502E+03       0.6941055E+00       0.3804474E+00
  0.3863752E+03       0.6934978E+00       0.3810264E+00
  0.3865002E+03       0.6926100E+00       0.3820426E+00
  0.3866252E+03       0.6913632E+00       0.3836638E+00
  0.3867502E+03       0.6903635E+00       0.3852147E+00
  0.3868753E+03       0.6893297E+00       0.3868100E+00
  0.3870002E+03       0.6880974E+00       0.3887770E+00
  0.3871253E+03       0.6870751E+00       0.3905514E+00
  0.3872502E+03       0.6860657E+00       0.3923469E+00
  0.3873753E+03       0.6853221E+00       0.3938893E+00
  0.3875002E+03       0.6849954E+00       0.3948607E+00
  0.3876252E+03       0.6845832E+00       0.3957683E+00
  0.3877502E+03       0.6842963E+00       0.3964815E+00
  0.3878752E+03       0.6843199E+00       0.3968092E+00
  0.3880002E+03       0.6840701E+00       0.3973598E+00
  0.3881252E+03       0.6838218E+00       0.3979634E+00
  0.3882503E+03       0.6837634E+00       0.3983774E+00
  0.3883753E+03       0.6842157E+00       0.3981026E+00
  0.3885002E+03       0.6848724E+00       0.3974114E+00
  0.3886252E+03       0.6853390E+00       0.3968715E+00
  0.3887502E+03       0.6860986E+00       0.3959704E+00
  0.3888753E+03       0.6867380E+00       0.3950588E+00
  0.3890002E+03       0.6872101E+00       0.3943708E+00
  0.3891253E+03       0.6876518E+00       0.3937333E+00
  0.3892502E+03       0.6880605E+00       0.3931878E+00
  0.3893753E+03       0.6890485E+00       0.3919084E+00
  0.3895002E+03       0.6904831E+00       0.3898569E+00
  0.3896253E+03       0.6912016E+00       0.3884950E+00
  0.3897502E+03       0.6918736E+00       0.3873290E+00
  0.3898753E+03       0.6921070E+00       0.3866686E+00
  0.3900002E+03       0.6922125E+00       0.3863343E+00
  0.3901253E+03       0.6925018E+00       0.3858614E+00
  0.3902502E+03       0.6927388E+00       0.3854208E+00
  0.3903752E+03       0.6929783E+00       0.3849267E+00
  0.3905003E+03       0.6932902E+00       0.3843887E+00
  0.3906253E+03       0.6937522E+00       0.3835763E+00
  0.3907503E+03       0.6939899E+00       0.3830300E+00
  0.3908752E+03       0.6936378E+00       0.3832094E+00
  0.3910002E+03       0.6935444E+00       0.3832651E+00
  0.3911252E+03       0.6932442E+00       0.3835939E+00
  0.3912502E+03       0.6928616E+00       0.3840830E+00
  0.3913752E+03       0.6926751E+00       0.3844040E+00
  0.3915002E+03       0.6924906E+00       0.3846509E+00
  0.3916252E+03       0.6921193E+00       0.3850380E+00
  0.3917502E+03       0.6912903E+00       0.3861124E+00
  0.3918753E+03       0.6905297E+00       0.3873255E+00
  0.3920003E+03       0.6899053E+00       0.3884130E+00
  0.3921252E+03       0.6894073E+00       0.3891630E+00
  0.3922502E+03       0.6888888E+00       0.3899838E+00
  0.3923752E+03       0.6882972E+00       0.3908766E+00
  0.3925003E+03       0.6876768E+00       0.3918315E+00
  0.3926253E+03       0.6871967E+00       0.3926239E+00
  0.3927502E+03       0.6863551E+00       0.3938345E+00
  0.3928752E+03       0.6856675E+00       0.3949552E+00
  0.3930003E+03       0.6847101E+00       0.3964592E+00
  0.3931252E+03       0.6846346E+00       0.3969393E+00
  0.3932502E+03       0.6849061E+00       0.3967352E+00
  0.3933752E+03       0.6846566E+00       0.3970004E+00
  0.3935003E+03       0.6847054E+00       0.3970660E+00
  0.3936253E+03       0.6840577E+00       0.3978101E+00
  0.3937502E+03       0.6834373E+00       0.3988121E+00
  0.3938752E+03       0.6831349E+00       0.3994739E+00
  0.3940002E+03       0.6833021E+00       0.3995160E+00
  0.3941252E+03       0.6834723E+00       0.3995153E+00
  0.3942502E+03       0.6842071E+00       0.3987423E+00
  0.3943752E+03       0.6848773E+00       0.3979473E+00
  0.3945002E+03       0.6856098E+00       0.3969529E+00
  0.3946253E+03       0.6865703E+00       0.3956783E+00
  0.3947502E+03       0.6872017E+00       0.3947138E+00
  0.3948752E+03       0.6877782E+00       0.3939334E+00
  0.3950002E+03       0.6893218E+00       0.3919590E+00
  0.3951252E+03       0.6903403E+00       0.3902544E+00
  0.3952502E+03       0.6909529E+00       0.3891564E+00
  0.3953752E+03       0.6916137E+00       0.3880787E+00
  0.3955002E+03       0.6924367E+00       0.3868078E+00
  0.3956252E+03       0.6933807E+00       0.3853694E+00
  0.3957502E+03       0.6939684E+00       0.3841414E+00
  0.3958752E+03       0.6937811E+00       0.3840332E+00
  0.3960003E+03       0.6937057E+00       0.3839434E+00
  0.3961252E+03       0.6936387E+00       0.3839324E+00
  0.3962503E+03       0.6939754E+00       0.3834780E+00
  0.3963753E+03       0.6944979E+00       0.3827814E+00
  0.3965002E+03       0.6954349E+00       0.3813089E+00
  0.3966252E+03       0.6961822E+00       0.3798434E+00
  0.3967502E+03       0.6968251E+00       0.3785414E+00
  0.3968752E+03       0.6972826E+00       0.3773707E+00
  0.3970003E+03       0.6976518E+00       0.3763222E+00
  0.3971252E+03       0.6978190E+00       0.3755006E+00
  0.3972503E+03       0.6971798E+00       0.3757854E+00
  0.3973752E+03       0.6966029E+00       0.3762726E+00
  0.3975003E+03       0.6959627E+00       0.3769556E+00
  0.3976253E+03       0.6956427E+00       0.3773095E+00
  0.3977502E+03       0.6950496E+00       0.3779094E+00
  0.3978752E+03       0.6945515E+00       0.3785384E+00
  0.3980003E+03       0.6942122E+00       0.3790625E+00
  0.3981253E+03       0.6934706E+00       0.3799537E+00
  0.3982503E+03       0.6928368E+00       0.3808726E+00
  0.3983752E+03       0.6923490E+00       0.3815897E+00
  0.3985003E+03       0.6914995E+00       0.3826816E+00
  0.3986253E+03       0.6903071E+00       0.3842954E+00
  0.3987503E+03       0.6894572E+00       0.3857795E+00
  0.3988753E+03       0.6885634E+00       0.3873542E+00
  0.3990003E+03       0.6882047E+00       0.3883388E+00
  0.3991253E+03       0.6879066E+00       0.3890690E+00
  0.3992503E+03       0.6876132E+00       0.3897449E+00
  0.3993752E+03       0.6873428E+00       0.3903922E+00
  0.3995002E+03       0.6871657E+00       0.3909135E+00
  0.3996253E+03       0.6869130E+00       0.3914179E+00
  0.3997502E+03       0.6869967E+00       0.3915839E+00
  0.3998753E+03       0.6868359E+00       0.3919720E+00
