x0	avg	
-0.09460 	 -0.82806 	 
-0.09680 	 -0.82578 	 
-0.09493 	 -0.82760 	 
-0.09900 	 -0.82464 	 
-0.09817 	 -0.82497 	 
-0.10120 	 -0.82223 	 
-0.10095 	 -0.82253 	 
-0.10340 	 -0.81925 	 
-0.10560 	 -0.81827 	 
-0.10343 	 -0.81922 	 
-0.10780 	 -0.81752 	 
-0.10571 	 -0.81824 	 
-0.11000 	 -0.81564 	 
-0.10995 	 -0.81573 	 
-0.10787 	 -0.81752 	 
-0.11220 	 -0.81254 	 
-0.11198 	 -0.81312 	 
-0.11440 	 -0.80903 	 
-0.11399 	 -0.80998 	 
-0.11660 	 -0.80506 	 
-0.11600 	 -0.80627 	 
-0.11880 	 -0.80125 	 
-0.11805 	 -0.80244 	 
-0.12100 	 -0.79956 	 
-0.12017 	 -0.80003 	 
-0.12320 	 -0.80046 	 
-0.12242 	 -0.80015 	 
-0.12540 	 -0.80165 	 
-0.12488 	 -0.80142 	 
-0.12760 	 -0.80093 	 
-0.12980 	 -0.79869 	 
-0.12772 	 -0.80078 	 
-0.13200 	 -0.79592 	 
-0.13160 	 -0.79632 	 
-0.13420 	 -0.79435 	 
-0.13640 	 -0.79432 	 
-0.13860 	 -0.79578 	 
-0.14080 	 -0.79716 	 
-0.14300 	 -0.79633 	 
-0.14340 	 -0.79578 	 
-0.14520 	 -0.79268 	 
-0.14728 	 -0.78856 	 
-0.14740 	 -0.78829 	 
-0.14960 	 -0.78444 	 
-0.15012 	 -0.78387 	 
-0.15180 	 -0.78148 	 
-0.15258 	 -0.78066 	 
-0.15400 	 -0.77919 	 
-0.15483 	 -0.77821 	 
-0.15620 	 -0.77724 	 
-0.15695 	 -0.77634 	 
-0.15840 	 -0.77561 	 
-0.15900 	 -0.77502 	 
-0.16060 	 -0.77466 	 
-0.16101 	 -0.77427 	 
-0.16280 	 -0.77373 	 
-0.16302 	 -0.77346 	 
-0.16500 	 -0.77211 	 
