x0	T1	x1	T2	x2	T3	x3	avg	
0.33841 	 -0.53623 	0.33841 	 -0.51828 	0.33841 	 -0.53694 	0.33841 	 -0.53048 	 
0.34216 	 -0.53692 	0.34216 	 -0.51770 	0.34216 	 -0.53508 	0.34216 	 -0.52990 	 
0.34586 	 -0.53604 	0.34586 	 -0.51776 	0.34586 	 -0.53222 	0.34586 	 -0.52867 	 
0.34952 	 -0.53457 	0.34952 	 -0.51788 	0.34952 	 -0.52881 	0.34952 	 -0.52709 	 
0.35313 	 -0.53270 	0.35313 	 -0.51711 	0.35313 	 -0.52503 	0.35313 	 -0.52495 	 
0.35669 	 -0.52985 	0.35669 	 -0.51555 	0.35669 	 -0.52082 	0.35669 	 -0.52207 	 
0.36022 	 -0.52646 	0.36022 	 -0.51414 	0.36022 	 -0.51604 	0.36022 	 -0.51888 	 
0.36369 	 -0.52384 	0.36369 	 -0.51343 	0.36369 	 -0.51003 	0.36369 	 -0.51577 	 
0.36712 	 -0.52326 	0.36712 	 -0.51363 	0.36712 	 -0.50402 	0.36712 	 -0.51364 	 
0.37051 	 -0.52529 	0.37051 	 -0.51479 	0.37051 	 -0.50667 	0.37051 	 -0.51558 	 
0.37385 	 -0.52966 	0.37385 	 -0.51617 	0.37385 	 -0.52151 	0.37385 	 -0.52245 	 
0.37714 	 -0.53507 	0.37714 	 -0.51684 	0.37714 	 -0.53412 	0.37714 	 -0.52867 	 
0.38038 	 -0.53780 	0.38038 	 -0.51667 	0.38038 	 -0.53411 	0.38038 	 -0.52952 	 
0.38358 	 -0.53489 	0.38358 	 -0.51601 	0.38358 	 -0.52863 	0.38358 	 -0.52651 	 
0.38673 	 -0.52863 	0.38673 	 -0.51526 	0.38673 	 -0.52440 	0.38673 	 -0.52277 	 
0.38983 	 -0.52321 	0.38983 	 -0.51446 	0.38983 	 -0.52114 	0.38983 	 -0.51960 	 
0.39289 	 -0.51999 	0.39289 	 -0.51345 	0.39289 	 -0.51797 	0.39289 	 -0.51714 	 
0.39590 	 -0.51858 	0.39590 	 -0.51255 	0.39590 	 -0.51404 	0.39590 	 -0.51506 	 
0.39886 	 -0.51863 	0.39886 	 -0.51207 	0.39886 	 -0.50958 	0.39886 	 -0.51343 	 
0.40177 	 -0.51940 	0.40177 	 -0.51169 	0.40177 	 -0.50635 	0.40177 	 -0.51248 	 
0.40463 	 -0.51936 	0.40463 	 -0.51103 	0.40463 	 -0.50489 	0.40463 	 -0.51176 	 
0.40745 	 -0.51708 	0.40745 	 -0.51008 	0.40745 	 -0.50580 	0.40745 	 -0.51099 	 
0.41021 	 -0.51279 	0.41021 	 -0.50911 	0.41021 	 -0.50971 	0.41021 	 -0.51054 	 
0.41293 	 -0.50841 	0.41293 	 -0.50853 	0.41293 	 -0.51358 	0.41293 	 -0.51017 	 
0.41560 	 -0.50546 	0.41560 	 -0.50873 	0.41560 	 -0.51376 	0.41560 	 -0.50932 	 
0.41822 	 -0.50374 	0.41822 	 -0.51004 	0.41822 	 -0.51127 	0.41822 	 -0.50835 	 
0.42079 	 -0.50219 	0.42079 	 -0.51225 	0.42079 	 -0.50871 	0.42079 	 -0.50772 	 
0.42332 	 -0.50048 	0.42332 	 -0.51402 	0.42332 	 -0.50766 	0.42332 	 -0.50739 	 
0.42579 	 -0.49874 	0.42579 	 -0.51384 	0.42579 	 -0.50863 	0.42579 	 -0.50707 	 
0.42822 	 -0.49677 	0.42822 	 -0.51148 	0.42822 	 -0.50983 	0.42822 	 -0.50603 	 
0.43060 	 -0.49440 	0.43060 	 -0.50826 	0.43060 	 -0.50978 	0.43060 	 -0.50415 	 
0.43293 	 -0.49213 	0.43293 	 -0.50550 	0.43293 	 -0.50951 	0.43293 	 -0.50238 	 
0.43521 	 -0.49105 	0.43521 	 -0.50356 	0.43521 	 -0.50970 	0.43521 	 -0.50143 	 
0.43745 	 -0.49157 	0.43745 	 -0.50276 	0.43745 	 -0.50981 	0.43745 	 -0.50138 	 
0.43963 	 -0.49285 	0.43963 	 -0.50320 	0.43963 	 -0.50989 	0.43963 	 -0.50198 	 
0.44177 	 -0.49392 	0.44177 	 -0.50397 	0.44177 	 -0.51020 	0.44177 	 -0.50270 	 
0.44386 	 -0.49472 	0.44386 	 -0.50422 	0.44386 	 -0.51013 	0.44386 	 -0.50303 	 
0.44591 	 -0.49583 	0.44591 	 -0.50403 	0.44591 	 -0.50904 	0.44591 	 -0.50296 	 
0.44790 	 -0.49756 	0.44790 	 -0.50397 	0.44790 	 -0.50717 	0.44790 	 -0.50290 	 
0.44985 	 -0.49937 	0.44985 	 -0.50435 	0.44985 	 -0.50510 	0.44985 	 -0.50294 	 
0.45176 	 -0.50039 	0.45176 	 -0.50482 	0.45176 	 -0.50312 	0.45176 	 -0.50278 	 
0.45361 	 -0.50034 	0.45361 	 -0.50503 	0.45361 	 -0.50130 	0.45361 	 -0.50222 	 
0.45542 	 -0.49948 	0.45542 	 -0.50512 	0.45542 	 -0.49963 	0.45542 	 -0.50141 	 
0.45719 	 -0.49804 	0.45719 	 -0.50539 	0.45719 	 -0.49812 	0.45719 	 -0.50051 	 
0.45890 	 -0.49614 	0.45890 	 -0.50577 	0.45890 	 -0.49677 	0.45890 	 -0.49956 	 
0.46058 	 -0.49421 	0.46058 	 -0.50597 	0.46058 	 -0.49571 	0.46058 	 -0.49863 	 
0.46221 	 -0.49275 	0.46221 	 -0.50593 	0.46221 	 -0.49513 	0.46221 	 -0.49794 	 
0.46379 	 -0.49179 	0.46379 	 -0.50572 	0.46379 	 -0.49513 	0.46379 	 -0.49755 	 
0.46533 	 -0.49107 	0.46533 	 -0.50541 	0.46533 	 -0.49568 	0.46533 	 -0.49739 	 
0.46683 	 -0.49049 	0.46683 	 -0.50510 	0.46683 	 -0.49660 	0.46683 	 -0.49739 	 
0.46828 	 -0.49013 	0.46828 	 -0.50489 	0.46828 	 -0.49765 	0.46828 	 -0.49756 	 
0.46969 	 -0.49018 	0.46969 	 -0.50486 	0.46969 	 -0.49862 	0.46969 	 -0.49789 	 
0.47106 	 -0.49095 	0.47106 	 -0.50503 	0.47106 	 -0.49933 	0.47106 	 -0.49844 	 
0.47239 	 -0.49287 	0.47239 	 -0.50539 	0.47239 	 -0.49970 	0.47239 	 -0.49932 	 
0.47367 	 -0.49595 	0.47367 	 -0.50586 	0.47367 	 -0.49981 	0.47367 	 -0.50054 	 
0.47492 	 -0.49909 	0.47492 	 -0.50640 	0.47492 	 -0.49986 	0.47492 	 -0.50179 	 
0.47613 	 -0.50046 	0.47613 	 -0.50694 	0.47613 	 -0.50009 	0.47613 	 -0.50249 	 
0.47729 	 -0.49939 	0.47729 	 -0.50738 	0.47729 	 -0.50060 	0.47729 	 -0.50246 	 
0.47842 	 -0.49712 	0.47842 	 -0.50770 	0.47842 	 -0.50123 	0.47842 	 -0.50202 	 
0.47951 	 -0.49504 	0.47951 	 -0.50786 	0.47951 	 -0.50171 	0.47951 	 -0.50154 	 
0.48056 	 -0.49378 	0.48056 	 -0.50787 	0.48056 	 -0.50186 	0.48056 	 -0.50117 	 
0.48158 	 -0.49349 	0.48158 	 -0.50776 	0.48158 	 -0.50162 	0.48158 	 -0.50096 	 
0.48256 	 -0.49381 	0.48256 	 -0.50758 	0.48256 	 -0.50103 	0.48256 	 -0.50081 	 
0.48350 	 -0.49414 	0.48350 	 -0.50739 	0.48350 	 -0.50017 	0.48350 	 -0.50057 	 
0.48441 	 -0.49423 	0.48441 	 -0.50723 	0.48441 	 -0.49913 	0.48441 	 -0.50020 	 
0.48529 	 -0.49411 	0.48529 	 -0.50709 	0.48529 	 -0.49800 	0.48529 	 -0.49973 	 
0.48614 	 -0.49377 	0.48614 	 -0.50700 	0.48614 	 -0.49684 	0.48614 	 -0.49920 	 
0.48695 	 -0.49326 	0.48695 	 -0.50694 	0.48695 	 -0.49571 	0.48695 	 -0.49864 	 
0.48773 	 -0.49271 	0.48773 	 -0.50690 	0.48773 	 -0.49466 	0.48773 	 -0.49809 	 
0.48849 	 -0.49219 	0.48849 	 -0.50689 	0.48849 	 -0.49375 	0.48849 	 -0.49761 	 
0.48921 	 -0.49157 	0.48921 	 -0.50689 	0.48921 	 -0.49297 	0.48921 	 -0.49714 	 
0.48990 	 -0.49060 	0.48990 	 -0.50692 	0.48990 	 -0.49225 	0.48990 	 -0.49659 	 
0.49057 	 -0.48900 	0.49057 	 -0.50696 	0.49057 	 -0.49149 	0.49057 	 -0.49582 	 
0.49121 	 -0.48690 	0.49121 	 -0.50706 	0.49121 	 -0.49078 	0.49121 	 -0.49491 	 
0.49183 	 -0.48460 	0.49183 	 -0.50722 	0.49183 	 -0.49022 	0.49183 	 -0.49401 	 
0.49242 	 -0.48228 	0.49242 	 -0.50739 	0.49242 	 -0.48982 	0.49242 	 -0.49316 	 
0.49299 	 -0.48009 	0.49299 	 -0.50766 	0.49299 	 -0.48962 	0.49299 	 -0.49246 	 
0.49354 	 -0.47794 	0.49354 	 -0.50790 	0.49354 	 -0.48939 	0.49354 	 -0.49174 	 
0.49407 	 -0.47601 	0.49407 	 -0.50829 	0.49407 	 -0.48930 	0.49407 	 -0.49120 	 
0.49458 	 -0.47408 	0.49458 	 -0.50860 	0.49458 	 -0.48904 	0.49458 	 -0.49057 	 
0.49507 	 -0.47238 	0.49507 	 -0.50902 	0.49507 	 -0.48877 	0.49507 	 -0.49006 	 
0.49554 	 -0.47075 	0.49554 	 -0.50946 	0.49554 	 -0.48844 	0.49554 	 -0.48955 	 
0.49600 	 -0.46906 	0.49600 	 -0.50978 	0.49600 	 -0.48793 	0.49600 	 -0.48892 	 
0.49644 	 -0.46758 	0.49644 	 -0.51039 	0.49644 	 -0.48771 	0.49644 	 -0.48856 	 
0.49687 	 -0.46556 	0.49687 	 -0.51053 	0.49687 	 -0.48699 	0.49687 	 -0.48769 	 
0.49729 	 -0.46390 	0.49729 	 -0.51122 	0.49729 	 -0.48688 	0.49729 	 -0.48733 	 
0.49769 	 -0.46162 	0.49769 	 -0.51141 	0.49769 	 -0.48629 	0.49769 	 -0.48644 	 
0.49809 	 -0.45946 	0.49809 	 -0.51172 	0.49809 	 -0.48581 	0.49809 	 -0.48566 	 
0.49848 	 -0.45783 	0.49848 	 -0.51267 	0.49848 	 -0.48617 	0.49848 	 -0.48556 	 
0.49887 	 -0.45498 	0.49887 	 -0.51184 	0.49887 	 -0.48446 	0.49887 	 -0.48376 	 
0.49925 	 -0.45602 	0.49925 	 -0.51613 	0.49925 	 -0.48778 	0.49925 	 -0.48664 	 
0.49962 	 -0.45506 	0.49962 	 -0.51597 	0.49962 	 -0.48671 	0.49962 	 -0.48592 	 
0.50000 	 -0.46410 	0.50000 	 -0.52050 	0.50000 	 -0.48903 	0.50000 	 -0.49121 	 
