x0	T1	x1	T2	x2	T3	x3	avg	
-0.42930 	 -1.46778 	-0.42930 	 -1.51314 	-0.42930 	 -0.86016 	-0.42930 	 -1.28036 	 
-0.42739 	 -1.46799 	-0.42739 	 -1.50885 	-0.42739 	 -0.86335 	-0.42739 	 -1.28006 	 
-0.42544 	 -1.45949 	-0.42544 	 -1.49572 	-0.42544 	 -0.86507 	-0.42544 	 -1.27343 	 
-0.42345 	 -1.45027 	-0.42345 	 -1.48211 	-0.42345 	 -0.86672 	-0.42345 	 -1.26637 	 
-0.42142 	 -1.45337 	-0.42142 	 -1.47518 	-0.42142 	 -0.87306 	-0.42142 	 -1.26720 	 
-0.41934 	 -1.46368 	-0.41934 	 -1.48264 	-0.41934 	 -0.88464 	-0.41934 	 -1.27699 	 
-0.41722 	 -1.46365 	-0.41722 	 -1.46628 	-0.41722 	 -0.89489 	-0.41722 	 -1.27494 	 
-0.41506 	 -1.44990 	-0.41506 	 -1.40881 	-0.41506 	 -0.89861 	-0.41506 	 -1.25244 	 
-0.41285 	 -1.40944 	-0.41285 	 -1.40458 	-0.41285 	 -0.89824 	-0.41285 	 -1.23742 	 
-0.41060 	 -1.39871 	-0.41060 	 -1.43313 	-0.41060 	 -0.89925 	-0.41060 	 -1.24370 	 
-0.40831 	 -1.46207 	-0.40831 	 -1.39799 	-0.40831 	 -0.90309 	-0.40831 	 -1.25438 	 
-0.40597 	 -1.43671 	-0.40597 	 -1.35317 	-0.40597 	 -0.90632 	-0.40597 	 -1.23207 	 
-0.40358 	 -1.31095 	-0.40358 	 -1.33190 	-0.40358 	 -0.90572 	-0.40358 	 -1.18286 	 
-0.40116 	 -1.29547 	-0.40116 	 -1.30964 	-0.40116 	 -0.90376 	-0.40116 	 -1.16962 	 
-0.39868 	 -1.32119 	-0.39868 	 -1.28041 	-0.39868 	 -0.90460 	-0.39868 	 -1.16874 	 
-0.39617 	 -1.23627 	-0.39617 	 -1.28016 	-0.39617 	 -0.90548 	-0.39617 	 -1.14064 	 
-0.39360 	 -1.07005 	-0.39360 	 -1.32557 	-0.39360 	 -0.90380 	-0.39360 	 -1.09981 	 
-0.39100 	 -0.94697 	-0.39100 	 -1.31926 	-0.39100 	 -0.90716 	-0.39100 	 -1.05780 	 
-0.38834 	 -0.94085 	-0.38834 	 -1.22753 	-0.38834 	 -0.92152 	-0.38834 	 -1.02997 	 
-0.38565 	 -0.94785 	-0.38565 	 -1.14984 	-0.38565 	 -0.93977 	-0.38565 	 -1.01249 	 
-0.38290 	 -0.91692 	-0.38290 	 -1.12739 	-0.38290 	 -0.95385 	-0.38290 	 -0.99938 	 
-0.38011 	 -0.94309 	-0.38011 	 -1.11342 	-0.38011 	 -0.96534 	-0.38011 	 -1.00728 	 
-0.37728 	 -1.10089 	-0.37728 	 -1.11178 	-0.37728 	 -0.97741 	-0.37728 	 -1.06336 	 
