"Density" "Momentum:0" "Momentum:1" "Momentum:2" "StagnationEnergy" "Pressure" "Points:0" "Points:1" "Points:2" "Density" "Momentum:0" "Momentum:1" "Momentum:2" "StagnationEnergy" "Pressure" "Points:0" "Points:1" "Points:2"
7.18446e-03 3.51625e-04 2.20583e-05 -3.84319e-04 -9.25635e-01 -3.70261e-01 -4.34413e-01 7.32621e-02 1.21000e-01 7.18446e-03 3.51625e-04 2.20583e-05 -3.84319e-04 -9.25635e-01 -3.70261e-01 -4.34413e-01 7.32621e-02 1.21000e-01
9.86024e-03 4.82904e-04 3.71268e-05 -4.71904e-04 -9.31623e-01 -3.72658e-01 -4.32822e-01 7.31924e-02 1.18800e-01 9.86024e-03 4.82904e-04 3.71268e-05 -4.71904e-04 -9.31623e-01 -3.72658e-01 -4.32822e-01 7.31924e-02 1.18800e-01
8.99351e-03 4.58480e-04 -6.73352e-06 -5.25481e-04 -1.02767e+00 -4.11080e-01 -4.31117e-01 7.31178e-02 1.16600e-01 8.99351e-03 4.58480e-04 -6.73352e-06 -5.25481e-04 -1.02767e+00 -4.11080e-01 -4.31117e-01 7.31178e-02 1.16600e-01
2.93381e-03 2.03326e-04 -1.39623e-04 -5.94371e-04 -1.20595e+00 -4.82409e-01 -4.29324e-01 7.30393e-02 1.14400e-01 2.93381e-03 2.03326e-04 -1.39623e-04 -5.94371e-04 -1.20595e+00 -4.82409e-01 -4.29324e-01 7.30393e-02 1.14400e-01
-1.84647e-03 -5.83950e-07 -2.41959e-04 -6.82357e-04 -1.34792e+00 -5.39110e-01 -4.27472e-01 7.29583e-02 1.12200e-01 -1.84647e-03 -5.83950e-07 -2.41959e-04 -6.82357e-04 -1.34792e+00 -5.39110e-01 -4.27472e-01 7.29583e-02 1.12200e-01
-1.53827e-03 3.75079e-06 -2.12982e-04 -5.82949e-04 -1.39386e+00 -5.57492e-01 -4.25591e-01 7.28760e-02 1.10000e-01 -1.53827e-03 3.75079e-06 -2.12982e-04 -5.82949e-04 -1.39386e+00 -5.57492e-01 -4.25591e-01 7.28760e-02 1.10000e-01
-9.33781e-05 5.09904e-05 -1.44652e-04 -4.19281e-04 -1.37018e+00 -5.47645e-01 -4.23709e-01 7.27936e-02 1.07800e-01 -9.33781e-05 5.09904e-05 -1.44652e-04 -4.19281e-04 -1.37018e+00 -5.47645e-01 -4.23709e-01 7.27936e-02 1.07800e-01
3.01867e-04 6.12983e-05 -1.19450e-04 -4.20060e-04 -1.35113e+00 -5.40582e-01 -4.21857e-01 7.27125e-02 1.05600e-01 3.01867e-04 6.12983e-05 -1.19450e-04 -4.20060e-04 -1.35113e+00 -5.40582e-01 -4.21857e-01 7.27125e-02 1.05600e-01
2.76056e-03 1.64790e-04 -6.53942e-05 -3.88428e-04 -1.38043e+00 -5.52185e-01 -4.20063e-01 7.26340e-02 1.03400e-01 2.76056e-03 1.64790e-04 -6.53942e-05 -3.88428e-04 -1.38043e+00 -5.52185e-01 -4.20063e-01 7.26340e-02 1.03400e-01
6.26578e-03 3.04485e-04 2.81640e-05 -3.02900e-04 -1.37432e+00 -5.49733e-01 -4.18356e-01 7.25594e-02 1.01200e-01 6.26578e-03 3.04485e-04 2.81640e-05 -3.02900e-04 -1.37432e+00 -5.49733e-01 -4.18356e-01 7.25594e-02 1.01200e-01
