"Result"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"Density"	"StagnationEnergy"	"Pressure"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
-2.39633e+00	-1.55203e-02	-1.04722e-02	4.20840e-05	7.31672e-01	5.22579e-01	2.08927e-01	1	5.30000e-02	-4.50000e-01	5.30000e-02	-8.25000e-02
-2.39499e+00	-2.99095e-02	-2.02209e-02	3.94397e-04	7.31891e-01	5.22686e-01	2.08718e-01	1	5.40000e-02	-4.50000e-01	5.40000e-02	-8.25000e-02
-2.39373e+00	-8.32821e-03	-1.95318e-03	3.80656e-04	7.31830e-01	5.22787e-01	2.09065e-01	1	5.50000e-02	-4.50000e-01	5.50000e-02	-8.25000e-02
-2.39239e+00	6.39766e-02	5.98294e-02	2.73179e-04	7.32762e-01	5.22895e-01	2.06721e-01	1	5.60000e-02	-4.50000e-01	5.60000e-02	-8.25000e-02
-2.39025e+00	1.89289e-01	1.68427e-01	2.28383e-04	7.38745e-01	5.23065e-01	1.91474e-01	1	5.70000e-02	-4.50000e-01	5.70000e-02	-8.25000e-02
-2.38486e+00	3.37746e-01	2.97868e-01	1.66467e-04	7.54453e-01	5.23497e-01	1.55076e-01	1	5.80000e-02	-4.50000e-01	5.80000e-02	-8.25000e-02
-2.37388e+00	4.59380e-01	4.02137e-01	1.17308e-04	7.75757e-01	5.24375e-01	1.13281e-01	1	5.90000e-02	-4.50000e-01	5.90000e-02	-8.25000e-02
-2.35758e+00	5.32578e-01	4.60220e-01	9.09998e-05	7.92922e-01	5.25679e-01	8.52258e-02	1	6.00000e-02	-4.50000e-01	6.00000e-02	-8.25000e-02
-2.33818e+00	5.67702e-01	4.82432e-01	7.97413e-05	8.02310e-01	5.27231e-01	7.25205e-02	1	6.10000e-02	-4.50000e-01	6.10000e-02	-8.25000e-02
-2.31768e+00	5.80946e-01	4.84780e-01	7.50496e-05	8.06331e-01	5.28872e-01	6.95320e-02	1	6.20000e-02	-4.50000e-01	6.20000e-02	-8.25000e-02
-2.29731e+00	5.84969e-01	4.79327e-01	7.32470e-05	8.08465e-01	5.30501e-01	7.06983e-02	1	6.30000e-02	-4.50000e-01	6.30000e-02	-8.25000e-02
-2.27745e+00	5.85936e-01	4.71649e-01	7.24408e-05	8.10055e-01	5.32090e-01	7.31364e-02	1	6.40000e-02	-4.50000e-01	6.40000e-02	-8.25000e-02
-2.25815e+00	5.86977e-01	4.64429e-01	7.20205e-05	8.11631e-01	5.33634e-01	7.53912e-02	1	6.50000e-02	-4.50000e-01	6.50000e-02	-8.25000e-02
-2.23930e+00	5.88882e-01	4.58240e-01	7.20349e-05	8.13296e-01	5.35141e-01	7.71313e-02	1	6.60000e-02	-4.50000e-01	6.60000e-02	-8.25000e-02
-2.22076e+00	5.91122e-01	4.52576e-01	7.27541e-05	8.14979e-01	5.36625e-01	7.86250e-02	1	6.70000e-02	-4.50000e-01	6.70000e-02	-8.25000e-02
-2.20256e+00	5.93049e-01	4.46932e-01	7.39097e-05	8.16601e-01	5.38081e-01	8.01631e-02	1	6.80000e-02	-4.50000e-01	6.80000e-02	-8.25000e-02
-2.18474e+00	5.94287e-01	4.41056e-01	7.56458e-05	8.18132e-01	5.39507e-01	8.19024e-02	1	6.90000e-02	-4.50000e-01	6.90000e-02	-8.25000e-02
-2.16725e+00	5.95063e-01	4.35105e-01	7.77959e-05	8.19608e-01	5.40906e-01	8.37512e-02	1	7.00000e-02	-4.50000e-01	7.00000e-02	-8.25000e-02
-2.15004e+00	5.95723e-01	4.29336e-01	7.99486e-05	8.21071e-01	5.42283e-01	8.55611e-02	1	7.10000e-02	-4.50000e-01	7.10000e-02	-8.25000e-02
-2.13314e+00	5.96554e-01	4.23946e-01	8.19002e-05	8.22532e-01	5.43634e-01	8.72128e-02	1	7.20000e-02	-4.50000e-01	7.20000e-02	-8.25000e-02
-2.11654e+00	5.97618e-01	4.18945e-01	8.35813e-05	8.23988e-01	5.44962e-01	8.86898e-02	1	7.30000e-02	-4.50000e-01	7.30000e-02	-8.25000e-02
-2.10021e+00	5.98784e-01	4.14210e-01	8.50249e-05	8.25425e-01	5.46269e-01	9.00566e-02	1	7.40000e-02	-4.50000e-01	7.40000e-02	-8.25000e-02
-2.08407e+00	5.99820e-01	4.09562e-01	8.50519e-05	8.26834e-01	5.47560e-01	9.14173e-02	1	7.50000e-02	-4.50000e-01	7.50000e-02	-8.25000e-02
-2.06818e+00	6.00572e-01	4.04897e-01	8.45651e-05	8.28203e-01	5.48831e-01	9.28356e-02	1	7.60000e-02	-4.50000e-01	7.60000e-02	-8.25000e-02
-2.05257e+00	6.01023e-01	4.00213e-01	8.37732e-05	8.29537e-01	5.50080e-01	9.43176e-02	1	7.70000e-02	-4.50000e-01	7.70000e-02	-8.25000e-02
-2.03723e+00	6.01268e-01	3.95579e-01	8.26732e-05	8.30845e-01	5.51307e-01	9.58241e-02	1	7.80000e-02	-4.50000e-01	7.80000e-02	-8.25000e-02
-2.02216e+00	6.01442e-01	3.91083e-01	8.08149e-05	8.32136e-01	5.52513e-01	9.73009e-02	1	7.90000e-02	-4.50000e-01	7.90000e-02	-8.25000e-02
-2.00730e+00	6.01657e-01	3.86791e-01	7.69832e-05	8.33417e-01	5.53702e-01	9.87057e-02	1	8.00000e-02	-4.50000e-01	8.00000e-02	-8.25000e-02
